ORF,Common Name,Uncharacterized?,Mitochondrial Ribosome?,In Gold Standard?,bioPIXIE Confidence,bioPIXIE Precision,MEFIT Confidence,MEFIT Precision,Spell Rank,Spell Precision,Ensemble Precision,Current Process Annotations
YGR082W,TOM20,0,0,0,2.351128,0.541667,15.1155,0.222222222,728,0.069883527,0.27792425, GO:0006605:protein targeting;  GO:0006626:protein targeting to mitochondrion;  GO:0006810:transport;  GO:0006839:mitochondrial transport;  GO:0006886:intracellular protein transport;  GO:0008104:protein localization;  GO:0008150:biological_process;  GO:0009987:cellular process;  GO:0015031:protein transport;  GO:0016043:cellular component organization and biogenesis;  GO:0017038:protein import;  GO:0030150:protein import into mitochondrial matrix;  GO:0033036:macromolecule localization;  GO:0043681:protein import into mitochondrion;  GO:0045184:establishment of protein localization;  GO:0046907:intracellular transport;  GO:0051179:localization;  GO:0051234:establishment of localization;  GO:0051641:cellular localization;  GO:0051649:establishment of cellular localization; 
YBL038W,MRPL16,0,1,0,1.394997,0.446809,10.7773,0.148648649,11,0.222222222,0.272559957, GO:0006412:translation;  GO:0008150:biological_process;  GO:0008152:metabolic process;  GO:0009058:biosynthetic process;  GO:0009059:macromolecule biosynthetic process;  GO:0009987:cellular process;  GO:0019538:protein metabolic process;  GO:0043170:macromolecule metabolic process;  GO:0044237:cellular metabolic process;  GO:0044238:primary metabolic process;  GO:0044260:cellular macromolecule metabolic process;  GO:0044267:cellular protein metabolic process; 
YCR046C,IMG1,0,1,0,1.60642,0.529412,11.1862,0.148648649,106,0.134831461,0.270964037, GO:0006412:translation;  GO:0008150:biological_process;  GO:0008152:metabolic process;  GO:0009058:biosynthetic process;  GO:0009059:macromolecule biosynthetic process;  GO:0009987:cellular process;  GO:0019538:protein metabolic process;  GO:0043170:macromolecule metabolic process;  GO:0044237:cellular metabolic process;  GO:0044238:primary metabolic process;  GO:0044260:cellular macromolecule metabolic process;  GO:0044267:cellular protein metabolic process; 
YMR098C,YMR098C,1,0,0,1.190107,0.382353,15.901,0.25,43,0.176470588,0.269607863, GO:0008150:biological_process; 
YJL054W,TIM54,0,0,1,1.992612,0.541667,9.11304,0.131147541,233,0.129770992,0.267528511, GO:0006605:protein targeting;  GO:0006626:protein targeting to mitochondrion;  GO:0006810:transport;  GO:0006839:mitochondrial transport;  GO:0006886:intracellular protein transport;  GO:0006996:organelle organization and biogenesis;  GO:0007005:mitochondrion organization and biogenesis;  GO:0007006:mitochondrial membrane organization and biogenesis;  GO:0007007:inner mitochondrial membrane organization and biogenesis;  GO:0008104:protein localization;  GO:0008150:biological_process;  GO:0009987:cellular process;  GO:0015031:protein transport;  GO:0016043:cellular component organization and biogenesis;  GO:0016044:membrane organization and biogenesis;  GO:0017038:protein import;  GO:0033036:macromolecule localization;  GO:0043681:protein import into mitochondrion;  GO:0045039:protein import into mitochondrial inner membrane;  GO:0045184:establishment of protein localization;  GO:0046907:intracellular transport;  GO:0051179:localization;  GO:0051234:establishment of localization;  GO:0051641:cellular localization;  GO:0051649:establishment of cellular localization; 
YJL112W,MDV1,0,0,1,1.933452,0.541667,8.4263,0.115384615,116,0.134831461,0.263961025, GO:0000002:mitochondrial genome maintenance;  GO:0000266:mitochondrial fission;  GO:0006996:organelle organization and biogenesis;  GO:0007005:mitochondrion organization and biogenesis;  GO:0008150:biological_process;  GO:0009987:cellular process;  GO:0016043:cellular component organization and biogenesis;  GO:0048285:organelle fission; 
YOR367W,SCP1,0,0,0,2.231324,0.541667,9.93672,0.135416667,262,0.111111111,0.262731593, GO:0001300:chronological cell aging;  GO:0006996:organelle organization and biogenesis;  GO:0007010:cytoskeleton organization and biogenesis;  GO:0007015:actin filament organization;  GO:0007568:aging;  GO:0007569:cell aging;  GO:0008150:biological_process;  GO:0009987:cellular process;  GO:0016043:cellular component organization and biogenesis;  GO:0030029:actin filament-based process;  GO:0030036:actin cytoskeleton organization and biogenesis;  GO:0032502:developmental process; 
YMR024W,MRPL3,0,1,0,1.099953,0.313253,15.33,0.25,3,0.222222222,0.261825074, GO:0006412:translation;  GO:0008150:biological_process;  GO:0008152:metabolic process;  GO:0009058:biosynthetic process;  GO:0009059:macromolecule biosynthetic process;  GO:0009987:cellular process;  GO:0019538:protein metabolic process;  GO:0043170:macromolecule metabolic process;  GO:0044237:cellular metabolic process;  GO:0044238:primary metabolic process;  GO:0044260:cellular macromolecule metabolic process;  GO:0044267:cellular protein metabolic process; 
YIR006C,PAN1,0,0,0,1.461611,0.466667,,,1151,0.053932584,0.260299792," GO:0000003:reproduction;  GO:0000147:actin cortical patch assembly;  GO:0000282:cellular bud site selection;  GO:0000902:cell morphogenesis;  GO:0000910:cytokinesis;  GO:0006810:transport;  GO:0006897:endocytosis;  GO:0006996:organelle organization and biogenesis;  GO:0007010:cytoskeleton organization and biogenesis;  GO:0007105:cytokinesis, site selection;  GO:0007114:cell budding;  GO:0007120:axial cellular bud site selection;  GO:0007121:bipolar cellular bud site selection;  GO:0007163:establishment and/or maintenance of cell polarity;  GO:0008150:biological_process;  GO:0009653:anatomical structure morphogenesis;  GO:0009987:cellular process;  GO:0010324:membrane invagination;  GO:0016043:cellular component organization and biogenesis;  GO:0016044:membrane organization and biogenesis;  GO:0016192:vesicle-mediated transport;  GO:0019954:asexual reproduction;  GO:0022607:cellular component assembly;  GO:0030010:establishment of cell polarity;  GO:0030029:actin filament-based process;  GO:0030036:actin cytoskeleton organization and biogenesis;  GO:0030154:cell differentiation;  GO:0030467:establishment and/or maintenance of cell polarity (sensu Fungi);  GO:0030468:establishment of cell polarity (sensu Fungi);  GO:0030865:cortical cytoskeleton organization and biogenesis;  GO:0030866:cortical actin cytoskeleton organization and biogenesis;  GO:0032502:developmental process;  GO:0032505:reproduction of a single-celled organism;  GO:0032506:cytokinetic process;  GO:0032989:cellular structure morphogenesis;  GO:0048468:cell development;  GO:0048856:anatomical structure development;  GO:0048869:cellular developmental process;  GO:0051179:localization;  GO:0051234:establishment of localization;  GO:0051301:cell division; "
YNR017W,MAS6,0,0,0,2.837127,0.5625,8.91986,0.126865672,359,0.090909091,0.260091588, GO:0006605:protein targeting;  GO:0006626:protein targeting to mitochondrion;  GO:0006810:transport;  GO:0006839:mitochondrial transport;  GO:0006886:intracellular protein transport;  GO:0008104:protein localization;  GO:0008150:biological_process;  GO:0009987:cellular process;  GO:0015031:protein transport;  GO:0016043:cellular component organization and biogenesis;  GO:0017038:protein import;  GO:0030150:protein import into mitochondrial matrix;  GO:0033036:macromolecule localization;  GO:0043681:protein import into mitochondrion;  GO:0045184:establishment of protein localization;  GO:0046907:intracellular transport;  GO:0051179:localization;  GO:0051234:establishment of localization;  GO:0051641:cellular localization;  GO:0051649:establishment of cellular localization; 
YKR006C,MRPL13,0,1,0,1.130163,0.333333,13.7756,0.222222222,18,0.222222222,0.259259148, GO:0006412:translation;  GO:0008150:biological_process;  GO:0008152:metabolic process;  GO:0009058:biosynthetic process;  GO:0009059:macromolecule biosynthetic process;  GO:0009987:cellular process;  GO:0019538:protein metabolic process;  GO:0043170:macromolecule metabolic process;  GO:0044237:cellular metabolic process;  GO:0044238:primary metabolic process;  GO:0044260:cellular macromolecule metabolic process;  GO:0044267:cellular protein metabolic process; 
YBR185C,MBA1,0,0,1,1.202809,0.393939,12.5154,0.14893617,19,0.222222222,0.255032464, GO:0006091:generation of precursor metabolites and energy;  GO:0006996:organelle organization and biogenesis;  GO:0007005:mitochondrion organization and biogenesis;  GO:0007006:mitochondrial membrane organization and biogenesis;  GO:0007007:inner mitochondrial membrane organization and biogenesis;  GO:0008150:biological_process;  GO:0008152:metabolic process;  GO:0009060:aerobic respiration;  GO:0009987:cellular process;  GO:0015980:energy derivation by oxidation of organic compounds;  GO:0016043:cellular component organization and biogenesis;  GO:0016044:membrane organization and biogenesis;  GO:0045333:cellular respiration; 
YOR035C,SHE4,0,0,0,2.096628,0.47619,,,3200,0.033227848,0.254708924," GO:0000003:reproduction;  GO:0003006:reproductive developmental process;  GO:0006139:nucleobase, nucleoside, nucleotide and nucleic acid metabolic process;  GO:0006259:DNA metabolic process;  GO:0006310:DNA recombination;  GO:0006312:mitotic recombination;  GO:0006403:RNA localization;  GO:0006996:organelle organization and biogenesis;  GO:0007010:cytoskeleton organization and biogenesis;  GO:0007530:sex determination;  GO:0007531:mating type determination;  GO:0007533:mating type switching;  GO:0007534:gene conversion at mating-type locus;  GO:0008150:biological_process;  GO:0008152:metabolic process;  GO:0008298:intracellular mRNA localization;  GO:0009987:cellular process;  GO:0016043:cellular component organization and biogenesis;  GO:0022414:reproductive process;  GO:0030029:actin filament-based process;  GO:0030036:actin cytoskeleton organization and biogenesis;  GO:0030154:cell differentiation;  GO:0032502:developmental process;  GO:0033036:macromolecule localization;  GO:0043170:macromolecule metabolic process;  GO:0043283:biopolymer metabolic process;  GO:0044237:cellular metabolic process;  GO:0044238:primary metabolic process;  GO:0048468:cell development;  GO:0048869:cellular developmental process;  GO:0051179:localization; "
YMR157C,YMR157C,1,0,0,1.109924,0.317073,14.791,0.222222222,2,0.222222222,0.253839148, GO:0008150:biological_process; 
YLL001W,DNM1,0,0,1,2.583777,0.5625,4.70079,0.068907563,227,0.129770992,0.253726185, GO:0000001:mitochondrion inheritance;  GO:0000266:mitochondrial fission;  GO:0006461:protein complex assembly;  GO:0006996:organelle organization and biogenesis;  GO:0007005:mitochondrion organization and biogenesis;  GO:0008150:biological_process;  GO:0008152:metabolic process;  GO:0009987:cellular process;  GO:0016043:cellular component organization and biogenesis;  GO:0019538:protein metabolic process;  GO:0022607:cellular component assembly;  GO:0030154:cell differentiation;  GO:0032502:developmental process;  GO:0043170:macromolecule metabolic process;  GO:0044238:primary metabolic process;  GO:0048285:organelle fission;  GO:0048308:organelle inheritance;  GO:0048311:mitochondrion distribution;  GO:0048468:cell development;  GO:0048869:cellular developmental process;  GO:0051179:localization;  GO:0051259:protein oligomerization;  GO:0051260:protein homooligomerization;  GO:0051640:organelle localization;  GO:0051641:cellular localization;  GO:0051646:mitochondrion localization;  GO:0065003:macromolecular complex assembly; 
YLR370C,ARC18,0,0,1,2.394002,0.5625,3.73431,0.064516129,195,0.133333333,0.253449821, GO:0000001:mitochondrion inheritance;  GO:0006996:organelle organization and biogenesis;  GO:0007005:mitochondrion organization and biogenesis;  GO:0007010:cytoskeleton organization and biogenesis;  GO:0007015:actin filament organization;  GO:0008150:biological_process;  GO:0009987:cellular process;  GO:0016043:cellular component organization and biogenesis;  GO:0030029:actin filament-based process;  GO:0030036:actin cytoskeleton organization and biogenesis;  GO:0048308:organelle inheritance;  GO:0048311:mitochondrion distribution;  GO:0051179:localization;  GO:0051640:organelle localization;  GO:0051641:cellular localization;  GO:0051646:mitochondrion localization; 
YNL137C,NAM9,0,1,0,1.099953,0.309524,15.0549,0.222222222,7,0.222222222,0.251322815, GO:0006412:translation;  GO:0008150:biological_process;  GO:0008152:metabolic process;  GO:0009058:biosynthetic process;  GO:0009059:macromolecule biosynthetic process;  GO:0009987:cellular process;  GO:0019538:protein metabolic process;  GO:0043170:macromolecule metabolic process;  GO:0044237:cellular metabolic process;  GO:0044238:primary metabolic process;  GO:0044260:cellular macromolecule metabolic process;  GO:0044267:cellular protein metabolic process; 
YNL322C,KRE1,0,0,0,1.475371,0.466667,,,3003,0.034354305,0.250510653, GO:0007047:cell wall organization and biogenesis;  GO:0008150:biological_process;  GO:0009987:cellular process;  GO:0016043:cellular component organization and biogenesis;  GO:0045229:external encapsulating structure organization and biogenesis; 
YNL106C,INP52,0,0,0,1.446055,0.465116,,,2730,0.035631652,0.250373826, GO:0006629:lipid metabolic process;  GO:0006643:membrane lipid metabolic process;  GO:0006644:phospholipid metabolic process;  GO:0006650:glycerophospholipid metabolic process;  GO:0006793:phosphorus metabolic process;  GO:0006796:phosphate metabolic process;  GO:0006810:transport;  GO:0006897:endocytosis;  GO:0007047:cell wall organization and biogenesis;  GO:0007154:cell communication;  GO:0007165:signal transduction;  GO:0007242:intracellular signaling cascade;  GO:0008150:biological_process;  GO:0008152:metabolic process;  GO:0009987:cellular process;  GO:0010324:membrane invagination;  GO:0016043:cellular component organization and biogenesis;  GO:0016044:membrane organization and biogenesis;  GO:0016192:vesicle-mediated transport;  GO:0016311:dephosphorylation;  GO:0019932:second-messenger-mediated signaling;  GO:0030258:lipid modification;  GO:0030384:phosphoinositide metabolic process;  GO:0043170:macromolecule metabolic process;  GO:0043283:biopolymer metabolic process;  GO:0043412:biopolymer modification;  GO:0044237:cellular metabolic process;  GO:0044238:primary metabolic process;  GO:0044255:cellular lipid metabolic process;  GO:0045229:external encapsulating structure organization and biogenesis;  GO:0046839:phospholipid dephosphorylation;  GO:0046856:phosphoinositide dephosphorylation;  GO:0048015:phosphoinositide-mediated signaling;  GO:0048017:inositol lipid-mediated signaling;  GO:0051179:localization;  GO:0051234:establishment of localization; 
YMR089C,YTA12,0,0,0,1.339208,0.428571,7.49809,0.096774194,13,0.222222222,0.249189139, GO:0006412:translation;  GO:0006461:protein complex assembly;  GO:0006464:protein modification process;  GO:0006465:signal peptide processing;  GO:0006508:proteolysis;  GO:0006518:peptide metabolic process;  GO:0006605:protein targeting;  GO:0006626:protein targeting to mitochondrion;  GO:0006810:transport;  GO:0006839:mitochondrial transport;  GO:0006886:intracellular protein transport;  GO:0008104:protein localization;  GO:0008150:biological_process;  GO:0008152:metabolic process;  GO:0009058:biosynthetic process;  GO:0009059:macromolecule biosynthetic process;  GO:0009987:cellular process;  GO:0015031:protein transport;  GO:0016043:cellular component organization and biogenesis;  GO:0016485:protein processing;  GO:0017038:protein import;  GO:0019538:protein metabolic process;  GO:0022607:cellular component assembly;  GO:0030154:cell differentiation;  GO:0032502:developmental process;  GO:0033036:macromolecule localization;  GO:0043170:macromolecule metabolic process;  GO:0043283:biopolymer metabolic process;  GO:0043412:biopolymer modification;  GO:0043681:protein import into mitochondrion;  GO:0043687:post-translational protein modification;  GO:0044237:cellular metabolic process;  GO:0044238:primary metabolic process;  GO:0044260:cellular macromolecule metabolic process;  GO:0044267:cellular protein metabolic process;  GO:0045041:protein import into mitochondrial intermembrane space;  GO:0045184:establishment of protein localization;  GO:0046907:intracellular transport;  GO:0048468:cell development;  GO:0048869:cellular developmental process;  GO:0051179:localization;  GO:0051234:establishment of localization;  GO:0051641:cellular localization;  GO:0051649:establishment of cellular localization;  GO:0065003:macromolecular complex assembly; 
YJR080C,YJR080C,1,0,0,1.190107,0.382353,10.0281,0.139784946,4,0.222222222,0.248120056, GO:0008150:biological_process; 
YKL195W,MIA40,0,0,0,1.177563,0.382353,14.9236,0.222222222,84,0.136363636,0.246979619, GO:0006605:protein targeting;  GO:0006626:protein targeting to mitochondrion;  GO:0006810:transport;  GO:0006839:mitochondrial transport;  GO:0006886:intracellular protein transport;  GO:0008104:protein localization;  GO:0008150:biological_process;  GO:0009987:cellular process;  GO:0015031:protein transport;  GO:0016043:cellular component organization and biogenesis;  GO:0017038:protein import;  GO:0033036:macromolecule localization;  GO:0043681:protein import into mitochondrion;  GO:0045041:protein import into mitochondrial intermembrane space;  GO:0045184:establishment of protein localization;  GO:0046907:intracellular transport;  GO:0051179:localization;  GO:0051234:establishment of localization;  GO:0051641:cellular localization;  GO:0051649:establishment of cellular localization; 
YNL315C,ATP11,0,0,0,1.07062,0.268041,15.4604,0.25,10,0.222222222,0.246754407, GO:0006461:protein complex assembly;  GO:0008150:biological_process;  GO:0008152:metabolic process;  GO:0009987:cellular process;  GO:0016043:cellular component organization and biogenesis;  GO:0019538:protein metabolic process;  GO:0022607:cellular component assembly;  GO:0030154:cell differentiation;  GO:0032502:developmental process;  GO:0043170:macromolecule metabolic process;  GO:0044238:primary metabolic process;  GO:0048468:cell development;  GO:0048869:cellular developmental process;  GO:0065003:macromolecular complex assembly; 
YNL020C,ARK1,0,0,0,1.414476,0.454545,,,2644,0.035631652,0.245088326, GO:0000147:actin cortical patch assembly;  GO:0000910:cytokinesis;  GO:0006464:protein modification process;  GO:0006468:protein amino acid phosphorylation;  GO:0006793:phosphorus metabolic process;  GO:0006796:phosphate metabolic process;  GO:0006810:transport;  GO:0006897:endocytosis;  GO:0006996:organelle organization and biogenesis;  GO:0007010:cytoskeleton organization and biogenesis;  GO:0007015:actin filament organization;  GO:0008150:biological_process;  GO:0008152:metabolic process;  GO:0009987:cellular process;  GO:0010324:membrane invagination;  GO:0016043:cellular component organization and biogenesis;  GO:0016044:membrane organization and biogenesis;  GO:0016192:vesicle-mediated transport;  GO:0016310:phosphorylation;  GO:0019538:protein metabolic process;  GO:0022607:cellular component assembly;  GO:0030029:actin filament-based process;  GO:0030036:actin cytoskeleton organization and biogenesis;  GO:0030100:regulation of endocytosis;  GO:0030154:cell differentiation;  GO:0030865:cortical cytoskeleton organization and biogenesis;  GO:0030866:cortical actin cytoskeleton organization and biogenesis;  GO:0032502:developmental process;  GO:0043170:macromolecule metabolic process;  GO:0043283:biopolymer metabolic process;  GO:0043412:biopolymer modification;  GO:0043687:post-translational protein modification;  GO:0044237:cellular metabolic process;  GO:0044238:primary metabolic process;  GO:0044260:cellular macromolecule metabolic process;  GO:0044267:cellular protein metabolic process;  GO:0048468:cell development;  GO:0048869:cellular developmental process;  GO:0050789:regulation of biological process;  GO:0050794:regulation of cellular process;  GO:0051049:regulation of transport;  GO:0051179:localization;  GO:0051234:establishment of localization;  GO:0051301:cell division;  GO:0065007:biological regulation; 
YDR375C,BCS1,0,0,0,1.171869,0.376812,14.1292,0.222222222,149,0.134831461,0.244621894, GO:0006091:generation of precursor metabolites and energy;  GO:0006461:protein complex assembly;  GO:0008150:biological_process;  GO:0008152:metabolic process;  GO:0009060:aerobic respiration;  GO:0009987:cellular process;  GO:0015980:energy derivation by oxidation of organic compounds;  GO:0016043:cellular component organization and biogenesis;  GO:0019538:protein metabolic process;  GO:0022607:cellular component assembly;  GO:0030154:cell differentiation;  GO:0032502:developmental process;  GO:0043170:macromolecule metabolic process;  GO:0044238:primary metabolic process;  GO:0045333:cellular respiration;  GO:0048468:cell development;  GO:0048869:cellular developmental process;  GO:0051131:chaperone-mediated protein complex assembly;  GO:0065003:macromolecular complex assembly; 
