Gene,Rank,Positive,Negative,Agnostic,True Positive,False Positive,True Negative,False Negative,Accuracy,Precision,Recall,False Positive Rate,Selectivity
YNL005C,36,1,0,0,11,25,4785,280,0.940207802,0.305555556,0.037800687,0.005197505,0.994802495
YDR322W,37,1,0,0,12,25,4785,279,0.940403842,0.324324324,0.041237113,0.005197505,0.994802495
YLR418C,38,0,1,0,12,26,4784,279,0.940207802,0.315789474,0.041237113,0.005405405,0.994594595
YGR220C,39,0,1,0,12,27,4783,279,0.940011762,0.307692308,0.041237113,0.005613306,0.994386694
YKR016W,40,1,0,0,13,27,4783,278,0.940207802,0.325,0.04467354,0.005613306,0.994386694
YNL073W,41,0,1,0,13,28,4782,278,0.940011762,0.317073171,0.04467354,0.005821206,0.994178794
YJR122W,42,0,0,1,13,28,4782,278,0.940011762,0.317073171,0.04467354,0.005821206,0.994178794
YMR098C,43,1,0,0,14,28,4782,277,0.940207802,0.333333333,0.048109966,0.005821206,0.994178794
YBR122C,44,0,1,0,14,29,4781,277,0.940011762,0.325581395,0.048109966,0.006029106,0.993970894
YNL026W,45,1,0,0,15,29,4781,276,0.940207802,0.340909091,0.051546392,0.006029106,0.993970894
YOL062C,46,0,1,0,15,30,4780,276,0.940011762,0.333333333,0.051546392,0.006237006,0.993762994
YGL115W,47,0,1,0,15,31,4779,276,0.939815722,0.326086957,0.051546392,0.006444906,0.993555094
YNL306W,48,0,1,0,15,32,4778,276,0.939619682,0.319148936,0.051546392,0.006652807,0.993347193
YDR337W,49,0,1,0,15,33,4777,276,0.939423642,0.3125,0.051546392,0.006860707,0.993139293
YLR382C,50,0,1,0,15,34,4776,276,0.939227602,0.306122449,0.051546392,0.007068607,0.992931393
YNL252C,51,0,1,0,15,35,4775,276,0.939031562,0.3,0.051546392,0.007276507,0.992723493
YKL167C,52,0,1,0,15,36,4774,276,0.938835522,0.294117647,0.051546392,0.007484407,0.992515593
YLR069C,53,0,1,0,15,37,4773,276,0.938639482,0.288461538,0.051546392,0.007692308,0.992307692
YPL172C,54,0,1,0,15,38,4772,276,0.938443442,0.283018868,0.051546392,0.007900208,0.992099792
YKL087C,55,0,1,0,15,39,4771,276,0.938247402,0.277777778,0.051546392,0.008108108,0.991891892
YOR354C,56,0,1,0,15,40,4770,276,0.938051362,0.272727273,0.051546392,0.008316008,0.991683992
YDR175C,57,0,1,0,15,41,4769,276,0.937855322,0.267857143,0.051546392,0.008523909,0.991476091
YML030W,58,1,0,0,16,41,4769,275,0.938051362,0.280701754,0.054982818,0.008523909,0.991476091
YGL107C,59,0,1,0,16,42,4768,275,0.937855322,0.275862069,0.054982818,0.008731809,0.991268191
YKR085C,60,0,1,0,16,43,4767,275,0.937659282,0.271186441,0.054982818,0.008939709,0.991060291
YKL138C,61,0,1,0,16,44,4766,275,0.937463243,0.266666667,0.054982818,0.009147609,0.990852391
YDR061W,62,0,0,1,16,44,4766,275,0.937463243,0.266666667,0.054982818,0.009147609,0.990852391
YBR251W,63,0,1,0,16,45,4765,275,0.937267203,0.262295082,0.054982818,0.009355509,0.990644491
YDL178W,64,0,1,0,16,46,4764,275,0.937071163,0.258064516,0.054982818,0.00956341,0.99043659
YPL215W,65,1,0,0,17,46,4764,274,0.937267203,0.26984127,0.058419244,0.00956341,0.99043659
YKR065C,66,1,0,0,18,46,4764,273,0.937463243,0.28125,0.06185567,0.00956341,0.99043659
YGL040C,67,0,1,0,18,47,4763,273,0.937267203,0.276923077,0.06185567,0.00977131,0.99022869
YNL051W,68,0,1,0,18,48,4762,273,0.937071163,0.272727273,0.06185567,0.00997921,0.99002079
YJR101W,69,0,1,0,18,49,4761,273,0.936875123,0.268656716,0.06185567,0.01018711,0.98981289
YDR237W,70,0,1,0,18,50,4760,273,0.936679083,0.264705882,0.06185567,0.01039501,0.98960499
YNL131W,71,1,0,0,19,50,4760,272,0.936875123,0.275362319,0.065292096,0.01039501,0.98960499
YMR203W,72,1,0,0,20,50,4760,271,0.937071163,0.285714286,0.068728522,0.01039501,0.98960499
YHL004W,73,0,1,0,20,51,4759,271,0.936875123,0.281690141,0.068728522,0.010602911,0.989397089
YDR036C,74,0,1,0,20,52,4758,271,0.936679083,0.277777778,0.068728522,0.010810811,0.989189189
YML079W,75,0,0,1,20,52,4758,271,0.936679083,0.277777778,0.068728522,0.010810811,0.989189189
YMR158W,76,0,1,0,20,53,4757,271,0.936483043,0.273972603,0.068728522,0.011018711,0.988981289
YGL129C,77,0,1,0,20,54,4756,271,0.936287003,0.27027027,0.068728522,0.011226611,0.988773389
YNL177C,78,0,1,0,20,55,4755,271,0.936090963,0.266666667,0.068728522,0.011434511,0.988565489
YIL157C,79,1,0,0,21,55,4755,270,0.936287003,0.276315789,0.072164948,0.011434511,0.988565489
YLR204W,80,0,1,0,21,56,4754,270,0.936090963,0.272727273,0.072164948,0.011642412,0.988357588
YOL033W,81,0,1,0,21,57,4753,270,0.935894923,0.269230769,0.072164948,0.011850312,0.988149688
YNL122C,82,0,1,0,21,58,4752,270,0.935698883,0.265822785,0.072164948,0.012058212,0.987941788
YPR100W,83,1,0,0,22,58,4752,269,0.935894923,0.275,0.075601375,0.012058212,0.987941788
YKL195W,84,1,0,0,23,58,4752,268,0.936090963,0.283950617,0.079037801,0.012058212,0.987941788
YDR296W,85,1,0,0,24,58,4752,267,0.936287003,0.292682927,0.082474227,0.012058212,0.987941788
YIL098C,86,1,0,0,25,58,4752,266,0.936483043,0.301204819,0.085910653,0.012058212,0.987941788
YPL002C,87,0,1,0,25,59,4751,266,0.936287003,0.297619048,0.085910653,0.012266112,0.987733888
YNL100W,88,1,0,0,26,59,4751,265,0.936483043,0.305882353,0.089347079,0.012266112,0.987733888
YPL078C,89,0,1,0,26,60,4750,265,0.936287003,0.302325581,0.089347079,0.012474012,0.987525988
YHR198C,90,0,1,0,26,61,4749,265,0.936090963,0.298850575,0.089347079,0.012681913,0.987318087
YPL059W,91,0,1,0,26,62,4748,265,0.935894923,0.295454545,0.089347079,0.012889813,0.987110187
YDR494W,92,0,1,0,26,63,4747,265,0.935698883,0.292134831,0.089347079,0.013097713,0.986902287
YML110C,93,0,1,0,26,64,4746,265,0.935502843,0.288888889,0.089347079,0.013305613,0.986694387
YLR077W,94,1,0,0,27,64,4746,264,0.935698883,0.296703297,0.092783505,0.013305613,0.986694387
YBR037C,95,1,0,0,28,64,4746,263,0.935894923,0.304347826,0.096219931,0.013305613,0.986694387
YPL132W,96,0,1,0,28,65,4745,263,0.935698883,0.301075269,0.096219931,0.013513514,0.986486486
YPR140W,97,1,0,0,29,65,4745,262,0.935894923,0.308510638,0.099656357,0.013513514,0.986486486
YGR084C,98,0,1,0,29,66,4744,262,0.935698883,0.305263158,0.099656357,0.013721414,0.986278586
YLR253W,99,1,0,0,30,66,4744,261,0.935894923,0.3125,0.103092784,0.013721414,0.986278586
YNL330C,100,0,1,0,30,67,4743,261,0.935698883,0.309278351,0.103092784,0.013929314,0.986070686
YDR347W,101,0,1,0,30,68,4742,261,0.935502843,0.306122449,0.103092784,0.014137214,0.985862786
YLR090W,102,1,0,0,31,68,4742,260,0.935698883,0.313131313,0.10652921,0.014137214,0.985862786
YPR067W,103,0,1,0,31,69,4741,260,0.935502843,0.31,0.10652921,0.014345114,0.985654886
YNR022C,104,0,1,0,31,70,4740,260,0.935306803,0.306930693,0.10652921,0.014553015,0.985446985
YHR091C,105,0,1,0,31,71,4739,260,0.935110763,0.303921569,0.10652921,0.014760915,0.985239085
YCR046C,106,0,1,0,31,72,4738,260,0.934914723,0.300970874,0.10652921,0.014968815,0.985031185
YJR133W,107,0,1,0,31,73,4737,260,0.934718683,0.298076923,0.10652921,0.015176715,0.984823285
YNR036C,108,0,1,0,31,74,4736,260,0.934522643,0.295238095,0.10652921,0.015384615,0.984615385
YGR215W,109,0,1,0,31,75,4735,260,0.934326603,0.29245283,0.10652921,0.015592516,0.984407484
YOR232W,110,1,0,0,32,75,4735,259,0.934522643,0.299065421,0.109965636,0.015592516,0.984407484
YLR439W,111,0,1,0,32,76,4734,259,0.934326603,0.296296296,0.109965636,0.015800416,0.984199584
YJL046W,112,0,1,0,32,77,4733,259,0.934130563,0.293577982,0.109965636,0.016008316,0.983991684
YHR024C,113,1,0,0,33,77,4733,258,0.934326603,0.3,0.113402062,0.016008316,0.983991684
YEL052W,114,0,1,0,33,78,4732,258,0.934130563,0.297297297,0.113402062,0.016216216,0.983783784
YPR109W,115,0,1,0,33,79,4731,258,0.933934523,0.294642857,0.113402062,0.016424116,0.983575884
YJL112W,116,1,0,0,34,79,4731,257,0.934130563,0.300884956,0.116838488,0.016424116,0.983575884
YGR232W,117,0,0,1,34,79,4731,257,0.934130563,0.300884956,0.116838488,0.016424116,0.983575884
YOL122C,118,0,1,0,34,80,4730,257,0.933934523,0.298245614,0.116838488,0.016632017,0.983367983
YCR003W,119,0,1,0,34,81,4729,257,0.933738483,0.295652174,0.116838488,0.016839917,0.983160083
YPL097W,120,0,1,0,34,82,4728,257,0.933542443,0.293103448,0.116838488,0.017047817,0.982952183
YPR004C,121,0,1,0,34,83,4727,257,0.933346403,0.290598291,0.116838488,0.017255717,0.982744283
YGL019W,122,0,1,0,34,84,4726,257,0.933150363,0.288135593,0.116838488,0.017463617,0.982536383
YMR027W,123,0,1,0,34,85,4725,257,0.932954323,0.285714286,0.116838488,0.017671518,0.982328482
YPL173W,124,0,1,0,34,86,4724,257,0.932758283,0.283333333,0.116838488,0.017879418,0.982120582
YHR117W,125,1,0,0,35,86,4724,256,0.932954323,0.289256198,0.120274914,0.017879418,0.982120582
YJR076C,126,0,1,0,35,87,4723,256,0.932758283,0.286885246,0.120274914,0.018087318,0.981912682
YPR011C,127,0,1,0,35,88,4722,256,0.932562243,0.284552846,0.120274914,0.018295218,0.981704782
YDL237W,128,0,1,0,35,89,4721,256,0.932366203,0.282258065,0.120274914,0.018503119,0.981496881
YPR129W,129,0,1,0,35,90,4720,256,0.932170163,0.28,0.120274914,0.018711019,0.981288981
YDR316W,130,0,1,0,35,91,4719,256,0.931974123,0.277777778,0.120274914,0.018918919,0.981081081
YDL078C,131,0,1,0,35,92,4718,256,0.931778083,0.275590551,0.120274914,0.019126819,0.980873181
YIR021W,132,1,0,0,36,92,4718,255,0.931974123,0.28125,0.12371134,0.019126819,0.980873181
YNL183C,133,0,1,0,36,93,4717,255,0.931778083,0.279069767,0.12371134,0.019334719,0.980665281
YDR268W,134,0,1,0,36,94,4716,255,0.931582043,0.276923077,0.12371134,0.01954262,0.98045738
YPL098C,135,1,0,0,37,94,4716,254,0.931778083,0.282442748,0.127147766,0.01954262,0.98045738
YNL229C,136,0,1,0,37,95,4715,254,0.931582043,0.28030303,0.127147766,0.01975052,0.98024948
YOR241W,137,0,1,0,37,96,4714,254,0.931386003,0.278195489,0.127147766,0.01995842,0.98004158
YLR201C,138,0,1,0,37,97,4713,254,0.931189963,0.276119403,0.127147766,0.02016632,0.97983368
YJR125C,139,0,1,0,37,98,4712,254,0.930993923,0.274074074,0.127147766,0.02037422,0.97962578
YMR302C,140,1,0,0,38,98,4712,253,0.931189963,0.279411765,0.130584192,0.02037422,0.97962578
YGR171C,141,0,1,0,38,99,4711,253,0.930993923,0.277372263,0.130584192,0.020582121,0.979417879
YKL137W,142,1,0,0,39,99,4711,252,0.931189963,0.282608696,0.134020619,0.020582121,0.979417879
YCL052C,143,0,1,0,39,100,4710,252,0.930993923,0.28057554,0.134020619,0.020790021,0.979209979
YJL003W,144,1,0,0,40,100,4710,251,0.931189963,0.285714286,0.137457045,0.020790021,0.979209979
YDR194C,145,0,1,0,40,101,4709,251,0.930993923,0.283687943,0.137457045,0.020997921,0.979002079
YNL181W,146,0,1,0,40,102,4708,251,0.930797883,0.281690141,0.137457045,0.021205821,0.978794179
YLR250W,147,0,1,0,40,103,4707,251,0.930601843,0.27972028,0.137457045,0.021413721,0.978586279
YMR150C,148,1,0,0,41,103,4707,250,0.930797883,0.284722222,0.140893471,0.021413721,0.978586279
YDR375C,149,1,0,0,42,103,4707,249,0.930993923,0.289655172,0.144329897,0.021413721,0.978586279
YBL090W,150,0,1,0,42,104,4706,249,0.930797883,0.287671233,0.144329897,0.021621622,0.978378378
YGR167W,151,0,1,0,42,105,4705,249,0.930601843,0.285714286,0.144329897,0.021829522,0.978170478
YOL096C,152,0,1,0,42,106,4704,249,0.930405803,0.283783784,0.144329897,0.022037422,0.977962578
YML121W,153,0,1,0,42,107,4703,249,0.930209763,0.281879195,0.144329897,0.022245322,0.977754678
YDR298C,154,0,1,0,42,108,4702,249,0.930013723,0.28,0.144329897,0.022453222,0.977546778
YDL053C,155,0,0,1,42,108,4702,249,0.930013723,0.28,0.144329897,0.022453222,0.977546778
YOR042W,156,0,1,0,42,109,4701,249,0.929817683,0.278145695,0.144329897,0.022661123,0.977338877
YDR462W,157,0,1,0,42,110,4700,249,0.929621643,0.276315789,0.144329897,0.022869023,0.977130977
YDR047W,158,0,1,0,42,111,4699,249,0.929425603,0.274509804,0.144329897,0.023076923,0.976923077
YJR051W,159,0,1,0,42,112,4698,249,0.929229563,0.272727273,0.144329897,0.023284823,0.976715177
YNL084C,160,0,1,0,42,113,4697,249,0.929033523,0.270967742,0.144329897,0.023492723,0.976507277
YNR037C,161,0,1,0,42,114,4696,249,0.928837483,0.269230769,0.144329897,0.023700624,0.976299376
YOR259C,162,0,1,0,42,115,4695,249,0.928641443,0.267515924,0.144329897,0.023908524,0.976091476
YPR024W,163,1,0,0,43,115,4695,248,0.928837483,0.272151899,0.147766323,0.023908524,0.976091476
YBR221C,164,0,1,0,43,116,4694,248,0.928641443,0.270440252,0.147766323,0.024116424,0.975883576
YOR266W,165,1,0,0,44,116,4694,247,0.928837483,0.275,0.151202749,0.024116424,0.975883576
YDR148C,166,0,1,0,44,117,4693,247,0.928641443,0.273291925,0.151202749,0.024324324,0.975675676
YNL185C,167,0,1,0,44,118,4692,247,0.928445403,0.271604938,0.151202749,0.024532225,0.975467775
YGL068W,168,0,1,0,44,119,4691,247,0.928249363,0.26993865,0.151202749,0.024740125,0.975259875
YOR280C,169,0,0,1,44,119,4691,247,0.928249363,0.26993865,0.151202749,0.024740125,0.975259875
YER080W,170,0,0,1,44,119,4691,247,0.928249363,0.26993865,0.151202749,0.024740125,0.975259875
YJL063C,171,0,1,0,44,120,4690,247,0.928053323,0.268292683,0.151202749,0.024948025,0.975051975
YGR199W,172,0,1,0,44,121,4689,247,0.927857283,0.266666667,0.151202749,0.025155925,0.974844075
YMR152W,173,0,1,0,44,122,4688,247,0.927661243,0.265060241,0.151202749,0.025363825,0.974636175
YER087W,174,0,1,0,44,123,4687,247,0.927465203,0.263473054,0.151202749,0.025571726,0.974428274
YGR147C,175,0,0,1,44,123,4687,247,0.927465203,0.263473054,0.151202749,0.025571726,0.974428274
YKL003C,176,0,1,0,44,124,4686,247,0.927269163,0.261904762,0.151202749,0.025779626,0.974220374
YOL088C,177,0,1,0,44,125,4685,247,0.927073123,0.26035503,0.151202749,0.025987526,0.974012474
YKL016C,178,0,1,0,44,126,4684,247,0.926877083,0.258823529,0.151202749,0.026195426,0.973804574
YER048C,179,0,1,0,44,127,4683,247,0.926681043,0.257309942,0.151202749,0.026403326,0.973596674
YOL053W,180,0,1,0,44,128,4682,247,0.926485003,0.255813953,0.151202749,0.026611227,0.973388773
YPL040C,181,0,1,0,44,129,4681,247,0.926288963,0.25433526,0.151202749,0.026819127,0.973180873
YPL260W,182,0,0,1,44,129,4681,247,0.926288963,0.25433526,0.151202749,0.026819127,0.973180873
YMR029C,183,0,1,0,44,130,4680,247,0.926092923,0.252873563,0.151202749,0.027027027,0.972972973
YJR144W,184,1,0,0,45,130,4680,246,0.926288963,0.257142857,0.154639175,0.027027027,0.972972973
YMR188C,185,0,1,0,45,131,4679,246,0.926092923,0.255681818,0.154639175,0.027234927,0.972765073
YPL270W,186,0,1,0,45,132,4678,246,0.925896883,0.254237288,0.154639175,0.027442827,0.972557173
YDR115W,187,0,1,0,45,133,4677,246,0.925700843,0.252808989,0.154639175,0.027650728,0.972349272
YNL048W,188,0,1,0,45,134,4676,246,0.925504803,0.251396648,0.154639175,0.027858628,0.972141372
YOR165W,189,0,1,0,45,135,4675,246,0.925308763,0.25,0.154639175,0.028066528,0.971933472
YDR041W,190,0,1,0,45,136,4674,246,0.925112723,0.248618785,0.154639175,0.028274428,0.971725572
YKL141W,191,1,0,0,46,136,4674,245,0.925308763,0.252747253,0.158075601,0.028274428,0.971725572
YNR041C,192,0,1,0,46,137,4673,245,0.925112723,0.25136612,0.158075601,0.028482328,0.971517672
YIL022W,193,1,0,0,47,137,4673,244,0.925308763,0.255434783,0.161512027,0.028482328,0.971517672
YOR201C,194,0,1,0,47,138,4672,244,0.925112723,0.254054054,0.161512027,0.028690229,0.971309771
YLR370C,195,0,1,0,47,139,4671,244,0.924916683,0.252688172,0.161512027,0.028898129,0.971101871
YCR024C,196,0,1,0,47,140,4670,244,0.924720643,0.251336898,0.161512027,0.029106029,0.970893971
YPR047W,197,0,1,0,47,141,4669,244,0.924524603,0.25,0.161512027,0.029313929,0.970686071
YPR108W,198,0,1,0,47,142,4668,244,0.924328563,0.248677249,0.161512027,0.02952183,0.97047817
YPL103C,199,0,1,0,47,143,4667,244,0.924132523,0.247368421,0.161512027,0.02972973,0.97027027
YDL120W,200,0,1,0,47,144,4666,244,0.923936483,0.246073298,0.161512027,0.02993763,0.97006237
YMR228W,201,0,1,0,47,145,4665,244,0.923740443,0.244791667,0.161512027,0.03014553,0.96985447
YPR155C,202,0,1,0,47,146,4664,244,0.923544403,0.243523316,0.161512027,0.03035343,0.96964657
YKR001C,203,0,1,0,47,147,4663,244,0.923348363,0.242268041,0.161512027,0.030561331,0.969438669
YHR038W,204,0,1,0,47,148,4662,244,0.923152323,0.241025641,0.161512027,0.030769231,0.969230769
YMR225C,205,0,1,0,47,149,4661,244,0.922956283,0.239795918,0.161512027,0.030977131,0.969022869
YOL071W,206,1,0,0,48,149,4661,243,0.923152323,0.243654822,0.164948454,0.030977131,0.969022869
YGR174C,207,1,0,0,49,149,4661,242,0.923348363,0.247474747,0.16838488,0.030977131,0.969022869
YNR028W,208,0,1,0,49,150,4660,242,0.923152323,0.246231156,0.16838488,0.031185031,0.968814969
YMR002W,209,1,0,0,50,150,4660,241,0.923348363,0.25,0.171821306,0.031185031,0.968814969
YDR512C,210,1,0,0,51,150,4660,240,0.923544403,0.253731343,0.175257732,0.031185031,0.968814969
YCL028W,211,0,0,1,51,150,4660,240,0.923544403,0.253731343,0.175257732,0.031185031,0.968814969
YCR044C,212,0,1,0,51,151,4659,240,0.923348363,0.252475248,0.175257732,0.031392931,0.968607069
YMR054W,213,0,1,0,51,152,4658,240,0.923152323,0.251231527,0.175257732,0.031600832,0.968399168
YEL015W,214,0,1,0,51,153,4657,240,0.922956283,0.25,0.175257732,0.031808732,0.968191268
YGR101W,215,1,0,0,52,153,4657,239,0.923152323,0.253658537,0.178694158,0.031808732,0.968191268
YBL022C,216,1,0,0,53,153,4657,238,0.923348363,0.257281553,0.182130584,0.031808732,0.968191268
YJR013W,217,0,1,0,53,154,4656,238,0.923152323,0.256038647,0.182130584,0.032016632,0.967983368
YDR084C,218,0,1,0,53,155,4655,238,0.922956283,0.254807692,0.182130584,0.032224532,0.967775468
YGL252C,219,0,1,0,53,156,4654,238,0.922760243,0.253588517,0.182130584,0.032432432,0.967567568
YPR166C,220,0,1,0,53,157,4653,238,0.922564203,0.252380952,0.182130584,0.032640333,0.967359667
YJR045C,221,1,0,0,54,157,4653,237,0.922760243,0.255924171,0.18556701,0.032640333,0.967359667
YHR001W,222,0,1,0,54,158,4652,237,0.922564203,0.254716981,0.18556701,0.032848233,0.967151767
YBR094W,223,0,1,0,54,159,4651,237,0.922368163,0.253521127,0.18556701,0.033056133,0.966943867
YNL037C,224,0,1,0,54,160,4650,237,0.922172123,0.252336449,0.18556701,0.033264033,0.966735967
YOR164C,225,0,0,1,54,160,4650,237,0.922172123,0.252336449,0.18556701,0.033264033,0.966735967
YBL041W,226,0,1,0,54,161,4649,237,0.921976083,0.251162791,0.18556701,0.033471933,0.966528067
YLL001W,227,1,0,0,55,161,4649,236,0.922172123,0.25462963,0.189003436,0.033471933,0.966528067
YOL049W,228,0,1,0,55,162,4648,236,0.921976083,0.253456221,0.189003436,0.033679834,0.966320166
YFR011C,229,1,0,0,56,162,4648,235,0.922172123,0.256880734,0.192439863,0.033679834,0.966320166
YGR207C,230,0,1,0,56,163,4647,235,0.921976083,0.255707763,0.192439863,0.033887734,0.966112266
YKL155C,231,0,1,0,56,164,4646,235,0.921780043,0.254545455,0.192439863,0.034095634,0.965904366
YNL168C,232,0,0,1,56,164,4646,235,0.921780043,0.254545455,0.192439863,0.034095634,0.965904366
YJL054W,233,1,0,0,57,164,4646,234,0.921976083,0.257918552,0.195876289,0.034095634,0.965904366
YHR009C,234,0,1,0,57,165,4645,234,0.921780043,0.256756757,0.195876289,0.034303534,0.965696466
YPR073C,235,0,1,0,57,166,4644,234,0.921584003,0.255605381,0.195876289,0.034511435,0.965488565
YGR193C,236,0,0,1,57,166,4644,234,0.921584003,0.255605381,0.195876289,0.034511435,0.965488565
YPL176C,237,0,1,0,57,167,4643,234,0.921387963,0.254464286,0.195876289,0.034719335,0.965280665
YLR168C,238,1,0,0,58,167,4643,233,0.921584003,0.257777778,0.199312715,0.034719335,0.965280665
YBR262C,239,1,0,0,59,167,4643,232,0.921780043,0.261061947,0.202749141,0.034719335,0.965280665
YLR295C,240,1,0,0,60,167,4643,231,0.921976083,0.264317181,0.206185567,0.034719335,0.965280665
YPL091W,241,0,1,0,60,168,4642,231,0.921780043,0.263157895,0.206185567,0.034927235,0.965072765
YGR076C,242,0,1,0,60,169,4641,231,0.921584003,0.262008734,0.206185567,0.035135135,0.964864865
YNL167C,243,0,1,0,60,170,4640,231,0.921387963,0.260869565,0.206185567,0.035343035,0.964656965
YNL257C,244,0,1,0,60,171,4639,231,0.921191923,0.25974026,0.206185567,0.035550936,0.964449064
YPR023C,245,0,1,0,60,172,4638,231,0.920995883,0.25862069,0.206185567,0.035758836,0.964241164
YBR151W,246,0,0,1,60,172,4638,231,0.920995883,0.25862069,0.206185567,0.035758836,0.964241164
YDL004W,247,0,1,0,60,173,4637,231,0.920799843,0.25751073,0.206185567,0.035966736,0.964033264
YOR142W,248,0,1,0,60,174,4636,231,0.920603803,0.256410256,0.206185567,0.036174636,0.963825364
YJR142W,249,0,0,1,60,174,4636,231,0.920603803,0.256410256,0.206185567,0.036174636,0.963825364
YGR163W,250,0,1,0,60,175,4635,231,0.920407763,0.255319149,0.206185567,0.036382536,0.963617464
YGL057C,251,0,1,0,60,176,4634,231,0.920211723,0.254237288,0.206185567,0.036590437,0.963409563
YKL145W,252,0,1,0,60,177,4633,231,0.920015683,0.253164557,0.206185567,0.036798337,0.963201663
YOR356W,253,0,1,0,60,178,4632,231,0.919819643,0.25210084,0.206185567,0.037006237,0.962993763
YMR026C,254,0,1,0,60,179,4631,231,0.919623603,0.251046025,0.206185567,0.037214137,0.962785863
YBL058W,255,0,1,0,60,180,4630,231,0.919427563,0.25,0.206185567,0.037422037,0.962577963
YNL307C,256,0,1,0,60,181,4629,231,0.919231523,0.248962656,0.206185567,0.037629938,0.962370062
YML078W,257,0,1,0,60,182,4628,231,0.919035483,0.247933884,0.206185567,0.037837838,0.962162162
YGL143C,258,0,1,0,60,183,4627,231,0.918839443,0.24691358,0.206185567,0.038045738,0.961954262
YBR039W,259,0,1,0,60,184,4626,231,0.918643403,0.245901639,0.206185567,0.038253638,0.961746362
YNL154C,260,0,1,0,60,185,4625,231,0.918447363,0.244897959,0.206185567,0.038461538,0.961538462
YIL010W,261,0,1,0,60,186,4624,231,0.918251323,0.243902439,0.206185567,0.038669439,0.961330561
YOR367W,262,0,1,0,60,187,4623,231,0.918055283,0.24291498,0.206185567,0.038877339,0.961122661
YPR147C,263,0,1,0,60,188,4622,231,0.917859243,0.241935484,0.206185567,0.039085239,0.960914761
