Gene,Confidence,Positive,Negative,Agnostic,True Positive,False Positive,True Negative,False Negative,Accuracy,Precision,Recall,False Positive Rate,Selectivity
YDR296W,11.8794,1,0,0,7,3,3284,90,0.97251773,0.7,0.072164948,0.000912686,0.999087314
YDR197W,11.8636,0,1,0,7,4,3283,90,0.972222222,0.636363636,0.072164948,0.001216915,0.998783085
YGR147C,11.5086,0,1,0,7,5,3282,90,0.971926714,0.583333333,0.072164948,0.001521144,0.998478856
YNL213C,11.4626,1,0,0,8,5,3282,89,0.972222222,0.615384615,0.082474227,0.001521144,0.998478856
YOR356W,11.4164,0,1,0,8,6,3281,89,0.971926714,0.571428571,0.082474227,0.001825373,0.998174627
YNL051W,11.2568,0,1,0,8,7,3280,89,0.971631206,0.533333333,0.082474227,0.002129601,0.997870399
YNL070W,11.1489,1,0,0,9,7,3280,88,0.971926714,0.5625,0.092783505,0.002129601,0.997870399
YIL004C,10.9615,0,1,0,9,8,3279,88,0.971631206,0.529411765,0.092783505,0.00243383,0.99756617
YNL044W,10.9359,0,1,0,9,9,3278,88,0.971335697,0.5,0.092783505,0.002738059,0.997261941
YJR102C,10.8593,0,1,0,9,10,3277,88,0.971040189,0.473684211,0.092783505,0.003042288,0.996957712
YDR511W,10.8402,0,1,0,9,11,3276,88,0.970744681,0.45,0.092783505,0.003346517,0.996653483
YDR393W,10.7837,1,0,0,10,11,3276,87,0.971040189,0.476190476,0.103092784,0.003346517,0.996653483
YLR390W,10.7805,0,1,0,10,12,3275,87,0.970744681,0.454545455,0.103092784,0.003650745,0.996349255
YGR181W,10.7692,1,0,0,11,12,3275,86,0.971040189,0.47826087,0.113402062,0.003650745,0.996349255
YDR224C,10.7604,0,1,0,11,13,3274,86,0.970744681,0.458333333,0.113402062,0.003954974,0.996045026
YKL058W,10.6704,0,1,0,11,14,3273,86,0.970449173,0.44,0.113402062,0.004259203,0.995740797
YER030W,10.6638,0,1,0,11,15,3272,86,0.970153664,0.423076923,0.113402062,0.004563432,0.995436568
YOR020C,10.6632,0,1,0,11,16,3271,86,0.969858156,0.407407407,0.113402062,0.00486766,0.99513234
YER012W,10.5165,0,1,0,11,17,3270,86,0.969562648,0.392857143,0.113402062,0.005171889,0.994828111
YLR382C,10.4751,0,1,0,11,18,3269,86,0.969267139,0.379310345,0.113402062,0.005476118,0.994523882
YNR020C,10.3621,0,1,0,11,19,3268,86,0.968971631,0.366666667,0.113402062,0.005780347,0.994219653
YGL040C,10.3299,0,1,0,11,20,3267,86,0.968676123,0.35483871,0.113402062,0.006084576,0.993915424
YBR120C,10.2916,0,0,1,11,20,3267,86,0.968676123,0.35483871,0.113402062,0.006084576,0.993915424
YGR169C,10.2142,0,0,1,11,20,3267,86,0.968676123,0.35483871,0.113402062,0.006084576,0.993915424
YBR044C,10.2061,0,1,0,11,21,3266,86,0.968380615,0.34375,0.113402062,0.006388804,0.993611196
YMR060C,10.1913,1,0,0,12,21,3266,85,0.968676123,0.363636364,0.12371134,0.006388804,0.993611196
YFL036W,10.1895,1,0,0,13,21,3266,84,0.968971631,0.382352941,0.134020619,0.006388804,0.993611196
YBR010W,10.1478,0,1,0,13,22,3265,84,0.968676123,0.371428571,0.134020619,0.006693033,0.993306967
YLR395C,9.99531,0,1,0,13,23,3264,84,0.968380615,0.361111111,0.134020619,0.006997262,0.993002738
YDR177W,9.98745,0,1,0,13,24,3263,84,0.968085106,0.351351351,0.134020619,0.007301491,0.992698509
YOR367W,9.93672,0,1,0,13,25,3262,84,0.967789598,0.342105263,0.134020619,0.00760572,0.99239428
YKL002W,9.83431,0,1,0,13,26,3261,84,0.96749409,0.333333333,0.134020619,0.007909948,0.992090052
YBR011C,9.75869,0,1,0,13,27,3260,84,0.967198582,0.325,0.134020619,0.008214177,0.991785823
YNL030W,9.73886,0,1,0,13,28,3259,84,0.966903073,0.317073171,0.134020619,0.008518406,0.991481594
YJL001W,9.71426,0,1,0,13,29,3258,84,0.966607565,0.30952381,0.134020619,0.008822635,0.991177365
YBL026W,9.64007,0,1,0,13,30,3257,84,0.966312057,0.302325581,0.134020619,0.009126863,0.990873137
YFR033C,9.58728,0,1,0,13,31,3256,84,0.966016548,0.295454545,0.134020619,0.009431092,0.990568908
YNL214W,9.57249,0,1,0,13,32,3255,84,0.96572104,0.288888889,0.134020619,0.009735321,0.990264679
YOR265W,9.568,0,1,0,13,33,3254,84,0.965425532,0.282608696,0.134020619,0.01003955,0.98996045
YMR099C,9.55743,0,1,0,13,34,3253,84,0.965130024,0.276595745,0.134020619,0.010343779,0.989656221
YOL096C,9.50044,0,1,0,13,35,3252,84,0.964834515,0.270833333,0.134020619,0.010648007,0.989351993
YGR118W,9.37053,0,1,0,13,36,3251,84,0.964539007,0.265306122,0.134020619,0.010952236,0.989047764
YPL139C,9.35803,0,1,0,13,37,3250,84,0.964243499,0.26,0.134020619,0.011256465,0.988743535
YBR192W,9.31043,1,0,0,14,37,3250,83,0.964539007,0.274509804,0.144329897,0.011256465,0.988743535
YGR183C,9.30058,0,1,0,14,38,3249,83,0.964243499,0.269230769,0.144329897,0.011560694,0.988439306
YOR037W,9.28587,1,0,0,15,38,3249,82,0.964539007,0.283018868,0.154639175,0.011560694,0.988439306
YMR071C,9.27868,0,1,0,15,39,3248,82,0.964243499,0.277777778,0.154639175,0.011864922,0.988135078
YGR232W,9.23723,0,1,0,15,40,3247,82,0.963947991,0.272727273,0.154639175,0.012169151,0.987830849
YER183C,9.18569,0,1,0,15,41,3246,82,0.963652482,0.267857143,0.154639175,0.01247338,0.98752662
YIL040W,9.142,0,1,0,15,42,3245,82,0.963356974,0.263157895,0.154639175,0.012777609,0.987222391
YJL054W,9.11304,1,0,0,16,42,3245,81,0.963652482,0.275862069,0.164948454,0.012777609,0.987222391
YDR276C,9.08158,0,1,0,16,43,3244,81,0.963356974,0.271186441,0.164948454,0.013081838,0.986918162
YGR206W,9.08064,0,1,0,16,44,3243,81,0.963061466,0.266666667,0.164948454,0.013386066,0.986613934
YJL173C,9.07876,0,1,0,16,45,3242,81,0.962765957,0.262295082,0.164948454,0.013690295,0.986309705
YKL196C,9.07161,0,1,0,16,46,3241,81,0.962470449,0.258064516,0.164948454,0.013994524,0.986005476
YOL012C,9.0351,0,1,0,16,47,3240,81,0.962174941,0.253968254,0.164948454,0.014298753,0.985701247
YJL166W,9.01329,0,1,0,16,48,3239,81,0.961879433,0.25,0.164948454,0.014602981,0.985397019
YDR512C,9.00515,0,1,0,16,49,3238,81,0.961583924,0.246153846,0.164948454,0.01490721,0.98509279
YBL080C,8.94001,1,0,0,17,49,3238,80,0.961879433,0.257575758,0.175257732,0.01490721,0.98509279
YKL160W,8.93154,0,1,0,17,50,3237,80,0.961583924,0.253731343,0.175257732,0.015211439,0.984788561
YKR037C,8.78844,0,1,0,17,51,3236,80,0.961288416,0.25,0.175257732,0.015515668,0.984484332
YER026C,8.76565,0,1,0,17,52,3235,80,0.960992908,0.246376812,0.175257732,0.015819897,0.984180103
YNL178W,8.75433,0,1,0,17,53,3234,80,0.9606974,0.242857143,0.175257732,0.016124125,0.983875875
YER170W,8.74942,0,1,0,17,54,3233,80,0.960401891,0.23943662,0.175257732,0.016428354,0.983571646
YER056C-A,8.74715,0,1,0,17,55,3232,80,0.960106383,0.236111111,0.175257732,0.016732583,0.983267417
YDR225W,8.70104,0,1,0,17,56,3231,80,0.959810875,0.232876712,0.175257732,0.017036812,0.982963188
YPL040C,8.69321,0,1,0,17,57,3230,80,0.959515366,0.22972973,0.175257732,0.01734104,0.98265896
YGL100W,8.66662,0,1,0,17,58,3229,80,0.959219858,0.226666667,0.175257732,0.017645269,0.982354731
YPL037C,8.65991,0,1,0,17,59,3228,80,0.95892435,0.223684211,0.175257732,0.017949498,0.982050502
YGR222W,8.65984,0,1,0,17,60,3227,80,0.958628842,0.220779221,0.175257732,0.018253727,0.981746273
YCL001W,8.6519,0,1,0,17,61,3226,80,0.958333333,0.217948718,0.175257732,0.018557956,0.981442044
YIR021W,8.58635,0,1,0,17,62,3225,80,0.958037825,0.215189873,0.175257732,0.018862184,0.981137816
YER042W,8.57864,0,1,0,17,63,3224,80,0.957742317,0.2125,0.175257732,0.019166413,0.980833587
YPL090C,8.55752,0,1,0,17,64,3223,80,0.957446809,0.209876543,0.175257732,0.019470642,0.980529358
YML078W,8.5488,0,1,0,17,65,3222,80,0.9571513,0.207317073,0.175257732,0.019774871,0.980225129
YBL001C,8.54612,0,1,0,17,66,3221,80,0.956855792,0.204819277,0.175257732,0.020079099,0.979920901
YKL006C-A,8.54435,0,1,0,17,67,3220,80,0.956560284,0.202380952,0.175257732,0.020383328,0.979616672
YDR404C,8.52844,0,1,0,17,68,3219,80,0.956264775,0.2,0.175257732,0.020687557,0.979312443
YOL127W,8.44292,0,1,0,17,69,3218,80,0.955969267,0.197674419,0.175257732,0.020991786,0.979008214
YJL112W,8.4263,1,0,0,18,69,3218,79,0.956264775,0.206896552,0.18556701,0.020991786,0.979008214
YDL018C,8.42555,0,1,0,18,70,3217,79,0.955969267,0.204545455,0.18556701,0.021296015,0.978703985
YGL048C,8.40168,0,1,0,18,71,3216,79,0.955673759,0.202247191,0.18556701,0.021600243,0.978399757
YFR052W,8.38764,0,1,0,18,72,3215,79,0.955378251,0.2,0.18556701,0.021904472,0.978095528
YML012W,8.3607,0,1,0,18,73,3214,79,0.955082742,0.197802198,0.18556701,0.022208701,0.977791299
YCR024C,8.33283,0,1,0,18,74,3213,79,0.954787234,0.195652174,0.18556701,0.02251293,0.97748707
YHR121W,8.30267,0,1,0,18,75,3212,79,0.954491726,0.193548387,0.18556701,0.022817159,0.977182841
YGL200C,8.30178,0,1,0,18,76,3211,79,0.954196217,0.191489362,0.18556701,0.023121387,0.976878613
YDL008W,8.29243,0,1,0,18,77,3210,79,0.953900709,0.189473684,0.18556701,0.023425616,0.976574384
YDL136W,8.26768,0,1,0,18,78,3209,79,0.953605201,0.1875,0.18556701,0.023729845,0.976270155
YKL122C,8.25806,0,1,0,18,79,3208,79,0.953309693,0.18556701,0.18556701,0.024034074,0.975965926
YNL259C,8.25051,0,1,0,18,80,3207,79,0.953014184,0.183673469,0.18556701,0.024338302,0.975661698
YNR009W,8.24341,0,1,0,18,81,3206,79,0.952718676,0.181818182,0.18556701,0.024642531,0.975357469
YGR253C,8.24021,0,1,0,18,82,3205,79,0.952423168,0.18,0.18556701,0.02494676,0.97505324
YOR259C,8.21977,0,1,0,18,83,3204,79,0.95212766,0.178217822,0.18556701,0.025250989,0.974749011
YGL232W,8.21216,0,1,0,18,84,3203,79,0.951832151,0.176470588,0.18556701,0.025555218,0.974444782
YPR103W,8.21025,0,1,0,18,85,3202,79,0.951536643,0.174757282,0.18556701,0.025859446,0.974140554
YIL134W,8.19066,0,1,0,18,86,3201,79,0.951241135,0.173076923,0.18556701,0.026163675,0.973836325
YKL192C,8.18008,0,1,0,18,87,3200,79,0.950945626,0.171428571,0.18556701,0.026467904,0.973532096
YPR132W,8.16501,0,1,0,18,88,3199,79,0.950650118,0.169811321,0.18556701,0.026772133,0.973227867
YLR229C,8.13771,0,1,0,18,89,3198,79,0.95035461,0.168224299,0.18556701,0.027076361,0.972923639
YML001W,8.11019,0,1,0,18,90,3197,79,0.950059102,0.166666667,0.18556701,0.02738059,0.97261941
YGR148C,8.05942,0,1,0,18,91,3196,79,0.949763593,0.165137615,0.18556701,0.027684819,0.972315181
YHR181W,8.04731,0,1,0,18,92,3195,79,0.949468085,0.163636364,0.18556701,0.027989048,0.972010952
YCR027C,7.99432,0,1,0,18,93,3194,79,0.949172577,0.162162162,0.18556701,0.028293277,0.971706723
YKL180W,7.9813,0,1,0,18,94,3193,79,0.948877069,0.160714286,0.18556701,0.028597505,0.971402495
YHR109W,7.97386,0,1,0,18,95,3192,79,0.94858156,0.159292035,0.18556701,0.028901734,0.971098266
YLL050C,7.9158,0,1,0,18,96,3191,79,0.948286052,0.157894737,0.18556701,0.029205963,0.970794037
YDR378C,7.90906,0,1,0,18,97,3190,79,0.947990544,0.156521739,0.18556701,0.029510192,0.970489808
YOR167C,7.90223,0,1,0,18,98,3189,79,0.947695035,0.155172414,0.18556701,0.02981442,0.97018558
YDL235C,7.89693,0,1,0,18,99,3188,79,0.947399527,0.153846154,0.18556701,0.030118649,0.969881351
YGL054C,7.89544,0,1,0,18,100,3187,79,0.947104019,0.152542373,0.18556701,0.030422878,0.969577122
YBR009C,7.8649,0,1,0,18,101,3186,79,0.946808511,0.151260504,0.18556701,0.030727107,0.969272893
YPL210C,7.84814,0,1,0,18,102,3185,79,0.946513002,0.15,0.18556701,0.031031336,0.968968664
YGR075C,7.79083,0,1,0,18,103,3184,79,0.946217494,0.148760331,0.18556701,0.031335564,0.968664436
YJR144W,7.7871,1,0,0,19,103,3184,78,0.946513002,0.155737705,0.195876289,0.031335564,0.968664436
YKL190W,7.7508,0,1,0,19,104,3183,78,0.946217494,0.154471545,0.195876289,0.031639793,0.968360207
YDL061C,7.67281,0,1,0,19,105,3182,78,0.945921986,0.153225806,0.195876289,0.031944022,0.968055978
YDL135C,7.66484,0,1,0,19,106,3181,78,0.945626478,0.152,0.195876289,0.032248251,0.967751749
YOR293W,7.64786,0,1,0,19,107,3180,78,0.945330969,0.150793651,0.195876289,0.032552479,0.967447521
YGR101W,7.62442,1,0,0,20,107,3180,77,0.945626478,0.157480315,0.206185567,0.032552479,0.967447521
YOR369C,7.61925,0,1,0,20,108,3179,77,0.945330969,0.15625,0.206185567,0.032856708,0.967143292
YJL124C,7.61797,0,1,0,20,109,3178,77,0.945035461,0.15503876,0.206185567,0.033160937,0.966839063
YGL070C,7.5756,0,1,0,20,110,3177,77,0.944739953,0.153846154,0.206185567,0.033465166,0.966534834
YKL214C,7.5449,0,1,0,20,111,3176,77,0.944444444,0.152671756,0.206185567,0.033769395,0.966230605
YPL178W,7.53924,0,1,0,20,112,3175,77,0.944148936,0.151515152,0.206185567,0.034073623,0.965926377
YIL016W,7.53413,0,1,0,20,113,3174,77,0.943853428,0.15037594,0.206185567,0.034377852,0.965622148
YOR357C,7.53221,0,1,0,20,114,3173,77,0.94355792,0.149253731,0.206185567,0.034682081,0.965317919
YDR226W,7.50858,0,1,0,20,115,3172,77,0.943262411,0.148148148,0.206185567,0.03498631,0.96501369
YBR091C,7.49107,1,0,0,21,115,3172,76,0.94355792,0.154411765,0.216494845,0.03498631,0.96501369
YOR021C,7.46072,0,1,0,21,116,3171,76,0.943262411,0.153284672,0.216494845,0.035290538,0.964709462
YLR262C,7.4251,0,1,0,21,117,3170,76,0.942966903,0.152173913,0.216494845,0.035594767,0.964405233
YKL067W,7.40774,0,1,0,21,118,3169,76,0.942671395,0.151079137,0.216494845,0.035898996,0.964101004
YPR073C,7.38981,0,1,0,21,119,3168,76,0.942375887,0.15,0.216494845,0.036203225,0.963796775
YNL067W,7.38006,0,1,0,21,120,3167,76,0.942080378,0.14893617,0.216494845,0.036507454,0.963492546
YER019C-A,7.37283,0,1,0,21,121,3166,76,0.94178487,0.147887324,0.216494845,0.036811682,0.963188318
YBR162W-A,7.35895,0,1,0,21,122,3165,76,0.941489362,0.146853147,0.216494845,0.037115911,0.962884089
YOR159C,7.32262,0,1,0,21,123,3164,76,0.941193853,0.145833333,0.216494845,0.03742014,0.96257986
YJR076C,7.24776,0,1,0,21,124,3163,76,0.940898345,0.144827586,0.216494845,0.037724369,0.962275631
YLR367W,7.23489,0,1,0,21,125,3162,76,0.940602837,0.143835616,0.216494845,0.038028598,0.961971402
YLR388W,7.22252,0,1,0,21,126,3161,76,0.940307329,0.142857143,0.216494845,0.038332826,0.961667174
YMR072W,7.22183,1,0,0,22,126,3161,75,0.940602837,0.148648649,0.226804124,0.038332826,0.961667174
YDR268W,7.21822,0,1,0,22,127,3160,75,0.940307329,0.147651007,0.226804124,0.038637055,0.961362945
YNR033W,7.20774,0,1,0,22,128,3159,75,0.94001182,0.146666667,0.226804124,0.038941284,0.961058716
YPR011C,7.20136,0,1,0,22,129,3158,75,0.939716312,0.145695364,0.226804124,0.039245513,0.960754487
YOR125C,7.19801,0,1,0,22,130,3157,75,0.939420804,0.144736842,0.226804124,0.039549741,0.960450259
YLR254C,7.19301,0,1,0,22,131,3156,75,0.939125296,0.14379085,0.226804124,0.03985397,0.96014603
YDR308C,7.19107,0,1,0,22,132,3155,75,0.938829787,0.142857143,0.226804124,0.040158199,0.959841801
YHR051W,7.14147,0,1,0,22,133,3154,75,0.938534279,0.141935484,0.226804124,0.040462428,0.959537572
YJR094W-A,7.13508,0,1,0,22,134,3153,75,0.938238771,0.141025641,0.226804124,0.040766657,0.959233343
YOR096W,7.13334,0,1,0,22,135,3152,75,0.937943262,0.140127389,0.226804124,0.041070885,0.958929115
YER094C,7.11609,0,1,0,22,136,3151,75,0.937647754,0.139240506,0.226804124,0.041375114,0.958624886
YJL190C,7.11595,0,1,0,22,137,3150,75,0.937352246,0.13836478,0.226804124,0.041679343,0.958320657
YPR028W,7.09895,0,1,0,22,138,3149,75,0.937056738,0.1375,0.226804124,0.041983572,0.958016428
YOR211C,7.0701,1,0,0,23,138,3149,74,0.937352246,0.142857143,0.237113402,0.041983572,0.958016428
YPR082C,7.03515,0,1,0,23,139,3148,74,0.937056738,0.141975309,0.237113402,0.0422878,0.9577122
YHR012W,6.98921,0,1,0,23,140,3147,74,0.936761229,0.141104294,0.237113402,0.042592029,0.957407971
YML024W,6.98863,0,1,0,23,141,3146,74,0.936465721,0.140243902,0.237113402,0.042896258,0.957103742
YLR154C,6.98231,0,1,0,23,142,3145,74,0.936170213,0.139393939,0.237113402,0.043200487,0.956799513
YBL041W,6.9548,0,1,0,23,143,3144,74,0.935874704,0.138554217,0.237113402,0.043504716,0.956495284
YNL244C,6.94904,0,1,0,23,144,3143,74,0.935579196,0.137724551,0.237113402,0.043808944,0.956191056
YGR030C,6.94876,0,1,0,23,145,3142,74,0.935283688,0.136904762,0.237113402,0.044113173,0.955886827
YHR060W,6.94777,0,1,0,23,146,3141,74,0.93498818,0.136094675,0.237113402,0.044417402,0.955582598
YIL051C,6.93403,1,0,0,24,146,3141,73,0.935283688,0.141176471,0.24742268,0.044417402,0.955582598
YBL036C,6.93296,0,1,0,24,147,3140,73,0.93498818,0.140350877,0.24742268,0.044721631,0.955278369
YBR029C,6.89856,0,1,0,24,148,3139,73,0.934692671,0.139534884,0.24742268,0.045025859,0.954974141
YDR397C,6.88868,0,1,0,24,149,3138,73,0.934397163,0.138728324,0.24742268,0.045330088,0.954669912
YHR001W-A,6.88523,0,1,0,24,150,3137,73,0.934101655,0.137931034,0.24742268,0.045634317,0.954365683
YPR069C,6.87562,0,1,0,24,151,3136,73,0.933806147,0.137142857,0.24742268,0.045938546,0.954061454
YDR002W,6.87049,0,1,0,24,152,3135,73,0.933510638,0.136363636,0.24742268,0.046242775,0.953757225
YGR024C,6.86345,0,1,0,24,153,3134,73,0.93321513,0.13559322,0.24742268,0.046547003,0.953452997
YJR118C,6.86264,1,0,0,25,153,3134,72,0.933510638,0.140449438,0.257731959,0.046547003,0.953452997
YJR057W,6.85742,0,1,0,25,154,3133,72,0.93321513,0.139664804,0.257731959,0.046851232,0.953148768
YER007C-A,6.85037,0,1,0,25,155,3132,72,0.932919622,0.138888889,0.257731959,0.047155461,0.952844539
YAL007C,6.83544,0,1,0,25,156,3131,72,0.932624113,0.138121547,0.257731959,0.04745969,0.95254031
YDR071C,6.82858,0,1,0,25,157,3130,72,0.932328605,0.137362637,0.257731959,0.047763918,0.952236082
YPL211W,6.82137,0,1,0,25,158,3129,72,0.932033097,0.136612022,0.257731959,0.048068147,0.951931853
YDR373W,6.81528,0,1,0,25,159,3128,72,0.931737589,0.135869565,0.257731959,0.048372376,0.951627624
YGL187C,6.80477,0,1,0,25,160,3127,72,0.93144208,0.135135135,0.257731959,0.048676605,0.951323395
YMR256C,6.79629,0,1,0,25,161,3126,72,0.931146572,0.134408602,0.257731959,0.048980834,0.951019166
YPR124W,6.77011,0,1,0,25,162,3125,72,0.930851064,0.13368984,0.257731959,0.049285062,0.950714938
YDR447C,6.75553,0,1,0,25,163,3124,72,0.930555556,0.132978723,0.257731959,0.049589291,0.950410709
YIL052C,6.75024,0,1,0,25,164,3123,72,0.930260047,0.132275132,0.257731959,0.04989352,0.95010648
YKR007W,6.73449,0,1,0,25,165,3122,72,0.929964539,0.131578947,0.257731959,0.050197749,0.949802251
YBR154C,6.73038,0,1,0,25,166,3121,72,0.929669031,0.130890052,0.257731959,0.050501977,0.949498023
YDR418W,6.72078,0,1,0,25,167,3120,72,0.929373522,0.130208333,0.257731959,0.050806206,0.949193794
YOR103C,6.71964,0,1,0,25,168,3119,72,0.929078014,0.129533679,0.257731959,0.051110435,0.948889565
YJL177W,6.6856,0,1,0,25,169,3118,72,0.928782506,0.128865979,0.257731959,0.051414664,0.948585336
YPL218W,6.66447,0,1,0,25,170,3117,72,0.928486998,0.128205128,0.257731959,0.051718893,0.948281107
YMR194W,6.64243,0,1,0,25,171,3116,72,0.928191489,0.12755102,0.257731959,0.052023121,0.947976879
YLR292C,6.63411,0,1,0,25,172,3115,72,0.927895981,0.126903553,0.257731959,0.05232735,0.94767265
YDR515W,6.59475,0,1,0,25,173,3114,72,0.927600473,0.126262626,0.257731959,0.052631579,0.947368421
YGR085C,6.56086,0,1,0,25,174,3113,72,0.927304965,0.125628141,0.257731959,0.052935808,0.947064192
YNL302C,6.53916,0,1,0,25,175,3112,72,0.927009456,0.125,0.257731959,0.053240037,0.946759963
YLR167W,6.52964,0,1,0,25,176,3111,72,0.926713948,0.124378109,0.257731959,0.053544265,0.946455735
YDR302W,6.5229,0,1,0,25,177,3110,72,0.92641844,0.123762376,0.257731959,0.053848494,0.946151506
YJL136C,6.49891,0,1,0,25,178,3109,72,0.926122931,0.123152709,0.257731959,0.054152723,0.945847277
YLR066W,6.49515,0,1,0,25,179,3108,72,0.925827423,0.12254902,0.257731959,0.054456952,0.945543048
YOR327C,6.49391,0,1,0,25,180,3107,72,0.925531915,0.12195122,0.257731959,0.05476118,0.94523882
YBR179C,6.4873,1,0,0,26,180,3107,71,0.925827423,0.126213592,0.268041237,0.05476118,0.94523882
YOL120C,6.47438,0,1,0,26,181,3106,71,0.925531915,0.125603865,0.268041237,0.055065409,0.944934591
YDL045C,6.4702,0,1,0,26,182,3105,71,0.925236407,0.125,0.268041237,0.055369638,0.944630362
YER131W,6.46215,0,1,0,26,183,3104,71,0.924940898,0.124401914,0.268041237,0.055673867,0.944326133
YAL033W,6.42792,0,1,0,26,184,3103,71,0.92464539,0.123809524,0.268041237,0.055978096,0.944021904
YDR196C,6.42355,0,1,0,26,185,3102,71,0.924349882,0.123222749,0.268041237,0.056282324,0.943717676
YGL002W,6.42201,0,1,0,26,186,3101,71,0.924054374,0.122641509,0.268041237,0.056586553,0.943413447
YOR253W,6.40962,0,1,0,26,187,3100,71,0.923758865,0.122065728,0.268041237,0.056890782,0.943109218
YBL021C,6.39685,0,1,0,26,188,3099,71,0.923463357,0.121495327,0.268041237,0.057195011,0.942804989
YDR471W,6.371,0,1,0,26,189,3098,71,0.923167849,0.120930233,0.268041237,0.057499239,0.942500761
YML026C,6.3443,0,1,0,26,190,3097,71,0.92287234,0.12037037,0.268041237,0.057803468,0.942196532
YOL102C,6.33605,0,1,0,26,191,3096,71,0.922576832,0.119815668,0.268041237,0.058107697,0.941892303
YCR082W,6.33189,0,1,0,26,192,3095,71,0.922281324,0.119266055,0.268041237,0.058411926,0.941588074
YDR424C,6.33151,0,1,0,26,193,3094,71,0.921985816,0.118721461,0.268041237,0.058716155,0.941283845
YMR242C,6.33127,0,1,0,26,194,3093,71,0.921690307,0.118181818,0.268041237,0.059020383,0.940979617
YLR344W,6.32969,0,1,0,26,195,3092,71,0.921394799,0.117647059,0.268041237,0.059324612,0.940675388
YDR047W,6.31165,0,1,0,26,196,3091,71,0.921099291,0.117117117,0.268041237,0.059628841,0.940371159
YGL031C,6.28874,0,1,0,26,197,3090,71,0.920803783,0.116591928,0.268041237,0.05993307,0.94006693
YJR058C,6.2807,0,1,0,26,198,3089,71,0.920508274,0.116071429,0.268041237,0.060237298,0.939762702
YIR004W,6.27964,0,1,0,26,199,3088,71,0.920212766,0.115555556,0.268041237,0.060541527,0.939458473
YHR143W-A,6.27549,0,1,0,26,200,3087,71,0.919917258,0.115044248,0.268041237,0.060845756,0.939154244
YGL189C,6.25286,0,1,0,26,201,3086,71,0.919621749,0.114537445,0.268041237,0.061149985,0.938850015
YGR112W,6.24568,0,1,0,26,202,3085,71,0.919326241,0.114035088,0.268041237,0.061454214,0.938545786
YDL184C,6.24565,0,1,0,26,203,3084,71,0.919030733,0.113537118,0.268041237,0.061758442,0.938241558
YKL156W,6.23455,0,1,0,26,204,3083,71,0.918735225,0.113043478,0.268041237,0.062062671,0.937937329
YPR052C,6.21307,0,1,0,26,205,3082,71,0.918439716,0.112554113,0.268041237,0.0623669,0.9376331
YLR147C,6.20371,0,1,0,26,206,3081,71,0.918144208,0.112068966,0.268041237,0.062671129,0.937328871
YDL219W,6.20095,0,1,0,26,207,3080,71,0.9178487,0.111587983,0.268041237,0.062975357,0.937024643
YER174C,6.19396,0,1,0,26,208,3079,71,0.917553191,0.111111111,0.268041237,0.063279586,0.936720414
YBR181C,6.13131,0,1,0,26,209,3078,71,0.917257683,0.110638298,0.268041237,0.063583815,0.936416185
