Gene,Rank,Positive,Negative,Agnositc,True Positive,False Positive,True Negative,False Negative,Accuracy,Precision,Recall,False Positive Rate,Selectivity
YDR047W,158,0,1,0,9,29,4034,96,0.970009597,0.236842105,0.085714286,0.007137583,0.992862417
YJR051W,159,0,1,0,9,30,4033,96,0.969769674,0.230769231,0.085714286,0.007383707,0.992616293
YNL084C,160,0,1,0,9,31,4032,96,0.96952975,0.225,0.085714286,0.00762983,0.99237017
YOR259C,162,0,1,0,9,32,4031,96,0.969289827,0.219512195,0.085714286,0.007875954,0.992124046
YPR024W,163,1,0,0,10,32,4031,95,0.96952975,0.238095238,0.095238095,0.007875954,0.992124046
YBR221C,164,0,1,0,10,33,4030,95,0.969289827,0.23255814,0.095238095,0.008122077,0.991877923
YOR266W,165,1,0,0,11,33,4030,94,0.96952975,0.25,0.104761905,0.008122077,0.991877923
YJL063C,171,1,0,0,12,33,4030,93,0.969769674,0.266666667,0.114285714,0.008122077,0.991877923
YGR199W,172,0,1,0,12,34,4029,93,0.96952975,0.260869565,0.114285714,0.008368201,0.991631799
YMR152W,173,0,1,0,12,35,4028,93,0.969289827,0.255319149,0.114285714,0.008614324,0.991385676
YGR147C,175,0,1,0,12,36,4027,93,0.969049904,0.25,0.114285714,0.008860448,0.991139552
YOL088C,177,0,1,0,12,37,4026,93,0.968809981,0.244897959,0.114285714,0.009106571,0.990893429
YPL040C,181,0,1,0,12,38,4025,93,0.968570058,0.24,0.114285714,0.009352695,0.990647305
YMR029C,183,0,1,0,12,39,4024,93,0.968330134,0.235294118,0.114285714,0.009598819,0.990401181
YJR144W,184,1,0,0,13,39,4024,92,0.968570058,0.25,0.123809524,0.009598819,0.990401181
YPL270W,186,0,1,0,13,40,4023,92,0.968330134,0.245283019,0.123809524,0.009844942,0.990155058
YNL048W,188,0,1,0,13,41,4022,92,0.968090211,0.240740741,0.123809524,0.010091066,0.989908934
YOR165W,189,0,1,0,13,42,4021,92,0.967850288,0.236363636,0.123809524,0.010337189,0.989662811
YKL141W,191,0,1,0,13,43,4020,92,0.967610365,0.232142857,0.123809524,0.010583313,0.989416687
YNR041C,192,0,1,0,13,44,4019,92,0.967370441,0.228070175,0.123809524,0.010829436,0.989170564
YOR201C,194,0,0,1,13,44,4019,92,0.967370441,0.228070175,0.123809524,0.010829436,0.989170564
YLR370C,195,1,0,0,14,44,4019,91,0.967610365,0.24137931,0.133333333,0.010829436,0.989170564
YCR024C,196,0,1,0,14,45,4018,91,0.967370441,0.237288136,0.133333333,0.01107556,0.98892444
YPR047W,197,0,0,1,14,45,4018,91,0.967370441,0.237288136,0.133333333,0.01107556,0.98892444
YPR108W,198,0,1,0,14,46,4017,91,0.967130518,0.233333333,0.133333333,0.011321683,0.988678317
YDL120W,200,0,1,0,14,47,4016,91,0.966890595,0.229508197,0.133333333,0.011567807,0.988432193
YKR001C,203,0,1,0,14,48,4015,91,0.966650672,0.225806452,0.133333333,0.011813931,0.988186069
YDR512C,210,0,1,0,14,49,4014,91,0.966410749,0.222222222,0.133333333,0.012060054,0.987939946
YCR044C,212,0,1,0,14,50,4013,91,0.966170825,0.21875,0.133333333,0.012306178,0.987693822
YMR054W,213,0,1,0,14,51,4012,91,0.965930902,0.215384615,0.133333333,0.012552301,0.987447699
YEL015W,214,0,1,0,14,52,4011,91,0.965690979,0.212121212,0.133333333,0.012798425,0.987201575
YGR101W,215,1,0,0,15,52,4011,90,0.965930902,0.223880597,0.142857143,0.012798425,0.987201575
YJR013W,217,0,1,0,15,53,4010,90,0.965690979,0.220588235,0.142857143,0.013044548,0.986955452
YDR084C,218,0,1,0,15,54,4009,90,0.965451056,0.217391304,0.142857143,0.013290672,0.986709328
YGL252C,219,0,1,0,15,55,4008,90,0.965211132,0.214285714,0.142857143,0.013536795,0.986463205
YHR001W,222,0,1,0,15,56,4007,90,0.964971209,0.211267606,0.142857143,0.013782919,0.986217081
YNL037C,224,0,1,0,15,57,4006,90,0.964731286,0.208333333,0.142857143,0.014029043,0.985970957
YBL041W,226,0,1,0,15,58,4005,90,0.964491363,0.205479452,0.142857143,0.014275166,0.985724834
YLL001W,227,1,0,0,16,58,4005,89,0.964731286,0.216216216,0.152380952,0.014275166,0.985724834
YOL049W,228,0,1,0,16,59,4004,89,0.964491363,0.213333333,0.152380952,0.01452129,0.98547871
YJL054W,233,1,0,0,17,59,4004,88,0.964731286,0.223684211,0.161904762,0.01452129,0.98547871
YPR073C,235,0,1,0,17,60,4003,88,0.964491363,0.220779221,0.161904762,0.014767413,0.985232587
YGR193C,236,0,1,0,17,61,4002,88,0.96425144,0.217948718,0.161904762,0.015013537,0.984986463
YPL176C,237,0,1,0,17,62,4001,88,0.964011516,0.215189873,0.161904762,0.01525966,0.98474034
YPL091W,241,0,1,0,17,63,4000,88,0.963771593,0.2125,0.161904762,0.015505784,0.984494216
YNL167C,243,0,1,0,17,64,3999,88,0.96353167,0.209876543,0.161904762,0.015751907,0.984248093
YNL257C,244,0,1,0,17,65,3998,88,0.963291747,0.207317073,0.161904762,0.015998031,0.984001969
YPR023C,245,0,1,0,17,66,3997,88,0.963051823,0.204819277,0.161904762,0.016244155,0.983755845
YGR163W,250,0,1,0,17,67,3996,88,0.9628119,0.202380952,0.161904762,0.016490278,0.983509722
YKL145W,252,0,1,0,17,68,3995,88,0.962571977,0.2,0.161904762,0.016736402,0.983263598
YOR356W,253,0,1,0,17,69,3994,88,0.962332054,0.197674419,0.161904762,0.016982525,0.983017475
YMR026C,254,0,1,0,17,70,3993,88,0.962092131,0.195402299,0.161904762,0.017228649,0.982771351
YBL058W,255,0,1,0,17,71,3992,88,0.961852207,0.193181818,0.161904762,0.017474772,0.982525228
YNL307C,256,0,1,0,17,72,3991,88,0.961612284,0.191011236,0.161904762,0.017720896,0.982279104
YML078W,257,0,1,0,17,73,3990,88,0.961372361,0.188888889,0.161904762,0.017967019,0.982032981
YGL143C,258,0,0,1,17,73,3990,88,0.961372361,0.188888889,0.161904762,0.017967019,0.982032981
YNL154C,260,0,1,0,17,74,3989,88,0.961132438,0.186813187,0.161904762,0.018213143,0.981786857
YIL010W,261,0,1,0,17,75,3988,88,0.960892514,0.184782609,0.161904762,0.018459267,0.981540733
YOR367W,262,0,1,0,17,76,3987,88,0.960652591,0.182795699,0.161904762,0.01870539,0.98129461
YKL067W,264,0,1,0,17,77,3986,88,0.960412668,0.180851064,0.161904762,0.018951514,0.981048486
YJL081C,266,0,1,0,17,78,3985,88,0.960172745,0.178947368,0.161904762,0.019197637,0.980802363
YKL057C,267,0,1,0,17,79,3984,88,0.959932821,0.177083333,0.161904762,0.019443761,0.980556239
YDL018C,268,0,1,0,17,80,3983,88,0.959692898,0.175257732,0.161904762,0.019689884,0.980310116
YDL103C,271,0,1,0,17,81,3982,88,0.959452975,0.173469388,0.161904762,0.019936008,0.980063992
YMR210W,272,0,1,0,17,82,3981,88,0.959213052,0.171717172,0.161904762,0.020182131,0.979817869
YHR051W,273,0,1,0,17,83,3980,88,0.958973129,0.17,0.161904762,0.020428255,0.979571745
YPR029C,274,0,1,0,17,84,3979,88,0.958733205,0.168316832,0.161904762,0.020674379,0.979325621
YDR394W,275,0,1,0,17,85,3978,88,0.958493282,0.166666667,0.161904762,0.020920502,0.979079498
YGL100W,277,0,1,0,17,86,3977,88,0.958253359,0.165048544,0.161904762,0.021166626,0.978833374
YDL007W,280,0,1,0,17,87,3976,88,0.958013436,0.163461538,0.161904762,0.021412749,0.978587251
YKR087C,282,0,1,0,17,88,3975,88,0.957773512,0.161904762,0.161904762,0.021658873,0.978341127
YML057W,283,0,1,0,17,89,3974,88,0.957533589,0.160377358,0.161904762,0.021904996,0.978095004
YPL096W,284,0,1,0,17,90,3973,88,0.957293666,0.158878505,0.161904762,0.02215112,0.97784888
YBL045C,286,0,1,0,17,91,3972,88,0.957053743,0.157407407,0.161904762,0.022397243,0.977602757
YOL023W,291,0,0,1,17,91,3972,88,0.957053743,0.157407407,0.161904762,0.022397243,0.977602757
YJR118C,292,1,0,0,18,91,3972,87,0.957293666,0.165137615,0.171428571,0.022397243,0.977602757
YLR028C,295,0,1,0,18,92,3971,87,0.957053743,0.163636364,0.171428571,0.022643367,0.977356633
YNR045W,297,0,0,1,18,92,3971,87,0.957053743,0.163636364,0.171428571,0.022643367,0.977356633
YGR111W,299,0,1,0,18,93,3970,87,0.95681382,0.162162162,0.171428571,0.022889491,0.977110509
YGR007W,300,0,1,0,18,94,3969,87,0.956573896,0.160714286,0.171428571,0.023135614,0.976864386
YDL165W,301,0,1,0,18,95,3968,87,0.956333973,0.159292035,0.171428571,0.023381738,0.976618262
YGL084C,302,0,1,0,18,96,3967,87,0.95609405,0.157894737,0.171428571,0.023627861,0.976372139
YPL214C,303,0,1,0,18,97,3966,87,0.955854127,0.156521739,0.171428571,0.023873985,0.976126015
YGL219C,304,1,0,0,19,97,3966,86,0.95609405,0.163793103,0.180952381,0.023873985,0.976126015
YML069W,305,0,1,0,19,98,3965,86,0.955854127,0.162393162,0.180952381,0.024120108,0.975879892
YMR001C,309,0,1,0,19,99,3964,86,0.955614203,0.161016949,0.180952381,0.024366232,0.975633768
YNL267W,310,0,1,0,19,100,3963,86,0.95537428,0.159663866,0.180952381,0.024612355,0.975387645
YHR135C,311,0,1,0,19,101,3962,86,0.955134357,0.158333333,0.180952381,0.024858479,0.975141521
YMR237W,312,0,1,0,19,102,3961,86,0.954894434,0.157024793,0.180952381,0.025104603,0.974895397
YGR112W,315,0,1,0,19,103,3960,86,0.954654511,0.155737705,0.180952381,0.025350726,0.974649274
YBR120C,316,0,0,1,19,103,3960,86,0.954654511,0.155737705,0.180952381,0.025350726,0.974649274
YER027C,318,0,1,0,19,104,3959,86,0.954414587,0.154471545,0.180952381,0.02559685,0.97440315
YJL124C,319,0,1,0,19,105,3958,86,0.954174664,0.153225806,0.180952381,0.025842973,0.974157027
YNL263C,321,0,1,0,19,106,3957,86,0.953934741,0.152,0.180952381,0.026089097,0.973910903
YPR082C,322,0,1,0,19,107,3956,86,0.953694818,0.150793651,0.180952381,0.02633522,0.97366478
YBL057C,324,0,0,1,19,107,3956,86,0.953694818,0.150793651,0.180952381,0.02633522,0.97366478
YGL095C,325,0,1,0,19,108,3955,86,0.953454894,0.149606299,0.180952381,0.026581344,0.973418656
YNL243W,326,0,1,0,19,109,3954,86,0.953214971,0.1484375,0.180952381,0.026827467,0.973172533
YFR052W,328,0,1,0,19,110,3953,86,0.952975048,0.147286822,0.180952381,0.027073591,0.972926409
YMR099C,329,0,1,0,19,111,3952,86,0.952735125,0.146153846,0.180952381,0.027319714,0.972680286
YFL018C,330,0,1,0,19,112,3951,86,0.952495202,0.145038168,0.180952381,0.027565838,0.972434162
YJR102C,331,0,1,0,19,113,3950,86,0.952255278,0.143939394,0.180952381,0.027811962,0.972188038
YMR071C,333,0,1,0,19,114,3949,86,0.952015355,0.142857143,0.180952381,0.028058085,0.971941915
YMR092C,334,0,1,0,19,115,3948,86,0.951775432,0.141791045,0.180952381,0.028304209,0.971695791
YJL102W,335,0,1,0,19,116,3947,86,0.951535509,0.140740741,0.180952381,0.028550332,0.971449668
YKR007W,336,0,1,0,19,117,3946,86,0.951295585,0.139705882,0.180952381,0.028796456,0.971203544
YOR117W,338,0,1,0,19,118,3945,86,0.951055662,0.138686131,0.180952381,0.029042579,0.970957421
YBR044C,339,0,1,0,19,119,3944,86,0.950815739,0.137681159,0.180952381,0.029288703,0.970711297
YNL312W,340,0,1,0,19,120,3943,86,0.950575816,0.136690647,0.180952381,0.029534826,0.970465174
YKL019W,345,0,1,0,19,121,3942,86,0.950335893,0.135714286,0.180952381,0.02978095,0.97021905
YNL329C,346,0,1,0,19,122,3941,86,0.950095969,0.134751773,0.180952381,0.030027074,0.969972926
YHR121W,348,0,1,0,19,123,3940,86,0.949856046,0.133802817,0.180952381,0.030273197,0.969726803
YJR057W,351,0,1,0,19,124,3939,86,0.949616123,0.132867133,0.180952381,0.030519321,0.969480679
YPR107C,353,0,1,0,19,125,3938,86,0.9493762,0.131944444,0.180952381,0.030765444,0.969234556
YML092C,354,0,1,0,19,126,3937,86,0.949136276,0.131034483,0.180952381,0.031011568,0.968988432
YLR066W,357,0,1,0,19,127,3936,86,0.948896353,0.130136986,0.180952381,0.031257691,0.968742309
YLR390W,358,0,1,0,19,128,3935,86,0.94865643,0.129251701,0.180952381,0.031503815,0.968496185
YOR157C,360,0,1,0,19,129,3934,86,0.948416507,0.128378378,0.180952381,0.031749938,0.968250062
YMR060C,361,1,0,0,20,129,3934,85,0.94865643,0.134228188,0.19047619,0.031749938,0.968250062
YNL323W,363,0,1,0,20,130,3933,85,0.948416507,0.133333333,0.19047619,0.031996062,0.968003938
YDL008W,364,0,1,0,20,131,3932,85,0.948176583,0.132450331,0.19047619,0.032242186,0.967757814
YJR099W,365,0,1,0,20,132,3931,85,0.94793666,0.131578947,0.19047619,0.032488309,0.967511691
YNL213C,366,1,0,0,21,132,3931,84,0.948176583,0.137254902,0.2,0.032488309,0.967511691
YFL005W,367,0,1,0,21,133,3930,84,0.94793666,0.136363636,0.2,0.032734433,0.967265567
YFR025C,370,0,1,0,21,134,3929,84,0.947696737,0.135483871,0.2,0.032980556,0.967019444
YOR017W,371,0,1,0,21,135,3928,84,0.947456814,0.134615385,0.2,0.03322668,0.96677332
YNR033W,372,0,1,0,21,136,3927,84,0.947216891,0.133757962,0.2,0.033472803,0.966527197
YPR191W,373,0,1,0,21,137,3926,84,0.946976967,0.132911392,0.2,0.033718927,0.966281073
YNL091W,374,0,1,0,21,138,3925,84,0.946737044,0.132075472,0.2,0.03396505,0.96603495
YOR124C,375,0,1,0,21,139,3924,84,0.946497121,0.13125,0.2,0.034211174,0.965788826
YHR013C,376,0,1,0,21,140,3923,84,0.946257198,0.130434783,0.2,0.034457298,0.965542702
YNL287W,380,0,1,0,21,141,3922,84,0.946017274,0.12962963,0.2,0.034703421,0.965296579
YER141W,381,0,1,0,21,142,3921,84,0.945777351,0.128834356,0.2,0.034949545,0.965050455
YER026C,382,0,1,0,21,143,3920,84,0.945537428,0.12804878,0.2,0.035195668,0.964804332
YIL134W,384,0,1,0,21,144,3919,84,0.945297505,0.127272727,0.2,0.035441792,0.964558208
YKL046C,386,0,1,0,21,145,3918,84,0.945057582,0.126506024,0.2,0.035687915,0.964312085
YNR035C,387,1,0,0,22,145,3918,83,0.945297505,0.131736527,0.20952381,0.035687915,0.964312085
YDR284C,388,0,1,0,22,146,3917,83,0.945057582,0.130952381,0.20952381,0.035934039,0.964065961
YBL102W,389,0,1,0,22,147,3916,83,0.944817658,0.130177515,0.20952381,0.036180162,0.963819838
YMR119W,390,0,1,0,22,148,3915,83,0.944577735,0.129411765,0.20952381,0.036426286,0.963573714
YLR209C,391,0,1,0,22,149,3914,83,0.944337812,0.128654971,0.20952381,0.03667241,0.96332759
YOR065W,392,0,1,0,22,150,3913,83,0.944097889,0.127906977,0.20952381,0.036918533,0.963081467
YDL188C,393,0,1,0,22,151,3912,83,0.943857965,0.12716763,0.20952381,0.037164657,0.962835343
YGR261C,394,0,1,0,22,152,3911,83,0.943618042,0.126436782,0.20952381,0.03741078,0.96258922
YOR014W,397,0,1,0,22,153,3910,83,0.943378119,0.125714286,0.20952381,0.037656904,0.962343096
YGR222W,398,0,1,0,22,154,3909,83,0.943138196,0.125,0.20952381,0.037903027,0.962096973
YDR265W,399,0,1,0,22,155,3908,83,0.942898273,0.124293785,0.20952381,0.038149151,0.961850849
YBL050W,400,0,1,0,22,156,3907,83,0.942658349,0.123595506,0.20952381,0.038395274,0.961604726
YER136W,401,0,1,0,22,157,3906,83,0.942418426,0.122905028,0.20952381,0.038641398,0.961358602
YGL213C,402,0,1,0,22,158,3905,83,0.942178503,0.122222222,0.20952381,0.038887522,0.961112478
YOR250C,403,0,1,0,22,159,3904,83,0.94193858,0.121546961,0.20952381,0.039133645,0.960866355
YNL317W,404,0,1,0,22,160,3903,83,0.941698656,0.120879121,0.20952381,0.039379769,0.960620231
YLR304C,405,1,0,0,23,160,3903,82,0.94193858,0.12568306,0.219047619,0.039379769,0.960620231
YLR277C,406,0,1,0,23,161,3902,82,0.941698656,0.125,0.219047619,0.039625892,0.960374108
YNL003C,408,0,1,0,23,162,3901,82,0.941458733,0.124324324,0.219047619,0.039872016,0.960127984
YDR100W,409,0,1,0,23,163,3900,82,0.94121881,0.123655914,0.219047619,0.040118139,0.959881861
YLR455W,410,0,1,0,23,164,3899,82,0.940978887,0.122994652,0.219047619,0.040364263,0.959635737
YMR073C,413,0,1,0,23,165,3898,82,0.940738964,0.122340426,0.219047619,0.040610386,0.959389614
YER143W,415,0,1,0,23,166,3897,82,0.94049904,0.121693122,0.219047619,0.04085651,0.95914349
YDR177W,416,0,1,0,23,167,3896,82,0.940259117,0.121052632,0.219047619,0.041102634,0.958897366
YNL083W,417,0,1,0,23,168,3895,82,0.940019194,0.120418848,0.219047619,0.041348757,0.958651243
YGL011C,418,0,1,0,23,169,3894,82,0.939779271,0.119791667,0.219047619,0.041594881,0.958405119
YDR427W,419,0,1,0,23,170,3893,82,0.939539347,0.119170984,0.219047619,0.041841004,0.958158996
YMR314W,420,0,1,0,23,171,3892,82,0.939299424,0.118556701,0.219047619,0.042087128,0.957912872
YPL206C,421,0,1,0,23,172,3891,82,0.939059501,0.117948718,0.219047619,0.042333251,0.957666749
YNL169C,422,0,1,0,23,173,3890,82,0.938819578,0.117346939,0.219047619,0.042579375,0.957420625
YBL056W,423,0,1,0,23,174,3889,82,0.938579655,0.116751269,0.219047619,0.042825498,0.957174502
YKL112W,424,0,1,0,23,175,3888,82,0.938339731,0.116161616,0.219047619,0.043071622,0.956928378
YPL029W,425,0,1,0,23,176,3887,82,0.938099808,0.115577889,0.219047619,0.043317746,0.956682254
YOL027C,426,1,0,0,24,176,3887,81,0.938339731,0.12,0.228571429,0.043317746,0.956682254
YMR023C,427,0,0,1,24,176,3887,81,0.938339731,0.12,0.228571429,0.043317746,0.956682254
YJL062W,428,0,1,0,24,177,3886,81,0.938099808,0.119402985,0.228571429,0.043563869,0.956436131
YBR110W,429,0,1,0,24,178,3885,81,0.937859885,0.118811881,0.228571429,0.043809993,0.956190007
YMR004W,431,0,1,0,24,179,3884,81,0.937619962,0.118226601,0.228571429,0.044056116,0.955943884
YNL052W,432,0,1,0,24,180,3883,81,0.937380038,0.117647059,0.228571429,0.04430224,0.95569776
YOR112W,433,0,1,0,24,181,3882,81,0.937140115,0.117073171,0.228571429,0.044548363,0.955451637
YNL189W,434,0,1,0,24,182,3881,81,0.936900192,0.116504854,0.228571429,0.044794487,0.955205513
YLR248W,436,0,1,0,24,183,3880,81,0.936660269,0.115942029,0.228571429,0.04504061,0.95495939
YJR044C,437,0,1,0,24,184,3879,81,0.936420345,0.115384615,0.228571429,0.045286734,0.954713266
YKL085W,438,0,1,0,24,185,3878,81,0.936180422,0.114832536,0.228571429,0.045532857,0.954467143
YKL007W,439,0,1,0,24,186,3877,81,0.935940499,0.114285714,0.228571429,0.045778981,0.954221019
YLR440C,440,0,1,0,24,187,3876,81,0.935700576,0.113744076,0.228571429,0.046025105,0.953974895
YJL053W,442,0,1,0,24,188,3875,81,0.935460653,0.113207547,0.228571429,0.046271228,0.953728772
YGR181W,443,1,0,0,25,188,3875,80,0.935700576,0.117370892,0.238095238,0.046271228,0.953728772
YER063W,445,0,1,0,25,189,3874,80,0.935460653,0.11682243,0.238095238,0.046517352,0.953482648
YGL172W,446,0,1,0,25,190,3873,80,0.935220729,0.11627907,0.238095238,0.046763475,0.953236525
YHR107C,447,0,1,0,25,191,3872,80,0.934980806,0.115740741,0.238095238,0.047009599,0.952990401
YBR080C,449,0,1,0,25,192,3871,80,0.934740883,0.115207373,0.238095238,0.047255722,0.952744278
YGL187C,450,0,1,0,25,193,3870,80,0.93450096,0.114678899,0.238095238,0.047501846,0.952498154
YDR511W,452,0,1,0,25,194,3869,80,0.934261036,0.114155251,0.238095238,0.047747969,0.952252031
YDL226C,453,0,1,0,25,195,3868,80,0.934021113,0.113636364,0.238095238,0.047994093,0.952005907
YML048W,454,0,1,0,25,196,3867,80,0.93378119,0.113122172,0.238095238,0.048240217,0.951759783
YOR163W,455,0,1,0,25,197,3866,80,0.933541267,0.112612613,0.238095238,0.04848634,0.95151366
YGR255C,456,0,1,0,25,198,3865,80,0.933301344,0.112107623,0.238095238,0.048732464,0.951267536
YLR220W,457,0,1,0,25,199,3864,80,0.93306142,0.111607143,0.238095238,0.048978587,0.951021413
YKR002W,458,0,1,0,25,200,3863,80,0.932821497,0.111111111,0.238095238,0.049224711,0.950775289
YCR036W,459,0,1,0,25,201,3862,80,0.932581574,0.110619469,0.238095238,0.049470834,0.950529166
YBR173C,460,0,1,0,25,202,3861,80,0.932341651,0.110132159,0.238095238,0.049716958,0.950283042
YOR362C,461,0,1,0,25,203,3860,80,0.932101727,0.109649123,0.238095238,0.049963081,0.950036919
YHR037W,462,0,1,0,25,204,3859,80,0.931861804,0.109170306,0.238095238,0.050209205,0.949790795
YDR376W,466,0,1,0,25,205,3858,80,0.931621881,0.108695652,0.238095238,0.050455329,0.949544671
YKL025C,467,0,1,0,25,206,3857,80,0.931381958,0.108225108,0.238095238,0.050701452,0.949298548
YIL005W,468,0,1,0,25,207,3856,80,0.931142035,0.107758621,0.238095238,0.050947576,0.949052424
YNL045W,470,0,1,0,25,208,3855,80,0.930902111,0.107296137,0.238095238,0.051193699,0.948806301
YJR006W,471,0,1,0,25,209,3854,80,0.930662188,0.106837607,0.238095238,0.051439823,0.948560177
YBR199W,472,0,1,0,25,210,3853,80,0.930422265,0.106382979,0.238095238,0.051685946,0.948314054
YNL038W,473,0,1,0,25,211,3852,80,0.930182342,0.105932203,0.238095238,0.05193207,0.94806793
YER031C,474,0,1,0,25,212,3851,80,0.929942418,0.105485232,0.238095238,0.052178193,0.947821807
YNL258C,475,0,1,0,25,213,3850,80,0.929702495,0.105042017,0.238095238,0.052424317,0.947575683
YDL045C,476,0,1,0,25,214,3849,80,0.929462572,0.10460251,0.238095238,0.052670441,0.947329559
YDR054C,477,0,1,0,25,215,3848,80,0.929222649,0.104166667,0.238095238,0.052916564,0.947083436
YLR314C,478,0,1,0,25,216,3847,80,0.928982726,0.10373444,0.238095238,0.053162688,0.946837312
YFR033C,479,0,1,0,25,217,3846,80,0.928742802,0.103305785,0.238095238,0.053408811,0.946591189
YDL052C,481,0,1,0,25,218,3845,80,0.928502879,0.102880658,0.238095238,0.053654935,0.946345065
YPR103W,482,0,1,0,25,219,3844,80,0.928262956,0.102459016,0.238095238,0.053901058,0.946098942
YPR079W,484,0,1,0,25,220,3843,80,0.928023033,0.102040816,0.238095238,0.054147182,0.945852818
YHR200W,485,0,1,0,25,221,3842,80,0.927783109,0.101626016,0.238095238,0.054393305,0.945606695
YER100W,486,0,1,0,25,222,3841,80,0.927543186,0.101214575,0.238095238,0.054639429,0.945360571
YBR260C,487,0,1,0,25,223,3840,80,0.927303263,0.100806452,0.238095238,0.054885553,0.945114447
YLR354C,490,0,1,0,25,224,3839,80,0.92706334,0.100401606,0.238095238,0.055131676,0.944868324
