YORF	NAME	GWEIGHT	1-1-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	1-3-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	1-4-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	1-5-cCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	2-2-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	2-3-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	2-4-aCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	2-5-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	2-6-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	3-1-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	3-3-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	3-4-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	3-5-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	4-1-cCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	4-3-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	4-4-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	5-1-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	5-2-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	5-3-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	5-4-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	5-5-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	6-1-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	6-2-bCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	6-3-cCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain
YDL136W	YDL136W	1	0.0494	-0.1789	-0.3594	-0.3744	-0.0419	-0.3701	-0.284	-0.4912	-0.4304	-0.1996	-0.4449	-0.6403	-0.4148	-0.3131	-0.6362	-1.1438	-0.5858	-0.4298	-0.2025	-0.2703	-0.5695	-0.3964	-0.1449	-0.5767
YJL031C	YJL031C	1	0.0104	-0.0283	0.042	-0.0134	-0.1005	1.4328	0.0988	-0.0073	-0.1539	-0.0234	0.02	0.0169	0.14	0.1866	0.1867	0.2445	0.1389	0.017	-0.2927	-0.2666	0.0182	0.4119	0.0152	-0.137
YDR522C	YDR522C	1	0.601	0.2968	0.4776	0.0958	0.9457	0	0.8738	0.6127	0.1987	0.4959	0.5893	0.2487	0.3076	0.3862	-0.011	0.7044	0.2045	0.2786	-0.1108	0.1165	0.1267	0	0	0.6604
YKL010C	YKL010C	1	-0.1027	-0.0071	0.0024	-0.065	0.2189	0.1065	-0.2419	-0.0884	-0.2207	-0.3248	-0.2233	0.0622	0.1542	-0.3939	0.0446	0.1468	0.1196	0.1486	-0.2397	0.0497	0.1222	-0.1155	0.0018	0.0926
YPR153W	YPR153W	1	0.0816	0.3144	0.2265	0.0347	0.477	0.3142	0.3326	0.0697	0.1175	0.2891	0.0994	0.2654	-0.1344	0.1343	0.1917	0.3367	-0.1273	0.3691	-0.1012	0.0033	0.2729	-0.1618	-0.0235	0.2508
YGR293C	YGR293C	1	0.1781	0.2046	0.2054	0.3532	0.5307	0.2701	0.2853	-0.207	0.1605	0.1062	-0.0363	-0.5449	0.1436	-0.0664	0.0788	-0.5962	0.1237	0.0864	-0.0976	-0.0087	0.0351	-0.1571	-0.0308	0.0236
YER152C	YER152C	1	0.0218	0.1192	-0.0436	-0.3698	0.2507	0.1827	0.0595	-0.3362	-0.229	-0.3812	-0.3996	-0.3025	-0.0391	-0.6421	-0.1159	0.255	0.0725	0.3912	0.318	0.2072	0.7159	0.4872	0.0101	0.4603
YML017W	YML017W	1	0.2653	0.4745	0.554	0.2774	0.6952	0.3744	0.3086	0.5541	0.2286	0.3368	0.4786	-0.1559	0.3369	0.1256	0.1881	0.49	0.517	0.2259	0.5448	0.7494	0.6049	0.7091	0.7044	0.392
YLR068W	YLR068W	1	-0.0346	-0.2005	-0.1434	0.0297	-0.2832	-0.6315	0.1055	0.1059	-0.0783	0.0751	0.0036	0.1487	-0.5217	-0.4367	-0.649	0.485	-0.5421	-0.6454	0.2638	-0.6254	-0.5282	0.0553	-0.3334	-0.7326
YGR203W	YGR203W	1	-0.6522	-0.7937	-0.1355	-0.2575	-0.4718	-0.2782	-0.3897	-0.4433	-0.4606	-0.5576	-0.4053	-0.1691	-0.525	0.4081	-0.4439	-0.2869	-0.1732	-0.3942	-0.53	-0.0967	-0.2566	0.1049	-0.381	0.3715
YMR030W	YMR030W	1	-0.2731	-0.1541	0.3311	0.3918	-0.3007	-0.0207	-0.0577	0.3439	0.0564	0.0339	0.4414	0.529	0.0331	0.8833	0.4877	0.7428	-0.1047	-0.2515	0.3804	0.4861	0.2418	0.1354	0.4568	0.2431
YMR093W	YMR093W	1	0.0676	-0.3488	-0.3216	-0.2282	-0.0913	-0.0508	0.1079	-0.1767	-0.1401	-0.123	-0.2091	-0.3125	-0.308	-0.3847	-0.5796	0.1783	-0.3143	-0.237	0.3313	0.0956	-0.3114	0.1588	-0.1439	-0.3633
YBL107C	YBL107C	1	-0.2504	-0.3089	-0.474	0.3021	-0.2945	-0.4857	-0.0593	0.0658	0.0881	0.0547	0.1769	0.0689	0.2313	1.0543	-0.0644	0.7638	-0.001	-0.2522	0.4264	-0.5986	-0.2509	0.0736	-0.1569	-0.4103
YDR423C	YDR423C	1	0.2833	0.5416	0.3158	0.0923	0.2358	0.3311	0.693	0.1943	0.063	0.5324	0.6288	-0.1916	0.4147	0.895	0.0829	0.5008	0.4333	0.2003	0.737	0.1473	0.3736	0.3407	0.0082	0.6773
YFL057C	YFL057C	1	0.0622	0.4089	0.0613	-0.3769	-0.3975	-0.4261	-0.4955	0.0451	0.6907	-0.2962	-0.2442	0.0749	-0.0675	0.0026	-0.1799	0.137	-0.0804	-0.1993	-0.2137	-0.3772	-0.0917	-0.0787	-0.8997	-0.8399
YBR006W	YBR006W	1	-0.5832	-0.3392	-0.0606	0.1756	-0.4439	-0.2787	0.0248	-0.3363	0.0585	-0.7834	0.1425	0.0243	0.5772	-1.524	0.8568	-0.8288	0.0364	-0.2438	-0.8335	-0.3506	0.6354	-0.4597	-0.3116	-0.2401
YAL034C	YAL034C	1	-0.2188	0.1322	0.5108	0.5171	0.0222	0.3966	-0.2501	0.1817	0.4423	-0.0476	0.2081	0.6146	0.3548	0.417	0.4318	0.052	0.4093	0.3831	-0.0487	-0.0412	0.438	0.1452	0.0789	0.3249
YNL036W	YNL036W	1	0.1762	-0.3455	-0.2225	-0.0368	-0.1048	-0.0136	-0.8383	0.1832	0.1442	0.0143	0.0435	-1.0423	-0.2647	-1.5553	0.1571	-1.0556	-0.2919	-0.0344	-0.5854	0.1583	-0.1161	-0.2153	-0.3868	-0.226
YBR167C	YBR167C	1	-0.1467	-0.0627	-0.0684	-0.1009	0.019	-0.0474	-0.0785	-0.0048	-0.2231	0.1271	-0.0138	-0.1337	0.1712	0.6655	0.0991	0.0439	0.0809	-0.1471	0.1325	-0.1967	-0.0986	-0.2394	-0.0235	-0.0001
YDR302W	YDR302W	1	-0.2865	-0.1406	-0.1391	-0.7193	-0.1064	-0.3544	0.0561	-0.3768	-0.4062	-0.4657	-0.2117	-0.1832	-0.069	0.2998	-0.0685	-0.2374	-0.1107	-0.0679	-0.7386	-0.1643	0.0134	-0.1701	-0.2306	-0.0807
YDR128W	YDR128W	1	-0.0996	0.0921	0.2224	0	0	0.0854	0.0343	0	0.02	0	0	0	0	-0.1681	-0.1875	0.2239	0	0.0861	0.125	0.22	0	0.0416	0	-0.0132
YHR097C	YHR097C	1	-0.9089	-0.4742	0.3287	0.4471	-0.6909	0.058	-1.0364	0.2365	0.2574	-0.2165	-0.041	0.2057	0	0.7872	0.5909	0.1757	0.4346	-0.1384	-0.6336	-0.1744	-0.0742	-0.4636	-0.4462	0.1129
YGL139W	YGL139W	1	0.0051	-0.0748	-0.146	-0.0344	0.164	-0.1617	0.0001	0.0875	-0.0376	0.0083	0.0347	0.163	-0.221	-0.4839	-0.2152	0.2174	-0.0103	-0.0524	0.0953	0.088	0.0652	0.1569	0.1165	-0.1811
YGR246C	YGR246C	1	0.4477	0.4512	0.4701	0.4965	0.2407	0.3193	0.5678	-0.6997	0.1446	0.2678	-0.4425	-0.4679	0.3884	0.1228	0.3466	0.6497	0.3015	0.2221	0	0.4333	0.209	0.0737	0.693	0.2183
YDR202C	YDR202C	1	-0.1403	-0.0652	0.0073	0.0942	-0.2067	-0.1301	-0.4311	0.1343	0.0458	-0.1498	0.0483	-0.0328	-0.1639	0.2131	0.2104	-0.5445	-0.0762	-0.0325	-0.3647	-0.163	0.0249	-0.2365	-0.0918	-0.0468
YGR171C	YGR171C	1	-0.2519	-0.4161	-0.3178	0.0607	-0.515	-0.2301	-0.1736	-0.1417	0.1238	0.043	0.1048	0.1224	-0.1369	0.7655	0.0265	0.3247	-0.1772	0.0717	0.2493	-0.5001	-0.5572	0.2368	-0.267	-0.26
YER054C	YER054C	1	-1.3767	0.3069	0.4256	0.2431	-0.2106	0.4502	-0.298	-0.2797	0.1622	-0.8188	-0.0581	0.6298	0.3124	0.5023	1.1218	-1.2237	0.4664	0.3974	-1.1189	-0.4102	0.9931	-0.7765	-0.2571	0.1197
YPL242C	YPL242C	1	0.0161	0.034	-0.1537	-0.0616	-0.3262	0.0419	-0.1007	0.0618	-0.0387	0.171	0.0536	0.0691	0.1152	-0.33	0.082	0.3005	0.0962	0.1696	0.1391	0.1326	-0.0173	-0.1527	0.0544	0.1499
YJL028W	YJL028W	1	0.222	0.5079	0.142	0.1486	0.3121	0.1703	0.4654	0.2665	0.2598	0.3621	0.2061	0.3186	-0.4301	0.1963	0.0999	0.1895	-0.3962	0.1456	0.2304	0.1024	-0.0443	-0.0722	-0.2063	0.1808
YOR127W	YOR127W	1	0.0068	-0.071	-0.1612	0.1592	-0.3187	0.0259	-0.087	0.2327	0.0842	0.2898	0.0821	-0.0354	-0.0763	-0.2367	-0.3137	0.5738	0.0647	0.0131	0.0874	0.0413	-0.4717	-0.0298	-0.1959	0.0692
YGL081W	YGL081W	1	-0.3124	0.29	0.2281	0.4514	0.1568	-0.0316	-0.1627	-0.0028	0.0557	-0.3612	-0.0174	0.3227	0.1528	-1.8361	0.5695	-0.1587	0.1195	0.3694	-0.0815	-0.0018	0.482	-0.0775	0.1169	0.0748
YJL084C	YJL084C	1	-0.0701	0.2311	0.3802	0.1962	0.1395	0.1771	-0.2998	0.1629	-0.0405	0.0131	0.0697	0.273	0.0705	-0.179	-0.2866	-0.0499	0.234	0.2481	-0.2917	0.1662	0.1869	0.071	0.1104	0.1517
YJL074C	YJL074C	1	0.3802	0.2053	0.021	0.3238	0.0721	-0.0084	0.225	0.3631	0.0651	0.6064	0.2193	0.1577	0.4334	0.0099	0.0442	1.155	0.2372	0.0001	0.9302	0.0721	-0.0917	0.2766	0.2761	0.0805
YKL094W	YKL094W	1	-0.1369	-0.1312	-0.0399	-0.0362	-0.179	0.1334	-0.212	-0.025	-0.0335	-0.2631	-0.1852	-0.032	-0.1136	0.0574	0.1533	-0.3631	-0.0648	0.0266	-0.0949	-0.1802	0.0318	-0.2016	-0.264	-0.0949
YLR055C	YLR055C	1	0.0554	0.4569	-0.1747	0.0197	0.133	0.2162	-0.1741	0.0271	0.1962	-0.0924	-0.0654	0.0362	0.0645	0.2024	-0.0795	0.3694	0.074	0.2624	-0.0768	0.1298	0.3566	0.0123	0.0868	0.3584
YFL045C	YFL045C	1	0.1857	-0.0126	-0.1162	-0.118	0.1124	-0.121	-0.0877	-0.3224	-0.2356	0.177	-0.3393	-0.3231	-0.1998	0	-0.3017	-0.5942	-0.3122	-0.1842	0.47	-0.2508	-0.3978	0	-0.0956	-0.3467
YBR297W	YBR297W	1	-0.2026	-0.5	-0.28	-0.3551	-0.452	-0.1928	-0.2968	-0.4778	-0.7627	-0.0435	-0.4456	-0.808	-0.2528	0.5745	-0.5006	-0.2037	-0.25	-0.291	-0.4947	0.0772	-0.8977	-0.1338	-0.1905	-0.2081
YDR033W	YDR033W	1	2.0453	2.08	-0.697	-0.6206	-0.3723	-0.4265	-0.3179	1.7018	1.7196	-0.8451	0.2872	2.0514	2.8144	1.6369	2.648	-0.6307	1.7036	0.2988	-0.2537	-0.1125	3.3006	2.0734	-0.25	1.8823
YOL155C	YOL155C	1	-0.221	-0.447	-0.5577	-0.6426	-0.0548	0.066	0.4573	-0.9583	-2.5195	-1.3926	-3.5177	-1.8978	-0.2041	-4.7447	0.396	-0.4263	-0.7332	-1.0513	0.1747	0.2372	-0.7464	-1.1988	-0.4509	-0.344
YPL124W	YPL124W	1	-0.1221	0.2981	0.2912	-0.0207	-0.041	0.0657	-0.166	-0.254	-0.1071	-0.105	-0.1612	-0.0964	0.2561	-0.3713	0.1397	0.8704	0.0935	-0.1531	0.6358	-0.0587	0.1972	-0.1718	0.1479	0.2571
YGR271C-A	YGR272C	1	0.2088	0.0982	-0.1682	-0.3651	0.2756	-0.4705	-0.1469	-0.129	-0.2768	-0.0624	-0.3413	-0.1233	-0.4563	-0.1109	-0.4623	-0.2349	-0.6091	-0.5284	-0.1941	-0.1926	-0.2083	-0.2809	-0.2044	-0.4882
YGR198W	YGR198W	1	-0.0579	0.0514	-0.2452	-0.0455	-0.2811	-0.0265	0.0131	-0.1426	-0.0499	-0.1786	-0.019	0.1597	0.0619	-0.1498	-0.0288	0.4172	-0.0686	0.2197	0.2733	0.1165	0.2252	0.0362	0.1926	-0.1669
YGL162W	YGL162W	1	0.2265	-0.184	-0.2603	-0.3398	0.0936	0.0722	0.0679	0.1848	0.4216	0.3268	0.1061	-0.226	-0.0717	-0.1309	-0.2415	-0.3437	-0.2541	0.1044	-0.3123	0.3141	-0.1161	0.6078	0.0795	0.1434
YMR227C	YMR227C	1	0.0998	0.0492	0.1196	0.3746	-0.0525	-0.0479	0.1324	0.3626	0.1969	0.0288	0.1956	0.1321	0.1903	0.1278	-0.0922	-0.0556	0.1969	-0.0722	0.1459	0	0.318	-0.0178	0.3717	0.0417
YDL006W	YDL006W	1	-0.1205	-0.2054	-0.0524	0.0849	-0.1119	-0.0196	0.1267	-0.1038	-0.1473	0.16	0.0306	-0.1038	0.0308	-0.0445	-0.0351	0.0085	-0.0481	0.0968	0.0175	0.0105	-0.3347	-0.1596	0.0174	-0.0971
YLR431C	YLR431C	1	0.4874	0.2863	0.0963	0.4202	0.3087	0.3067	0.2166	0.2033	0.3422	0.5982	0.1993	0.3159	0.2045	-0.1006	0.036	1.146	0	0.0649	0.702	-0.0767	0.0647	0.3062	0.4691	0.1433
YBR265W	YBR265W	1	-0.3349	-0.1978	0.0056	-0.3958	-0.1055	-0.3074	-0.0848	-0.298	-0.3038	-0.4931	-0.3503	0.1481	-0.3545	0.2172	-0.1185	-0.5044	-0.0156	-0.1992	-0.28	-0.1537	0.0346	-0.2366	-0.4642	-0.1812
YJL057C	YJL057C	1	-0.5265	-0.0416	0.4614	0.2854	-0.3421	0.0924	-0.1061	0.1454	-0.141	-0.3727	0.1051	0.481	0.9436	0.488	0.6665	-0.3035	0.7272	0.3034	0.2086	-0.1248	0.3632	-0.3338	0.0454	0.3291
YMR272C	YMR272C	1	-0.5378	0.0147	0.1188	-0.0692	-0.0596	0.5375	-0.3117	-0.316	-0.3632	-0.4878	-0.046	0.0224	-0.1514	0.3412	0.1584	-0.2705	0.3501	0.3755	-0.7844	-0.1445	0.2183	-0.3756	-0.0623	0.1882
YHR176W	YHR176W	1	0.0876	0.3138	0.1281	0.106	-0.5984	-0.0945	-0.1765	0.1156	0.2182	-0.1014	0.0932	0.2256	-0.3332	1.0216	0.1491	-0.2113	-0.5023	0.0768	0.1359	-0.0677	-0.2096	0.1841	-0.255	0.1608
YBR063C	YBR063C	1	-0.0635	0.0035	-0.1248	0.033	-0.0851	-0.0356	0.4208	0.0589	0.1011	0.0239	0.4323	0.1882	0.1523	0.0495	0.1063	0	0.5526	0.4766	0.3817	0.2202	0.205	0.261	0.472	0.3829
YAL010C	YAL010C	1	-0.067	-0.0825	0.2071	0.0342	-0.331	0.0166	0.3194	0.2534	0.2272	0.188	0.1736	0.1493	0.0197	0.4548	0.1841	0.8083	0.1536	0.0854	0.2715	0.1312	-0.068	0.4747	0.2334	0.0417
YLL060C	YLL060C	1	0.0073	0	0.2265	-0.2551	-0.0414	0.24	0.2528	0.0857	0.0953	0.2363	-0.0157	0.2715	0.0525	-0.5451	0.074	-0.5309	0.0982	-0.1407	-0.1668	0.2004	-0.0615	0.1691	-0.2557	0.4409
YIL124W	YIL124W	1	-0.2998	0.2931	0.6447	0.197	-0.0637	0.2055	-0.2634	-0.0103	-0.0919	-0.6659	0.0838	0.5244	0.1362	0.349	0.857	-1.021	0.3268	0.5287	-0.4412	-0.1992	0.401	-0.2435	-0.4426	0.3356
