Gene,Index
tL(UAA)J,133
YLR195C,134
YGL194C-A,135
YBR101C,136
YCL019W,137
YER128W,138
YDR320C-A,139
YHR129C,140
tN(GUU)N2,141
YBR088C,142
YDL171C,143
YPL166W,144
YDR515W,145
YER082C,146
YMR243C,147
YDL137W,148
YER044C-A,149
YDR461W,150
snR7-L,151
YGL254W,152
YPL232W,153
YLR264W,154
YDR210W-D,155
YNL258C,156
YAL014C,157
YBR068C,158
YOL013C,159
YIR033W,160
YDR126W,161
YGL010W,162
YBL013W,163
YFL005W,164
snR63,165
YMR320W,166
tE(UUC)K,167
tK(UUU)P,168
YER189W,169
YPL026C,170
YNL024C,171
YOR149C,172
YHR138C,173
YPL158C,174
YGL013C,175
YGR017W,176
YCR099C,177
YMR256C,178
YLR015W,179
YOR369C,180
YER125W,181
YBR182C-A,182
YNL083W,183
YLR285C-A,184
YNL012W,185
YJR042W,186
MAL22,187
tL(CAA)G1,188
YJL096W,189
YDR466W,190
YMR137C,191
YJL196C,192
YDR160W,193
YOR123C,194
YLR312C-B,195
YKL221W,196
snR24,197
YER175W-A,198
YNL210W,199
YIL011W,200
YKR052C,201
YPR171W,202
YBR045C,203
YIL013C,204
YPL269W,205
YKL024C,206
YGL068W,207
tF(GAA)N,208
YMR204C,209
YIL023C,210
YOR150W,211
snR56,212
YOR089C,213
YOL063C,214
YPR199C,215
tD(GUC)Q,216
YHR014W,217
tR(UCU)M2,218
YEL050C,219
RPR1,220
YOR251C,221
YGR288W,222
YDR108W,223
YDL027C,224
YLR328W,225
YCL032W,226
YDR186C,227
tG(GCC)G2,228
tR(UCU)K,229
YGL226W,230
YNL192W,231
YJR040W,232
YJR073C,233
YGR039W,234
YDR425W,235
tD(GUC)I2,236
YMR031C,237
YIL170W,238
YDR430C,239
YKL137W,240
YOL048C,241
YMR271C,242
YLR193C,243
YBR214W,244
YOR068C,245
YJR115W,246
YMR100W,247
YDR031W,248
YLR113W,249
YCR075C,250
YDR041W,251
YBR233W,252
YER178W,253
YJR097W,254
tR(UCU)Q1,255
YMR124W,256
tQ(UUG)E2,257
YDL038C,258
YJR052W,259
YKL134C,260
YHR033W,261
YKL114C,262
YLR333C,263
YIL015C-A,264
YPR020W,265
tF(GAA)D,266
YOR278W,267
YEL021W,268
YLR125W,269
YHR166C,270
YDR471W,271
YLR262C-A,272
YHR001W-A,273
YPR174C,274
YIL120W,275
YAL065C-A,276
YLR070C,277
YPR152C,278
YIL146C,279
tL(UAA)N,280
YHR209W,281
YPR008W,282
YDL072C,283
YPL190C,284
YDR514C,285
YPR145C-A,286
YOR299W,287
YPL212C,288
YBR146W,289
YGR016W,290
YKL002W,291
YGL012W,292
YBR138C,293
YOR210W,294
YHR106W,295
YER123W,296
YOR324C,297
YER138W-A,298
SUC4,299
YNL099C,300
YNL046W,301
YJR104C,302
YEL014C,303
YNL117W,304
YMR240C,305
YDR525W-A,306
YAL015C,307
YIL073C,308
tF(GAA)B,309
YJR067C,310
tD(GUC)G1,311
YDR322W,312
YLR363W-A,313
tV(UAC)Q,314
YDL002C,315
YOR304W,316
YDL116W,317
YLR293C,318
YHL044W,319
YBR207W,320
YCR080W,321
YDR347W,322
YBL104C,323
YOR174W,324
YCL048W,325
YDR214W,326
YGR247W,327
tS(AGA)D2,328
YNL191W,329
YDR432W,330
tK(UUU)L,331
YLL032C,332
snR189,333
YLR287C-A,334
YNL001W,335
YCL057C-A,336
YPL253C,337
YPL209C,338
YGR037C,339
YOL148C,340
YPL022W,341
YDR366C,342
MAL41,343
YLR190W,344
YHR116W,345
YBR096W,346
YMR246W,347
YBR031W,348
YKR026C,349
YDL208W,350
tF(GAA)H1,351
YNL144C,352
YLR262C,353
YKL201C,354
YPL196W,355
YFL033C,356
YPL110C,357
YOL105C,358
YHL033C,359
YNR060W,360
YML007C-A,361
YNL269W,362
YPR194C,363
YHR003C,364
YNL080C,365
YBL057C,366
RDN18,367
YPL279C,368
YCR023C,369
tF(GAA)P1,370
YOR192C-B,371
YDR479C,372
YJR150C,373
YEL013W,374
YOR371C,375
YDL241W,376
YOR316C-A,377
YNR011C,378
YIL128W,379
YHR164C,380
snR86,381
tG(GCC)F1,382
YDL099W,383
YHR216W,384
tT(AGU)C,385
YLR029C,386
YLR147C,387
YML110C,388
YIL162W,389
YPL015C,390
YOL124C,391
YBR087W,392
YOL103W-B,393
YMR241W,394
YKL172W,395
YNL149C,396
YIL064W,397
YLR346C,398
tL(CAA)M,399
YDL055C,400
tE(UUC)E2,401
YDR098C-A,402
tR(UCU)M1,403
YGR132C,404
YPR158W,405
YPR028W,406
YIR035C,407
YDR452W,408
YLR180W,409
YHR024C,410
snR44,411
YOR343C,412
MAL42,413
YMR138W,414
YOR107W,415
YBL050W,416
YOR186W,417
YDR026C,418
YHR174W,419
tI(GAU)Q,420
YPR137W,421
YOL069W,422
YER110C,423
YPR114W,424
YAL067C,425
YLR203C,426
YMR276W,427
YMR199W,428
YOR036W,429
RPM1,430
YGL203C,431
YJL200C,432
YGL017W,433
PDR7,434
YLR327C,435
YGR072W,436
YJR095W,437
YPL070W,438
YDL111C,439
YMR197C,440
YIL121W,441
YKL029C,442
YKL150W,443
YPR131C,444
YGR141W,445
YJL132W,446
YEL059W,447
YHR060W,448
YDR023W,449
YKR041W,450
YLR159W,451
tM(CAU)C,452
YBR160W,453
YOR304C-A,454
YGL055W,455
YKL106W,456
YER018C,457
YGL186C,458
YDL180W,459
YAR035C-A,460
YER113C,461
snR69,462
YCL073C,463
YDL159W-A,464
YOR064C,465
YCR010C,466
YPR158C-C,467
YJL006C,468
tS(CGA)C,469
RDN5,470
tS(GCU)Q1,471
YPL090C,472
YIR043C,473
YBR245C,474
snR47,475
YLR111W,476
YFR032C,477
YLR214W,478
YIR041W,479
YHR038W,480
YDL010W,481
YML129C,482
tI(AAU)P2,483
YMR218C,484
YGL121C,485
YDR456W,486
YLR412W,487
YJR076C,488
YGL099W,489
YNL218W,490
YOL156W,491
YDR273W,492
YBR046C,493
YOR337W,494
YFR051C,495
YGL005C,496
YHR046C,497
YKL054C,498
YNL249C,499
YHR076W,500
YMR129W,501
YGR278W,502
snR58,503
YPR167C,504
YCL043C,505
YDR367W,506
YPR153W,507
YGL059W,508
YPR111W,509
YOR145C,510
SRG1,511
tN(GUU)L,512
YFR031C,513
YCR018C,514
YGR240C-A,515
YGR027W-A,516
YMR300C,517
YML030W,518
YHL026C,519
YFR027W,520
YMR309C,521
YIL090W,522
YKL032C,523
YMR277W,524
YKL163W,525
YKL219W,526
YCR058C,527
YCR051W,528
YDR088C,529
YJR025C,530
YKL160W,531
ESC3,532
YIL136W,533
YDL238C,534
YBR148W,535
YOR081C,536
YDR206W,537
YJR109C,538
YIR022W,539
YGR084C,540
YHR189W,541
YNL167C,542
YGR136W,543
YDL126C,544
YPR175W,545
YDR183W,546
YDR188W,547
YOL026C,548
YLR436C,549
YKL193C,550
YKL144C,551
YPL033C,552
YLR274W,553
YIL142W,554
tS(UGA)Q2,555
YOR049C,556
YKL222C,557
YML085C,558
YOR359W,559
YNR020C,560
YCL027W,561
YDL239C,562
YNR031C,563
YDL165W,564
YDL114W,565
YDR274C,566
YJR152W,567
YDR198C,568
YEL060C,569
YMR268W-A,570
YOR176W,571
YCL060C,572
MEL3,573
YLR027C,574
YLR040C,575
YGL143C,576
YJR083C,577
YGL204C,578
YPR075C,579
YOL013W-A,580
YER033C,581
YNL056W,582
YBR004C,583
YOL120C,584
YOL002C,585
YNL273W,586
YAL063C-A,587
YLR110C,588
YGR019W,589
YLR457C,590
YBR208C,591
YGR135W,592
YCL047C,593
YDR311W,594
YOR037W,595
YDR157W,596
YBR272C,597
YPL206C,598
YHR054C,599
YOL066C,600
YGL046W,601
YJR151W-A,602
YNL321W,603
YMR113W,604
YFR041C,605
YOR376W-A,606
YLR154W-C,607
YDL191W,608
YMR003W,609
YBR052C,610
MEL7,611
YMR292W,612
snR39B,613
YOR342C,614
YDR399W,615
YPR071W,616
YGL084C,617
YFL012W,618
YHL050C,619
YDL008W,620
YLR341W,621
YNR075W,622
YOR302W,623
YML073C,624
YDR270W,625
YPL260W,626
YER098W,627
YHL030W,628
YGL066W,629
YAL030W,630
YDR438W,631
YGR164W,632
YOR319W,633
YNL182C,634
YDR536W,635
YHL029C,636
YMR279C,637
YCR076C,638
YDL232W,639
YPR096C,640
YBL113C,641
tG(UCC)G,642
YKL151C,643
YGL244W,644
YNL217W,645
YPL067C,646
YDR295C,647
DBF1,648
YBR056W,649
YDR389W,650
YBR020W,651
YKR073C,652
YMR079W,653
YGR213C,654
YDL101C,655
YHR089C,656
YPL267W,657
YOL102C,658
YAR014C,659
YLR049C,660
tM(CAU)Q2,661
YDR354W,662
YJR130C,663
YGR083C,664
YGL037C,665
YNL019C,666
YLR283W,667
YDL045W-A,668
YPL272C,669
tK(CUU)M,670
YBL067C,671
YLR354C,672
YIL075C,673
YNL275W,674
YLR355C,675
YCL059C,676
YOR125C,677
YMR283C,678
YJL173C,679
YPR158W-B,680
YNL081C,681
YBR270C,682
snR53,683
YAR029W,684
YNL042W,685
YOR293W,686
YML039W,687
YIL117C,688
YJR105W,689
YDR369C,690
YOR221C,691
YIL149C,692
YFL001W,693
YLR118C,694
YLL024C,695
tE(UUC)M,696
YKL218C,697
YBR221C,698
YFR015C,699
YOL039W,700
YNL315C,701
YKL142W,702
snR85,703
YNL015W,704
YHR092C,705
YOR183W,706
YGL032C,707
YKL109W,708
YLR330W,709
YEL053C,710
YGL113W,711
YHR084W,712
YBR145W,713
YLR380W,714
YNL103W,715
YGR264C,716
YDL179W,717
YJR140C,718
YMR142C,719
YHR149C,720
YDR089W,721
YJR112W,722
YPL239W,723
YEL016C,724
YCR042C,725
YOR189W,726
YGL249W,727
YDR067C,728
YDR352W,729
YJL122W,730
YCR089W,731
snR19,732
YDR117C,733
YHR039C,734
YLR153C,735
YBR083W,736
YGR175C,737
tD(GUC)G2,738
YPL038W-A,739
YGR285C,740
YER130C,741
YNL140C,742
YIL024C,743
YJR096W,744
YBR210W,745
YKR046C,746
YBL014C,747
YOR274W,748
YPL055C,749
YBR181C,750
YJL136W-A,751
YGL130W,752
YDL166C,753
YDL231C,754
YDL223C,755
YGL020C,756
YDL243C,757
YNL196C,758
YDR405W,759
YNL293W,760
YNL306W,761
YDL001W,762
YLR256W-A,763
YGR002C,764
YDL029W,765
YJL053W,766
YMR040W,767
YBR012W-A,768
YKR038C,769
YKR021W,770
YER076C,771
YOR175C,772
YLR172C,773
YGR025W,774
YBR039W,775
snR31,776
YDL051W,777
YMR176W,778
YBR126C,779
YER019W,780
YML102W,781
YGL096W,782
YLR156C-A,783
YIL088C,784
YPL108W,785
YDL130W-A,786
YBR072C-A,787
YLR261C,788
YKL042W,789
YDR316W,790
YOL153C,791
YML008C,792
YHR179W,793
Q0275,794
YHR081W,795
YDL115C,796
tE(UUC)Q,797
YIL005W,798
YKL176C,799
YLR146W-A,800
YNL008C,801
YOR198C,802
YJL060W,803
YBR280C,804
YGL030W,805
YML059C,806
YPR033C,807
YDL215C,808
YHR005C,809
YNL270C,810
YHR031C,811
YGR161W-B,812
YFR036W,813
YDL168W,814
YMR147W,815
YMR048W,816
YKL052C,817
YPR043W,818
tW(CCA)P,819
YDR505C,820
YHR213W-B,821
YBR153W,822
YKL018W,823
YLL061W,824
YFR035C,825
YOL031C,826
YPL069C,827
YDR447C,828
YHR202W,829
YMR171C,830
YDL222C,831
YMR055C,832
YLR211C,833
YOR211C,834
YMR108W,835
YOL013W-B,836
YGR126W,837
YER143W,838
YCR059C,839
YDR167W,840
YNL214W,841
YKL100C,842
YGR214W,843
YMR187C,844
tP(UGG)O3,845
YHR113W,846
YMR316C-A,847
YJL127C-A,848
YGL216W,849
YKR085C,850
YPL042C,851
tK(CUU)G3,852
YPL221W,853
YOL051W,854
YOL033W,855
YBR218C,856
YEL035C,857
YAL049C,858
tM(CAU)J1,859
YLR398C,860
YHR006W,861
tT(AGU)B,862
YGR099W,863
YPR148C,864
YIL068C,865
YOR320C,866
YAL035W,867
YOR004W,868
YDR191W,869
YDR545W,870
YNL318C,871
YDR039C,872
YPR036W-A,873
YJL143W,874
YHR054C-B,875
YMR039C,876
YML045W,877
YKR105C,878
YNL295W,879
YPL130W,880
tG(GCC)P1,881
YMR168C,882
YNR055C,883
YIL009W,884
YOL003C,885
YKL129C,886
YMR214W,887
YDR078C,888
YKL018C-A,889
YIL065C,890
YOR343C-A,891
YHL035C,892
YDL150W,893
YLR414C,894
YLR452C,895
YKL090W,896
YPL117C,897
tN(GUU)O1,898
YLR329W,899
YDR377W,900
YGR078C,901
YIL052C,902
YLR464W,903
YDR265W,904
YGL101W,905
YIL093C,906
YOR227W,907
tL(UAG)L1,908
YFL048C,909
YMR306W,910
YJL160C,911
YDR375C,912
YNL219C,913
YOR080W,914
tD(GUC)K,915
YDL007C-A,916
YDR539W,917
YER133W,918
YKR100C,919
YNR037C,920
YGR118W,921
YIL125W,922
YNL314W,923
tG(GCC)P2,924
YIL089W,925
YJL178C,926
YOR158W,927
YDL143W,928
YLR119W,929
YIL004C,930
YNL242W,931
YDR065W,932
YGL077C,933
YER159C,934
YIR024C,935
YLR014C,936
YNL281W,937
YJL217W,938
YMR114C,939
YEL040W,940
YBR189W,941
YLR372W,942
YML012W,943
YAL046C,944
YOR231W,945
YJR056C,946
YAL051W,947
YHR044C,948
YLR087C,949
YDR097C,950
YMR273C,951
YBR022W,952
YMR164C,953
YJL039C,954
YHR058C,955
YML026C,956
YJL033W,957
YOL044W,958
YPL131W,959
YOR245C,960
YER037W,961
YIL154C,962
YBR131W,963
YLL042C,964
YHR047C,965
YJR139C,966
YJL187C,967
YOR011W,968
YPL017C,969
YCL001W-B,970
YNL301C,971
YGR098C,972
YOL004W,973
YJR022W,974
YNL159C,975
YDR339C,976
YBL005W,977
YOR003W,978
YIL048W,979
snR6,980
YCL042W,981
YLR097C,982
YOR269W,983
YML113W,984
YLR336C,985
YBR191W,986
YMR308C,987
YOR313C,988
YGR244C,989
RDN25,990
YOR072W,991
YJL163C,992
YHR184W,993
YDR070C,994
YIL017W,995
YOL119C,996
YCR016W,997
YPR056W,998
YOR250C,999
YBL028C,1000
YMR224C,1001
YDR182W,1002
YPR182W,1003
YLR021W,1004
YHR183W,1005
YGR279C,1006
tT(UGU)H,1007
YBL008W,1008
YHR094C,1009
YOL104C,1010
YML132W,1011
YMR052W,1012
YNL141W,1013
YMR145C,1014
YNL287W,1015
YMR318C,1016
YFL065C,1017
YBR127C,1018
YBR267W,1019
YCR046C,1020
tT(AGU)N2,1021
YDR261W-A,1022
YPL177C,1023
YHR196W,1024
tI(AAU)D,1025
YER088C,1026
YGR231C,1027
YPL113C,1028
YNL164C,1029
YPR185W,1030
tK(CUU)I,1031
YOR317W,1032
YNL084C,1033
YDR435C,1034
YDR103W,1035
YOR308C,1036
YMR029C,1037
YGL067W,1038
YBR201C-A,1039
YJL148W,1040
YNL278W,1041
YDR459C,1042
YKR095W,1043
ALD1,1044
YLR292C,1045
YLR093C,1046
tP(UGG)O1,1047
YDR238C,1048
YLR337C,1049
YJL111W,1050
YHR199C,1051
YOL062C,1052
YPL171C,1053
YDR489W,1054
YAL017W,1055
YER079W,1056
YPR045C,1057
YJR077C,1058
YDL134C-A,1059
YGL087C,1060
YBL033C,1061
YOL007C,1062
YKL165C,1063
YFR044C,1064
YDR307W,1065
YPR002W,1066
YOR073W,1067
YGR272C,1068
YMR104C,1069
YDR365W-B,1070
YGL108C,1071
YBR179C,1072
YGL208W,1073
YLL025W,1074
YHR068W,1075
YIR026C,1076
YBR100W,1077
YNL126W,1078
YGL237C,1079
YBR120C,1080
YJL095W,1081
YNR024W,1082
YPL060W,1083
YOR202W,1084
YBR010W,1085
YNL020C,1086
YDR495C,1087
YOL005C,1088
YDR465C,1089
YML019W,1090
YOL141W,1091
YBR249C,1092
YBR255W,1093
YDR476C,1094
YOR275C,1095
tS(AGA)G,1096
YCR006C,1097
YJR107W,1098
YMR038C,1099
tT(UGU)Q1,1100
YLR430W,1101
YKR004C-A,1102
YLR302C,1103
YLR305C,1104
YDL076C,1105
YFL066C,1106
YMR109W,1107
YPL079W,1108
YOR292C,1109
YCR015C,1110
YLR127C,1111
YER014C-A,1112
YNL119W,1113
YKR077W,1114
YIR029W,1115
YJL035C,1116
YJL020C,1117
YNL074C,1118
YMR259C,1119
YBR240C,1120
YJL161W,1121
tV(AAC)M1,1122
YDR324C,1123
YNL300W,1124
YBR058C,1125
YIL003W,1126
YGL027C,1127
tL(UAA)B2,1128
YGL185C,1129
YOR025W,1130
YDR043C,1131
YOL084W,1132
YPR030W,1133
YNL271C,1134
YNL245C,1135
YIL156W,1136
snR40,1137
YGL056C,1138
YLR181C,1139
YJL216C,1140
YPL052W,1141
YFL019C,1142
YFR012W,1143
YIL044C,1144
YBR112C,1145
YKR017C,1146
YPL062W,1147
YER159C-A,1148
YGL228W,1149
TER1,1150
YHR112C,1151
YBL103C,1152
YJR103W,1153
YKR009C,1154
YIL164C,1155
YJR033C,1156
YHR124W,1157
YLR445W,1158
YLR396C,1159
snR52,1160
tK(CUU)G1,1161
YPR054W,1162
YML024W,1163
YPL195W,1164
YMR135C,1165
YLR177W,1166
YDR124W,1167
YAL048C,1168
YBR130C,1169
YJL183W,1170
tD(GUC)I1,1171
YLR072W,1172
YDL024C,1173
YJL082W,1174
YHR182W,1175
YIL140W,1176
YBL079W,1177
YJL001W,1178
YGR085C,1179
YFR039C,1180
YIL097W,1181
YFR016C,1182
YNL128W,1183
YIL168W,1184
YLR063W,1185
YDL198C,1186
YDR013W,1187
YFL052W,1188
YCR034W,1189
YDR254W,1190
YJR091C,1191
YMR146C,1192
YBR239C,1193
tN(GUU)K,1194
YDR174W,1195
tM(CAU)J3,1196
YGR048W,1197
YCR088W,1198
YOR384W,1199
YPL058C,1200
YDR306C,1201
YML004C,1202
YLR086W,1203
YGL194C,1204
YKL069W,1205
YBR157C,1206
YDL085W,1207
YBL101C,1208
YML100W-A,1209
YBL027W,1210
YJR057W,1211
YKR050W,1212
YBR285W,1213
YDR412W,1214
YBR102C,1215
YJL041W,1216
YBR073W,1217
YBL063W,1218
YNR014W,1219
YMR149W,1220
YDR368W,1221
YIL020C,1222
YDR362C,1223
tG(GCC)J1,1224
YPR190C,1225
snR36,1226
YLR199C,1227
YER074W,1228
YOR143C,1229
YJL110C,1230
YJR158W,1231
YER167W,1232
YOL016C,1233
YBR261C,1234
YHR083W,1235
YHL018W,1236
YOR224C,1237
YPL152W-A,1238
YBL018C,1239
Q0065,1240
YPL168W,1241
YGL091C,1242
YDR084C,1243
YGL124C,1244
YPR085C,1245
YHR062C,1246
YBR213W,1247
YGR169C-A,1248
YGR130C,1249
YER038W-A,1250
YKR089C,1251
YGR121C,1252
YNR013C,1253
YDR055W,1254
YKL025C,1255
YKL178C,1256
YDR200C,1257
YOL138C,1258
YML103C,1259
YER112W,1260
YBR080C,1261
YER150W,1262
YDR342C,1263
YGL138C,1264
YKL039W,1265
YDL140C,1266
YPR088C,1267
YJR128W,1268
YER073W,1269
YLR378C,1270
YLL045C,1271
GRD15,1272
YBR175W,1273
YOL093W,1274
YAL013W,1275
YKL043W,1276
YBL020W,1277
YER056C,1278
YNL201C,1279
YER117W,1280
YDR079C-A,1281
YDR522C,1282
tD(GUC)J1,1283
YDR173C,1284
YCL039W,1285
YML007W,1286
YGL039W,1287
YGR058W,1288
YOL149W,1289
YHL034C,1290
YER017C,1291
YAL054C,1292
YAL034C,1293
GRD16,1294
YHR045W,1295
YBL042C,1296
YDR129C,1297
YER080W,1298
YMR139W,1299
YGR036C,1300
BLM3,1301
YJL141C,1302
YKL006W,1303
YML086C,1304
YDR387C,1305
YDR150W,1306
YBR132C,1307
YGR122W,1308
YDL205C,1309
YKR102W,1310
YLR285W,1311
YKL075C,1312
YPR138C,1313
YNL326C,1314
YIL078W,1315
YKL065W-A,1316
tK(CUU)D2,1317
YMR163C,1318
YGL248W,1319
YGR087C,1320
Q0105,1321
YBR162C,1322
YOR347C,1323
YDR365C,1324
YPR166C,1325
tG(UCC)N,1326
YDL240W,1327
YLR390W-A,1328
YML096W,1329
YPL076W,1330
YKR068C,1331
YGR224W,1332
YPR188C,1333
YFL043C,1334
YLR377C,1335
YNL088W,1336
YER002W,1337
YPL226W,1338
YNR044W,1339
YGL115W,1340
YOR173W,1341
YBL023C,1342
YGR125W,1343
YGR172C,1344
YJL221C,1345
YDR463W,1346
YKL021C,1347
YDL224C,1348
YNL026W,1349
YKL145W,1350
YMR167W,1351
YLL052C,1352
YPR011C,1353
YPR124W,1354
snR35,1355
YBL101W-B,1356
YBR192W,1357
YDR090C,1358
YDL113C,1359
YPR015C,1360
YCR045C,1361
YBR275C,1362
YOL025W,1363
YHR156C,1364
YIL055C,1365
YNL216W,1366
YIL143C,1367
YGR105W,1368
YLR074C,1369
YGL097W,1370
tV(AAC)G2,1371
YJR086W,1372
YDR114C,1373
YBR089C-A,1374
YPL183W-A,1375
YMR222C,1376
YML130C,1377
YKR080W,1378
YJL066C,1379
YLL041C,1380
YPL261C,1381
YDR305C,1382
YNL034W,1383
YMR206W,1384
tG(GCC)C,1385
YNL014W,1386
YLR037C,1387
YGL047W,1388
YIL147C,1389
YIL137C,1390
YKL107W,1391
YDL248W,1392
YNL085W,1393
URR1,1394
YOR020W-A,1395
YGL098W,1396
YDR169C-A,1397
YGL035C,1398
tD(GUC)J2,1399
YPL078C,1400
YGR004W,1401
YJR126C,1402
YHL046C,1403
YLL013C,1404
tG(GCC)G1,1405
YDR210C-C,1406
YPR051W,1407
YHL038C,1408
YNL100W,1409
YMR071C,1410
YPL032C,1411
YLR299W,1412
YIL040W,1413
YNR070W,1414
YBL038W,1415
YLR439W,1416
YBL097W,1417
YDR510W,1418
tR(ACG)Q2,1419
YGR281W,1420
YHR128W,1421
YDR222W,1422
YLR369W,1423
YMR026C,1424
YJL179W,1425
YOR138C,1426
YGL173C,1427
YIL159W,1428
YNL097C,1429
YDR376W,1430
YPL163C,1431
YJL031C,1432
YGL007C-A,1433
YLR343W,1434
YDR321W,1435
YJL089W,1436
YJL204C,1437
YFL034C-B,1438
YDR498C,1439
tA(AGC)D,1440
tG(CCC)D,1441
YBR223C,1442
YKR103W,1443
YNL175C,1444
YLR154C-H,1445
YER036C,1446
YDR239C,1447
YML060W,1448
Q0055,1449
YGR179C,1450
YGR117C,1451
YLR384C,1452
YDR001C,1453
YCR101C,1454
YJR110W,1455
snR55,1456
YOR365C,1457
YNL054W,1458
YDR232W,1459
YOR134W,1460
YCR050C,1461
YFR028C,1462
OSR7,1463
YBR188C,1464
YPR183W,1465
YPR191W,1466
YDR099W,1467
snR33,1468
YBR085C-A,1469
YBR024W,1470
YMR179W,1471
YPL204W,1472
MPR1,1473
YNR021W,1474
YLR159C-A,1475
tI(AAU)L2,1476
YPL189C-A,1477
YCL040W,1478
YLR011W,1479
YEL052W,1480
tL(CAA)A,1481
YGR021W,1482
YNL007C,1483
YPR195C,1484
YML028W,1485
YMR096W,1486
YNL320W,1487
YNR006W,1488
YPL053C,1489
YJL105W,1490
YFR011C,1491
YDR325W,1492
YOR171C,1493
YAR008W,1494
YNL153C,1495
YKL104W-A,1496
YOR110W,1497
YFR046C,1498
YPL121C,1499
YOR075W,1500
YFR050C,1501
YDL118W,1502
YNL250W,1503
YNL255C,1504
YOL012C,1505
YFL057C,1506
YPL265W,1507
tG(UCC)Q,1508
YAL018C,1509
YEL005C,1510
YDR073W,1511
YDR210W,1512
YNR028W,1513
YOR294W,1514
YOR346W,1515
YBR276C,1516
YBL100W-B,1517
YCR097WB,1518
YNL263C,1519
YOL061W,1520
YDR364C,1521
YLR342W,1522
YLR236C,1523
YNL233W,1524
YDR021W,1525
YKL015W,1526
YMR307W,1527
YDR525W,1528
YLR035C-A,1529
YJR059W,1530
YDR040C,1531
YDL059C,1532
YAL047C,1533
YDR017C,1534
YOR242C,1535
YKL006C-A,1536
YKL121W,1537
YJL129C,1538
YLR186W,1539
YGL004C,1540
YKL183C-A,1541
YNL067W,1542
YMR189W,1543
YJR154W,1544
YKL044W,1545
YBR060C,1546
YGL230C,1547
YCL057W,1548
YDR138W,1549
YGR145W,1550
YHR198C,1551
YDR247W,1552
YLR108C,1553
YFL037W,1554
YNL068C,1555
YER056C-A,1556
YOR026W,1557
YFR020W,1558
YBR260C,1559
YJL081C,1560
YJR003C,1561
Endo.SceI,1562
YER006W,1563
YDL018C,1564
YEL065W,1565
YDL203C,1566
YMR194C-B,1567
YIL096C,1568
YCR020C-A,1569
YGR181W,1570
YFL053W,1571
YIL080W,1572
YFL002W-A,1573
YHL008C,1574
YPL082C,1575
YER162C,1576
YJL174W,1577
tE(CUC)D,1578
YPL249C,1579
YGL090W,1580
YJR161C,1581
YKL089W,1582
YER089C,1583
YOL038W,1584
YOL027C,1585
YDR086C,1586
YJR153W,1587
YHR072W-A,1588
YEL058W,1589
YPL247C,1590
YKR018C,1591
YDL182W,1592
YKL130C,1593
YHL004W,1594
YMR211W,1595
YDL080C,1596
YER164W,1597
YNL090W,1598
YPL157W,1599
YLR117C,1600
YOR084W,1601
YGL195W,1602
YDR504C,1603
YOL036W,1604
YBR150C,1605
YGR044C,1606
PFK5,1607
YKL020C,1608
YLR122C,1609
YDR381W,1610
YDL210W,1611
YDL160C,1612
YDL033C,1613
YMR212C,1614
YLR415C,1615
YGR220C,1616
YGL031C,1617
YMR291W,1618
YJL101C,1619
YKL190W,1620
YFR019W,1621
