YORF,Common
YPR054W,SMK1
YDL088C,ASM4
YKL039W,PTM1
YHL038C,CBP2
YPL214C,THI6
YDR420W,HKR1
YDR046C,BAP3
YNL291C,MID1
YHR078W,YHR078W
YMR190C,SGS1
YDL104C,QRI7
YGR045C,YGR045C
YDR440W,DOT1
YDR049W,VMS1
YGR076C,MRPL25
YGR088W,CTT1
YJL104W,PAM16
YOR181W,LAS17
YEL021W,URA3
YLR027C,AAT2
YOR237W,HES1
YBL048W,RRT1
YFL024C,EPL1
YFL021W,GAT1
YBL045C,COR1
YBR219C,YBR219C
YBR220C,YBR220C
YGR208W,SER2
YDR071C,PAA1
YKL201C,MNN4
YPR109W,GLD1
YJR109C,CPA2
YGL187C,COX4
YPL145C,KES1
YLR395C,COX8
YPR191W,QCR2
YEL024W,RIP1
YAR044W,OSH1
YAR042W,SWH1
YGR116W,SPT6
YGR135W,PRE9
YKR024C,DBP7
YCL054W,SPB1
YPL053C,KTR6
YFR004W,RPN11
YFR005C,SAD1
YFR007W,YFH7
YFR018C,YFR018C
YLR017W,MEU1
YMR300C,ADE4
YDR214W,AHA1
YDL140C,RPO21
YOR116C,RPO31
YHR018C,ARG4
YMR011W,HXT2
YHR181W,SVP26
YLR084C,RAX2
YDR365W-B,YDR365W-B
YBR142W,MAK5
YOR312C,RPL20B
YER165W,PAB1
YDR408C,ADE8
YLR300W,EXG1
YMR283C,RIT1
YBL087C,RPL23A
YDL209C,CWC2
YBR202W,MCM7
YBR020W,GAL1
YLL043W,FPS1
YGL068W,MNP1
YGL067W,NPY1
YGL066W,SGF73
YGL056C,SDS23
YLR132C,USB1
YBR092C,PHO3
YKL149C,DBR1
YGL219C,MDM34
YGL201C,MCM6
YGL186C,TPN1
YML051W,GAL80
YGL031C,RPL24A
YOL127W,RPL25
YJL189W,RPL39
YMR056C,AAC1
YOL006C,TOP1
YOR350C,MNE1
YOR351C,MEK1
YGR010W,NMA2
YGR043C,NQM1
YCR024C,SLM5
YCR098C,GIT1
YGR096W,TPC1
YGR103W,NOP7
YLR100W,ERG27
YIL078W,THS1
YLL018C,DPS1
YDR268W,MSW1
YMR214W,SCJ1
YOR065W,CYT1
YCR036W,RBK1
YPR141C,KAR3
YCR065W,HCM1
YCL036W,GFD2
YCR105W,ADH7
YGR138C,TPO2
YGR189C,CRH1
YGR244C,LSC2
YGR248W,SOL4
YGR256W,GND2
YFR053C,HXK1
YGL253W,HXK2
YGR276C,RNH70
YBR193C,MED8
YPL012W,RRP12
YCL019W,YCL019W
YCL075W,YCL075W
YJL172W,CPS1
YDL145C,COP1
YLR216C,CPR6
YEL063C,CAN1
YHR065C,RRP3
YHR073W,OSH3
YHR169W,DBP8
YHR001W,OSH7
YHR031C,RRM3
YPL127C,HHO1
YGR288W,MAL13
YNL070W,TOM7
YDL136W,RPL35B
YGR271C-A,EFG1
YGR272C,YGR272C
YHR072W-A,NOP10
YLR212C,TUB4
YPL265W,DIP5
YHR164C,DNA2
YPL212C,PUS1
YBR135W,CKS1
YBR023C,CHS3
YLR310C,CDC25
YNL055C,POR1
YDR225W,HTA1
YNR047W,FPK1
YDL148C,NOP14
YPL158C,AIM44
YNR056C,BIO5
YKL126W,YPK1
YBL003C,HTA2
YGL008C,PMA1
YDL160C,DHH1
YOR137C,SIA1
YLR146C,SPE4
YOR386W,PHR1
YML099C,ARG81
YJL088W,ARG3
YBR021W,FUR4
YLR340W,RPP0
YPL060C-A,YPL060C-A
YLR133W,CKI1
YEL034W,HYP2
YPR158C-D,YPR158C-D
YOR207C,RET1
YGR183C,QCR9
YDL081C,RPP1A
YNL218W,MGS1
YPL198W,RPL7B
YER023W,PRO3
YOL039W,RPP2A
YGL040C,HEM2
YGR157W,CHO2
YPR103W,PRE2
YFL001W,DEG1
YJR073C,OPI3
YMR001C,CDC5
YPL078C,ATP4
YNL141W,AAH1
YDR172W,SUP35
YGL076C,RPL7A
YNL163C,RIA1
YLR410W-A,YLR410W-A
YKL190W,CNB1
YHL009W-B,YHL009W-B
YPR175W,DPB2
YNL124W,NAF1
YNL331C,AAD14
YGL147C,RPL9A
YLR448W,RPL6B
YKL180W,RPL17A
YLR344W,RPL26A
YPL143W,RPL33A
YPL140C,MKK2
YJL173C,RFA3
YBL008W,HIR1
YJR123W,RPS5
YNL047C,SLM2
YNL009W,IDP3
YLR152C,YLR152C
YMR169C,ALD3
YPR182W,SMX3
YML061C,PIF1
YFR032C-A,RPL29
YLR029C,RPL15A
YLR061W,RPL22A
YNL178W,RPS3
YHR120W,MSH1
YIL133C,RPL16A
YKL203C,TOR2
YOR017W,PET127
YOL067C,RTG1
YJR060W,CBF1
YBR012W-A,YBR012W-A
YDR064W,RPS13
YLR167W,RPS31
YPL155C,KIP2
YHR005C-A,TIM10
YOL090W,MSH2
YDL022W,GPD1
YBL013W,FMT1
YFL056C,AAD6
YFL057C,AAD16
YBR091C,TIM12
YOL147C,PEX11
YKL166C,TPK3
YDL165W,CDC36
YFL042C,LAM5
YOR132W,VPS17
YGL171W,ROK1
YIL038C,NOT3
YOR361C,PRT1
YGL145W,TIP20
YLR071C,RGR1
YIL143C,SSL2
YKL013C,ARC19
YOR125C,CAT5
YPL259C,APM1
YNL248C,RPA49
YJL080C,SCP160
YNR016C,ACC1
YPR042C,PUF2
YLR355C,ILV5
YGR270W,YTA7
YDR477W,SNF1
YJL050W,MTR4
YLR044C,PDC1
YDL200C,MGT1
YKL113C,RAD27
YKL065C,YET1
YKL106W,AAT1
YKR087C,OMA1
YBL022C,PIM1
YMR105C,PGM2
YPR137C-B,YPR137C-B
YOL128C,YGK3
YBL093C,ROX3
YNL167C,SKO1
YKR010C,TOF2
YMR239C,RNT1
YDR079C-A,TFB5
YKL041W,VPS24
YCR084C,TUP1
YKR036C,CAF4
YJR155W,AAD10
YDL108W,KIN28
YDL017W,CDC7
YLL006W,MMM1
YPL020C,ULP1
YLR439W,MRPL4
YPL203W,TPK2
YNL079C,TPM1
YDL216C,RRI1
YOR140W,SFL1
YCR031C,RPS14A
YDL059C,RAD59
YOR202W,HIS3
YPL271W,ATP15
YDL042C,SIR2
YGR087C,PDC6
YOL113W,SKM1
YBL085W,BOI1
YKR034W,DAL80
YOL103W,ITR2
YMR099C,YMR099C
YOL136C,PFK27
YLR442C,SIR3
YGL120C,PRP43
YOR257W,CDC31
YPR160W,GPH1
YGL150C,INO80
YHR144C,DCD1
YGL237C,HAP2
YGR191W,HIP1
YGL064C,MRH4
YOR360C,PDE2
YDR388W,RVS167
YPL022W,RAD1
YER114C,BOI2
YDR034C-D,YDR034C-D
YER170W,ADK2
YDL170W,UGA3
YDR472W,TRS31
YBR278W,DPB3
YML032C,RAD52
YER073W,ALD5
YER109C,FLO8
YJR052W,RAD7
YPR165W,RHO1
YDR468C,TLG1
YEL038W,UTR4
YHR002W,LEU5
YNL090W,RHO2
YPL177C,CUP9
YNR038W,DBP6
YOR178C,GAC1
YAR014C,BUD14
YKL178C,STE3
YAL016W,TPD3
YJR141W,IPA1
YOR074C,CDC21
YJR005W,APL1
YAR035W,YAT1
YNL088W,TOP2
YKL195W,MIA40
YBR109C,CMD1
YNL298W,CLA4
YGR109W-B,YGR109W-B
YNR052C,POP2
YJL204C,RCY1
YPR104C,FHL1
YAL026C,DRS2
YAL036C,RBG1
YML095C,RAD10
YGL162W,SUT1
YLR430W,SEN1
YER161C,SPT2
YDR392W,SPT3
YHL007C,STE20
YKL182W,FAS1
YDR226W,ADK1
YGR159C,NSR1
YDR165W,TRM82
YOR036W,PEP12
YLR228C,ECM22
YGL189C,RPS26A
YDR419W,RAD30
YIL116W,HIS5
YKL194C,MST1
YKL174C,TPO5
YBR249C,ARO4
YAL005C,SSA1
YOR194C,TOA1
YAL034W-A,MTW1
YPL234C,VMA11
YLR378C,SEC61
YDR406W,PDR15
YGR204W,ADE3
YLR021W,IRC25
YMR083W,ADH3
YDR400W,URH1
YMR186W,HSC82
YDL102W,POL3
YBR082C,UBC4
YJL034W,KAR2
YMR286W,MRPL33
YKR003W,OSH6
YER014W,HEM14
YMR042W,ARG80
YDR173C,ARG82
YPL088W,YPL088W
YDR213W,UPC2
YPL016W,SWI1
YPL144W,POC4
YBR001C,NTH2
YPR009W,SUT2
YGR184C,UBR1
YIL009C-A,EST3
YJL209W,CBP1
YBR120C,CBP6
YDL067C,COX9
YMR290C,HAS1
YOR303W,CPA1
YKL159C,RCN1
YDR531W,CAB1
YCL069W,VBA3
YFR015C,GSY1
YJL130C,URA2
YOL022C,TSR4
YKR048C,NAP1
YPL249C,GYP5
YDR190C,RVB1
YOL139C,CDC33
YPL075W,GCR1
YIL159W,BNR1
YEL046C,GLY1
YNL007C,SIS1
YDR291W,HRQ1
YGL123W,RPS2
YOR375C,GDH1
YPR033C,HTS1
YNL216W,RAP1
YMR049C,ERB1
YBL046W,PSY4
YBR133C,HSL7
YER148W,SPT15
YLR276C,DBP9
YDL126C,CDC48
YIR021W,MRS1
YDL106C,PHO2
YKL109W,HAP4
YFR034C,PHO4
YDR338C,YDR338C
YKL214C,YRA2
YKL217W,JEN1
YLR014C,PPR1
YLR284C,ECI1
YLL026W,HSP104
YGL160W,AIM14
YGL043W,DST1
YOR122C,PFY1
YBR170C,NPL4
YLR424W,SPP382
YHR037W,PUT2
YGR258C,RAD2
YMR208W,ERG12
YIL033C,BCY1
YDR332W,IRC3
YDL084W,SUB2
YKL207W,EMC3
YOL051W,GAL11
YKL213C,DOA1
YGL153W,PEX14
YDL225W,SHS1
YOL121C,RPS19A
YDL243C,AAD4
YGL151W,NUT1
YNL302C,RPS19B
YFL045C,SEC53
YDR023W,SES1
YPR025C,CCL1
YDR354W,TRP4
YBR243C,ALG7
YER054C,GIP2
YCL073C,GEX1
YMR108W,ILV2
YLR072W,LAM6
YOL165C,AAD15
YER177W,BMH1
YHR013C,ARD1
YNL236W,SIN4
YNL201C,PSY2
YIL045W,PIG2
YPR153W,24-May
YNR045W,PET494
YLR245C,CDD1
YPR196W,YPR196W
YBR115C,LYS2
YER022W,SRB4
YOL095C,HMI1
YER174C,GRX4
YIL106W,MOB1
YPR110C,RPC40
YGR094W,VAS1
YOR236W,DFR1
YDR307W,PMT7
YCL009C,ILV6
YBL103C,RTG3
YJL006C,CTK2
YGL141W,HUL5
YLR417W,VPS36
YCL074W,YCL074W
YCL008C,STP22
YFL009W,CDC4
YAL024C,LTE1
YOR274W,MOD5
YLR438W,CAR2
YNL192W,CHS1
YJL128C,PBS2
YOR123C,LEO1
YJL076W,NET1
YGL139W,FLC3
YHR136C,SPL2
YLL042C,ATG10
YNL025C,SSN8
YDR146C,SWI5
YGL136C,MRM2
YGL134W,PCL10
YLR004C,THI73
YDL031W,DBP10
YPL262W,FUM1
YKL165C,MCD4
YLR074C,BUD20
YDR207C,UME6
YGL243W,TAD1
YDL019C,OSH2
YOL071W,SDH5
YKL184W,SPE1
YER026C,CHO1
YDR523C,SPS1
YGL240W,DOC1
YGL131C,SNT2
YOL055C,THI20
YOL065C,INP54
YGL025C,PGD1
YPL235W,RVB2
YGL125W,MET13
YDR522C,SPS2
YNL277W,MET2
YJL208C,NUC1
YMR257C,PET111
YGL226W,MTC3
YGR105W,VMA21
YIR017C,MET28
YGL236C,MTO1
YOR028C,CIN5
YGL181W,GTS1
YNL068C,FKH2
YOR151C,RPB2
YOR302W,YOR302W
YJL167W,ERG20
YGL216W,KIP3
YGL211W,NCS6
YJR010W,MET3
YHR005C,GPA1
YDR127W,ARO1
YGL124C,MON1
YPR134W,MSS18
YLR451W,LEU3
YIR019C,FLO11
YCR102C,YCR102C
YCR106W,RDS1
YGL202W,ARO8
YJL005W,CYR1
YCR005C,CIT2
YHR023W,MYO1
YCR018C,SRD1
YOR260W,GCD1
YPL237W,SUI3
YJL194W,CDC6
YDR308C,SRB7
YLR377C,FBP1
YEL060C,PRB1
YLR142W,PUT1
YBL075C,SSA3
YMR005W,TAF4
YOR241W,MET7
YBL076C,ILS1
YBR084W,MIS1
YGL113W,SLD3
YGL114W,YGL114W
YDR028C,REG1
YOR242C,SSP2
YGL112C,TAF6
YGL203C,KEX1
YFL018C,LPD1
YML085C,TUB1
YGL111W,NSA1
YOR244W,ESA1
YNR009W,NRM1
YKL022C,CDC16
YJL087C,TRL1
YNL030W,HHF2
YBR009C,HHF1
YMR176W,ECM5
YML118W,NGL3
YOR250C,CLP1
YMR070W,MOT3
YDL227C,HO
YOR313C,SPS4
YJL026W,RNR2
YDR232W,HEM1
YOL145C,CTR9
YMR177W,MMT1
YLR272C,YCS4
YLR182W,SWI6
YNL138W-A,YSF3
YLR333C,RPS25B
YER188C-A,YER188C-A
YKR057W,RPS21A
YJL190C,RPS22A
YBR118W,TEF2
YPR080W,TEF1
YNL199C,GCR2
YDR201W,SPC19
YDR379W,RGA2
YPR102C,RPL11A
YLR264W,RPS28B
YOL153C,YOL153C
YDR524W-C,YDR524W-C
YDR524W-A,YDR524W-A
YDR043C,NRG1
YBL039W-B,MIN6
YBL039W-A,YBL039W-A
YBL101W-C,YBL101W-C
YBL100W-C,YBL100W-C
YER138W-A,YER138W-A
YNL097C-B,PLS1
YNL097C-A,YNL097C-A
YOL013W-B,YOL013W-B
YOL013W-A,YOL013W-A
YDR034C-A,YDR034C-A
YHR010W,RPL27A
YDR471W,RPL27B
YDL075W,RPL31A
YOR261C,RPN8
YLR406C,RPL31B
YDR316W-B,YDR316W-B
YDR145W,TAF12
YDR098C,GRX3
YDR121W,DPB4
YDR261C-D,YDR261C-D
YHR214C-C,YHR214C-C
YLR157C-B,YLR157C-B
YPR133C,SPN1
YOL072W,THP1
YLR226W,BUR2
YLR024C,UBR2
YPL264C,YPL264C
YLR227W-B,YLR227W-B
YDL080C,THI3
YLR256W-A,YLR256W-A
YLR035C-A,YLR035C-A
YLR273C,PIG1
YPL279C,FEX2
YOL164W,BDS1
YOR079C,ATX2
YDR027C,VPS54
YDR020C,DAS2
YPR158W-B,YPR158W-B
YLR410W-B,YLR410W-B
YDR253C,MET32
YDL005C,MED2
YPR091C,NVJ2
YLR006C,SSK1
YOR243C,PUS7
YDL022C-A,YDL022C-A
YPL195W,APL5
YER060W-A,FCY22
YPL224C,MMT2
YGL041W-A,DPC13
YDR038C,ENA5
YPR170W-B,YPR170W-B
YLL052C,AQY2
YPR192W,AQY1
YER039C-A,YER039C-A
YLL053C,YLL053C
YDL247W,MPH2
YOR320C,GNT1
YJR160C,MPH3
YER039C,HVG1
YLR256W,HAP1
YMR325W,PAU19
YOR162C,YRR1
YOR394W,PAU21
YPL282C,PAU22
YJL223C,PAU1
YIL176C,PAU14
YNR076W,PAU6
YLL064C,PAU18
YAL068C,PAU8
YGL261C,PAU11
YLR156W,YLR156W
YLR159W,YLR159W
YLR161W,YLR161W
YLR157W-D,YLR157W-D
YLR157W-A,YLR157W-A
YLR157W-E,YLR157W-E
YLR157W-C,YLR157W-C
YML003W,YML003W
YML002W,YML002W
YMR085W,YMR085W
YOL162W,YOL162W
YOL163W,YOL163W
YIL167W,SDL1
YIL168W,YIL168W
YLL017W,YLL017W
YLL016W,SDC25
YPL275W,FDH2
YPL276W,YPL276W
YLL039C,UBI4
YIL148W,RPL40A
YIL066C,RNR3
YLL061W,MMP1
YKR094C,RPL40B
YFL061W,DDI3
YNL335W,DDI2
YHR213W,YHR213W
YIL175W,YIL175W
YIL174W,YIL174W
YCR010C,ADY2
YJR045C,SSC1
YNL015W,PBI2
YDR368W,YPR1
YDR454C,GUK1
YER019W,ISC1
YIL172C,IMA3
YJL221C,IMA4
YEL070W,DSF1
YNR073C,MAN2
YOR393W,ERR1
YCR014C,POL4
YPL281C,ERR2
YPL152W,RRD2
YBR302C,COS2
YML132W,COS3
YGR296W,YRF1-3
YPL283C,YRF1-7
YEL076C-A,YEL076C-A
YLR464W,YLR464W
YAR066W,YAR066W
YHR214W,YHR214W
YGR015C,EAT1
YLR467W,YRF1-5
YOR396W,YRF1-8
YMR242C,RPL20A
YPR043W,RPL43A
YJR094W-A,RPL43B
YNL162W,RPL42A
YGR118W,RPS23A
YLR096W,KIN2
YDL176W,IPF1
YPR132W,RPS23B
YER074W,RPS24A
YLR287C-A,RPS30A
YOR182C,RPS30B
YGR202C,PCT1
YJL140W,RPB4
YJR131W,MNS1
YDR032C,PST2
YJR145C,RPS4A
YHR203C,RPS4B
YBR181C,RPS6B
YBL072C,RPS8A
YER102W,RPS8B
YER117W,RPL23B
YPL220W,RPL1A
YGL135W,RPL1B
YFR031C-A,RPL2A
YIL018W,RPL2B
YDR025W,RPS11A
YOR208W,PTP2
YGL116W,CDC20
YBR048W,RPS11B
YOL120C,RPL18A
YNL301C,RPL18B
YMR143W,RPS16A
YDL083C,RPS16B
YOR026W,BUB3
YNL268W,LYP1
YJL106W,IME2
YEL054C,RPL12A
YDR418W,RPL12B
YDR450W,RPS18A
YAR010C,YAR010C
YPR137C-A,YPR137C-A
YOR142W-A,YOR142W-A
YPR158W-A,YPR158W-A
YFL002W-B,YFL002W-B
YGR161W-A,YGR161W-A
YFL002W-A,YFL002W-A
YGR161W-B,YGR161W-B
YHR142W,CHS7
YDR316W-A,YDR316W-A
YER159C-A,YER159C-A
YGR161C-C,YGR161C-C
YMR051C,YMR051C
YDR365W-A,YDR365W-A
YER137C-A,YER137C-A
YPR186C,PZF1
YER125W,RSP5
YLR157C-A,YLR157C-A
YPL257W-A,YPL257W-A
YJR026W,YJR026W
YLR227W-A,YLR227W-A
YML040W,YML040W
YLR157C,ASP3-2
YLR158C,ASP3-3
YDR162C,NBP2
YER143W,DDI1
YLR160C,ASP3-4
YHR053C,CUP1-1
YHR055C,CUP1-2
YBR084C-A,RPL19A
YIR025W,MND2
YJL030W,MAD2
YBL027W,RPL19B
YDL191W,RPL35A
YDL184C,RPL41A
YDL133C-A,RPL41B
YJL144W,ROQ1
YJL013C,MAD3
YAR062W,YAR062W
YAR061W,YAR061W
YHR212W-A,YHR212W-A
YHR214C-D,YHR214C-D
YER190C-B,YER190C-B
YFL068W,YFL068W
YMR276W,DSK2
YGR225W,AMA1
YLR154C-H,YLR154C-H
YLR156C-A,YLR156C-A
YLR157C-C,YLR157C-C
YLR159C-A,YLR159C-A
YCR040W,MATALPHA1
YCL066W,HMLALPHA1
YCR039C,MATALPHA2
YGR048W,UFD1
YCL067C,HMLALPHA2
YCR097W,HMRA1
YCR096C,HMRA2
YNR002C,ATO2
YLR155C,ASP3-1
YHL034C,SBP1
YMR256C,COX7
YGL003C,CDH1
YGL256W,ADH4
YER153C,PET122
YER152C,YER152C
YNL123W,NMA111
YOR343W-B,YOR343W-B
YIR008C,PRI1
YLR163C,MAS1
YJL133W,MRS3
YDR260C,SWM1
YLL024C,SSA2
YHR007C,ERG11
YFL008W,SMC1
YBR296C-A,TYC1
YDL130W,RPP1B
YLR180W,SAM1
YDR347W,MRP1
YPR166C,MRP2
YBR031W,RPL4A
YER020W,GPA2
YGR222W,PET54
YLR151C,PCD1
YDL044C,MTF2
YER011W,TIR1
YER052C,HOM3
YDL194W,SNF3
YPL079W,RPL21B
YKL017C,HCS1
YAL025C,MAK16
YKR097W,PCK1
YOR341W,RPA190
YDR170C,SEC7
YDL192W,ARF1
YGL062W,PYC1
YLR382C,NAM2
YDR044W,HEM13
YNL241C,ZWF1
YAL041W,CDC24
YDL229W,SSB1
YDR481C,PHO8
YPR052C,NHP6A
YBR089C-A,NHP6B
YNR026C,SEC12
YCL029C,BIK1
YCL027W,FUS1
YDL160C-A,MHF2
YMR235C,RNA1
YGL212W,VAM7
YML098W,TAF13
YHR205W,SCH9
YBR111W-A,SUS1
YHR024C,MAS2
YNL188W,KAR1
YGR255C,COQ6
YLR452C,SST2
YDR227W,SIR4
YGR063C,SPT4
YJL153C,INO1
YGL013C,PDR1
YBR143C,SUP45
YOL009C,MDM12
YOR043W,WHI2
YOR324C,FRT1
YDR212W,TCP1
YIL015W,BAR1
YLR367W,RPS22B
YOR155C,ISN1
YDL015C,TSC13
YMR112C,MED11
YHR127W,YHR127W
YHR132C,ECM14
YPR066W,UBA3
YDL128W,VCX1
YJL129C,TRK1
YGR084C,MRP13
YNL005C,MRP7
YHR126C,ANS1
YGR014W,MSB2
YHR119W,SET1
YHR118C,ORC6
YOR346W,REV1
YNL071W,LAT1
YDR205W,MSC2
YOR142W-B,YOR142W-B
YNL054W-B,YNL054W-B
YCR021C,HSP30
YBL058W,SHP1
YBR196C,PGI1
YNL250W,RAD50
YBR227C,MCX1
YOR143C,THI80
YGR083C,GCD2
YKL209C,STE6
