GO Term ID,GO Term Name,Num GO Term Annos,NN Nes,NN q-value,MEFIT NES,MEFIT q-value,NES Difference
GO:0090304,nucleic acid metabolic process,1703,-1.9684843,0.010281513,-1.014071686,0.6735955,-0.954412614
GO:0071897,DNA biosynthetic process,113,-1.988166067,0.008901235,-1.04765626,0.622000786,-0.940509807
GO:0009262,deoxyribonucleotide metabolic process,10,0.883120502,0.843829533,1.822474847,0.036684839,-0.939354345
GO:0009263,deoxyribonucleotide biosynthetic process,10,0.872865876,0.856552749,1.804255369,0.042732924,-0.931389493
GO:0019344,cysteine biosynthetic process,10,-1.796667571,0.043915337,-0.881171952,0.866554016,-0.915495619
GO:0045047,protein targeting to ER,44,1.525805207,0.110433451,2.427893875,0,-0.902088669
GO:0043603,cellular amide metabolic process,626,2.125695513,0.001544161,3.00764413,0,-0.881948618
GO:0034645,cellular macromolecule biosynthetic process,679,1.923570659,0.009768111,2.802617907,0,-0.879047249
GO:0030847,"termination of RNA polymerase II transcription, exosome-dependent",7,-1.859494289,0.02612145,-1.019448845,0.667999718,-0.840045445
GO:0031167,rRNA methylation,15,-1.994093575,0.008695014,-1.154393916,0.478945854,-0.839699659
GO:0072599,establishment of protein localization to endoplasmic reticulum,45,1.550786784,0.099391438,2.375149556,6.06E-05,-0.824362773
GO:0043039,tRNA aminoacylation,41,1.850199092,0.016853553,2.593517824,0,-0.743318731
GO:0043038,amino acid activation,41,1.885017946,0.013110987,2.611480228,0,-0.726462281
GO:0006418,tRNA aminoacylation for protein translation,37,1.808537217,0.022514777,2.530618348,0,-0.722081131
GO:0043629,ncRNA polyadenylation,6,-1.96972814,0.010266966,-1.26018443,0.382032301,-0.70954371
GO:0006612,protein targeting to membrane,65,1.341875212,0.221677852,1.785295493,0.048638585,-0.443420281
GO:0008535,respiratory chain complex IV assembly,29,2.593574151,0,3.028146245,0,-0.434572094
GO:0070972,protein localization to endoplasmic reticulum,60,1.967384451,0.006567741,2.386042069,3.17E-05,-0.418657618
GO:0051131,chaperone-mediated protein complex assembly,9,1.82414911,0.020493303,2.237537814,0.000333235,-0.413388704
GO:0033617,mitochondrial cytochrome c oxidase assembly,29,2.624889235,0,3.025226953,0,-0.400337718
GO:0000959,mitochondrial RNA metabolic process,42,2.348564381,7.02E-05,2.685326668,0,-0.336762286
GO:0006267,pre-replicative complex assembly involved in nuclear cell cycle DNA replication,19,-1.78172045,0.049084029,-1.446144851,0.247331648,-0.335575599
GO:0017004,cytochrome complex assembly,42,2.933229431,0,3.252413674,0,-0.319184244
GO:0070127,tRNA aminoacylation for mitochondrial protein translation,14,2.335581435,9.48E-05,2.641542489,0,-0.305961054
GO:0042407,cristae formation,11,2.121507924,0.001585176,2.426648334,0,-0.30514041
GO:1901566,organonitrogen compound biosynthetic process,1030,1.917571349,0.010179629,2.221710952,0.000364672,-0.304139603
GO:0140053,mitochondrial gene expression,157,4.107362232,0,4.404599177,0,-0.297236945
GO:0033108,mitochondrial respiratory chain complex assembly,47,3.065241867,0,3.361773566,0,-0.296531699
GO:0006620,post-translational protein targeting to endoplasmic reticulum membrane,25,1.801400715,0.02345289,2.07710874,0.002956875,-0.275708025
GO:0065003,protein-containing complex assembly,554,1.782722115,0.026312834,2.03966145,0.004542521,-0.256939335
GO:0007006,mitochondrial membrane organization,55,2.864842942,0,3.106343816,0,-0.241500873
GO:0043248,proteasome assembly,34,2.138920496,0.001337058,2.366091072,6.06E-05,-0.227170576
GO:0051205,protein insertion into membrane,38,2.512285032,0,2.736822723,0,-0.224537691
GO:0090150,establishment of protein localization to membrane,115,2.305261576,0.000142259,2.523905185,0,-0.218643609
GO:0000376,"RNA splicing, via transesterification reactions with guanosine as nucleophile",8,1.809415387,0.022425019,2.01200016,0.005964909,-0.202584773
GO:0032543,mitochondrial translation,131,4.345754383,0,4.490167319,0,-0.144412935
GO:0007007,inner mitochondrial membrane organization,29,2.812396042,0,2.952855411,0,-0.140459368
GO:0043933,protein-containing complex organization,654,1.665089256,0.052752025,1.782667103,0.049169181,-0.117577846
GO:0000372,Group I intron splicing,8,1.809415387,0.022425019,1.926121915,0.014344978,-0.116706528
GO:0015891,siderophore transport,11,-1.910943088,0.016687217,-1.796357172,0.083619632,-0.114585917
GO:0055070,copper ion homeostasis,22,1.790486603,0.024917833,1.904888038,0.017167354,-0.114401435
GO:0090151,establishment of protein localization to mitochondrial membrane,32,2.50585913,0,2.6127431,0,-0.106883969
GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",11,2.207565348,0.000580152,2.313121152,9.93E-05,-0.105555804
GO:0070590,spore wall biogenesis,48,-1.928876737,0.014073844,-1.82420928,0.076138244,-0.104667458
GO:0070591,ascospore wall biogenesis,48,-1.936851939,0.013110662,-1.844949764,0.074756373,-0.091902175
GO:0006878,cellular copper ion homeostasis,20,1.854349894,0.016406935,1.942579634,0.012341744,-0.08822974
GO:0030476,ascospore wall assembly,48,-1.891542012,0.01976087,-1.81662685,0.078666438,-0.074915162
GO:0042244,spore wall assembly,48,-1.948539344,0.011939926,-1.885184111,0.059689035,-0.063355234
GO:0006621,protein retention in ER lumen,10,1.881481638,0.013459235,1.920987581,0.01477084,-0.039505943
GO:0032978,protein insertion into membrane from inner side,9,2.188162018,0.000753138,2.197878331,0.000499853,-0.009716314
GO:0007008,outer mitochondrial membrane organization,15,1.754858487,0.031263439,1.76006399,0.058260056,-0.005205503
GO:0070726,cell wall assembly,50,-1.832667277,0.033101615,-1.833584782,0.075407447,0.000917505
GO:0000266,mitochondrial fission,9,1.795148737,0.024499771,1.79219719,0.046680978,0.002951547
GO:0070129,regulation of mitochondrial translation,16,2.19402355,0.000727463,2.185658469,0.000644255,0.008365081
GO:0016559,peroxisome fission,8,1.716261712,0.039490795,1.703341975,0.080868918,0.012919737
GO:0000963,mitochondrial RNA processing,22,1.729200559,0.036800108,1.711918409,0.078739555,0.017282151
GO:0045040,protein insertion into mitochondrial outer membrane,11,1.728981604,0.036800108,1.711112132,0.078739555,0.017869472
GO:0032979,protein insertion into mitochondrial inner membrane from matrix,9,2.219656928,0.00034632,2.186981944,0.000632582,0.032674984
GO:0070124,mitochondrial translational initiation,8,2.040547119,0.003305479,2.007831432,0.006154565,0.032715687
GO:0030150,protein import into mitochondrial matrix,24,2.622845006,0,2.571178676,0,0.05166633
GO:0017062,respiratory chain complex III assembly,10,2.165377007,0.000982174,2.110501178,0.001862196,0.054875829
GO:0071940,fungal-type cell wall assembly,49,-1.815129445,0.037573289,-1.876811189,0.061647757,0.061681744
GO:0070131,positive regulation of mitochondrial translation,14,2.229675322,0.000262633,2.166310168,0.000814575,0.063365155
GO:0010927,cellular component assembly involved in morphogenesis,76,-1.8183451,0.03681332,-1.889571103,0.057925429,0.071226003
GO:0010499,proteasomal ubiquitin-independent protein catabolic process,18,2.166922153,0.000982174,2.075810191,0.002989859,0.091111962
GO:0045041,protein import into mitochondrial intermembrane space,8,2.186825717,0.000753138,2.093795833,0.00238577,0.093029885
GO:0034551,mitochondrial respiratory chain complex III assembly,10,2.253786852,0.000196975,2.159847851,0.000892045,0.093939001
GO:0051204,protein insertion into mitochondrial membrane,24,2.34661825,8.65E-05,2.243940266,0.000313633,0.102677984
GO:0051604,protein maturation,97,2.282778351,0.000168125,2.166497732,0.000806214,0.116280619
GO:0045039,protein insertion into mitochondrial inner membrane,13,2.31308055,0.000120502,2.188910486,0.000620507,0.124170065
GO:0062125,regulation of mitochondrial gene expression,18,2.306048221,0.000132448,2.175000207,0.000786653,0.131048014
GO:0035437,maintenance of protein localization in endoplasmic reticulum,11,1.897646945,0.011979275,1.757769883,0.058819265,0.139877062
GO:0043461,proton-transporting ATP synthase complex assembly,11,2.660154156,0,2.488835018,0,0.171319139
GO:0000002,mitochondrial genome maintenance,50,2.100428367,0.001877824,1.922536495,0.014678027,0.177891872
GO:0070585,protein localization to mitochondrion,73,3.251823782,0,3.066429472,0,0.185394311
GO:0072655,establishment of protein localization to mitochondrion,73,3.199181527,0,3.002170562,0,0.197010965
GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",11,2.250474374,0.0002004,2.049652184,0.004141002,0.200822189
GO:0070682,proteasome regulatory particle assembly,11,1.929870081,0.009365596,1.707731048,0.0794751,0.222139033
GO:0019538,protein metabolic process,1589,1.930576779,0.009365596,1.701359649,0.081280641,0.22921713
GO:0006457,protein folding,123,1.862331211,0.015506273,1.628749434,0.133583578,0.233581776
GO:0072657,protein localization to membrane,147,2.287737991,0.000168125,2.036513445,0.004708569,0.251224546
GO:0000413,protein peptidyl-prolyl isomerization,14,1.769484774,0.028626345,1.514764885,0.249716873,0.254719888
GO:0033615,mitochondrial proton-transporting ATP synthase complex assembly,11,2.659675536,0,2.40452151,3.17E-05,0.255154026
GO:0006626,protein targeting to mitochondrion,65,3.123927366,0,2.845763332,0,0.278164033
GO:0065002,intracellular protein transmembrane transport,77,2.830604528,0,2.526350858,0,0.30425367
GO:0071806,protein transmembrane transport,84,2.919410403,0,2.611927826,0,0.307482576
GO:0009142,nucleoside triphosphate biosynthetic process,31,2.3604096,5.33E-05,2.034371883,0.004742192,0.326037717
GO:0070071,proton-transporting two-sector ATPase complex assembly,17,2.521467519,0,2.192742024,0.000596315,0.328725495
GO:0006839,mitochondrial transport,82,3.222040652,0,2.869258741,0,0.352781911
GO:0051668,localization within membrane,182,2.216377848,0.00040596,1.841993941,0.031228891,0.374383907
GO:0006465,signal peptide processing,10,2.184494037,0.000794368,1.800177762,0.043873593,0.384316275
GO:0007005,mitochondrion organization,292,3.331370118,0,2.941210735,0,0.390159383
GO:0006627,protein processing involved in protein targeting to mitochondrion,6,2.15103754,0.001130685,1.749246545,0.062369966,0.401790995
GO:0022900,electron transport chain,40,2.976641815,0,2.565232529,0,0.411409286
GO:0045898,regulation of RNA polymerase II transcription preinitiation complex assembly,13,1.70762538,0.041124342,1.293610081,0.511765452,0.4140153
GO:0061951,establishment of protein localization to plasma membrane,13,1.767929354,0.028780138,1.337741669,0.459937404,0.430187685
GO:0009145,purine nucleoside triphosphate biosynthetic process,21,2.634951818,0,2.203245998,0.000484706,0.43170582
GO:0009206,purine ribonucleoside triphosphate biosynthetic process,21,2.695398971,0,2.255349978,0.000277696,0.440048992
GO:0010952,positive regulation of peptidase activity,7,1.728369256,0.036848341,1.286831101,0.519479778,0.441538156
GO:0006754,ATP biosynthetic process,17,2.537957873,0,2.084532208,0.002713486,0.453425665
GO:0022904,respiratory electron transport chain,33,2.942475502,0,2.477313523,0,0.465161979
GO:0015986,proton motive force-driven ATP synthesis,17,2.538974884,0,2.068060824,0.003295832,0.47091406
GO:1990542,mitochondrial transmembrane transport,62,2.629417724,0,2.139854555,0.001183731,0.489563169
GO:0009165,nucleotide biosynthetic process,116,1.825739579,0.020238059,1.333231235,0.462323502,0.492508345
GO:1901293,nucleoside phosphate biosynthetic process,118,1.813620574,0.022022531,1.316160316,0.487709519,0.497460259
GO:0009201,ribonucleoside triphosphate biosynthetic process,27,2.390715174,5.33E-05,1.882723786,0.021252163,0.507991388
GO:0031505,fungal-type cell wall organization,198,-1.598422828,0.145034887,-2.125115853,0.023207423,0.526693025
GO:0006779,porphyrin-containing compound biosynthetic process,18,1.689412169,0.046030654,1.141366776,0.726202345,0.548045393
GO:0010256,endomembrane system organization,119,2.051044338,0.002981077,1.49533227,0.268573807,0.555712067
GO:0006783,heme biosynthetic process,18,1.730440673,0.036565969,1.141597317,0.726202345,0.588843356
GO:0032271,regulation of protein polymerization,33,1.919930368,0.010070983,1.320598604,0.482134866,0.599331763
GO:0046148,pigment biosynthetic process,18,1.769791749,0.028626345,1.169266681,0.696692272,0.600525068
GO:0061024,membrane organization,237,2.374104798,5.33E-05,1.770190706,0.05435435,0.603914092
GO:0006721,terpenoid metabolic process,9,1.688244558,0.046319525,1.078774569,0.829013841,0.609469989
GO:0046390,ribose phosphate biosynthetic process,79,1.985886506,0.005464576,1.376356318,0.411215694,0.609530188
GO:0031334,positive regulation of protein-containing complex assembly,35,1.709542209,0.04068013,1.099102426,0.805561111,0.610439783
GO:0006119,oxidative phosphorylation,35,3.101252152,0,2.490679924,0,0.610572228
GO:0042773,ATP synthesis coupled electron transport,29,3.002011463,0,2.389354479,3.17E-05,0.612656985
GO:0006525,arginine metabolic process,16,-1.328620989,0.418331084,-1.950528021,0.045660916,0.621907032
GO:0042775,mitochondrial ATP synthesis coupled electron transport,29,3.027118,0,2.399575145,3.17E-05,0.627542854
GO:0006121,"mitochondrial electron transport, succinate to ubiquinone",7,1.880487202,0.013533045,1.252480001,0.564122983,0.628007201
GO:0034982,mitochondrial protein processing,13,2.625621553,0,1.988688537,0.007509982,0.636933016
GO:0072595,maintenance of protein localization in organelle,16,1.973139295,0.00630484,1.333220711,0.462323502,0.639918584
GO:0043001,Golgi to plasma membrane protein transport,12,1.89637416,0.012068423,1.244997041,0.578643655,0.651377118
GO:0019646,aerobic electron transport chain,29,2.97898223,0,2.323470638,8.69E-05,0.655511592
GO:0006164,purine nucleotide biosynthetic process,66,2.099739436,0.001878293,1.441384447,0.324732569,0.658354989
GO:0033014,tetrapyrrole biosynthetic process,18,1.807333129,0.022699263,1.141366776,0.726202345,0.665966353
GO:0072522,purine-containing compound biosynthetic process,71,2.028312441,0.003715947,1.355731413,0.437857055,0.672581028
GO:0030832,regulation of actin filament length,18,2.154376339,0.001101088,1.480852648,0.283399913,0.673523691
GO:0006605,protein targeting,255,2.691990611,0,2.015250455,0.005804196,0.676740155
GO:0000001,mitochondrion inheritance,24,2.212528302,0.000512134,1.524592028,0.237741521,0.687936274
GO:0043632,modification-dependent macromolecule catabolic process,267,1.733607588,0.035820485,1.039604109,0.877681034,0.69400348
GO:0008299,isoprenoid biosynthetic process,20,1.720078206,0.038901506,1.022992254,0.888074202,0.697085952
GO:0044743,protein transmembrane import into intracellular organelle,54,3.129378038,0,2.416978902,0,0.712399136
GO:0006801,superoxide metabolic process,9,1.697301074,0.043699914,0.981230021,0.945097832,0.716071053
GO:0072594,establishment of protein localization to organelle,359,2.411343701,3.94E-05,1.694338858,0.084240707,0.717004842
GO:0045229,external encapsulating structure organization,250,-1.469106277,0.258609934,-2.18628495,0.01499356,0.717178673
GO:0006890,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",34,2.117911008,0.001634309,1.399581272,0.37695631,0.718329736
GO:0008064,regulation of actin polymerization or depolymerization,18,2.152720505,0.001103446,1.434356846,0.331453893,0.718363659
GO:0071451,cellular response to superoxide,9,1.704534788,0.04188309,0.977173752,0.945097832,0.727361036
GO:0019430,removal of superoxide radicals,9,1.704534788,0.04188309,0.971025062,0.953870151,0.733509726
GO:0000303,response to superoxide,9,1.713660171,0.039772675,0.978343662,0.945097832,0.735316509
GO:0000305,response to oxygen radical,9,1.713660171,0.039772675,0.978343662,0.945097832,0.735316509
GO:0030833,regulation of actin filament polymerization,18,2.200299162,0.00063528,1.452644002,0.310747915,0.74765516
GO:0045862,positive regulation of proteolysis,20,2.033495378,0.003489063,1.277639882,0.52734884,0.755855496
GO:0071555,cell wall organization,250,-1.470328384,0.258164959,-2.227185191,0.01499356,0.756856806
GO:0051452,intracellular pH reduction,29,2.231817163,0.000253859,1.472280533,0.293939506,0.75953663
GO:0065008,regulation of biological quality,458,1.724884597,0.037667628,0.953835647,0.974518575,0.77104895
GO:0010822,positive regulation of mitochondrion organization,7,1.792080645,0.024842853,1.014075673,0.903669744,0.778004972
