GO Term ID,GO Term Name,Num GO Term Annos,NN_-_- Nes,NN_-_- q-value,MEFIT_-_- NES,MEFIT_-_- q-value,NES Difference
GO:0071616,acyl-CoA biosynthetic process,8,2.373792596405429,0.0002618535326046,-1.210174552009887,0.4806655781717802,3.583967148415316
GO:0006888,endoplasmic reticulum to Golgi vesicle-mediated transport,103,2.367918633799036,0.0002874002187124,1.61277252290905,0.2446387159905078,0.755146110889986
GO:0006637,acyl-CoA metabolic process,24,2.3487090915721627,0.0003429034355536,-1.0107311049266638,0.7107820812707701,3.3594401964988263
GO:0035384,thioester biosynthetic process,8,2.343991605165957,0.0003958251074256,-1.2270016375146546,0.4642787907049894,3.5709932426806112
GO:1901135,carbohydrate derivative metabolic process,337,2.31580015034468,0.0004760973320084,-0.6889902586540657,0.9600202874549628,3.004790408998746
GO:0006753,nucleoside phosphate metabolic process,188,2.283906165410285,0.0007748726985239,-0.7967931389922266,0.9140643248066876,3.0806993044025117
GO:0010499,proteasomal ubiquitin-independent protein catabolic process,18,2.283673780738039,0.0007748726985239,2.241411229104401,0.0018775904823321,0.0422625516336379
GO:0030641,regulation of cellular pH,33,2.281666961837552,0.0007748726985239,1.583042775526209,0.2854297003459408,0.6986241863113427
GO:0032787,monocarboxylic acid metabolic process,168,2.279463238563629,0.0007748726985239,-1.3905959538208528,0.3279723351709824,3.670059192384482
GO:0051453,regulation of intracellular pH,33,2.278793242390817,0.0007748726985239,1.5763690802589871,0.2941811808350346,0.7024241621318299
GO:0072662,protein localization to peroxisome,24,2.2720379032392595,0.0008379313043348,-0.98934318729787,0.7385955420978757,3.2613810905371294
GO:0006906,vesicle fusion,50,2.2682981197150065,0.0008728451086821,1.143422049117889,0.8698508641001833,1.1248760705971175
GO:0006625,protein targeting to peroxisome,24,2.2558493681685183,0.0009315942986895,-1.0247817824178953,0.6910055707205869,3.2806311505864136
GO:0055086,nucleobase-containing small molecule metabolic process,219,2.2505576090596984,0.0009455822010722,-0.8212435318095752,0.8967684996901123,3.0718011408692734
GO:0043248,proteasome assembly,34,2.248206527154638,0.0009455822010722,2.3664794673091056,0.0003555200913291,-0.11827294015446776
GO:0044743,protein transmembrane import into intracellular organelle,54,2.2430187246381967,0.0010053305269642,-1.0305293588018456,0.6834256773926586,3.2735480834400423
GO:0007035,vacuolar acidification,29,2.2422966735943177,0.0010053305269642,1.7816859489609846,0.0910178836481496,0.4606107246333331
GO:0072663,establishment of protein localization to peroxisome,24,2.2410103497647027,0.0010336323655446,-0.9944109192519228,0.7325045336086659,3.2354212690166255
GO:0034030,ribonucleoside bisphosphate biosynthetic process,15,2.239115107680996,0.0010383846982597,-1.1296393775648383,0.5648435664168533,3.3687544852458347
GO:0030004,cellular monovalent inorganic cation homeostasis,42,2.23103194472015,0.0012205037536656,0.8842281746773236,0.9824961661717336,1.3468037700428264
GO:1901293,nucleoside phosphate biosynthetic process,118,2.2278064196509737,0.001265625407589,1.0512564761404015,0.957916428838172,1.1765499435105722
GO:0034032,purine nucleoside bisphosphate metabolic process,33,2.2255971787881568,0.0012878042587113,-1.271773929119138,0.4236682367141177,3.497371107907295
GO:0055067,monovalent inorganic cation homeostasis,44,2.2188314152786357,0.0013923957686119,0.8442929364658158,0.9824961661717336,1.3745384788128199
GO:0033875,ribonucleoside bisphosphate metabolic process,33,2.215818457599106,0.0013923957686119,-1.2525109957839156,0.4379645445080039,3.4683294533830216
GO:0034033,purine nucleoside bisphosphate biosynthetic process,15,2.211137645325981,0.0014099805601787,-1.1309322175373908,0.563568468451539,3.342069862863372
GO:0009165,nucleotide biosynthetic process,116,2.210265786409312,0.0014099805601787,1.0954425011724285,0.9190967596045632,1.1148232852368836
GO:0033865,nucleoside bisphosphate metabolic process,33,2.202883484721562,0.0014878041625263,-1.2542210469609956,0.4357752348065699,3.4571045316825577
GO:0030865,cortical cytoskeleton organization,62,2.195017167446738,0.0015633046722664,-0.7662095939297183,0.9248751788941272,2.961226761376456
GO:0051452,intracellular pH reduction,29,2.191333951501157,0.001617330642558,1.763330023710629,0.0978552891379365,0.4280039277905281
GO:1902905,positive regulation of supramolecular fiber organization,31,2.187966592056988,0.0017646651110312,-0.8290472959694493,0.8874855459904218,3.0170138880264377
GO:0043574,peroxisomal transport,26,2.181260777412279,0.0018624793516245,-1.1645892050306703,0.5196741574543534,3.3458499824429495
GO:0006631,fatty acid metabolic process,66,2.178225723769854,0.0018624793516245,-1.1663039605351568,0.5171313324162429,3.344529684305011
GO:0007031,peroxisome organization,53,2.177544946006794,0.001872980129047,-1.1139343841441474,0.5840089516624539,3.291479330150941
GO:0006885,regulation of pH,34,2.1765810791035007,0.0018931302695064,1.4628288931558653,0.5159928061108711,0.7137521859476355
GO:0010638,positive regulation of organelle organization,94,2.175848212987204,0.0018931302695064,-1.2035311087075031,0.489870576583472,3.3793793216947074
GO:0033866,nucleoside bisphosphate biosynthetic process,15,2.1573974061492205,0.0022444588508968,-1.1213743315712243,0.5746012773152573,3.2787717377204446
GO:0016236,macroautophagy,157,2.1566376001098893,0.0022444588508968,-0.8223758547161958,0.8954833557481682,2.979013454826085
GO:0019637,organophosphate metabolic process,386,2.1564750204848067,0.0022444588508968,-0.8304627455287219,0.8870028910371677,2.9869377660135283
GO:0016558,protein import into peroxisome matrix,22,2.153565964988616,0.0023403159476539,-1.0054697387150755,0.7154339829143875,3.1590357037036916
GO:0044255,cellular lipid metabolic process,327,2.1522626784080323,0.0023403159476539,-1.081719118073733,0.6246654150658816,3.2339817964817654
GO:0030029,actin filament-based process,159,2.1521646807248764,0.0023403159476539,-1.351906370006824,0.3643506109553466,3.5040710507317003
GO:0006890,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",34,2.148270336536334,0.0024892249395749,1.3791568643976766,0.6520308184798645,0.7691134721386574
GO:0097237,cellular response to toxic substance,38,2.138040506013711,0.0028261021506719,-0.7256684764038802,0.945475146575674,2.863708982417591
GO:0006085,acetyl-CoA biosynthetic process,6,2.1354814566935865,0.0028866985823281,-0.8376499910680196,0.8870028910371677,2.973131447761606
GO:0030866,cortical actin cytoskeleton organization,59,2.132324860164849,0.0029574046035346,-0.8881512646239854,0.8410527558537074,3.0204761247888343
GO:1990748,cellular detoxification,36,2.13209638438982,0.0029574046035346,-0.7299950599869649,0.945475146575674,2.862091444376785
GO:0030036,actin cytoskeleton organization,157,2.1219813782966392,0.0033300938385589,-1.3288123595185477,0.3777125682334966,3.4507937378151867
GO:0006900,vesicle budding from membrane,30,2.1211539203132244,0.0033300938385589,0.8726491005385687,0.9824961661717336,1.2485048197746558
GO:0015919,peroxisomal membrane transport,26,2.1187607421814376,0.0033300938385589,-1.1543722611730722,0.532995304744754,3.27313300335451
GO:0070127,tRNA aminoacylation for mitochondrial protein translation,14,2.1182005850687298,0.0033300938385589,2.497142957282945,0.0,-0.37894237221421534
GO:0006084,acetyl-CoA metabolic process,14,2.1174492871386548,0.0033300938385589,-0.7814498961768259,0.9229853798653352,2.8988991833154807
GO:0051090,regulation of DNA-binding transcription factor activity,9,2.1154724059644443,0.0033300938385589,-1.263092022377999,0.4271276098392666,3.378564428342443
GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",11,2.113957428070656,0.0033300938385589,1.5621636428447596,0.320412097548403,0.5517937852258963
GO:0097576,vacuole fusion,45,2.1054032035452748,0.0036321619038707,1.118083248406087,0.8889416433778183,0.9873199551391878
GO:0045185,maintenance of protein location,43,2.0972841833262184,0.0039967118134391,1.0518701255733305,0.957916428838172,1.0454140577528879
GO:0042144,"vacuole fusion, non-autophagic",44,2.095309436108173,0.0039967118134391,1.1252408451621565,0.885338788455409,0.9700685909460165
GO:0046364,monosaccharide biosynthetic process,35,2.0935995724768315,0.004064185037301,-1.4257764532170107,0.3019649728865377,3.519376025693842
GO:0016192,vesicle-mediated transport,460,2.0918410115133024,0.0041032718511241,-0.7161963124536233,0.945475146575674,2.808037323966926
GO:0045454,cell redox homeostasis,24,2.082072360153305,0.0044463248358113,-0.8139978040384929,0.9006934760914236,2.896070164191798
GO:1902600,proton transmembrane transport,80,2.081262699053384,0.0044463248358113,1.023523753711642,0.9598912595534356,1.0577389453417418
GO:0034976,response to endoplasmic reticulum stress,92,2.0812110721520787,0.0044463248358113,0.9664465122850427,0.9598912595534356,1.114764559867036
GO:0051235,maintenance of location,59,2.080941845987955,0.0044463248358113,0.8599169237247175,0.9824961661717336,1.2210249222632374
GO:0097384,cellular lipid biosynthetic process,32,2.0757065576667024,0.004766751200327,-0.9277200552927894,0.8072439871237129,3.0034266129594918
GO:0006629,lipid metabolic process,349,2.07464007389391,0.004766751200327,-1.0207699367234164,0.6941126552556185,3.095410010617327
GO:0090174,organelle membrane fusion,54,2.067917523808847,0.005136357754937,1.1531568204255789,0.8586958545288179,0.9147607033832681
GO:0043433,negative regulation of DNA-binding transcription factor activity,8,2.0644782705943534,0.0053118859471225,-1.4234140972633358,0.3030895337520616,3.487892367857689
GO:0016051,carbohydrate biosynthetic process,94,2.061835242224413,0.0054470475414454,-1.329449082990422,0.3777125682334966,3.391284325214835
GO:0051495,positive regulation of cytoskeleton organization,46,2.057185958404278,0.005653099629128,-0.8960087118392924,0.8345168776479971,2.9531946702435707
GO:0006886,intracellular protein transport,442,2.053286986291511,0.0058432130886774,-0.8082148502460479,0.9042189026704998,2.861501836537559
GO:0016129,phytosteroid biosynthetic process,32,2.0503648228961824,0.0059631190834055,-0.904237706311424,0.828422392860226,2.954602529207606
GO:0019319,hexose biosynthetic process,33,2.0500412802805856,0.0059631190834055,-1.4425762794315586,0.2983259513433223,3.4926175597121443
GO:0016226,iron-sulfur cluster assembly,25,2.047698457853925,0.0060391445357465,-1.046832708328515,0.6673373057478812,3.09453116618244
GO:0008654,phospholipid biosynthetic process,125,2.040527734328636,0.0064211040169136,0.7606399320264956,0.9919030116560664,1.2798878023021405
GO:0044088,regulation of vacuole organization,27,2.039272209674055,0.0064211040169136,1.025733756241577,0.9598912595534356,1.013538453432478
GO:0006090,pyruvate metabolic process,41,2.0390611137087395,0.0064211040169136,-1.2182709767890272,0.4726349989516351,3.2573320904977665
GO:0051130,positive regulation of cellular component organization,139,2.038970856332519,0.0064211040169136,-1.0120840935832436,0.7107820812707701,3.0510549499157626
GO:0051651,maintenance of location in cell,42,2.0377360525118355,0.006433470413131,1.1165450978578384,0.8889416433778183,0.9211909546539971
GO:1901616,organic hydroxy compound catabolic process,26,2.032576804868389,0.006611801698267,0.7476694092246312,0.9919030116560664,1.2849073956437578
GO:0005975,carbohydrate metabolic process,263,2.031422994393469,0.006611801698267,-1.6855792320172442,0.1903163958418172,3.717002226410713
GO:0006696,ergosterol biosynthetic process,32,2.0313484300063998,0.006611801698267,-0.9119985748206112,0.8196846077055667,2.943347004827011
GO:0008610,lipid biosynthetic process,224,2.0307002695341585,0.006611801698267,-0.652599243292305,0.9713500972334078,2.6832995128264634
GO:0098869,cellular oxidant detoxification,32,2.0225638581924965,0.0072117038487833,-0.8114179215713294,0.903226138714752,2.833981779763826
GO:0036503,ERAD pathway,56,2.0212174463121264,0.0072117038487833,1.081301975733221,0.9297045863221872,0.9399154705789055
GO:1902653,secondary alcohol biosynthetic process,34,2.0166685200921264,0.007514983496702,-0.9117839089484312,0.8196846077055667,2.928452429040558
GO:0090407,organophosphate biosynthetic process,266,2.0131397169386727,0.0077822869890097,0.8621484127140522,0.9824961661717336,1.1509913042246205
GO:0060260,regulation of transcription initiation by RNA polymerase II,22,2.012056565277834,0.0077822869890097,0.9062294684890592,0.9820772238496392,1.1058270967887749
GO:0010498,proteasomal protein catabolic process,173,2.0068657023458973,0.0082370461634292,1.3698110198855882,0.6520308184798645,0.6370546824603092
GO:0006644,phospholipid metabolic process,159,2.00618819647609,0.0082370461634292,-0.5310589377067102,0.9949315329708184,2.5372471341828002
GO:0006749,glutathione metabolic process,23,2.005609500535202,0.0082749807764511,0.9088924269152426,0.9820772238496392,1.0967170736199594
GO:0031163,metallo-sulfur cluster assembly,25,2.00105844793464,0.008585197881961,-1.052739982599244,0.6593652799701063,3.053798430533884
GO:0006605,protein targeting,255,2.0002505146777523,0.008585197881961,1.5243901488046694,0.3934755644128339,0.4758603658730829
GO:0043001,Golgi to plasma membrane protein transport,12,1.9997862462485203,0.008585197881961,1.332572073621629,0.666555205935118,0.6672141726268912
GO:0098754,detoxification,47,1.9978977738994423,0.0087284510868211,-0.9241458011907916,0.8100955936699569,2.922043575090234
GO:0009636,response to toxic substance,54,1.993831708187556,0.0089499192487255,-0.9078192901206106,0.826323923296932,2.901650998308167
GO:1901137,carbohydrate derivative biosynthetic process,236,1.9932773588658943,0.0089499192487255,1.0368936734790244,0.9598912595534356,0.9563836853868699
GO:0061912,selective autophagy,52,1.9908767453228144,0.00910668396725,0.8219360136220127,0.9919030116560664,1.1689407317008018
GO:2000142,regulation of DNA-templated transcription initiation,23,1.9872223305003147,0.0094191918203105,0.8457921393384169,0.9824961661717336,1.1414301911618978
GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,164,1.9865626284129343,0.0094191918203105,1.4050723940990262,0.6146497978967036,0.5814902343139081
GO:0070124,mitochondrial translational initiation,8,1.9859523295870327,0.0094191918203105,2.0263941317231065,0.0157139880367489,-0.040441802136073735
GO:0044108,cellular alcohol biosynthetic process,32,1.9857988605257983,0.0094191918203105,-0.904237706311424,0.828422392860226,2.8900365668372223
GO:0000959,mitochondrial RNA metabolic process,42,1.9841391162768185,0.0094921905569179,2.4203576372463185,0.0002567645104043,-0.4362185209695
GO:0006094,gluconeogenesis,33,1.982947151723144,0.0095641538504529,-1.4117881330348874,0.3071358390560322,3.394735284758031
GO:0098876,vesicle-mediated transport to the plasma membrane,40,1.978318505992342,0.009948590200014,0.9456375550780636,0.9598912595534356,1.0326809509142785
GO:0032889,"regulation of vacuole fusion, non-autophagic",9,1.97652127584961,0.0100712897155628,1.58278667505245,0.2854297003459408,0.39373460079716005
GO:0006490,oligosaccharide-lipid intermediate biosynthetic process,16,1.9753462370817223,0.0101468243884295,0.8506856703235326,0.9824961661717336,1.1246605667581897
GO:0007015,actin filament organization,88,1.9662125087787392,0.0112094834162942,-1.4361173692492315,0.2983259513433223,3.4023298780279707
GO:0061919,process utilizing autophagic mechanism,249,1.9655397598086963,0.0112094834162942,-0.7963200541756053,0.9140643248066876,2.7618598139843016
GO:0030433,ubiquitin-dependent ERAD pathway,52,1.9632766603764944,0.011436052240284,1.1912372040708938,0.7865070223679694,0.7720394563056006
GO:0043648,dicarboxylic acid metabolic process,50,1.958090875069427,0.0120539909508999,-0.6492842578235307,0.9713500972334078,2.6073751328929577
GO:0071806,protein transmembrane transport,84,1.957365989243137,0.0120539909508999,1.3039157410418725,0.68523849409347,0.6534502482012645
GO:0065002,intracellular protein transmembrane transport,77,1.9570324299155264,0.0120539909508999,1.2942400931371985,0.68523849409347,0.6627923367783279
GO:0006790,sulfur compound metabolic process,154,1.9554536171261208,0.012138905484983,-1.3421782141038812,0.3674441116594293,3.297631831230002
GO:0009100,glycoprotein metabolic process,90,1.95234163040782,0.0124466564017663,-0.7829342936723753,0.922000844223712,2.735275924080195
GO:0006914,autophagy,239,1.9441441403366195,0.0135718857095081,-0.7727269377486745,0.9248751788941272,2.716871078085294
GO:0045017,glycerolipid biosynthetic process,98,1.9401079189348955,0.0139458123332338,0.6082855094158055,0.9919030116560664,1.33182240951909
GO:0098771,inorganic ion homeostasis,159,1.939656971902484,0.0139458123332338,-0.8341185867189661,0.8870028910371677,2.77377555862145
GO:0009179,purine ribonucleoside diphosphate metabolic process,32,1.9352794690705053,0.0144858717075512,-1.412211299828347,0.3071358390560322,3.347490768898852
GO:0072329,monocarboxylic acid catabolic process,36,1.9275956342468883,0.0154364273850262,-1.3607061043335202,0.3558735975707124,3.2883017385804085
GO:0046164,alcohol catabolic process,23,1.9275109410114863,0.0154364273850262,-1.1198940206326686,0.5746012773152573,3.0474049616441548
GO:0006893,Golgi to plasma membrane transport,33,1.92667410373476,0.0154364273850262,-0.8329276411623224,0.8870028910371677,2.759601744897082
GO:0048284,organelle fusion,113,1.925832021409027,0.0154364273850262,1.085126072327019,0.9268048734562444,0.8407059490820079
GO:0009062,fatty acid catabolic process,24,1.9251085085675317,0.0154364273850262,-1.6363288095007134,0.2020611601441921,3.5614373180682453
GO:0019725,cellular homeostasis,231,1.9250872770587888,0.0154364273850262,-0.8756865148338441,0.8522361265449175,2.8007737918926328
GO:0001676,long-chain fatty acid metabolic process,9,1.9230738844219688,0.0157031796393269,-0.8178506212793527,0.898145058053231,2.7409245057013214
GO:0061025,membrane fusion,60,1.9207054239952468,0.0159254557556818,1.2828543513439326,0.68523849409347,0.6378510726513142
GO:0046474,glycerophospholipid biosynthetic process,93,1.9204340553027592,0.0159254557556818,0.6113101769180315,0.9919030116560664,1.3091238783847277
GO:0006757,ATP generation from ADP,29,1.9176203383135435,0.016303499708598,-1.4264548202251792,0.3019649728865377,3.3440751585387227
GO:0006633,fatty acid biosynthetic process,28,1.91753860125192,0.016303499708598,0.9675549011878783,0.9598912595534356,0.9499837000640416
GO:0009135,purine nucleoside diphosphate metabolic process,32,1.9172637928285663,0.016303499708598,-1.414537837340629,0.3071358390560322,3.3318016301691955
GO:0044242,cellular lipid catabolic process,50,1.9143214546771024,0.0166431024693709,-1.906959314617575,0.1445795645140268,3.8212807692946775
GO:0072595,maintenance of protein localization in organelle,16,1.9133289149024948,0.0166431024693709,1.2222079519989504,0.7470380026994133,0.6911209629035444
GO:0019752,carboxylic acid metabolic process,412,1.911707601349872,0.0168367227543154,-1.1736292554276635,0.5155175487342222,3.0853368567775354
GO:0044396,actin cortical patch organization,25,1.9076285031038889,0.0174695888758033,-1.581877064238969,0.2304710639754753,3.489505567342858
GO:0046939,nucleotide phosphorylation,32,1.9052283479223795,0.0177318736096143,-1.1221085218124185,0.5746012773152573,3.027336869734798
GO:0055080,cation homeostasis,167,1.9036744440056856,0.0179535209423751,-0.9358953458750776,0.8005658869123942,2.8395697898807635
GO:0006096,glycolytic process,29,1.9017837161187967,0.0181522194636093,-1.4262212135325312,0.3019649728865377,3.328004929651328
GO:0072593,reactive oxygen species metabolic process,19,1.9011785203170213,0.0181522194636093,-1.4167277999539785,0.3044289265868004,3.3179063202709997
GO:0097428,protein maturation by iron-sulfur cluster transfer,15,1.9010106655901653,0.0181522194636093,1.2001128078661765,0.782253899691074,0.7008978577239888
GO:0046486,glycerolipid metabolic process,140,1.8978600272630448,0.0186680973525438,-0.573243812530852,0.9948205559161056,2.471103839793897
GO:0009185,ribonucleoside diphosphate metabolic process,34,1.89619614513662,0.0188198083628972,-1.4061982067502252,0.3149970426252726,3.3023943518868455
GO:0097502,mannosylation,41,1.8948300010318424,0.0188939620763343,-1.1454982244886724,0.5444088761681787,3.040328225520515
GO:1902652,secondary alcohol metabolic process,43,1.8944969137105296,0.0188939620763343,-0.9347145761672744,0.8005658869123942,2.829211489877804
GO:0042592,homeostatic process,270,1.891580376543423,0.0192240557953183,-0.8999767048680567,0.8317735490551534,2.7915570814114794
GO:0006082,organic acid metabolic process,437,1.891455061079751,0.0192240557953183,-1.2727256522567223,0.4236682367141177,3.1641807133364734
GO:0006650,glycerophospholipid metabolic process,124,1.8898543055400168,0.0193615071254676,-0.5072626660293618,0.9949315329708184,2.3971169715693783
GO:0006873,cellular ion homeostasis,167,1.885407901534456,0.0199400764935293,-1.0118692610326805,0.7107820812707701,2.8972771625671365
GO:0060261,positive regulation of transcription initiation by RNA polymerase II,15,1.8853932590480167,0.0199400764935293,0.8923624350137982,0.9824961661717336,0.9930308240342185
GO:0006165,nucleoside diphosphate phosphorylation,31,1.8852996354401668,0.0199400764935293,-1.1795903374035852,0.5099258597142494,3.064889972843752
GO:0046031,ADP metabolic process,31,1.8817358868612373,0.0204468609501916,-1.4198459060385271,0.304342071478347,3.301581792899764
GO:0010256,endomembrane system organization,119,1.8716188469181347,0.0223198963505854,1.1128776616754703,0.8954747888523384,0.7587411852426644
GO:0043436,oxoacid metabolic process,431,1.8699826607777108,0.0225469673337463,-1.2783378142289836,0.4192104452475238,3.1483204750066944
GO:0050801,ion homeostasis,182,1.868559962786957,0.0227236769786481,-0.9886419535209018,0.7385955420978757,2.857201916307859
GO:0061709,reticulophagy,25,1.8672977857717796,0.0227409721777408,1.704915528691719,0.1448922132211996,0.1623822570800606
GO:0005976,polysaccharide metabolic process,73,1.867078642148757,0.0227409721777408,1.0562589444018982,0.957916428838172,0.8108196977468589
GO:0043039,tRNA aminoacylation,41,1.866601766763447,0.0227409721777408,2.513422894279393,0.0,-0.6468211275159461
GO:0007033,vacuole organization,115,1.8660892053758067,0.0227409721777408,-0.923856557935677,0.8100955936699569,2.7899457633114837
GO:0032507,maintenance of protein location in cell,37,1.8592204920447772,0.0242080918918161,1.1926393767119052,0.7865070223679694,0.666581115332872
GO:0030003,cellular cation homeostasis,154,1.8583433980724715,0.0242912350677648,-0.9546757552985292,0.7789617215633716,2.813019153371001
GO:0043038,amino acid activation,41,1.8531437863688407,0.0252463835223356,2.5623561868943683,0.0,-0.7092124005255276
GO:0043254,regulation of protein-containing complex assembly,82,1.851104169044524,0.0256326975635088,1.0203935135629676,0.9598912595534356,0.8307106554815564
GO:0051603,proteolysis involved in protein catabolic process,270,1.8502642953783943,0.0257074705634599,1.2960930445411496,0.68523849409347,0.5541712508372447
GO:0006897,endocytosis,140,1.8494260297765373,0.0258270959397356,-0.8693780796327817,0.8584385483943215,2.718804109409319
GO:0016052,carbohydrate catabolic process,89,1.8445279572867863,0.0269760990767446,-1.2220474484713053,0.4663235318010296,3.0665754057580914
GO:2000144,positive regulation of DNA-templated transcription initiation,16,1.8415385940708988,0.0277064142219167,0.8251233572776051,0.9919030116560664,1.0164152367932937
GO:0009101,glycoprotein biosynthetic process,84,1.8408831441289328,0.0277064142219167,0.9283230129716664,0.9717990058880944,0.9125601311572664
GO:0006878,cellular copper ion homeostasis,20,1.8374632752302036,0.0284206882948931,1.9463990225846903,0.0275204870697073,-0.10893574735448674
GO:0052547,regulation of peptidase activity,14,1.8369436592245387,0.0284289041587506,1.3162612878051765,0.6834481402549182,0.5206823714193622
GO:0006620,post-translational protein targeting to endoplasmic reticulum membrane,25,1.835975403610759,0.0285382400751716,2.404243391641353,0.0002567645104043,-0.5682679880305939
GO:0061951,establishment of protein localization to plasma membrane,13,1.834843412902657,0.0286842920211373,1.4990017478655862,0.4457248497398566,0.3358416650370708
GO:0070085,glycosylation,86,1.832734666127264,0.0290419372525139,0.8692288588479372,0.9824961661717336,0.9635058072793269
GO:0032527,protein exit from endoplasmic reticulum,16,1.8310493181329783,0.0293026572200423,-1.035601517846635,0.674399520789252,2.8666508359796135
