Gene,+/0/-,430Net rank,PIXIE rank,Difference (430Net-PIXIE),Absoulte Difference
YER155C,-1,3246,41,3205,3205
YJL095W,-1,3331,126,3205,3205
YOR221C,-1,3400,196,3204,3204
YPL254W,-1,514,3718,-3204,3204
YFL041W,-1,495,3694,-3199,3199
YNL015W,-1,259,3454,-3195,3195
YOR061W,-1,526,3720,-3194,3194
YDR308C,-1,589,3779,-3190,3190
YOR084W,-1,3523,333,3190,3190
YOR349W,-1,3976,789,3187,3187
YBR264C,-1,3338,153,3185,3185
YBR076W,-1,4234,1053,3181,3181
YBR034C,-1,900,4077,-3177,3177
YLR386W,-1,3394,217,3177,3177
YGL171W,-1,952,4129,-3177,3177
YOL151W,-1,988,4163,-3175,3175
YOR217W,-1,774,3945,-3171,3171
YMR055C,-1,3384,216,3168,3168
YDL184C,-1,4042,882,3160,3160
YOR098C,-1,3572,414,3158,3158
YDL137W,-1,452,3607,-3155,3155
YDL126C,-1,266,3420,-3154,3154
YGL212W,-1,3749,598,3151,3151
YGL039W,-1,3680,532,3148,3148
YHR056C,-1,4113,969,3144,3144
YMR095C,-1,4114,977,3137,3137
YPR159W,-1,4023,890,3133,3133
YNL065W,-1,3607,475,3132,3132
YNL046W,-1,3459,331,3128,3128
YDR528W,-1,3948,824,3124,3124
YDR513W,-1,112,3231,-3119,3119
YHR088W,-1,1020,4137,-3117,3117
YPR107C,-1,160,3264,-3104,3104
YBR136W,-1,3387,284,3103,3103
YJL019W,-1,3471,368,3103,3103
YGL028C,-1,3798,696,3102,3102
YLR258W,-1,634,3732,-3098,3098
YBL088C,-1,3203,108,3095,3095
YBL082C,-1,3806,712,3094,3094
YML130C,-1,3697,608,3089,3089
YBR275C,-1,3571,486,3085,3085
YAR042W,-1,3922,837,3085,3085
YNL290W,-1,445,3530,-3085,3085
YIL019W,-1,1022,4106,-3084,3084
YNL178W,-1,953,4036,-3083,3083
YMR078C,-1,1097,4180,-3083,3083
YKL145W,-1,705,3780,-3075,3075
YPL126W,-1,1107,4181,-3074,3074
YKR067W,-1,195,3261,-3066,3066
YBR086C,-1,3793,729,3064,3064
YGL225W,-1,918,3980,-3062,3062
YBR068C,-1,4052,990,3062,3062
YGL095C,-1,884,3943,-3059,3059
YNL117W,-1,691,3750,-3059,3059
YMR125W,-1,916,3971,-3055,3055
YNL061W,-1,924,3979,-3055,3055
YDR280W,-1,501,3555,-3054,3054
YIL124W,-1,204,3257,-3053,3053
YPL129W,-1,1092,4144,-3052,3052
YPR119W,-1,1024,4066,-3042,3042
YER016W,-1,3502,462,3040,3040
YLL043W,-1,3386,348,3038,3038
YER164W,-1,912,3949,-3037,3037
YDR518W,-1,3517,481,3036,3036
Q0045,-1,4036,1000,3036,3036
YBL074C,-1,3766,731,3035,3035
YNL265C,-1,366,3395,-3029,3029
YGL175C,-1,3762,736,3026,3026
YDR313C,-1,422,3444,-3022,3022
YDR182W,-1,424,3446,-3022,3022
YMR077C,-1,826,3846,-3020,3020
Q0105,-1,3968,948,3020,3020
YCR068W,-1,3781,763,3018,3018
YPL204W,-1,3420,404,3016,3016
YDR427W,-1,326,3342,-3016,3016
YMR202W,-1,3462,446,3016,3016
YHR143W,-1,3213,207,3006,3006
YEL006W,-1,3743,741,3002,3002
YPL269W,-1,3137,137,3000,3000
YPL088W,-1,3939,940,2999,2999
YNR006W,-1,891,3890,-2999,2999
YJR058C,-1,911,3906,-2995,2995
YBR257W,-1,3347,353,2994,2994
YBR058C,-1,3353,362,2991,2991
YOR151C,-1,1164,4154,-2990,2990
YHR023W,-1,3214,226,2988,2988
YJL013C,-1,932,3919,-2987,2987
YNL051W,-1,302,3288,-2986,2986
YBR105C,-1,3681,701,2980,2980
YHL031C,-1,558,3537,-2979,2979
YFR014C,-1,361,3339,-2978,2978
YPR151C,-1,671,3648,-2977,2977
YOR207C,-1,572,3549,-2977,2977
YJR017C,-1,3604,628,2976,2976
YOR210W,-1,754,3728,-2974,2974
YAL062W,-1,3263,289,2974,2974
YER171W,-1,433,3406,-2973,2973
YDL017W,-1,814,3786,-2972,2972
YDR251W,-1,324,3293,-2969,2969
YDR297W,-1,3696,727,2969,2969
YIL021W,-1,497,3461,-2964,2964
YHR027C,-1,863,3826,-2963,2963
YGR289C,-1,1054,4016,-2962,2962
YML100W,-1,334,3290,-2956,2956
YPL265W,-1,3082,127,2955,2955
YDR276C,-1,3703,749,2954,2954
YMR030W,-1,838,3792,-2954,2954
YLR354C,-1,263,3217,-2954,2954
YKL009W,-1,991,3942,-2951,2951
Q0275,-1,3897,946,2951,2951
YBR004C,-1,3316,366,2950,2950
YKR056W,-1,1114,4064,-2950,2950
YGR211W,-1,3885,939,2946,2946
YKL201C,-1,3965,1020,2945,2945
YDR508C,-1,3540,597,2943,2943
YCL025C,-1,4004,1064,2940,2940
YMR127C,-1,367,3306,-2939,2939
YDR342C,-1,1074,4012,-2938,2938
YBR289W,-1,3317,392,2925,2925
YPR035W,-1,3340,420,2920,2920
YGR116W,-1,971,3889,-2918,2918
YJR003C,-1,3448,534,2914,2914
YDR339C,1,70,2984,-2914,2914
YBR186W,-1,4189,1276,2913,2913
YDR217C,-1,3182,270,2912,2912
YDR238C,-1,1025,3937,-2912,2912
YOR310C,-1,1179,4087,-2908,2908
YJL052W,-1,3816,909,2907,2907
YPR078C,-1,4070,1163,2907,2907
YCR028C,-1,3501,600,2901,2901
YOR117W,-1,241,3141,-2900,2900
YKL057C,-1,755,3655,-2900,2900
YOL109W,-1,3952,1054,2898,2898
YOR206W,-1,873,3771,-2898,2898
YBR085W,-1,3648,759,2889,2889
YPR011C,-1,3123,237,2886,2886
YER088C,-1,3418,533,2885,2885
YDR019C,-1,3896,1013,2883,2883
YIL031W,-1,3048,171,2877,2877
YLR373C,-1,734,3610,-2876,2876
YMR170C,-1,483,3357,-2874,2874
YBR067C,-1,3702,829,2873,2873
YGL180W,-1,784,3657,-2873,2873
YBR297W,-1,1038,3909,-2871,2871
YER086W,-1,3028,157,2871,2871
YOR321W,-1,3474,606,2868,2868
YEL011W,-1,1037,3901,-2864,2864
YLL024C,-1,3975,1112,2863,2863
YKR024C,-1,1001,3863,-2862,2862
YBR065C,-1,3257,396,2861,2861
YML062C,-1,1270,4130,-2860,2860
YPL041C,-1,3513,654,2859,2859
YNL102W,-1,1175,4033,-2858,2858
YBR131W,-1,3470,612,2858,2858
YER094C,-1,511,3369,-2858,2858
YDL119C,-1,3575,718,2857,2857
YNL096C,-1,1266,4122,-2856,2856
YDR126W,-1,3731,878,2853,2853
YBR023C,-1,2891,39,2852,2852
YBR017C,-1,3360,508,2852,2852
YMR276W,-1,3226,375,2851,2851
YDL179W,-1,3476,626,2850,2850
YGR254W,-1,3757,912,2845,2845
YMR133W,-1,4112,1268,2844,2844
YGR195W,-1,519,3362,-2843,2843
YDR292C,-1,524,3365,-2841,2841
YMR069W,-1,4140,1304,2836,2836
YPL024W,-1,2992,160,2832,2832
YLR133W,-1,403,3233,-2830,2830
YOR145C,-1,1313,4143,-2830,2830
YOR124C,-1,355,3183,-2828,2828
YDL018C,-1,451,3276,-2825,2825
YNL062C,-1,972,3795,-2823,2823
YDR246W,-1,894,3717,-2823,2823
YLR362W,-1,807,3627,-2820,2820
YHR188C,-1,4013,1193,2820,2820
YDR293C,-1,410,3230,-2820,2820
YGL063W,-1,3489,671,2818,2818
YFR010W,-1,412,3228,-2816,2816
YDR088C,-1,1217,4030,-2813,2813
YAL063C,-1,3323,512,2811,2811
YPR033C,-1,668,3479,-2811,2811
YNL182C,-1,1292,4101,-2809,2809
YHR062C,-1,463,3269,-2806,2806
YPL003W,-1,467,3270,-2803,2803
YHR016C,-1,223,3023,-2800,2800
YLR129W,-1,1390,4189,-2799,2799
YPL155C,-1,3411,613,2798,2798
YPR108W,-1,189,2986,-2797,2797
YDR028C,-1,793,3589,-2796,2796
YMR093W,-1,978,3769,-2791,2791
YDR473C,-1,1356,4146,-2790,2790
YER127W,-1,1403,4192,-2789,2789
YOR294W,-1,1332,4118,-2786,2786
YDL060W,-1,1412,4197,-2785,2785
YOR184W,-1,3261,479,2782,2782
YMR012W,1,37,2818,-2781,2781
YHR132C,-1,1011,3789,-2778,2778
YAL038W,-1,4098,1323,2775,2775
YBR215W,-1,3267,495,2772,2772
YBR283C,-1,3083,316,2767,2767
YEL071W,-1,2885,119,2766,2766
YFR052W,-1,677,3442,-2765,2765
YOR316C,-1,927,3691,-2764,2764
YMR006C,-1,3456,697,2759,2759
YGR162W,-1,1281,4038,-2757,2757
YCL061C,-1,3291,536,2755,2755
YER031C,-1,739,3493,-2754,2754
YPL202C,-1,3434,680,2754,2754
YIL066C,-1,3409,656,2753,2753
YLR343W,-1,4105,1352,2753,2753
YLR100W,-1,3091,339,2752,2752
YEL065W,-1,3611,863,2748,2748
YDR099W,-1,300,3045,-2745,2745
YDL133C-A,-1,4135,1392,2743,2743
YML105C,-1,541,3282,-2741,2741
YMR022W,-1,267,3008,-2741,2741
YDR101C,-1,1458,4199,-2741,2741
YLR286C,-1,3439,698,2741,2741
YHR104W,-1,141,2881,-2740,2740
YGL226C-A,-1,2852,114,2738,2738
YOL115W,-1,958,3693,-2735,2735
YPL093W,-1,1427,4158,-2731,2731
YER124C,-1,3639,908,2731,2731
YGL092W,-1,1067,3797,-2730,2730
YOR226C,-1,3650,921,2729,2729
YDL101C,-1,3573,844,2729,2729
YHR030C,-1,2773,47,2726,2726
YJR147W,-1,4166,1443,2723,2723
YKR060W,-1,763,3484,-2721,2721
YER120W,-1,3113,394,2719,2719
YCR038C,-1,740,3455,-2715,2715
YOR159C,-1,378,3093,-2715,2715
YMR272C,-1,3773,1058,2715,2715
YCR011C,-1,376,3090,-2714,2714
YBR159W,-1,3181,471,2710,2710
YMR229C,-1,1478,4186,-2708,2708
YGL121C,-1,1071,3777,-2706,2706
YIL075C,-1,878,3584,-2706,2706
YPR036W-A,-1,4449,1745,2704,2704
YHR169W,-1,1227,3928,-2701,2701
YIL036W,-1,836,3534,-2698,2698
YLL019C,-1,456,3154,-2698,2698
YER133W,-1,1438,4136,-2698,2698
YGR232W,-1,115,2808,-2693,2693
YEL003W,-1,2791,99,2692,2692
YCR081W,-1,3633,941,2692,2692
YBL039C,-1,1153,3845,-2692,2692
YML092C,-1,276,2967,-2691,2691
YMR312W,-1,3691,1001,2690,2690
YBL036C,-1,2975,286,2689,2689
YAL056W,-1,3546,857,2689,2689
YOR195W,-1,3362,677,2685,2685
YBR247C,-1,1481,4166,-2685,2685
YNL331C,-1,1176,3858,-2682,2682
YGL111W,-1,1244,3925,-2681,2681
YNL078W,-1,4095,1414,2681,2681
YBR201W,-1,3547,870,2677,2677
YLL031C,-1,1120,3796,-2676,2676
YLR080W,-1,515,3190,-2675,2675
YDR181C,-1,1049,3724,-2675,2675
YPL203W,-1,234,2908,-2674,2674
YPL201C,-1,4073,1400,2673,2673
YMR108W,-1,2810,138,2672,2672
YLR071C,-1,1250,3922,-2672,2672
YGL077C,-1,1198,3868,-2670,2670
YMR146C,-1,899,3569,-2670,2670
YBL017C,-1,3309,639,2670,2670
YLR132C,-1,3245,576,2669,2669
YBR166C,-1,2941,272,2669,2669
YPL178W,-1,957,3624,-2667,2667
YOR327C,-1,3341,675,2666,2666
YAL025C,-1,1526,4191,-2665,2665
YDR018C,-1,2989,325,2664,2664
YMR277W,-1,1098,3761,-2663,2663
YDL022W,-1,425,3086,-2661,2661
YJL144W,-1,3433,772,2661,2661
YNL308C,-1,1370,4026,-2656,2656
YML058W-A,-1,4007,1353,2654,2654
YHR178W,-1,498,3152,-2654,2654
YGL163C,-1,1081,3731,-2650,2650
YHR200W,-1,816,3464,-2648,2648
YER044C,-1,2848,202,2646,2646
YOL010W,-1,1262,3905,-2643,2643
YCR005C,-1,2770,129,2641,2641
YKL008C,-1,3840,1202,2638,2638
YKL078W,-1,803,3438,-2635,2635
YMR273C,-1,703,3337,-2634,2634
YAL047C,-1,3199,567,2632,2632
YGR158C,-1,731,3363,-2632,2632
YAL023C,-1,2960,330,2630,2630
YDR499W,-1,3061,431,2630,2630
YEL034W,-1,2957,327,2630,2630
YHR118C,-1,1392,4021,-2629,2629
YOR194C,-1,1360,3988,-2628,2628
YKL144C,-1,1063,3689,-2626,2626
YIL033C,-1,625,3251,-2626,2626
YHR007C,-1,2829,204,2625,2625
YGR191W,-1,929,3554,-2625,2625
YLL011W,-1,716,3340,-2624,2624
YBL055C,-1,3001,380,2621,2621
YNL154C,-1,868,3488,-2620,2620
YPR110C,-1,1152,3768,-2616,2616
YOR116C,-1,850,3466,-2616,2616
YBR101C,-1,3140,526,2614,2614
YPL249C-A,-1,3012,403,2609,2609
YEL019C,-1,4021,1412,2609,2609
YGL203C,-1,3192,583,2609,2609
YLR134W,-1,3585,978,2607,2607
YJL088W,-1,3950,1344,2606,2606
YDR087C,-1,1017,3623,-2606,2606
YDR421W,-1,481,3087,-2606,2606
YMR189W,-1,3692,1088,2604,2604
YKL152C,-1,3617,1014,2603,2603
YDR361C,-1,984,3587,-2603,2603
YLR115W,-1,809,3412,-2603,2603
YDR477W,-1,700,3300,-2600,2600
YHL028W,-1,3799,1200,2599,2599
YDR400W,-1,3332,738,2594,2594
YMR079W,-1,728,3321,-2593,2593
YCL037C,-1,2668,76,2592,2592
YHR021W-A,-1,4373,1784,2589,2589
YPL181W,-1,582,3171,-2589,2589
YPR168W,-1,3789,1203,2586,2586
YPL048W,-1,3030,445,2585,2585
YOL110W,-1,2937,354,2583,2583
YLR166C,-1,1187,3767,-2580,2580
YIL166C,-1,3869,1292,2577,2577
YLR301W,-1,4035,1462,2573,2573
YCR089W,-1,3655,1082,2573,2573
YDL003W,-1,1479,4051,-2572,2572
YDR320C-A,-1,4346,1775,2571,2571
YGR103W,-1,1600,4170,-2570,2570
YPL266W,-1,1516,4086,-2570,2570
YGL237C,-1,1328,3898,-2570,2570
YCR021C,-1,3809,1239,2570,2570
YLR405W,-1,196,2764,-2568,2568
YOL055C,-1,746,3314,-2568,2568
YJR046W,-1,3410,843,2567,2567
YMR306W,-1,3829,1262,2567,2567
YIL113W,-1,2890,323,2567,2567
YIL133C,-1,1582,4149,-2567,2567
YDL020C,-1,331,2897,-2566,2566
YJR022W,-1,796,3360,-2564,2564
YJL209W,-1,2827,264,2563,2563
YKL160W,-1,360,2923,-2563,2563
YOL038W,-1,273,2835,-2562,2562
YPL137C,-1,3494,934,2560,2560
YJL001W,-1,660,3219,-2559,2559
YLL058W,-1,3580,1021,2559,2559
YNL158W,-1,3044,489,2555,2555
YPL227C,-1,1255,3810,-2555,2555
YDR050C,-1,3493,938,2555,2555
YPR112C,-1,1601,4155,-2554,2554
YAL035W,-1,3452,900,2552,2552
YCL010C,-1,3679,1129,2550,2550
YMR186W,-1,3627,1079,2548,2548
YDR343C,-1,1548,4095,-2547,2547
YNL068C,-1,874,3421,-2547,2547
YLR095C,-1,3780,1237,2543,2543
YMR154C,-1,3119,578,2541,2541
YGR224W,-1,4030,1492,2538,2538
YDR072C,-1,3294,762,2532,2532
YLR287C-A,-1,3492,962,2530,2530
YBL003C,-1,871,3400,-2529,2529
YNL271C,-1,2693,164,2529,2529
YER081W,-1,4138,1610,2528,2528
YIL084C,-1,4027,1499,2528,2528
YML031W,-1,943,3471,-2528,2528
YJR036C,-1,718,3245,-2527,2527
YOL149W,-1,1277,3803,-2526,2526
YMR138W,-1,3610,1085,2525,2525
YDR007W,-1,3909,1385,2524,2524
YPL117C,-1,2805,282,2523,2523
YKR095W-A,-1,4267,1744,2523,2523
YGR279C,-1,2771,249,2522,2522
YOR305W,-1,2722,200,2522,2522
YER014C-A,-1,4337,1817,2520,2520
YOR011W,-1,3791,1274,2517,2517
YJR102C,-1,258,2771,-2513,2513
YGR133W,-1,3707,1195,2512,2512
YHR019C,-1,1380,3891,-2511,2511
YOR340C,-1,1454,3962,-2508,2508
YBR129C,-1,2985,478,2507,2507
YBR233W-A,-1,4285,1779,2506,2506
YER147C,-1,3880,1381,2499,2499
YMR296C,-1,2990,491,2499,2499
YIL063C,-1,1466,3964,-2498,2498
YNR019W,-1,2801,307,2494,2494
YNR058W,-1,3616,1122,2494,2494
YCL005W-A,-1,4238,1746,2492,2492
YGL097W,-1,552,3043,-2491,2491
YMR182C,-1,4338,1849,2489,2489
YPL096C-A,-1,4332,1843,2489,2489
YOR269W,-1,3322,835,2487,2487
YNL232W,-1,1135,3621,-2486,2486
YPL052W,-1,3665,1179,2486,2486
YGR096W,-1,3645,1160,2485,2485
YKR027W,-1,3167,683,2484,2484
YDR006C,-1,3049,565,2484,2484
YPR149W,-1,843,3326,-2483,2483
YMR199W,-1,1230,3713,-2483,2483
YJR104C,-1,274,2754,-2480,2480
YER069W,-1,3508,1030,2478,2478
YDL164C,-1,3217,740,2477,2477
YPL100W,-1,1191,3668,-2477,2477
YPL043W,-1,1708,4185,-2477,2477
YJR143C,-1,805,3277,-2472,2472
YJL122W,-1,1643,4115,-2472,2472
YNL282W,-1,2946,477,2469,2469
YDR021W,-1,892,3358,-2466,2466
YBL051C,-1,2971,505,2466,2466
YGL248W,-1,475,2941,-2466,2466
YDL007W,-1,761,3225,-2464,2464
YBR293W,-1,2806,344,2462,2462
YHR039C-A,-1,3282,820,2462,2462
YOR095C,-1,745,3207,-2462,2462
YOR358W,-1,348,2804,-2456,2456
YLR117C,-1,1219,3672,-2453,2453
YMR139W,-1,117,2568,-2451,2451
YIR033W,-1,3170,719,2451,2451
YML019W,-1,975,3425,-2450,2450
YML060W,-1,1713,4162,-2449,2449
YPL106C,-1,3883,1435,2448,2448
YFL023W,-1,3734,1286,2448,2448
YLR047C,-1,3299,851,2448,2448
YDR079C-A,-1,4289,1841,2448,2448
YLR274W,-1,1040,3487,-2447,2447
YGL172W,-1,1215,3661,-2446,2446
YGR252W,-1,1422,3866,-2444,2444
YER148W,-1,1735,4179,-2444,2444
YNL183C,-1,537,2975,-2438,2438
YAL020C,-1,3306,869,2437,2437
YDR351W,-1,3056,620,2436,2436
YBL078C,-1,166,2601,-2435,2435
YLR277C,-1,694,3128,-2434,2434
YOR256C,-1,578,3009,-2431,2431
YDR196C,-1,3225,794,2431,2431
YBL072C,-1,1163,3593,-2430,2430
YDR538W,-1,3451,1025,2426,2426
YPL021W,-1,4199,1773,2426,2426
YIL110W,-1,193,2618,-2425,2425
YOR234C,-1,1654,4079,-2425,2425
YMR131C,-1,1378,3802,-2424,2424
YGR081C,-1,954,3377,-2423,2423
YLR023C,-1,2970,547,2423,2423
YGL222C,-1,4153,1733,2420,2420
YOR174W,-1,1028,3447,-2419,2419
YER146W,-1,1614,4032,-2418,2418
YAL017W,-1,328,2744,-2416,2416
YML071C,-1,3346,930,2416,2416
YJR035W,-1,1205,3619,-2414,2414
YMR208W,-1,2636,222,2414,2414
YGL022W,-1,905,3319,-2414,2414
YHR079C-A,-1,4364,1951,2413,2413
YHR174W,-1,3446,1035,2411,2411
YGR192C,-1,3449,1039,2410,2410
YNR054C,-1,1545,3955,-2410,2410
YDR184C,-1,1715,4125,-2410,2410
YJR009C,-1,3425,1016,2409,2409
YML046W,-1,1668,4074,-2406,2406
YFL008W,-1,4047,1642,2405,2405
YKR101W,-1,1341,3746,-2405,2405
YNR072W,-1,4090,1687,2403,2403
YNL112W,-1,1091,3494,-2403,2403
YMR290C,-1,1774,4176,-2402,2402
YPR103W,-1,823,3224,-2401,2401
YIL016W,-1,1042,3441,-2399,2399
YOR339C,-1,4231,1833,2398,2398
YER125W,-1,2542,149,2393,2393
YDR179C,-1,4041,1651,2390,2390
YDR324C,-1,1562,3951,-2389,2389
YPL018W,-1,3538,1150,2388,2388
YPL069C,-1,2566,178,2388,2388
YAL053W,-1,3514,1127,2387,2387
YLL060C,-1,1659,4046,-2387,2387
YGR042W,-1,3917,1530,2387,2387
YER169W,-1,2956,569,2387,2387
YPR145W,-1,3756,1371,2385,2385
YGL137W,-1,743,3127,-2384,2384
YHR072W-A,-1,4163,1780,2383,2383
YMR308C,-1,1599,3982,-2383,2383
YJL026W,-1,3978,1595,2383,2383
YHR114W,-1,2417,35,2382,2382
YBR140C,-1,2839,457,2382,2382
YOR261C,-1,566,2943,-2377,2377
YLR051C,-1,1087,3463,-2376,2376
YKL060C,-1,3413,1037,2376,2376
YNL025C,-1,901,3275,-2374,2374
YOR001W,-1,590,2964,-2374,2374
YGL051W,-1,3953,1579,2374,2374
YMR174C,-1,831,3205,-2374,2374
YBR081C,-1,2923,550,2373,2373
YHR072W,-1,2812,440,2372,2372
YDR106W,-1,4327,1956,2371,2371
YGR152C,-1,841,3212,-2371,2371
YGL003C,-1,3136,765,2371,2371
YGR063C,-1,1625,3995,-2370,2370
YKL011C,-1,2434,65,2369,2369
Q0110,-1,4205,1839,2366,2366
YCR093W,-1,1561,3924,-2363,2363
YPL218W,-1,1059,3418,-2359,2359
YOR099W,-1,3301,942,2359,2359
YNL274C,-1,248,2605,-2357,2357
YMR227C,-1,1046,3402,-2356,2356
YBR038W,-1,2684,328,2356,2356
YOL031C,-1,2877,522,2355,2355
YGR144W,1,7,2362,-2355,2355
YFL002C,-1,1447,3799,-2352,2352
YNL244C,-1,3718,1370,2348,2348
YLL062C,-1,3612,1264,2348,2348
YBR066C,-1,4103,1755,2348,2348
YML015C,-1,1150,3492,-2342,2342
YGL161C,-1,156,2498,-2342,2342
YDR326C,-1,3485,1148,2337,2337
YCL067C,-1,1047,3382,-2335,2335
YDR260C,-1,3533,1199,2334,2334
YHR042W,-1,3563,1229,2334,2334
YER073W,-1,2733,400,2333,2333
YAL055W,-1,3478,1147,2331,2331
YGL025C,-1,3207,877,2330,2330
YLR013W,-1,4182,1853,2329,2329
YER165W,-1,1848,4177,-2329,2329
YDR125C,-1,3871,1543,2328,2328
YBR019C,-1,3689,1363,2326,2326
YNL048W,-1,1188,3512,-2324,2324
YDR151C,-1,3131,807,2324,2324
YDL141W,-1,2451,128,2323,2323
YNL280C,-1,2700,382,2318,2318
YOL124C,-1,846,3164,-2318,2318
YNL111C,-1,2705,387,2318,2318
YLR310C,-1,1190,3506,-2316,2316
YHR112C,-1,3628,1313,2315,2315
YJR059W,-1,260,2571,-2311,2311
YCR077C,-1,2922,611,2311,2311
YDR414C,-1,3669,1359,2310,2310
YDR502C,-1,3631,1321,2310,2310
YDR392W,-1,821,3129,-2308,2308
YNL030W,-1,1657,3963,-2306,2306
YJL036W,-1,190,2495,-2305,2305
YNL004W,-1,1069,3373,-2304,2304
YBR175W,-1,2745,442,2303,2303
YER082C,-1,1673,3976,-2303,2303
YPR082C,-1,505,2807,-2302,2302
YDR381W,-1,1635,3936,-2301,2301
YER180C-A,-1,4149,1848,2301,2301
YML126C,-1,2599,300,2299,2299
YIL023C,-1,3536,1238,2298,2298
YJL056C,-1,4025,1727,2298,2298
YEL031W,-1,2383,88,2295,2295
YOL041C,-1,1358,3652,-2294,2294
YOR313C,-1,3392,1099,2293,2293
YLR158C,-1,4162,1871,2291,2291
YPL228W,-1,1407,3697,-2290,2290
YDR065W,-1,2934,644,2290,2290
YFL010W-A,-1,4014,1725,2289,2289
YBL025W,-1,2701,412,2289,2289
YNL161W,-1,1704,3992,-2288,2288
YOR259C,-1,902,3189,-2287,2287
YBL061C,-1,2320,38,2282,2282
YGL099W,-1,1688,3970,-2282,2282
YDR084C,-1,129,2411,-2282,2282
YDR389W,-1,2543,261,2282,2282
YBR008C,-1,3321,1040,2281,2281
YLR251W,-1,384,2663,-2279,2279
YNL042W,-1,3672,1394,2278,2278
YLR009W,-1,1816,4094,-2278,2278
YKR058W,-1,1682,3958,-2276,2276
YNL248C,-1,1851,4126,-2275,2275
YDR285W,-1,3902,1627,2275,2275
YLR336C,-1,684,2959,-2275,2275
YPL026C,-1,2377,105,2272,2272
YLR157C,-1,4107,1836,2271,2271
YMR010W,-1,3808,1538,2270,2270
