Gene,+/0/-,430Net rank,MEFIT rank,Difference (430Net-MEFIT),Absoulte Difference
YOR060C,1,42,2811,-2769,2769
YHR016C,-1,223,2986,-2763,2763
YLL062C,-1,3612,849,2763,2763
YDR003W,-1,188,2950,-2762,2762
YNR034W,-1,561,3322,-2761,2761
YLR333C,-1,3406,649,2757,2757
YDR385W,-1,3642,887,2755,2755
YNL293W,-1,214,2964,-2750,2750
YMR139W,-1,117,2867,-2750,2750
YGL058W,-1,3298,550,2748,2748
YER120W,-1,3113,367,2746,2746
YPR182W,-1,3032,289,2743,2743
YCL044C,1,588,3329,-2741,2741
YPR043W,-1,2996,257,2739,2739
YDR436W,-1,482,3220,-2738,2738
YJR010W,-1,3973,1239,2734,2734
YPL270W,-1,163,2891,-2728,2728
YBL028C,-1,3582,856,2726,2726
YML063W,-1,3188,464,2724,2724
YPR081C,-1,444,3164,-2720,2720
YJL141C,-1,358,3070,-2712,2712
YJL165C,-1,3987,1276,2711,2711
YKL146W,-1,499,3207,-2708,2708
YER100W,-1,3237,529,2708,2708
YMR297W,-1,284,2985,-2701,2701
YCR088W,-1,574,3270,-2696,2696
YDR072C,-1,3294,600,2694,2694
YDL208W,-1,3021,333,2688,2688
YMR288W,-1,548,3235,-2687,2687
YLR368W,1,59,2743,-2684,2684
YMR211W,1,35,2714,-2679,2679
YDL179W,-1,3476,799,2677,2677
YNL036W,-1,579,3255,-2676,2676
YJR086W,-1,3144,468,2676,2676
YDR397C,-1,2862,187,2675,2675
YCR079W,-1,280,2951,-2671,2671
YGL122C,-1,3619,950,2669,2669
YJL164C,-1,315,2982,-2667,2667
YMR041C,-1,374,3040,-2666,2666
YOR330C,1,22,2687,-2665,2665
YDR086C,-1,2924,266,2658,2658
YDR251W,-1,324,2979,-2655,2655
YOL125W,-1,647,3301,-2654,2654
YKL180W,-1,2780,126,2654,2654
YLR344W,-1,2886,235,2651,2651
YFR001W,-1,3337,689,2648,2648
YHR203C,-1,3751,1110,2641,2641
YGL189C,-1,2878,241,2637,2637
YDR050C,-1,3493,859,2634,2634
YMR170C,-1,483,3115,-2632,2632
YKL188C,-1,446,3076,-2630,2630
YNL069C,-1,3591,969,2622,2622
YLL006W,1,254,2874,-2620,2620
YEL026W,-1,3034,417,2617,2617
YNL094W,-1,780,3395,-2615,2615
YOL102C,-1,2843,231,2612,2612
YGR148C,-1,2734,123,2611,2611
YFR031C,-1,632,3240,-2608,2608
YBR129C,-1,2985,379,2606,2606
YHR021C,-1,2935,330,2605,2605
YBR159W,-1,3181,577,2604,2604
YMR260C,-1,2939,336,2603,2603
YPL053C,-1,3373,775,2598,2598
YBR169C,-1,529,3126,-2597,2597
YGL031C,-1,2833,237,2596,2596
YCL040W,-1,320,2911,-2591,2591
YNL055C,1,9,2592,-2583,2583
YLR270W,-1,181,2763,-2582,2582
YNL245C,-1,3967,1385,2582,2582
YLR144C,-1,353,2934,-2581,2581
YOR099W,-1,3301,720,2581,2581
YNL243W,-1,261,2841,-2580,2580
YPL170W,-1,3111,532,2579,2579
YGR260W,-1,4093,1516,2577,2577
YGL127C,-1,2974,398,2576,2576
YDR204W,-1,520,3096,-2576,2576
YDR244W,-1,468,3041,-2573,2573
YPR101W,-1,3019,453,2566,2566
YJR047C,-1,4151,1586,2565,2565
YHR041C,-1,3276,711,2565,2565
YOR132W,-1,202,2767,-2565,2565
YOR360C,-1,3587,1023,2564,2564
YKR094C,-1,3506,942,2564,2564
YKL140W,-1,385,2944,-2559,2559
YHR171W,-1,443,2997,-2554,2554
YBR264C,-1,3338,787,2551,2551
YLR448W,-1,3219,671,2548,2548
YLL013C,1,8,2554,-2546,2546
YKL156W,-1,2790,244,2546,2546
YDR421W,-1,481,3025,-2544,2544
YDR502C,-1,3631,1090,2541,2541
YBR101C,-1,3140,599,2541,2541
YLR319C,-1,470,3009,-2539,2539
YDL122W,-1,3495,956,2539,2539
YGR155W,-1,3424,886,2538,2538
YJR065C,1,86,2619,-2533,2533
YIL064W,-1,3529,998,2531,2531
YKL034W,-1,828,3358,-2530,2530
YHR208W,-1,862,3388,-2526,2526
YMR032W,-1,619,3142,-2523,2523
YPL143W,-1,2775,254,2521,2521
YCR011C,-1,376,2895,-2519,2519
YNL275W,-1,2921,406,2515,2515
YMR053C,-1,791,3306,-2515,2515
YDR260C,-1,3533,1019,2514,2514
YDR253C,-1,4063,1550,2513,2513
YER159C,-1,3653,1147,2506,2506
YKL096W,-1,3297,792,2505,2505
YKL122C,-1,2614,111,2503,2503
YLR210W,-1,565,3067,-2502,2502
YEL054C,-1,2782,286,2496,2496
YJR137C,-1,3498,1002,2496,2496
YDR122W,-1,211,2706,-2495,2495
YKR068C,-1,2998,504,2494,2494
YHR106W,-1,727,3219,-2492,2492
YBR048W,-1,3238,749,2489,2489
YIL017C,-1,350,2838,-2488,2488
YPL232W,-1,3068,583,2485,2485
YBR170C,-1,303,2785,-2482,2482
YDL191W,-1,2751,269,2482,2482
YBL087C,-1,2871,391,2480,2480
YPL135W,-1,533,3010,-2477,2477
YBL015W,-1,227,2697,-2470,2470
YGL054C,-1,2600,132,2468,2468
YGR109C,-1,4104,1637,2467,2467
YLR286C,-1,3439,980,2459,2459
YHR193C,-1,2756,298,2458,2458
YDL113C,-1,570,3027,-2457,2457
YMR121C,-1,3632,1175,2457,2457
YGL089C,-1,4359,1908,2451,2451
YOL082W,-1,182,2633,-2451,2451
YOR070C,-1,209,2660,-2451,2451
YDR225W,-1,2537,87,2450,2450
YDL234C,-1,347,2794,-2447,2447
YNL286W,-1,3026,582,2444,2444
YNL111C,-1,2705,265,2440,2440
YLR167W,-1,2655,215,2440,2440
YDL215C,-1,827,3264,-2437,2437
YOR245C,-1,175,2612,-2437,2437
YLL026W,-1,237,2673,-2436,2436
YLR134W,-1,3585,1150,2435,2435
YEL044W,-1,3408,975,2433,2433
YAL033W,-1,2657,224,2433,2433
YPR118W,-1,2874,442,2432,2432
YKL196C,-1,2508,76,2432,2432
YNR006W,-1,891,3320,-2429,2429
YDR439W,-1,955,3382,-2427,2427
YDR064W,-1,2800,374,2426,2426
YLR206W,-1,500,2926,-2426,2426
YPL117C,-1,2805,383,2422,2422
YFR045W,-1,2779,358,2421,2421
YBR070C,-1,2940,519,2421,2421
YIL018W,-1,3630,1210,2420,2420
YGR272C,-1,4354,1939,2415,2415
YHL015W,-1,2726,311,2415,2415
YDR104C,-1,880,3294,-2414,2414
YER164W,-1,912,3325,-2413,2413
YDR161W,-1,3636,1225,2411,2411
YDR414C,-1,3669,1260,2409,2409
YLR147C,-1,2649,246,2403,2403
YOR162C,-1,471,2872,-2401,2401
YGR085C,-1,2613,213,2400,2400
YEL003W,-1,2791,392,2399,2399
YDR410C,-1,3638,1240,2398,2398
YMR271C,-1,607,3004,-2397,2397
YDR058C,-1,549,2940,-2391,2391
YLR011W,-1,714,3102,-2388,2388
YMR166C,-1,3335,948,2387,2387
YNL104C,-1,535,2922,-2387,2387
YCR020C-A,-1,3154,768,2386,2386
YLR132C,-1,3245,861,2384,2384
YJR019C,-1,411,2793,-2382,2382
YPL223C,-1,681,3055,-2374,2374
YHR163W,-1,2632,263,2369,2369
YLR107W,-1,3208,840,2368,2368
YKL190W,-1,2502,137,2365,2365
YOR253W,-1,2590,227,2363,2363
YLR324W,-1,409,2769,-2360,2360
YFL039C,1,75,2435,-2360,2360
YPL220W,-1,2834,476,2358,2358
YER029C,-1,3110,753,2357,2357
YOL068C,-1,3541,1186,2355,2355
YNR032W,-1,318,2671,-2353,2353
YOR007C,-1,2777,427,2350,2350
YHR092C,-1,4055,1705,2350,2350
YJL136C,-1,2564,217,2347,2347
YMR073C,-1,2711,366,2345,2345
YDL006W,1,32,2376,-2344,2344
YDR002W,-1,2533,190,2343,2343
YKL201C,-1,3965,1622,2343,2343
YKL166C,-1,3528,1192,2336,2336
YBR257W,-1,3347,1016,2331,2331
YLR298C,-1,3150,826,2324,2324
YBR088C,-1,2631,310,2321,2321
YGL124C,-1,997,3318,-2321,2321
YNR002C,-1,769,3088,-2319,2319
YMR210W,-1,3073,756,2317,2317
YOR313C,-1,3392,1075,2317,2317
YFL010W-A,-1,4014,1701,2313,2313
YHR120W,1,36,2348,-2312,2312
YOR305W,-1,2722,412,2310,2310
YLR262C,-1,2462,152,2310,2310
YLR175W,-1,756,3062,-2306,2306
YDR472W,-1,2704,401,2303,2303
YHL001W,-1,3194,891,2303,2303
YPR199C,-1,3444,1142,2302,2302
YLR367W,-1,2460,160,2300,2300
YML073C,-1,2863,565,2298,2298
YDL066W,-1,365,2661,-2296,2296
YDR362C,-1,986,3278,-2292,2292
YMR247C,-1,3710,1418,2292,2292
YMR316W,-1,4022,1731,2291,2291
YAL038W,-1,4098,1810,2288,2288
YMR194W,-1,2493,210,2283,2283
YNR055C,-1,3690,1409,2281,2281
YNL301C,-1,3212,932,2280,2280
YPL024W,-1,2992,717,2275,2275
YMR143W,-1,2669,396,2273,2273
YPR187W,-1,2574,301,2273,2273
YKL114C,-1,659,2929,-2270,2270
YKL214C,-1,2413,145,2268,2268
YOL113W,-1,282,2549,-2267,2267
YOR116C,-1,850,3116,-2266,2266
YPL267W,-1,2697,439,2258,2258
YGL103W,-1,2740,482,2258,2258
YKR093W,-1,3250,993,2257,2257
YGR255C,-1,447,2704,-2257,2257
YDR221W,-1,903,3160,-2257,2257
YMR186W,-1,3627,1370,2257,2257
YNL180C,-1,3532,1275,2257,2257
YGR027C,-1,3053,802,2251,2251
YCR105W,-1,4118,1867,2251,2251
YJR057W,-1,2443,193,2250,2250
YGR180C,-1,3074,825,2249,2249
YLR308W,-1,4256,2008,2248,2248
YML068W,-1,525,2773,-2248,2248
YML095C,-1,2972,727,2245,2245
YBR011C,-1,2299,54,2245,2245
YDR508C,-1,3540,1296,2244,2244
YLR377C,-1,906,3150,-2244,2244
YBR201W,-1,3547,1308,2239,2239
YDR425W,-1,599,2836,-2237,2237
YER124C,-1,3639,1403,2236,2236
YJR003C,-1,3448,1213,2235,2235
YHR044C,-1,4173,1938,2235,2235
YML015C,-1,1150,3384,-2234,2234
YDL165W,-1,2483,250,2233,2233
YJL044C,-1,3873,1643,2230,2230
YPL203W,-1,234,2462,-2228,2228
YLR362W,-1,807,3035,-2228,2228
YMR135C,-1,576,2796,-2220,2220
YHR161C,-1,459,2678,-2219,2219
YBR279W,-1,2792,580,2212,2212
YPR031W,-1,702,2913,-2211,2211
YJR074W,-1,2896,693,2203,2203
YPR102C,-1,2515,313,2202,2202
YGR191W,-1,929,3130,-2201,2201
YOR090C,-1,380,2577,-2197,2197
YJL178C,-1,2640,446,2194,2194
YPL052W,-1,3665,1473,2192,2192
YMR149W,-1,2785,597,2188,2188
YPR079W,-1,985,3166,-2181,2181
YOR054C,-1,356,2537,-2181,2181
YGR118W,-1,2242,63,2179,2179
YOL065C,-1,316,2493,-2177,2177
YJR017C,-1,3604,1428,2176,2176
YDR216W,-1,275,2446,-2171,2171
YOR197W,-1,1133,3303,-2170,2170
YIL132C,-1,981,3149,-2168,2168
YBR073W,-1,3771,1604,2167,2167
YBR118W,-1,3794,1629,2165,2165
YNL162W,-1,2678,513,2165,2165
YMR250W,-1,490,2651,-2161,2161
YLR423C,-1,973,3133,-2160,2160
YLR043C,-1,3126,966,2160,2160
YBL078C,-1,166,2326,-2160,2160
YDR069C,-1,440,2597,-2157,2157
YIL052C,-1,2360,203,2157,2157
YDR212W,-1,2881,725,2156,2156
YMR242C,-1,2390,234,2156,2156
YJL103C,-1,289,2443,-2154,2154
YHR169W,-1,1227,3381,-2154,2154
YOR049C,-1,4253,2099,2154,2154
YNL160W,-1,474,2627,-2153,2153
YDR153C,-1,3101,949,2152,2152
YLR010C,-1,2814,663,2151,2151
YBR082C,-1,2660,511,2149,2149
YGL210W,-1,2816,670,2146,2146
YOR329C,-1,235,2377,-2142,2142
YPL206C,-1,319,2461,-2142,2142
YNL009W,-1,970,3111,-2141,2141
YMR153W,-1,1131,3272,-2141,2141
YPL124W,-1,3461,1322,2139,2139
YJR043C,-1,3139,1001,2138,2138
YOR257W,-1,2446,308,2138,2138
YML042W,-1,1055,3191,-2136,2136
YNL068C,-1,874,3008,-2134,2134
YPL239W,-1,3159,1025,2134,2134
YJL110C,-1,3486,1354,2132,2132
YNL250W,-1,1115,3246,-2131,2131
YLR016C,-1,3184,1055,2129,2129
YLL019C,-1,456,2585,-2129,2129
YBL027W,-1,2576,447,2129,2129
YDR418W,-1,2333,206,2127,2127
YLR014C,-1,1147,3273,-2126,2126
YBR132C,-1,686,2806,-2120,2120
YER019C-A,-1,2275,156,2119,2119
YER046W,-1,2658,541,2117,2117
YKL024C,-1,2571,456,2115,2115
YLR390W-A,-1,3945,1834,2111,2111
YNR072W,-1,4090,1981,2109,2109
YPL126W,-1,1107,3215,-2108,2108
YDR530C,-1,895,3002,-2107,2107
YKR076W,-1,415,2518,-2103,2103
YDL126C,-1,266,2369,-2103,2103
YDR121W,-1,2664,563,2101,2101
YOR336W,-1,1161,3260,-2099,2099
YPL154C,-1,221,2319,-2098,2098
YPR119W,-1,1024,3120,-2096,2096
YCL011C,-1,3158,1062,2096,2096
YBR258C,-1,2352,260,2092,2092
YOR028C,-1,3133,1044,2089,2089
YBR006W,-1,657,2745,-2088,2088
YML104C,1,15,2103,-2088,2088
YCR020C,1,52,2138,-2086,2086
YHR053C,-1,3997,1911,2086,2086
YKR046C,-1,337,2422,-2085,2085
YOR356W,-1,2109,26,2083,2083
YML067C,-1,2548,466,2082,2082
YDL081C,-1,2634,553,2081,2081
YIR030C,-1,3819,1739,2080,2080
YBR189W,-1,2652,572,2080,2080
YLR258W,-1,634,2712,-2078,2078
YLR425W,-1,693,2768,-2075,2075
YOR230W,-1,861,2935,-2074,2074
YNL307C,-1,2342,271,2071,2071
YMR192W,-1,4223,2152,2071,2071
YPR167C,-1,3719,1651,2068,2068
YOR068C,-1,4283,2218,2065,2065
YPL139C,-1,2128,64,2064,2064
YGL183C,-1,4758,2695,2063,2063
YBL006C,-1,2347,288,2059,2059
YNL145W,-1,3754,1696,2058,2058
YBR210W,-1,2349,296,2053,2053
YIL107C,-1,974,3023,-2049,2049
YNL099C,-1,3055,1007,2048,2048
YPR133C,-1,3143,1097,2046,2046
YGL247W,-1,2762,719,2043,2043
YNL071W,-1,341,2383,-2042,2042
YDR113C,-1,3421,1382,2039,2039
YJR120W,1,13,2052,-2039,2039
YMR292W,-1,2870,831,2039,2039
YKL045W,-1,3304,1268,2036,2036
YMR173W,-1,1280,3313,-2033,2033
YPL113C,-1,3713,1682,2031,2031
YPL088W,-1,3939,1909,2030,2030
YBR127C,-1,2809,782,2027,2027
YJL138C,-1,2723,696,2027,2027
YEL012W,-1,125,2150,-2025,2025
YLR092W,-1,3878,1855,2023,2023
YDR532C,-1,3230,1207,2023,2023
YGL168W,-1,4010,1989,2021,2021
YGR055W,-1,3500,1480,2020,2020
YDR281C,-1,3146,1126,2020,2020
YDR021W,-1,892,2909,-2017,2017
YNL159C,-1,704,2720,-2016,2016
YPL161C,-1,3120,1105,2015,2015
YDL017W,-1,814,2829,-2015,2015
YGR047C,-1,2887,877,2010,2010
YJL184W,-1,3171,1162,2009,2009
YOL013C,-1,644,2650,-2006,2006
YDL065C,-1,3007,1005,2002,2002
YGR019W,-1,462,2463,-2001,2001
YER173W,-1,1379,3378,-1999,1999
YNL288W,-1,2727,729,1998,1998
YNL308C,-1,1370,3366,-1996,1996
YGL137W,-1,743,2739,-1996,1996
YBR035C,-1,268,2262,-1994,1994
YLR155C,-1,2744,751,1993,1993
YMR058W,-1,3428,1436,1992,1992
YOR255W,-1,4202,2210,1992,1992
YKR067W,-1,195,2186,-1991,1991
YDR302W,-1,2207,216,1991,1991
YHL024W,-1,420,2410,-1990,1990
YLR357W,-1,1368,3357,-1989,1989
YOR003W,-1,601,2590,-1989,1989
YKL049C,-1,2818,830,1988,1988
YDL192W,-1,2510,523,1987,1987
YMR011W,-1,4094,2107,1987,1987
YKR078W,-1,2699,713,1986,1986
YPL084W,-1,1108,3093,-1985,1985
YJR145C,-1,2630,646,1984,1984
YER020W,-1,559,2542,-1983,1983
YKL011C,-1,2434,451,1983,1983
YMR100W,-1,1027,3005,-1978,1978
YBR186W,-1,4189,2213,1976,1976
YOR120W,-1,283,2255,-1972,1972
YBL071W-A,-1,4395,2425,1970,1970
YGL097W,-1,552,2521,-1969,1969
YBR010W,-1,2018,49,1969,1969
YDL229W,-1,3576,1608,1968,1968
YOR324C,-1,969,2936,-1967,1967
YIL040W,-1,2033,71,1962,1962
YDR404C,-1,2056,99,1957,1957
YDR211W,-1,1442,3398,-1956,1956
YLR044C,-1,2919,963,1956,1956
YJR062C,-1,1006,2962,-1956,1956
YBR217W,-1,1459,3414,-1955,1955
YLR293C,-1,3443,1489,1954,1954
YIL127C,-1,3155,1202,1953,1953
YGR202C,-1,3711,1759,1952,1952
YGR214W,-1,2732,780,1952,1952
YJL004C,-1,2872,920,1952,1952
YKL157W,-1,675,2626,-1951,1951
YOR155C,-1,678,2628,-1950,1950
YAL054C,-1,1335,3283,-1948,1948
YPL200W,-1,3877,1929,1948,1948
YLR194C,-1,4144,2201,1943,1943
YFR028C,-1,817,2759,-1942,1942
Q0250,-1,4326,2384,1942,1942
YGR042W,-1,3917,1976,1941,1941
YOR332W,-1,2608,667,1941,1941
YNL117W,-1,691,2631,-1940,1940
YNL231C,-1,2401,462,1939,1939
YDL015C,-1,2345,407,1938,1938
YER044C,-1,2848,912,1936,1936
YPL164C,-1,794,2730,-1936,1936
YDR023W,-1,2604,668,1936,1936
YDR320C-A,-1,4346,2411,1935,1935
YHL039W,-1,3479,1544,1935,1935
YDR479C,-1,913,2844,-1931,1931
YOL155C,-1,3307,1376,1931,1931
YCR061W,-1,729,2659,-1930,1930
YDL236W,-1,2249,319,1930,1930
YLR229C,-1,2050,121,1929,1929
YOR369C,-1,2071,142,1929,1929
YNL312W,-1,2325,397,1928,1928
YDR531W,-1,3666,1748,1918,1918
YJR013W,-1,2708,790,1918,1918
Q0115,-1,624,2540,-1916,1916
YPR186C,-1,2489,573,1916,1916
YER078C,-1,2403,488,1915,1915
YOR016C,-1,2329,415,1914,1914
YJL128C,-1,1088,3000,-1912,1912
YEL009C,-1,2713,801,1912,1912
YOR119C,-1,544,2455,-1911,1911
YNL118C,-1,1237,3148,-1911,1911
YDL149W,-1,1288,3199,-1911,1911
YGR024C,-1,2101,191,1910,1910
YPR052C,-1,2154,245,1909,1909
YLR373C,-1,734,2642,-1908,1908
YJR141W,-1,3256,1349,1907,1907
YOR191W,-1,680,2587,-1907,1907
YJL115W,-1,3920,2014,1906,1906
YLL061W,-1,3574,1670,1904,1904
YEL029C,-1,1285,3184,-1899,1899
YJR082C,-1,2210,312,1898,1898
YER091C,-1,3269,1372,1897,1897
YPL006W,-1,635,2530,-1895,1895
YMR174C,-1,831,2725,-1894,1894
YJR078W,-1,1513,3405,-1892,1892
YDR079C-A,-1,4289,2399,1890,1890
YBR233W-A,-1,4285,2397,1888,1888
YGR206W,-1,1961,74,1887,1887
YPL237W,-1,2317,430,1887,1887
YOR023C,-1,491,2375,-1884,1884
YOL117W,-1,669,2552,-1883,1883
YMR006C,-1,3456,1576,1880,1880
YDL005C,-1,1529,3408,-1879,1879
YDR258C,1,71,1948,-1877,1877
YBL039C,-1,1153,3029,-1876,1876
YOL040C,-1,2458,587,1871,1871
YGL206C,-1,603,2473,-1870,1870
YKR066C,-1,1117,2987,-1870,1870
YJL173C,-1,1942,75,1867,1867
YOL111C,-1,2568,701,1867,1867
YLR346C,-1,2860,995,1865,1865
YOR124C,-1,355,2219,-1864,1864
YDL022W,-1,425,2289,-1864,1864
YKL143W,-1,711,2575,-1864,1864
YPL253C,-1,3011,1148,1863,1863
YJR055W,-1,2529,666,1863,1863
YDR318W,-1,2363,501,1862,1862
YOR148C,-1,3259,1397,1862,1862
YDR501W,-1,3988,2127,1861,1861
YLR180W,-1,2981,1120,1861,1861
YCL001W,-1,1953,92,1861,1861
YNL239W,-1,479,2339,-1860,1860
YOR207C,-1,572,2428,-1856,1856
YOR316C,-1,927,2783,-1856,1856
YJL025W,-1,1421,3277,-1856,1856
YDL055C,-1,3102,1248,1854,1854
YJL117W,-1,3668,1815,1853,1853
YMR097C,-1,534,2387,-1853,1853
YIL148W,-1,2406,556,1850,1850
YDR470C,1,29,1879,-1850,1850
YCR016W,-1,3745,1895,1850,1850
YJL050W,-1,948,2797,-1849,1849
YDR372C,-1,2567,721,1846,1846
YLR219W,-1,394,2239,-1845,1845
YMR127C,-1,367,2211,-1844,1844
YKL060C,-1,3413,1570,1843,1843
YGR277C,-1,3069,1227,1842,1842
YJR108W,-1,3857,2017,1840,1840
YCL034W,-1,146,1986,-1840,1840
YDR303C,-1,2951,1112,1839,1839
YDR473C,-1,1356,3193,-1837,1837
YGR054W,-1,3918,2081,1837,1837
YGR141W,-1,1480,3315,-1835,1835
YBL102W,-1,186,2021,-1835,1835
YDL064W,-1,2114,281,1833,1833
YFR031C-A,-1,3063,1230,1833,1833
YDR057W,-1,967,2798,-1831,1831
YKR057W,-1,2838,1008,1830,1830
YOR347C,-1,1162,2991,-1829,1829
YIL094C,-1,648,2476,-1828,1828
YBR247C,-1,1481,3308,-1827,1827
YDR449C,-1,742,2567,-1825,1825
YDR335W,-1,998,2823,-1825,1825
YHL002W,-1,893,2717,-1824,1824
YDR201W,-1,2187,363,1824,1824
YFL009W,-1,1475,3298,-1823,1823
YBR286W,-1,940,2762,-1822,1822
YOR374W,-1,224,2044,-1820,1820
YPR151C,-1,671,2491,-1820,1820
YJL035C,-1,3379,1559,1820,1820
YJL209W,-1,2827,1009,1818,1818
YKR029C,-1,697,2513,-1816,1816
YLL045C,-1,3071,1259,1812,1812
YNR009W,-1,1924,113,1811,1811
YDR350C,-1,506,2316,-1810,1810
YMR049C,-1,1337,3147,-1810,1810
YGL147C,-1,2414,605,1809,1809
YPR093C,-1,1533,3342,-1809,1809
YER099C,-1,2731,923,1808,1808
YJL129C,-1,1248,3052,-1804,1804
YOL142W,-1,2415,612,1803,1803
YOL103W,-1,1057,2858,-1801,1801
YFL037W,-1,2110,309,1801,1801
YDR536W,-1,3662,1862,1800,1800
Q0110,-1,4205,2405,1800,1800
YPR178W,-1,1104,2903,-1799,1799
YAL047C,-1,3199,1401,1798,1798
YNR049C,-1,2476,678,1798,1798
YLR214W,-1,3377,1581,1796,1796
YPR168W,-1,3789,1994,1795,1795
YJL060W,-1,1005,2800,-1795,1795
YLR264W,-1,2498,704,1794,1794
YDR454C,-1,2077,283,1794,1794
YDR208W,-1,1045,2837,-1792,1792
YFL054C,-1,3882,2090,1792,1792
YHR052W,-1,2563,772,1791,1791
YER072W,-1,2702,911,1791,1791
