Gene,+/0/-,430Net rank,SPELL rank,Difference (430Net-SPELL),Absoulte Difference
YIL110W,-1,193,3002,-2809,2809
YDR339C,1,70,2878,-2808,2808
YJL050W,-1,948,3754,-2806,2806
YMR127C,-1,367,3172,-2805,2805
YLR409C,-1,666,3461,-2795,2795
YMR061W,-1,3290,497,2793,2793
YNL117W,-1,691,3483,-2792,2792
YJL210W,-1,3375,593,2782,2782
YDR216W,-1,275,3050,-2775,2775
YLR132C,-1,3245,476,2769,2769
YBL039C,-1,1153,3918,-2765,2765
YGR094W,-1,417,3180,-2763,2763
YMR099C,-1,2905,145,2760,2760
YLR336C,-1,684,3434,-2750,2750
YOR001W,-1,590,3339,-2749,2749
YMR183C,-1,3094,347,2747,2747
YNL178W,-1,953,3700,-2747,2747
YKR092C,-1,1039,3780,-2741,2741
YMR055C,-1,3384,644,2740,2740
YBR159W,-1,3181,441,2740,2740
YOR221C,-1,3400,666,2734,2734
YOR272W,-1,951,3684,-2733,2733
YNL099C,-1,3055,322,2733,2733
YDR492W,-1,1264,3997,-2733,2733
YGR267C,-1,3156,424,2732,2732
YKL014C,-1,600,3327,-2727,2727
YDR361C,-1,984,3708,-2724,2724
YMR190C,-1,531,3252,-2721,2721
YPR074C,-1,339,3060,-2721,2721
YOR207C,-1,572,3286,-2714,2714
YML102W,-1,3620,907,2713,2713
YGR186W,-1,3117,404,2713,2713
YNL112W,-1,1091,3798,-2707,2707
YLL008W,-1,713,3414,-2701,2701
YOR109W,-1,3350,658,2692,2692
YAL043C,-1,4024,1332,2692,2692
YAL036C,-1,965,3654,-2689,2689
YJR120W,1,13,2701,-2688,2688
YDR087C,-1,1017,3699,-2682,2682
YLL043W,-1,3386,710,2676,2676
YOR206W,-1,873,3544,-2671,2671
YGL197W,-1,3658,1001,2657,2657
YDR171W,-1,638,3288,-2650,2650
YMR010W,-1,3808,1165,2643,2643
YOR298C-A,-1,1517,4157,-2640,2640
YNL061W,-1,924,3563,-2639,2639
YGR007W,-1,2764,125,2639,2639
YNL175C,-1,1293,3930,-2637,2637
YKL032C,-1,3915,1278,2637,2637
YOR095C,-1,745,3380,-2635,2635
YJR013W,-1,2708,78,2630,2630
YLR386W,-1,3394,770,2624,2624
YBR130C,-1,3050,433,2617,2617
YGR277C,-1,3069,455,2614,2614
YLR079W,-1,3070,462,2608,2608
YPR161C,-1,3389,784,2605,2605
YPL147W,-1,630,3228,-2598,2598
YPL048W,-1,3030,435,2595,2595
YLL013C,1,8,2603,-2595,2595
YIL097W,-1,206,2799,-2593,2593
YDR195W,-1,3310,735,2575,2575
YDR021W,-1,892,3466,-2574,2574
YLR094C,-1,3884,1311,2573,2573
YNR002C,-1,769,3340,-2571,2571
YGR088W,-1,768,3338,-2570,2570
YOR074C,-1,3042,473,2569,2569
YPL049C,-1,3778,1210,2568,2568
YJL110C,-1,3486,918,2568,2568
YKL188C,-1,446,3012,-2566,2566
YNL021W,-1,3349,783,2566,2566
YHR188C,-1,4013,1448,2565,2565
YMR174C,-1,831,3396,-2565,2565
YKL059C,-1,3060,496,2564,2564
YIL132C,-1,981,3543,-2562,2562
YLR376C,-1,3440,881,2559,2559
YHR099W,-1,642,3200,-2558,2558
YKR036C,1,76,2631,-2555,2555
YOL124C,-1,846,3398,-2552,2552
YMR322C,-1,1515,4066,-2551,2551
YGL051W,-1,3953,1403,2550,2550
YNL012W,-1,792,3336,-2544,2544
YMR161W,-1,3765,1221,2544,2544
YDR440W,-1,882,3425,-2543,2543
YGL044C,-1,3339,798,2541,2541
YJR017C,-1,3604,1064,2540,2540
YKR069W,-1,3398,858,2540,2540
YBR166C,-1,2941,402,2539,2539
YBR143C,-1,611,3146,-2535,2535
YLR100W,-1,3091,557,2534,2534
YHR144C,-1,387,2920,-2533,2533
YBR034C,-1,900,3433,-2533,2533
YNL227C,-1,1085,3618,-2533,2533
YOR360C,-1,3587,1054,2533,2533
YBR169C,-1,529,3058,-2529,2529
YCL050C,-1,3613,1085,2528,2528
YGL008C,-1,885,3412,-2527,2527
YMR170C,-1,483,3007,-2524,2524
YGL246C,-1,521,3042,-2521,2521
YLR174W,-1,393,2913,-2520,2520
YBR155W,-1,1007,3527,-2520,2520
YIL104C,-1,569,3088,-2519,2519
YDR531W,-1,3666,1149,2517,2517
YNL130C,-1,3437,925,2512,2512
YPR030W,-1,1004,3515,-2511,2511
YHR115C,-1,3344,835,2509,2509
YMR073C,-1,2711,203,2508,2508
YLR178C,-1,173,2677,-2504,2504
YPR199C,-1,3444,940,2504,2504
YMR309C,-1,689,3190,-2501,2501
YLR014C,-1,1147,3643,-2496,2496
YOR119C,-1,544,3038,-2494,2494
YIL162W,-1,3609,1119,2490,2490
YLR372W,-1,720,3208,-2488,2488
YBR117C,-1,1420,3905,-2485,2485
YJL115W,-1,3920,1435,2485,2485
YBL072C,-1,1163,3645,-2482,2482
YLR129W,-1,1390,3868,-2478,2478
YCR044C,-1,2540,74,2466,2466
YHR135C,-1,2595,133,2462,2462
YNL182C,-1,1292,3747,-2455,2455
YCL011C,-1,3158,703,2455,2455
YMR280C,-1,1010,3462,-2452,2452
YDR096W,-1,215,2665,-2450,2450
YLR249W,-1,1417,3865,-2448,2448
YOR310C,-1,1179,3624,-2445,2445
YJR086W,-1,3144,700,2444,2444
YKL022C,-1,3163,719,2444,2444
YLR221C,-1,802,3243,-2441,2441
YHR169W,-1,1227,3664,-2437,2437
YOR113W,-1,503,2938,-2435,2435
YOR304W,-1,3064,632,2432,2432
YEL060C,-1,240,2671,-2431,2431
YML111W,-1,3603,1172,2431,2431
YFL039C,1,75,2502,-2427,2427
YKR024C,-1,1001,3426,-2425,2425
YOL123W,-1,3383,960,2423,2423
YPR075C,-1,3086,664,2422,2422
YOR231W,-1,3962,1542,2420,2420
YDR439W,-1,955,3370,-2415,2415
YMR038C,-1,3964,1552,2412,2412
YPL093W,-1,1427,3836,-2409,2409
YHR062C,-1,463,2871,-2408,2408
YLR377C,-1,906,3314,-2408,2408
YML098W,-1,3544,1137,2407,2407
YDR009W,-1,1591,3995,-2404,2404
YDR034C,-1,3254,857,2397,2397
YBR083W,-1,4049,1654,2395,2395
YIL078W,-1,1123,3518,-2395,2395
YDR258C,1,71,2465,-2394,2394
YJR047C,-1,4151,1757,2394,2394
YMR105C,-1,419,2812,-2393,2393
YBR183W,-1,395,2787,-2392,2392
YLR380W,-1,3429,1039,2390,2390
YNL009W,-1,970,3359,-2389,2389
YMR043W,-1,2904,517,2387,2387
YNL263C,-1,2525,139,2386,2386
YER044C,-1,2848,465,2383,2383
YDR425W,-1,599,2979,-2380,2380
YBL078C,-1,166,2546,-2380,2380
YBL054W,-1,1505,3884,-2379,2379
YMR149W,-1,2785,407,2378,2378
YDR074W,-1,172,2548,-2376,2376
YDL113C,-1,570,2945,-2375,2375
YJL044C,-1,3873,1503,2370,2370
YNL049C,-1,2795,425,2370,2370
YMR208W,-1,2636,272,2364,2364
YPR110C,-1,1152,3514,-2362,2362
YMR250W,-1,490,2850,-2360,2360
YDL085W,-1,1728,4088,-2360,2360
YDL165W,-1,2483,126,2357,2357
YBR089C-A,-1,1802,4152,-2350,2350
YKL038W,-1,3278,933,2345,2345
YGR178C,-1,2730,386,2344,2344
YNL283C,-1,3017,677,2340,2340
YDR093W,-1,3769,1430,2339,2339
YLL035W,-1,996,3334,-2338,2338
YIL083C,-1,3940,1602,2338,2338
YOR085W,-1,2719,389,2330,2330
YNL258C,-1,2579,254,2325,2325
YER049W,-1,872,3194,-2322,2322
YGR103W,-1,1600,3920,-2320,2320
YBR129C,-1,2985,668,2317,2317
YGL121C,-1,1071,3385,-2314,2314
YHR005C,-1,3660,1347,2313,2313
YNL329C,-1,2469,156,2313,2313
YPL126W,-1,1107,3419,-2312,2312
YKL088W,-1,3852,1540,2312,2312
YDR164C,-1,2786,481,2305,2305
YNL091W,-1,2479,174,2305,2305
YIL150C,-1,1414,3719,-2305,2305
YDR465C,-1,1520,3824,-2304,2304
YNR008W,-1,3324,1021,2303,2303
YNL326C,-1,2836,534,2302,2302
YBR280C,-1,201,2495,-2294,2294
YNL093W,-1,1733,4027,-2294,2294
YBR017C,-1,3360,1067,2293,2293
YJL103C,-1,289,2582,-2293,2293
YAL025C,-1,1526,3816,-2290,2290
YGR090W,-1,857,3144,-2287,2287
YGL169W,-1,808,3095,-2287,2287
YJR057W,-1,2443,158,2285,2285
YJR041C,-1,914,3196,-2282,2282
YOR294W,-1,1332,3614,-2282,2282
YMR211W,1,35,2315,-2280,2280
YJR074W,-1,2896,618,2278,2278
YOL031C,-1,2877,599,2278,2278
YLR401C,-1,1181,3455,-2274,2274
YNR039C,-1,3735,1461,2274,2274
YJR156C,-1,1415,3688,-2273,2273
YPL075W,-1,3114,841,2273,2273
YGR264C,-1,1235,3508,-2273,2273
YPL157W,-1,864,3136,-2272,2272
YLR410W,-1,3038,768,2270,2270
YDR412W,-1,1656,3916,-2260,2260
YOR080W,-1,3364,1105,2259,2259
YNL103W,-1,2949,691,2258,2258
YEL040W,-1,1019,3276,-2257,2257
YDR253C,-1,4063,1811,2252,2252
YAL054C,-1,1335,3584,-2249,2249
YMR229C,-1,1478,3727,-2249,2249
YJL026W,-1,3978,1731,2247,2247
YMR044W,-1,2962,717,2245,2245
YJL029C,-1,2716,471,2245,2245
YNL307C,-1,2342,99,2243,2243
YLL011W,-1,716,2951,-2235,2235
YMR272C,-1,3773,1539,2234,2234
YPR026W,-1,311,2541,-2230,2230
YNL104C,-1,535,2765,-2230,2230
YKL196C,-1,2508,278,2230,2230
YGL035C,-1,3686,1459,2227,2227
YKL099C,-1,1532,3757,-2225,2225
YLR245C,-1,4017,1797,2220,2220
YKL019W,-1,2374,155,2219,2219
YJL209W,-1,2827,610,2217,2217
YNL062C,-1,972,3185,-2213,2213
YLR196W,-1,1527,3738,-2211,2211
YBL005W,-1,3913,1704,2209,2209
YBR212W,1,62,2271,-2209,2209
YCL014W,-1,926,3133,-2207,2207
YAL014C,-1,2894,687,2207,2207
YDR363W-A,-1,1944,4150,-2206,2206
YIL049W,-1,3422,1217,2205,2205
YDL217C,1,68,2269,-2201,2201
YNL096C,-1,1266,3465,-2199,2199
YDR324C,-1,1562,3760,-2198,2198
YGR289C,-1,1054,3251,-2197,2197
YNL160W,-1,474,2670,-2196,2196
YDL060W,-1,1412,3607,-2195,2195
YGR156W,-1,3761,1568,2193,2193
YFL047W,-1,3525,1333,2192,2192
YKL026C,-1,602,2790,-2188,2188
YKR076W,-1,415,2602,-2187,2187
YCL040W,-1,320,2507,-2187,2187
YIR012W,-1,1170,3354,-2184,2184
YNL223W,-1,870,3053,-2183,2183
YCR020W-B,-1,1982,4164,-2182,2182
YKR068C,-1,2998,816,2182,2182
YHR111W,-1,2969,788,2181,2181
YJL139C,-1,3177,997,2180,2180
YBL076C,-1,1014,3191,-2177,2177
YHR066W,-1,1607,3782,-2175,2175
YBL004W,-1,1319,3493,-2174,2174
YNL312W,-1,2325,154,2171,2171
YBR289W,-1,3317,1148,2169,2169
YPL204W,-1,3420,1253,2167,2167
YHR046C,-1,1231,3393,-2162,2162
YMR065W,-1,587,2748,-2161,2161
YMR087W,-1,3204,1043,2161,2161
YOR219C,-1,690,2849,-2159,2159
YCR057C,-1,1461,3615,-2154,2154
YPR133C,-1,3143,991,2152,2152
YER125W,-1,2542,390,2152,2152
YNR010W,-1,3834,1684,2150,2150
YNR026C,-1,3165,1018,2147,2147
YKL172W,-1,1559,3705,-2146,2146
YJL004C,-1,2872,726,2146,2146
YAL022C,-1,2545,400,2145,2145
YJL184W,-1,3171,1028,2143,2143
YOR110W,-1,2500,358,2142,2142
YDL047W,-1,2978,837,2141,2141
YMR049C,-1,1337,3478,-2141,2141
YPR034W,-1,3416,1277,2139,2139
YNL250W,-1,1115,3248,-2133,2133
YML010W,-1,3512,1381,2131,2131
YGL227W,-1,161,2291,-2130,2130
YBR085W,-1,3648,1519,2129,2129
YOR210W,-1,754,2881,-2127,2127
YDL238C,-1,966,3092,-2126,2126
YPR184W,-1,960,3084,-2124,2124
YJR036C,-1,718,2839,-2121,2121
YMR131C,-1,1378,3498,-2120,2120
YLR055C,-1,3236,1117,2119,2119
YOL028C,-1,1239,3355,-2116,2116
YPL176C,-1,2203,89,2114,2114
YNL231C,-1,2401,288,2113,2113
YLR435W,-1,1197,3310,-2113,2113
YOL112W,-1,2840,730,2110,2110
YLR303W,-1,1076,3186,-2110,2110
YPL113C,-1,3713,1604,2109,2109
YNL136W,-1,3566,1457,2109,2109
YHR152W,-1,3359,1251,2108,2108
YDR150W,1,158,2264,-2106,2106
YPL266W,-1,1516,3621,-2105,2105
YEL015W,-1,2179,76,2103,2103
YMR116C,-1,1622,3724,-2102,2102
YOR060C,1,42,2143,-2101,2101
YPR137W,-1,782,2882,-2100,2100
YNR034W,-1,561,2659,-2098,2098
YLL048C,-1,3944,1849,2095,2095
YDR069C,-1,440,2535,-2095,2095
YLR003C,-1,1432,3526,-2094,2094
YNL238W,-1,2856,762,2094,2094
YOL080C,-1,1169,3262,-2093,2093
YLR256W,-1,3821,1729,2092,2092
YLR006C,-1,3371,1281,2090,2090
YPR112C,-1,1601,3689,-2088,2088
YDR459C,-1,3186,1100,2086,2086
YPL221W,-1,3481,1396,2085,2085
YJL041W,-1,3072,988,2084,2084
YOL125W,-1,647,2728,-2081,2081
YKL186C,-1,3427,1351,2076,2076
YOL117W,-1,669,2745,-2076,2076
YDL119C,-1,3575,1500,2075,2075
YOR348C,-1,1563,3637,-2074,2074
YML080W,-1,546,2619,-2073,2073
YBR127C,-1,2809,737,2072,2072
YBL080C,1,97,2166,-2069,2069
YKL054C,-1,2908,839,2069,2069
YGL058W,-1,3298,1232,2066,2066
YHR104W,-1,141,2207,-2066,2066
YCR032W,-1,1066,3130,-2064,2064
YGL215W,-1,4169,2106,2063,2063
YDL188C,-1,2250,188,2062,2062
YNL308C,-1,1370,3432,-2062,2062
YKL130C,-1,2695,634,2061,2061
YJR035W,-1,1205,3263,-2058,2058
YNL002C,-1,1793,3851,-2058,2058
YIL074C,-1,3804,1752,2052,2052
YLR080W,-1,515,2567,-2052,2052
YDR423C,-1,298,2350,-2052,2052
YBL092W,-1,1694,3745,-2051,2051
YNR054C,-1,1545,3594,-2049,2049
YIR026C,-1,1709,3756,-2047,2047
YKL052C,-1,3777,1730,2047,2047
YJR126C,-1,2474,427,2047,2047
YDR484W,-1,867,2912,-2045,2045
YOR332W,-1,2608,563,2045,2045
YLR340W,-1,1594,3638,-2044,2044
YLR087C,-1,1724,3765,-2041,2041
YLL034C,-1,1586,3626,-2040,2040
YKR097W,-1,1577,3616,-2039,2039
YDR001C,-1,279,2318,-2039,2039
YDL226C,-1,2274,236,2038,2038
YOR327C,-1,3341,1303,2038,2038
YGL123W,-1,1775,3812,-2037,2037
YGL133W,-1,3589,1556,2033,2033
YER015W,-1,1419,3449,-2030,2030
YGR191W,-1,929,2957,-2028,2028
YER020W,-1,559,2585,-2026,2026
YOL148C,-1,3488,1462,2026,2026
YIL142W,-1,2902,878,2024,2024
YCL039W,-1,775,2797,-2022,2022
YJL134W,-1,3554,1533,2021,2021
YEL037C,-1,3014,994,2020,2020
YKL174C,-1,3472,1453,2019,2019
YKL120W,-1,848,2866,-2018,2018
YER053C,-1,159,2177,-2018,2018
YER078C,-1,2403,387,2016,2016
YER043C,-1,1095,3109,-2014,2014
YOR356W,-1,2109,96,2013,2013
YOR004W,-1,1889,3902,-2013,2013
YER016W,-1,3502,1489,2013,2013
YBR247C,-1,1481,3491,-2010,2010
YFR045W,-1,2779,769,2010,2010
YBL018C,-1,1329,3337,-2008,2008
YIL076W,-1,883,2890,-2007,2007
YER064C,-1,3989,1982,2007,2007
YML071C,-1,3346,1341,2005,2005
YJL156C,-1,2926,924,2002,2002
YAL013W,-1,4044,2043,2001,2001
YDR007W,-1,3909,1909,2000,2000
YJR070C,-1,1347,3346,-1999,1999
YML114C,-1,2642,643,1999,1999
YCL067C,-1,1047,3043,-1996,1996
YDL215C,-1,827,2820,-1993,1993
YOR099W,-1,3301,1308,1993,1993
YGR081C,-1,954,2946,-1992,1992
YFR008W,-1,2503,515,1988,1988
YNL202W,-1,1542,3529,-1987,1987
YNL044W,-1,3879,1892,1987,1987
YCR077C,-1,2922,935,1987,1987
YLR134W,-1,3585,1600,1985,1985
YGR268C,-1,679,2663,-1984,1984
YML005W,-1,3258,1274,1984,1984
YLL058W,-1,3580,1599,1981,1981
YOR025W,-1,2955,975,1980,1980
YPR029C,-1,2091,112,1979,1979
YDL167C,-1,1948,3927,-1979,1979
YMR307W,-1,1780,3759,-1979,1979
YOL010W,-1,1262,3240,-1978,1978
YDR473C,-1,1356,3331,-1975,1975
YDR421W,-1,481,2455,-1974,1974
YER127W,-1,1403,3376,-1973,1973
YIL051C,1,41,2013,-1972,1972
YHR031C,1,20,1992,-1972,1972
YDR101C,-1,1458,3430,-1972,1972
YBL064C,-1,128,2100,-1972,1972
YBR264C,-1,3338,1366,1972,1972
YNL164C,-1,1134,3106,-1972,1972
YIL008W,-1,1331,3301,-1970,1970
YBR031W,-1,1327,3296,-1969,1969
YPR001W,-1,1536,3505,-1969,1969
YGL203C,-1,3192,1224,1968,1968
YIL160C,-1,2015,3983,-1968,1968
YJR131W,-1,3608,1641,1967,1967
YHR113W,-1,2343,377,1966,1966
YCR008W,-1,2718,753,1965,1965
YIL002C,-1,3010,1046,1964,1964
YIL133C,-1,1582,3545,-1963,1963
YMR240C,-1,2661,698,1963,1963
YDR310C,-1,3753,1792,1961,1961
YLR393W,-1,1306,3266,-1960,1960
YJR078W,-1,1513,3473,-1960,1960
YMR088C,-1,3729,1771,1958,1958
YGL037C,-1,439,2395,-1956,1956
YNL264C,-1,2370,415,1955,1955
YBR175W,-1,2745,792,1953,1953
YGR054W,-1,3918,1967,1951,1951
YLR383W,-1,989,2939,-1950,1950
YMR273C,-1,703,2652,-1949,1949
YNR016C,-1,1138,3086,-1948,1948
YML115C,-1,2339,391,1948,1948
YOR007C,-1,2777,831,1946,1946
YGR154C,-1,1093,3039,-1946,1946
YAL055W,-1,3478,1532,1946,1946
YLL039C,-1,245,2191,-1946,1946
YOR321W,-1,3474,1529,1945,1945
YKL045W,-1,3304,1360,1944,1944
YKL181W,-1,1609,3553,-1944,1944
YIL044C,-1,2876,934,1942,1942
YDR019C,-1,3896,1954,1942,1942
YKL191W,-1,1258,3199,-1941,1941
YBR279W,-1,2792,851,1941,1941
YIR011C,-1,3581,1640,1941,1941
YNL045W,-1,2189,249,1940,1940
YBR132C,-1,686,2624,-1938,1938
YMR041C,-1,374,2310,-1936,1936
YNR013C,-1,3435,1501,1934,1934
YOR112W,-1,2153,221,1932,1932
YBL014C,-1,1026,2958,-1932,1932
YOL066C,-1,2714,782,1932,1932
YLR114C,-1,2879,948,1931,1931
YPL128C,-1,2675,744,1931,1931
YJR050W,-1,3148,1219,1929,1929
YIL023C,-1,3536,1607,1929,1929
YMR134W,1,12,1937,-1925,1925
YGL009C,-1,1340,3265,-1925,1925
YML121W,-1,1969,45,1924,1924
YDL101C,-1,3573,1651,1922,1922
YER006W,-1,2048,3970,-1922,1922
YLR265C,-1,3910,1989,1921,1921
YDR167W,-1,3303,1382,1921,1921
YDR184C,-1,1715,3634,-1919,1919
YGR145W,-1,1934,3853,-1919,1919
YNL275W,-1,2921,1004,1917,1917
YPR173C,-1,2720,803,1917,1917
YPL006W,-1,635,2550,-1915,1915
YOR008C,-1,2244,330,1914,1914
YLR016C,-1,3184,1270,1914,1914
YDL022W,-1,425,2338,-1913,1913
YKR030W,-1,2561,650,1911,1911
YKR088C,-1,2214,303,1911,1911
YGL207W,-1,2280,370,1910,1910
YBR240C,-1,1811,3720,-1909,1909
YDL222C,-1,2129,4038,-1909,1909
YNL189W,-1,2130,222,1908,1908
YNL293W,-1,214,2119,-1905,1905
YDR395W,-1,1397,3302,-1905,1905
YGR270W,-1,2837,932,1905,1905
YKL190W,-1,2502,598,1904,1904
YHR090C,-1,432,2336,-1904,1904
YDL014W,-1,1956,3859,-1903,1903
YMR276W,-1,3226,1324,1902,1902
YIL009C-A,-1,1818,3718,-1900,1900
YBR121C,0,502,2402,-1900,1900
YER099C,-1,2731,832,1899,1899
YML100W,-1,334,2232,-1898,1898
YFL008W,-1,4047,2149,1898,1898
YDR122W,-1,211,2108,-1897,1897
YJL205C,-1,2284,4180,-1896,1896
YGL111W,-1,1244,3138,-1894,1894
YCR038C,-1,740,2632,-1892,1892
YBR297W,-1,1038,2930,-1892,1892
YDR264C,-1,2340,448,1892,1892
YML094W,-1,1182,3074,-1892,1892
YGR128C,-1,1839,3729,-1890,1890
YNL055C,1,9,1897,-1888,1888
YLR070C,-1,938,2825,-1887,1887
YPL154C,-1,221,2107,-1886,1886
YBR210W,-1,2349,463,1886,1886
YLR423C,-1,973,2855,-1882,1882
YDR498C,-1,2799,917,1882,1882
YMR227C,-1,1046,2927,-1881,1881
YDR189W,-1,2555,675,1880,1880
YPL124W,-1,3461,1583,1878,1878
YMR271C,-1,607,2485,-1878,1878
YJR097W,-1,1238,3114,-1876,1876
YMR184W,-1,2851,977,1874,1874
YMR026C,-1,1971,97,1874,1874
YMR014W,-1,1692,3562,-1870,1870
YLR009W,-1,1816,3685,-1869,1869
YLR019W,-1,3286,1418,1868,1868
YDR311W,-1,3618,1751,1867,1867
YOR173W,-1,244,2111,-1867,1867
YDR312W,-1,1598,3464,-1866,1866
YGL030W,-1,2059,3923,-1864,1864
YMR226C,-1,3108,1244,1864,1864
YBL036C,-1,2975,1111,1864,1864
YJL148W,-1,1911,3775,-1864,1864
YJL122W,-1,1643,3506,-1863,1863
YNL036W,-1,579,2441,-1862,1862
YLR262C,-1,2462,600,1862,1862
YPL023C,-1,3033,1173,1860,1860
YPL139C,-1,2128,271,1857,1857
YGL186C,-1,3590,1735,1855,1855
YPL202C,-1,3434,1579,1855,1855
YPL043W,-1,1708,3561,-1853,1853
YLR345W,-1,3078,1225,1853,1853
YMR239C,-1,1895,3748,-1853,1853
YFL050C,-1,1681,3532,-1851,1851
YEL004W,-1,3249,1399,1850,1850
YLR272C,-1,612,2461,-1849,1849
YHR008C,-1,255,2103,-1848,1848
YOR043W,-1,2186,338,1848,1848
YMR021C,-1,2698,850,1848,1848
YLR397C,-1,1425,3271,-1846,1846
YJL048C,-1,453,2299,-1846,1846
YIL045W,-1,920,2763,-1843,1843
YJR052W,-1,2950,1108,1842,1842
YEL029C,-1,1285,3127,-1842,1842
YPL169C,-1,2882,1040,1842,1842
YJL178C,-1,2640,801,1839,1839
YKL214C,-1,2413,574,1839,1839
YDR073W,-1,3548,1709,1839,1839
YOR307C,-1,3106,1269,1837,1837
YLR147C,-1,2649,813,1836,1836
YLL024C,-1,3975,2139,1836,1836
YER123W,-1,2763,927,1836,1836
YHR163W,-1,2632,797,1835,1835
YGL001C,-1,2380,545,1835,1835
YOR014W,-1,2022,190,1832,1832
YKR039W,-1,3836,2005,1831,1831
YKR008W,-1,2358,529,1829,1829
YJR093C,-1,3202,1373,1829,1829
YGL150C,-1,2559,733,1826,1826
YBR162C,-1,1200,3026,-1826,1826
YBR086C,-1,3793,1968,1825,1825
YNL261W,-1,2947,1124,1823,1823
YKR056W,-1,1114,2935,-1821,1821
YJR084W,-1,2331,513,1818,1818
YNL141W,-1,2141,3958,-1817,1817
YNL106C,-1,3827,2012,1815,1815
YMR290C,-1,1774,3589,-1815,1815
YDR043C,-1,1506,3320,-1814,1814
YOR270C,-1,3220,1408,1812,1812
YLR347C,-1,3127,1316,1811,1811
YLR220W,-1,2051,240,1811,1811
YBR252W,-1,299,2109,-1810,1810
YBL084C,-1,1727,3536,-1809,1809
YLR403W,-1,3622,1814,1808,1808
YDL234C,-1,347,2153,-1806,1806
YKL175W,-1,2554,748,1806,1806
YKL046C,-1,1986,181,1805,1805
YBR140C,-1,2839,1035,1804,1804
YOR108W,-1,1300,3103,-1803,1803
YBR214W,-1,1009,2811,-1802,1802
YOL041C,-1,1358,3159,-1801,1801
YDR234W,-1,1486,3287,-1801,1801
YLL062C,-1,3612,1812,1800,1800
YMR303C,-1,3724,1926,1798,1798
YOL090W,-1,2435,637,1798,1798
