Gene,WT_A,WT_B,I59T_A,I59T_B,Fold Change,Log2 Fold Change
tG(UCC)Q,0.801464735,1.873978132,0,0.792244296,0,
tI(GAU)Q,2.404394205,9.36989066,0,9.506931554,0,
tM(CAU)Q2,18.4336889,15.92881412,0,15.05264163,0,
Q0140,65.72010827,76.83310341,1.664902727,64.96403229,0.025333232,-5.302825063
Q0020,398675.809,541248.923,78037.3206,450391.6746,0.195741299,-2.352979918
YLR287C-A,14685.23834,20886.42327,2778.722651,18780.15104,0.189218764,-2.401872932
YIL082W-A,13258.63111,11394.72403,2364.161872,10002.87648,0.178311158,-2.487531108
YGR109W-B,9798.70785,8015.004471,1624.945061,7590.492602,0.165832586,-2.592200573
YNL015W,7136.242,7728.285816,1112.155021,6454.414281,0.155846035,-2.681806644
YOR052C,7064.911639,6632.008609,820.7970442,6143.854517,0.116179379,-3.105574076
YKR075C,4073.845248,3096.748863,655.9716743,3537.370782,0.161020273,-2.634685754
YKL109W,3420.651489,3016.167803,611.0193006,3141.248634,0.178626587,-2.484981266
YDR210C-D,2379.548798,2287.19031,279.7036581,2198.477922,0.11754483,-3.088717013
YGR161C-D,2251.31444,1863.671252,309.6719071,2472.594448,0.137551602,-2.861955156
YLR295C,1859.398185,1671.588494,266.3844362,1809.485972,0.143263793,-2.803254054
YAR009C,1740.781404,1587.259478,251.4003117,2097.862896,0.144418082,-2.791676707
YCL019W,1530.797644,1192.787081,151.5061481,1537.746179,0.098972029,-3.336835341
YLR294C,1457.062888,1601.314314,204.7830354,1349.984281,0.14054509,-2.830895037
YGR008C,1120.447699,735.5364168,173.1498836,636.9644141,0.154536337,-2.693981985
YBR173C,1105.219869,962.2877708,161.4955645,1105.180793,0.146120758,-2.774766957
YMR173W,1065.146633,1230.266644,158.165759,1089.335907,0.148492005,-2.75154284
YKL193C,968.1693998,585.6181663,121.537899,518.1277697,0.125533712,-2.993853239
YKR011C,954.5444993,484.4233471,189.7989108,381.0695065,0.198837153,-2.330340742
YBR285W,920.8829805,664.3252478,148.1763427,432.5653857,0.16090681,-2.63570271
YDR261C-D,769.4061456,651.2074009,116.5431909,776.3994102,0.151471614,-2.722880636
YNL157W,769.4061456,802.0626405,128.1975099,886.5213674,0.166618776,-2.585377114
YMR197C,755.7812451,750.5282419,121.537899,503.0751281,0.160810949,-2.636562461
YKL138C,611.5175928,778.6379139,118.2080936,712.2276223,0.19330285,-2.371065185
YDR034C-D,605.1058749,504.1001175,64.93120634,442.0723173,0.10730553,-3.220203674
YER160C,577.8560739,532.2097895,81.5802336,349.3797346,0.141177427,-2.824418663
YNL122C,568.2384971,721.4815808,79.91533087,781.152876,0.140636953,-2.829952375
YOR319W,544.194555,565.0044068,89.90474723,587.0530235,0.165206995,-2.59765332
YLR346C,516.1432893,594.9880569,88.23984451,445.2412944,0.170959976,-2.548269482
YOL103W-B,488.8934883,386.0394952,73.25571997,343.0417802,0.149839836,-2.738506872
YPR167C,469.6583347,475.9904455,91.56964996,387.4074608,0.194970776,-2.358670199
YIL096C,454.4305047,662.4512697,79.91533087,770.8537002,0.175858201,-2.507515482
YPL192C,446.4158574,463.8095877,68.26101179,240.0500217,0.152909021,-2.709254571
YJL179W,444.0114632,700.8678214,81.5802336,404.8368353,0.183734521,-2.44430538
YDR195W,440.8056042,318.5762824,79.91533087,465.8396461,0.181293818,-2.463598366
YLR410W-B,423.1733801,310.1433808,41.62256816,396.1221481,0.098358191,-3.345810988
YMR050C,402.3352969,352.3078888,58.27159543,311.3520084,0.144833416,-2.787533595
YMR075W,392.7177201,290.4666105,74.9206227,288.3769238,0.190774744,-2.390057901
YLR321C,347.835695,341.06402,68.26101179,339.8728031,0.196244988,-2.349272286
YJR086W,343.0269066,416.0231453,39.95766544,343.0417802,0.116485514,-3.101777544
YOR192C-B,334.2107945,303.5844574,54.94178998,308.1830312,0.164392626,-2.604782512
YGR030C,331.8064003,466.6205549,48.28217907,382.653995,0.145513104,-2.780779021
YJL023C,331.0049355,361.6777795,56.6066927,365.2246205,0.171014649,-2.547808188
YCR020W-B,311.7697819,450.6917407,38.29276271,350.9642232,0.122823843,-3.025337447
YKL138C-A,290.1302341,343.8749872,53.27688725,314.5209856,0.183630939,-2.445118946
YDR316W-B,284.5199809,284.8446761,39.95766544,279.6622365,0.140438873,-2.831985772
YMR112C,271.6965451,403.8422874,51.61198452,301.8450768,0.189961873,-2.396218211
YBL059W,260.4760389,335.4420856,43.28747089,295.5071225,0.166186,-2.589129248
YHR152W,258.8731094,334.5050966,44.95237362,171.9170123,0.173646362,-2.525775911
YBR194W,255.6672504,266.1048947,46.61727634,266.1940835,0.182335736,-2.45533075
YLR053C,250.858462,187.3978132,49.9470818,133.0970418,0.199104632,-2.328401309
YDL098C,225.2115905,283.907687,41.62256816,248.764709,0.184815391,-2.435843189
YPR046W,219.6013374,158.3511522,43.28747089,171.9170123,0.19711843,-2.342865423
YBR111W-A,215.5940137,266.1048947,34.96295726,214.6982043,0.162170353,-2.624417998
YLR157C-B,176.3222417,122.7455676,33.29805453,195.6843412,0.188847727,-2.404704677
YNR010W,175.520777,176.1539444,33.29805453,200.4378069,0.189710045,-2.398132023
YGL128C,160.292947,139.6113708,28.30334635,143.3962176,0.176572625,-2.501666407
YLR408C,150.6753702,115.2496551,28.30334635,68.92525377,0.187843218,-2.412399069
YNL162W-A,145.065117,208.9485617,24.9735409,200.4378069,0.172154005,-2.538228349
YJL114W,132.2416813,137.7373927,18.31392999,117.2521558,0.138488333,-2.852163654
YFR036W,121.021175,120.8715895,21.64373545,147.3574391,0.178842549,-2.483238079
YOR279C,115.4109218,108.6907317,21.64373545,88.73136117,0.187536284,-2.414758341
YDR098C-B,110.6021334,63.71525649,21.64373545,97.44604843,0.195690036,-2.353357796
YBR076W,109.8006687,48.72343143,19.97883272,55.45710073,0.181955474,-2.458342641
YOR177C,107.3962745,94.63589567,18.31392999,91.10809406,0.170526679,-2.55193063
YLL046C,103.3889508,52.4713877,6.659610906,41.1967034,0.064413178,-3.956500314
YDR179C,103.3889508,166.7840537,16.64902727,81.6011625,0.161032945,-2.634572218
YNL133C,103.3889508,103.0687973,19.97883272,66.54852088,0.193239534,-2.371537813
YPL065W,97.77869766,90.8879394,18.31392999,64.17178799,0.187299795,-2.416578777
YIL057C,96.97723293,63.71525649,6.659610906,87.14687258,0.068671901,-3.864136296
YGR273C,92.96990925,89.95095034,18.31392999,107.7452243,0.196987715,-2.343822435
YOL135C,90.56551505,113.375677,13.31922181,124.3823545,0.147067256,-2.765452021
YOR008W-B,85.75672664,85.26600501,11.65431909,101.4072699,0.135899766,-2.879385122
YPL209C,60.10985512,23.42472665,11.65431909,22.18284029,0.193883666,-2.366736826
YLR227W-B,59.30839039,40.29052984,9.989416359,48.32690207,0.168431756,-2.569763923
YPL124W,50.4922783,44.0384861,9.989416359,26.93630607,0.197840476,-2.337590481
YDR253C,40.87470148,31.85762824,6.659610906,11.09142015,0.162927451,-2.6176984
YCL001W-A,33.66151887,26.23569385,4.99470818,22.97508459,0.148380357,-2.75262798
YMR133W,30.45565993,16.86580319,4.99470818,13.46815303,0.163999342,-2.608238071
YPL027W,28.85273046,25.29870478,4.99470818,15.84488592,0.173110416,-2.530235559
YCL001W-B,28.05126572,22.48773758,3.329805453,10.29917585,0.118704285,-3.074556075
YGL015C,28.05126572,28.10967198,4.99470818,34.85874903,0.178056428,-2.489593574
YML039W,25.64687152,14.05483599,4.99470818,22.97508459,0.194749218,-2.360310557
YFR012W-A,24.84540678,12.18085786,1.664902727,22.97508459,0.067010484,-3.899469368
YGR025W,23.24247731,29.98365011,3.329805453,26.93630607,0.143263793,-2.803254053
YKL070W,23.24247731,36.54257357,3.329805453,20.5983517,0.143263793,-2.803254053
YFL002W-A,21.63954784,24.36171572,1.664902727,30.89752755,0.076937963,-3.70016056
YDL186W,20.83808311,9.36989066,3.329805453,7.922442962,0.15979423,-2.645712777
YJR005C-A,20.83808311,6.558923462,3.329805453,1.584488592,0.15979423,-2.645712777
YDL094C,18.4336889,5.621934396,3.329805453,15.05264163,0.180636956,-2.468835014
tL(UAG)L2,17.63222417,1.873978132,3.329805453,3.961221481,0.188847727,-2.404704677
YHR055C,15.22782996,19.67677039,1.664902727,15.05264163,0.109332895,-3.193200571
YHL046C,12.82343576,7.495912528,1.664902727,3.961221481,0.129832812,-2.945273058
YLL030C,12.02197102,1.873978132,1.664902727,2.376732888,0.138488333,-2.852163653
YMR031W-A,12.02197102,7.495912528,1.664902727,0.792244296,0.138488333,-2.852163653
YBR089W,8.816112084,1.873978132,1.664902727,1.584488592,0.188847727,-2.404704676
YJR029W,224.4101258,266.1048947,44.95237362,225.7896244,0.200313482,-2.319668573
YER050C,305.358064,489.1082925,61.60140088,286.0001909,0.201734973,-2.30946688
YEL019C,140.2563286,119.9346004,28.30334635,159.2411035,0.201797285,-2.309021329
YMR137C,560.2238497,505.9740956,113.2133854,518.920014,0.202085979,-2.306958862
YNL170W,90.56551505,54.34536583,18.31392999,72.88647525,0.202217477,-2.306020402
YDR461C-A,131.4402165,100.2578301,26.63844362,96.65380413,0.202665853,-2.302825063
YOR142W-B,188.3442127,203.3266273,38.29276271,237.6732888,0.203312659,-2.298228049
YHR105W,204.3735074,120.8715895,41.62256816,144.9807062,0.203659313,-2.295770305
YLL009C,244.4467442,375.7326155,49.9470818,329.5736272,0.204327049,-2.291047895
YPL068C,113.8079924,106.8167535,23.30863817,122.0056216,0.20480669,-2.287665256
YDL130W-A,1331.232925,1070.978502,273.0440472,795.4132733,0.20510614,-2.285557412
YDR522C,161.8958765,104.9427754,33.29805453,125.9668431,0.205675742,-2.281556446
YOR242C,88.96258558,66.52622369,18.31392999,64.17178799,0.205861036,-2.280257306
YGR230W,581.8633976,668.0732041,119.8729963,549.0252972,0.206015702,-2.279173795
YLR200W,177.1237064,475.9904455,36.62785998,167.1635465,0.206792533,-2.273743999
YHR184W,281.314122,312.954348,58.27159543,341.4572916,0.207140669,-2.271317262
YER100W,1348.063684,1326.776517,279.7036581,1556.760042,0.207485493,-2.268917625
YGL052W,8.01464735,19.67677039,1.664902727,11.88366444,0.2077325,-2.267201153
YHL034W-A,8.01464735,0,1.664902727,0,0.2077325,-2.267201153
YHR214C-B,624.3410285,696.182876,129.8624127,513.3743039,0.207999165,-2.265350357
YNL284C-B,6642.539723,6181.316868,1381.869263,6619.993339,0.20803327,-2.26511382
YER112W,205.1749721,277.3487635,43.28747089,211.5292271,0.21097832,-2.24483334
YOR265W,496.9081357,668.0732041,104.8888718,627.4574826,0.211083024,-2.24411754
YMR072W,2474.923102,3072.387147,524.4443589,2955.863469,0.211903294,-2.238522077
YIL002W-A,3215.476517,4514.41332,684.2750206,4055.498552,0.212806723,-2.232384365
YDR063W,929.6990925,882.6437002,198.1234245,932.4715366,0.213104892,-2.230364385
YLR275W,507.3271772,688.6869635,108.2186772,700.3439578,0.213311413,-2.228966935
YLR012C,54.49960198,39.35354077,11.65431909,29.31303896,0.213842279,-2.225380977
YDR086C,4383.210635,5962.061427,939.0051378,5457.770956,0.214227701,-2.222783052
YGR102C,799.8618055,743.0323293,171.4849808,663.9007202,0.214393261,-2.221668537
YIL037C,217.1969432,179.9019007,46.61727634,224.9973801,0.214631365,-2.220067178
YPL201C,486.4890941,309.2063918,104.8888718,266.1940835,0.215603747,-2.213545841
YEL020W-A,976.9855119,1551.653893,211.4426463,1494.964987,0.216423523,-2.208070782
YJR027W,8316.799555,7806.055909,1813.079069,10284.91545,0.218002016,-2.197586619
YKL185W,5106.933291,4654.96168,1113.819924,5487.87624,0.218099564,-2.196941209
YPR040W,579.4590034,432.8889485,126.5326072,578.3383362,0.218363347,-2.195197382
YDL136W,3072.014329,4259.552294,675.950507,4161.659288,0.220034946,-2.184195424
YMR045C,2426.835217,2370.582337,534.4337752,2158.865707,0.220218403,-2.182993061
YDR480W,113.0065276,78.70708154,24.9735409,87.14687258,0.220992021,-2.177933815
YPR145C-A,113.0065276,110.5647098,24.9735409,95.86155984,0.220992021,-2.177933815
YOR293W,10784.50947,16008.45819,2384.140704,14457.66616,0.221070853,-2.177419271
YDL069C,270.8950804,309.2063918,59.93649816,273.3242822,0.22125355,-2.176227493
YHR090C,285.3214456,288.5926323,63.26630361,294.7148782,0.221736938,-2.173078976
YNL147W,555.4150613,617.4757945,123.2028018,599.7289322,0.22182114,-2.172531234
YOR333C,22.44101258,13.11784692,4.99470818,11.09142015,0.222570535,-2.16766548
YFR032C-A,2156.741602,2994.617055,481.156888,2627.082086,0.22309436,-2.164274051
YOR028C,701.2816431,536.8947348,156.5008563,638.5489027,0.223164057,-2.163823413
YDL208W,2021.294062,3408.766222,452.8535416,3500.1353,0.224041395,-2.158162778
YDR363W-A,295.7404872,508.7850628,66.59610906,329.5736272,0.225184281,-2.150821969
YGL044C,665.21573,812.3695202,149.8412454,1110.726503,0.225252108,-2.150387488
YHR156C,103.3889508,88.0769722,23.30863817,80.01667391,0.225446123,-2.149145392
YDR162C,552.2092024,484.4233471,124.8677045,607.6513752,0.226123911,-2.14481454
YNL043C,44.08056042,32.79461731,9.989416359,23.76732888,0.226617272,-2.141670271
YER032W,580.2604681,388.8504624,131.5273154,411.967034,0.22666944,-2.141338197
tV(UAC)Q,51.29374304,64.65224555,11.65431909,87.14687258,0.227207421,-2.137918136
YDR071C,1850.582073,2340.598687,421.2203898,2251.55829,0.227615082,-2.135331941
YDR150W,4402.445789,3340.36602,1003.936344,2795.830121,0.228040592,-2.132637443
YHR177W,167.5061296,97.44686286,38.29276271,149.734172,0.228605143,-2.129070234
YDR246W,246.8511384,201.4526492,56.6066927,194.0998526,0.229315097,-2.124596758
YBR233W,326.1961471,225.8143649,74.9206227,196.4765854,0.229679668,-2.122304946
YBL054W,1933.132941,2067.934869,444.529028,2905.952078,0.229952642,-2.120591319
YPL202C,831.9203949,654.0183681,191.4638136,903.9507419,0.230146796,-2.119373735
YDL062W,7.213182615,5.621934396,1.664902727,3.961221481,0.230813888,-2.115198059
YOR055W,7.213182615,3.747956264,1.664902727,7.130198665,0.230813888,-2.115198059
YPL060C-A,7.213182615,18.73978132,1.664902727,5.545710073,0.230813888,-2.115198059
YMR030W-A,7.213182615,1.873978132,1.664902727,4.753465777,0.230813888,-2.115198059
YCR001W,7.213182615,2.810967198,1.664902727,3.168977185,0.230813888,-2.115198059
YKR078W,259.6745741,275.4747854,59.93649816,297.8838554,0.230813888,-2.115198059
YHR079C-A,50.4922783,71.21116902,11.65431909,36.44323762,0.230813888,-2.115198059
YCL055W,4666.127687,5311.791015,1077.192064,4308.224483,0.230853533,-2.114950281
YDR202C,807.0749881,707.4267448,186.4691054,678.9533618,0.231043098,-2.113766104
YLR376C,446.4158574,347.6229435,103.223969,341.4572916,0.231228276,-2.112610266
YKR060W,186.7412832,231.4362993,43.28747089,270.9475493,0.231804506,-2.109019484
YDR484W,329.4020061,255.798015,76.58552542,308.9752755,0.232498661,-2.104705686
YOL108C,214.792549,252.0500588,49.9470818,251.1414419,0.23253638,-2.104471653
YMR124W,1607.738258,1122.512901,374.6031135,1224.017438,0.233000062,-2.101597757
YML015C,99.38162713,125.5565348,23.30863817,105.3684914,0.234536693,-2.092114447
YPR027C,42.47763095,30.92063918,9.989416359,36.44323762,0.235168867,-2.088231012
YDR357C,1231.049833,1370.815004,289.6930744,1041.801249,0.235321972,-2.087292063
YKR074W,464.8495463,628.7196633,109.88358,583.091802,0.236385258,-2.080788028
YBL059C-A,696.4728547,861.0929517,164.8253699,773.2304331,0.236657278,-2.079128805
YJR094C,154.6826938,106.8167535,36.62785998,118.8366444,0.236793523,-2.078298477
YPR148C,1100.411081,1019.444104,261.3897281,644.0946128,0.237538255,-2.073768219
YOR367W,532.172584,512.5330191,126.5326072,483.2690207,0.237766114,-2.072384976
YJL113W,181.9324948,202.3896383,43.28747089,107.7452243,0.237931497,-2.071381827
YHR193C,3740.435918,4405.722588,894.0527642,4830.313474,0.239023682,-2.064774532
YER068W,1417.791116,1293.044911,339.6401562,1637.56896,0.23955585,-2.061566049
YLR131C,312.5712466,216.4444742,74.9206227,209.9447385,0.239691346,-2.060750275
YNL009W,395.9235791,320.4502606,94.89945541,305.8062983,0.239691346,-2.060750276
YMR018W,291.7331635,210.8225399,69.92591452,228.1663573,0.239691346,-2.060750275
YGR104C,415.1587327,390.7244405,99.89416359,492.7759522,0.240616795,-2.05519075
YKR029C,323.7917529,267.9788729,78.25042815,297.8838554,0.241668997,-2.048895689
YMR081C,1526.79032,1204.967939,369.6084053,1502.88743,0.242081968,-2.046432474
YBR233W-A,467.2539405,574.3742975,113.2133854,498.3216623,0.242295197,-2.04516229
YDL191W,6046.24996,8006.571569,1465.114399,8061.877958,0.242317868,-2.045027306
YER106W,48.0878841,58.09332209,11.65431909,38.81997051,0.242354583,-2.044808731
YDR028C,2019.691132,1398.924676,492.8112071,1400.687916,0.244003253,-2.035027711
YPR012W,13.62490049,11.24386879,3.329805453,5.545710073,0.244391176,-2.032735899
YCR003W,565.0326381,743.0323293,138.1869263,661.5239873,0.244564503,-2.031713074
YIL076W,2343.482885,2163.507753,574.3914407,2190.555479,0.245101615,-2.028548102
YMR232W,1602.92947,1475.757779,392.9170435,1270.759851,0.245124349,-2.028414293
YIL152W,263.6818978,180.8388897,64.93120634,215.4904486,0.246248252,-2.021814613
YML045W,47.28641936,45.91246423,11.65431909,69.71749806,0.246462288,-2.020561185
YNL054W-B,9860.420634,9574.154276,2439.082494,11265.71389,0.247360897,-2.015310638
YMR199W,666.0171947,378.5435827,164.8253699,487.2302421,0.247479151,-2.014621105
YJL189W,2661.664385,3477.166424,659.3014797,3692.650664,0.247702709,-2.013318446
YOR193W,786.236905,698.0568542,194.793619,646.4713457,0.247754357,-2.013017665
YCR038C,167.5061296,105.8797645,41.62256816,150.5264163,0.248483851,-2.008776001
YCR091W,481.6803057,401.9683093,119.8729963,475.3465777,0.248864226,-2.006569238
YER098W,688.4582073,575.3112865,171.4849808,583.091802,0.249085535,-2.005286852
YHR182W,581.0619328,453.5027079,144.8465372,604.482398,0.249278999,-2.004166747
YPR073C,2220.057316,2883.115356,556.0775107,2629.458819,0.250478898,-1.997239027
YDR469W,384.7030728,462.8725986,96.56435814,308.1830312,0.251010104,-1.994182659
YOR166C,682.8479542,668.0732041,171.4849808,759.76228,0.251132012,-1.993482152
YOR255W,99.38162713,71.21116902,24.9735409,35.65099333,0.251289314,-1.992578773
Q0065,1013.051425,894.824558,254.7301172,1104.388549,0.251448358,-1.991665964
YML112W,189.9471422,192.0827585,48.28217907,235.296556,0.254187447,-1.976035312
YBL031W,84.9552619,70.27417995,21.64373545,64.17178799,0.254766273,-1.972753794
YGR156W,326.1961471,237.0582337,83.24513633,329.5736272,0.255199631,-1.970301853
YFR023W,293.336093,318.5762824,74.9206227,288.3769238,0.255408811,-1.9691198
YPL255W,156.2856233,153.6662068,39.95766544,154.4876378,0.255670769,-1.967640871
YOL149W,540.1872314,782.3858701,138.1869263,697.1749806,0.255813019,-1.966838408
YBL100W-B,1581.289922,1328.650496,404.5713626,1320.671242,0.255848948,-1.966635795
YDR021W,572.2458208,794.566728,146.5114399,856.4160842,0.256028851,-1.965621704
YDR070C,2780.281166,2364.960403,712.578367,1780.965178,0.256297232,-1.964110197
YKR080W,3604.186913,3581.17221,924.0210132,5332.596357,0.256374332,-1.963676266
YGR091W,350.2400892,319.5132715,89.90474723,324.8201614,0.256694622,-1.961875026
YDR146C,595.4882981,296.0885449,153.1710508,320.8589399,0.257219246,-1.958929503
YDL156W,265.2848273,150.8552396,68.26101179,191.7231197,0.257312159,-1.958408461
YJL031C,543.3930903,543.4536583,139.851829,517.3355254,0.257367698,-1.958097099
YKL042W,187.542748,129.3044911,48.28217907,133.8892861,0.25744626,-1.957656783
YML094W,536.1799077,802.9996296,138.1869263,697.1749806,0.257724925,-1.956096028
YKL045W,671.6274479,485.3603362,173.1498836,522.8812355,0.257806443,-1.955639773
YPL117C,4596.400255,5754.049854,1187.075644,6116.125966,0.258262026,-1.953092563
YGL209W,1392.144245,688.6869635,359.6189889,1090.920396,0.258320207,-1.952767595
YGR078C,758.987104,940.7370223,196.4585217,1119.44119,0.25884303,-1.949850625
YBR047W,282.9170514,237.9952228,73.25571997,202.0222955,0.258930028,-1.949365813
YLR261C,6.41171788,11.24386879,1.664902727,8.714687258,0.259665624,-1.945273058
YPL060W,333.4093297,322.3242387,86.57494178,344.6262688,0.259665624,-1.945273058
YBL008W-A,6.41171788,1.873978132,1.664902727,2.376732888,0.259665624,-1.945273058
YHR145C,6.41171788,4.68494533,1.664902727,2.376732888,0.259665624,-1.945273058
YFL015W-A,6.41171788,0.936989066,1.664902727,0.792244296,0.259665624,-1.945273058
YAL037C-A,6.41171788,0.936989066,1.664902727,2.376732888,0.259665624,-1.945273058
YOL036W,3952.824073,3065.828224,1027.244982,3794.057934,0.259876221,-1.944103464
YPL070W,912.8683331,697.1198651,238.0810899,826.3108009,0.260805509,-1.938953753
YNL260C,344.629836,451.6287298,89.90474723,527.6347012,0.260873371,-1.938578406
YDR189W,793.4500876,730.8514715,208.1128408,847.7013969,0.262288509,-1.930773489
YOR304C-A,316.5785703,460.9986205,83.24513633,404.044591,0.262952531,-1.927125711
YMR107W,1646.208566,1782.153204,432.8747089,1237.485591,0.262952531,-1.927125712
YHR121W,782.2295813,758.9611435,206.4479381,893.6515661,0.263922438,-1.921814085
YPL118W,2099.837606,2438.982539,554.4126079,2770.478304,0.264026421,-1.921245788
YOR023C,1046.712944,655.8923462,276.3738526,854.8315956,0.264039777,-1.921172809
YLR262C-A,2536.635886,3779.813892,670.9557988,3317.126868,0.264506153,-1.918626814
YMR097C,339.8210476,426.330025,89.90474723,353.3409561,0.264564976,-1.918306011
YPL225W,5210.322242,6514.884976,1385.199068,5422.912207,0.265856698,-1.911279279
YDR085C,1608.539723,1352.075222,427.8800007,1216.094995,0.266005244,-1.91047341
YNR023W,505.7242478,450.6917407,134.8571209,480.1000435,0.26666137,-1.90691925
