GO Term,Term Name,SG AUC,Test AUC,Train AUC,Test Average Precision,Train Average Precision
GO:0016050,vesicle organization and biogenesis,0.835173487,0.628080814,0.764604408,0.151723655,0.184244922
GO:0016197,endosome transport,0.838876085,0.849871828,0.897975131,0.234007746,0.267493416
GO:0016570,histone modification,0.749488153,0.721678027,0.881922569,0.169722495,0.257773486
GO:0018193,peptidyl-amino acid modification,0.786953116,0.70621614,0.840319416,0.175949334,0.230974252
GO:0032196,transposition,0.936510536,0.951461829,0.951930751,0.306977148,0.307374332
GO:0032200,telomere organization and biogenesis,0.624928581,0.59623825,0.792048819,0.131280124,0.214864066
GO:0032787,monocarboxylic acid metabolic process,0.803138096,0.753653484,0.87323525,0.207404871,0.260439777
GO:0042221,response to chemical stimulus,0.647498429,0.628984295,0.809162773,0.137527456,0.219886872
GO:0042255,ribosome assembly,0.947067892,0.939037107,0.95165886,0.296927967,0.306447075
GO:0042273,ribosomal large subunit biogenesis and assembly,0.949129703,0.942903419,0.953380427,0.296790864,0.307649915
GO:0042274,ribosomal small subunit biogenesis and assembly,0.928503658,0.900174666,0.93133767,0.276388179,0.295563046
GO:0042594,response to starvation,0.638199454,0.742208196,0.784712275,0.179629653,0.210578624
GO:0043543,protein amino acid acylation,0.640775753,0.576433657,0.788665202,0.116988913,0.205774078
GO:0045333,cellular respiration,0.827458116,0.761735161,0.900441274,0.225884747,0.2793006
GO:0048193,Golgi vesicle transport,0.79642307,0.786449906,0.875900183,0.204211115,0.253416638
GO:0048284,organelle fusion,0.837070235,0.553685841,0.789539622,0.130163396,0.203414054
GO:0048308,organelle inheritance,0.772321997,0.723256748,0.815171621,0.177487619,0.222657938
GO:0051049,regulation of transport,0.917440264,0.738215491,0.740176871,0.191737515,0.185275313
GO:0051052,regulation of DNA metabolic process,0.637134428,0.59047049,0.779506291,0.132423117,0.208367377
GO:0051321,meiotic cell cycle,0.743692591,0.729297257,0.839814772,0.191933192,0.239813653
GO:0051603,proteolysis involved in cellular protein catabolic process,0.808767639,0.78388738,0.89312466,0.221786188,0.272670895
GO:0051726,regulation of cell cycle,0.723635698,0.670144222,0.821923206,0.14979233,0.223129444
