Epoch,Perceptron,20x1,100x50x1,200x1,50x20x10x1
58,45.30749495,7.239339962,5.247300173,2.779909739,4.313514677
59,47.74670258,6.777928691,4.410739563,2.448614931,3.303975853
60,46.5016826,5.821110946,2.52261951,1.633705888,3.496794527
61,47.09387339,8.360096826,5.026851537,1.633976113,4.602140753
62,46.93041619,5.792706192,4.96858768,2.047196252,5.400314818
63,44.94428342,8.195790175,2.017644957,1.468255372,4.144602904
64,46.5599134,7.376992875,3.20826349,1.245988042,3.419827672
65,49.60889541,7.058480646,3.842865268,1.173853449,2.69352619
66,47.26837452,7.357863409,2.725594648,1.714016902,3.583090732
67,50.35939284,6.329749034,2.392183709,1.24466718,4.308983566
68,42.89786515,6.447101693,3.106491759,1.973327781,4.77785375
69,45.60093356,4.486485492,4.376298413,1.899728235,3.366092849
70,47.46115837,5.531077375,4.290606907,1.276696376,2.526898275
71,46.40663913,6.051568572,2.41025879,1.371348186,3.577697463
72,46.40965199,4.118610413,3.648465647,0.959650305,2.918816159
73,48.13737379,5.349359771,3.656191977,1.06861547,2.357576377
74,47.90630233,5.134223496,3.279398813,1.163693227,3.852199609
75,44.07175182,6.060293371,4.817599885,1.15193973,3.699944174
76,45.40426665,7.104359414,2.38392294,3.075286986,3.342588956
77,43.45250376,4.415683102,3.55639329,1.33439732,4.490019706
78,41.5383676,4.981734075,2.815955538,1.270884573,2.014427591
79,45.78919475,4.616124842,2.015349864,1.800929501,2.577151875
80,48.25477128,5.996105777,3.022421803,1.002031268,2.38704745
81,49.50860716,5.016783077,5.211554157,1.495242784,2.698987645
82,46.33953565,4.450737346,1.898483265,1.601288919,4.907738517
83,44.43821098,4.017603866,2.424385512,0.860895738,4.12438948
84,47.7961145,4.119187502,3.543730426,1.694105844,3.030677725
85,46.3659557,3.896716246,1.942134683,1.099748746,3.178165361
86,46.47570299,4.880191864,2.153035847,1.286731827,2.478193067
87,43.97216007,4.19665718,1.820808374,1.192003448,3.059129514
88,47.42095418,4.076592568,2.011968718,1.166328899,1.871876487
89,47.82389694,4.353419942,1.364773824,1.110303612,2.060228471
90,45.44343571,3.787372876,2.658819871,1.277397104,1.82889132
91,46.71505602,4.465035082,2.628774328,1.320738248,2.556185217
92,45.72110075,5.100031562,2.454931721,1.187711284,2.928298256
93,45.43266392,3.856944071,2.901966768,1.354480002,2.471341417
94,43.60997913,3.75310284,1.808684714,0.707214423,2.997708134
95,47.22792619,6.395985808,3.359053269,0.816704392,3.19381258
96,48.04420207,3.912636003,3.395586784,0.897076812,2.259541649
97,48.59987882,4.330037042,1.679145229,1.306501791,2.714678885
98,46.98407659,4.213802703,1.231603497,0.974837595,4.446421194
99,44.61132051,4.116306275,2.303087771,1.138436994,1.870460518
100,45.7128052,4.224029701,2.498910003,1.267181397,2.04191869
101,45.0534703,3.200754084,1.846491813,1.232707154,1.570735862
102,44.83982685,4.918312412,1.356777712,1.055110655,1.722170196
103,50.11555591,4.392466082,2.62123739,1.325879113,2.132545535
104,52.39031309,3.645653127,2.080730334,1.064538176,2.354587987
105,45.82271141,4.205953277,2.366086027,1.303597325,1.894647092
106,45.73058048,3.421783591,2.105427537,0.973229787,2.490977723
107,46.81041426,4.428473028,2.001244833,0.979639518,2.345722819
108,47.41654493,4.085309057,3.467633597,1.241893613,2.072938515
109,50.7547332,5.195806304,2.671642264,0.66078934,1.941788372
110,46.59613223,3.869359261,2.410472807,0.612134424,2.806064454
111,45.13966906,3.984062979,2.776646176,0.912492836,2.337270536
112,46.93183676,3.457896212,2.517273277,0.670844523,3.154562288
113,45.94922985,4.335792229,1.783345547,0.572416364,2.6308515
114,44.29949059,3.641815705,2.562952088,0.89647884,2.288453963
115,46.39410384,2.751375904,1.63630112,0.852618275,1.751740768
116,46.53032342,2.238145183,1.983891525,1.339779094,2.035480706
117,47.20478106,3.031108635,2.741539544,1.214661219,1.897232877
118,47.6408834,3.535787928,1.524222253,1.408217375,2.050711994
119,47.08599027,3.759201142,0.847365809,0.631073735,3.665313899
120,47.28222886,2.514031341,2.279044398,0.809756375,1.930854057
121,44.45003395,2.52804302,1.066677491,0.789666688,2.153376715
122,45.31385738,3.320178496,1.387459804,0.702781253,2.009782974
123,45.53726267,3.842370091,2.433243156,0.929973308,1.896780267
124,46.55112461,3.023811712,1.789222753,0.560633248,2.437957825
125,47.5827141,2.937373787,1.818104386,0.906283734,2.607750181
126,48.51005927,3.777609489,2.853038576,1.05298022,2.531812314
127,44.95260067,3.953831433,2.395623775,0.800554963,2.075722959
128,47.36325434,3.89964904,1.96229703,0.640713508,1.159957792
129,47.09051856,4.608134472,2.098191126,0.731495743,3.157274573
130,44.55560309,4.686830902,1.807662337,0.707517005,1.403673934
131,44.56496602,3.646581373,0.814949509,0.428430803,1.175464801
132,45.07788131,3.55202902,2.954853631,0.673913254,2.027964307
133,50.7747345,3.932215048,2.051632919,0.689186339,2.056560962
134,48.21628065,8.567091513,1.361725041,0.544893942,1.332861894
135,43.06102864,3.93306358,1.21439352,0.63743042,1.588190426
136,47.51588978,2.337257343,1.320764487,0.265859257,2.343258588
137,46.53035536,3.821882292,1.679626362,0.641929938,1.393879722
138,43.40175609,5.189067826,2.069341613,0.446730879,1.199303872
139,47.88288324,4.924686131,2.780909744,0.638956489,2.464859978
140,41.4056479,3.36613334,1.615800271,0.778391518,2.452832584
141,45.67936771,2.963438694,1.868584839,0.549102009,1.503735475
142,47.33665139,3.561021136,2.224207439,0.361904737,1.705225511
143,44.54062964,3.43015072,2.835458888,0.650045754,1.503677876
144,44.31587837,3.707120771,2.456953497,0.703274846,0.98945051
145,44.35758614,3.639459328,1.641805388,0.24019227,1.116178402
146,42.47281308,8.59033396,1.544772027,0.395070492,1.144946588
147,50.17101821,3.547790445,1.702555492,0.192271952,2.033604854
148,43.12133422,3.129747132,1.559557132,0.458438115,1.309041518
149,46.46650425,5.168320078,1.58447268,0.378087958,2.703894306
150,46.22781067,3.087212225,0.902200369,0.218827661,1.196738775
151,44.8033921,2.743562231,0.952929228,0.185824488,1.102457426
152,44.93564035,5.043872527,0.717439136,0.685091401,0.868799703
153,44.67100655,2.917841426,2.170264894,0.425446106,2.078232772
154,49.85519287,4.66609717,1.021272471,0.332532123,2.620800257
155,43.65922976,3.829979789,1.047971423,0.666922314,2.878153035
156,45.84533696,2.971530839,0.825360452,0.27321992,2.39032222
157,48.63136463,4.139699362,0.540508278,0.496657586,2.11010154
158,45.22569603,3.586124904,0.422487182,0.222133124,1.825118351
159,47.02850156,2.986246111,0.477167056,0.305395235,1.600120243
160,42.08056577,3.315645447,0.900369065,0.452948144,1.600412861
161,43.2459605,2.537245873,0.952281018,0.171363577,2.075542716
162,46.73070025,2.560028723,0.873618107,0.452403439,1.883773463
163,46.10954102,3.212130619,0.777352224,0.318279911,1.942791945
164,45.496744,4.701060011,1.063788823,0.320677238,1.826332052
165,46.84093768,4.025437743,1.730575902,0.611703138,0.90804977
166,48.65352388,3.243051865,1.592243633,0.317697447,1.258877263
167,46.36592741,2.698969905,1.741592149,0.223491768,0.89568593
168,47.39060168,4.329651712,2.047731265,0.409962192,1.249140165
169,43.14124799,3.11804086,1.451859167,0.356914847,1.725423967
170,45.30756736,3.130210162,1.381641893,0.67421016,1.031997869
171,46.30171505,2.993289523,1.812313256,0.638391685,0.835482231
172,41.7122004,3.024277106,1.998600952,0.931698196,1.737366978
173,46.83710878,3.34104871,1.240420261,0.262810029,1.645095825
174,46.17823108,2.928617228,2.317589606,0.503207286,2.212187484
175,43.58739774,3.690375262,2.23931631,0.549441911,1.119678139
176,46.16142171,2.352321751,4.217296446,1.161791974,2.801332518
177,49.05408868,3.109215315,2.160330383,0.409755153,0.890557609
178,45.36440055,2.378974547,1.629111967,0.70615741,1.800278337
179,44.51783153,2.666698607,1.402088659,0.348438322,1.182707
180,47.89303339,2.442215116,3.010302376,0.382112653,1.08523553
181,45.16831568,2.77672624,1.763768973,0.466267117,2.642524484
182,45.3182413,3.179184048,0.976258583,0.249552421,1.108690457
183,45.23975889,2.197150271,0.883459389,0.388350284,1.775911758
184,46.72489847,2.541117082,1.010463512,0.439629824,1.447358274
185,48.56927466,1.349284998,1.11434722,0.70556314,2.265969067
186,45.79509736,2.005567333,0.85991685,0.422929186,1.369950162
187,42.94525678,2.469178254,1.53751755,0.281472868,1.798371176
188,45.62945786,3.012293786,0.898116558,0.689692399,1.042802019
189,48.84345508,1.890675666,1.105993,0.763928942,1.152514029
190,45.20918626,3.799414691,0.824097483,0.56649191,1.424084259
191,47.03745361,3.569975267,1.474136367,1.061337685,0.667688607
192,44.97642665,2.183296622,1.040778882,0.407447544,0.64364868
193,44.57959809,3.302156821,1.25264,0.41748771,0.542180032
194,45.32264382,3.690335441,0.729915251,0.262709052,1.398220375
195,46.37194216,3.12292746,0.893404975,0.223850558,1.873286201
196,46.75262035,2.71838347,0.880898894,0.154740363,1.698987989
197,49.02261174,3.350416481,0.890155898,0.138276691,0.484681825
198,47.87976806,2.593699748,0.313804358,0.765447192,0.766022621
199,47.78766232,3.415301003,0.781934401,0.273406499,0.935479079
