Term,Abs Sum,Sig Sum,Inverse Sum,Dis Total 1,Dis Total 2,Dis Total 3,Dis Total 4,Dis Total 5
GO:0008380,70.41036740682725,62.000471822938785,72.22129942724372,4,4,5,7,7
GO:0008643,56.49911830655462,58.97710148294552,76.45606747486765,4,4,4,4,6
GO:0009408,40.550172330557245,55.21770579877591,80.96730422366691,6,10,13,18,21
GO:0009451,61.708006413214974,60.03223922752393,74.67112235078267,5,6,6,11,12
GO:0016197,61.29853097649389,59.90719388914666,74.64331285856235,9,11,12,15,16
GO:0016301,59.436102131573364,59.411218593128446,75.3178331024345,10,10,12,17,20
GO:0016491,78.18882652380988,63.65604228117285,70.03605895718577,5,6,6,7,8
GO:0016757,70.04383171353115,61.96407873358417,72.18586802694767,5,5,5,5,6
GO:0016779,65.46592407969231,60.80601430475659,73.36905289737389,11,13,13,15,17
GO:0016791,62.447700270730564,60.21716731987109,74.66682332843709,2,6,6,6,10
GO:0016798,58.019071506646696,59.287893169274916,75.83563120508141,4,5,6,8,9
GO:0016829,69.00404796457723,61.71248749452167,72.71008285296118,0,0,0,5,6
GO:0016853,58.8948035192361,59.452237038801876,75.64437592992556,3,5,6,7,8
GO:0016874,70.88643669455773,62.104771201524834,72.05867021826995,2,4,4,5,7
GO:0019843,61.35149663704798,59.93436626338421,74.82494961368783,9,10,11,12,12
GO:0022857,76.87246322443576,63.322903033599964,70.35535640411673,9,9,9,11,11
GO:0030427,60.61787357213651,59.63193106346321,74.92484525404392,20,20,20,21,22
GO:0030674,58.097538401413374,59.134729204977035,75.69657974218467,13,15,16,17,19
GO:0031410,66.16803808209528,60.891930570200586,73.27387808891544,15,17,18,19,19
GO:0032196,70.1654949064655,61.92586548061353,72.18708186047041,6,6,7,8,10
GO:0032543,73.96846557715001,62.77120943700856,70.98950852246584,6,7,7,9,9
GO:0042273,66.31819078064315,61.03290438373968,73.23285761782563,9,9,9,12,13
GO:0042274,67.14625353963301,61.19920941455219,73.1142438685353,9,10,10,11,12
GO:0042393,50.68507880366435,57.57539886598897,77.79746597642352,11,12,12,17,17
GO:0045333,65.66000423127494,60.974568390578455,73.49986147585332,4,6,6,7,8
GO:0051082,57.652905074590954,59.14663984019676,75.95254077178932,4,6,8,10,12
GO:0051321,56.65113937778657,58.76943670389049,76.33801275132872,13,15,15,16,18
GO:0051603,67.62492116136292,61.308768139673475,73.0329902738825,6,8,9,11,11
GO:0051726,53.204049344062945,57.92624859506909,77.03061238587358,16,22,23,25,28
