Term,Single AUC,Single Avg Prec,AllGO AUC,AllGO Avg Prec,AUC Diff,Avg Prec Diff
GO:0006457,0.6542940589325202,0.150792163791126,0.8751540686986039,0.2651987964619289,0.22086000976608366,0.1144066326708029
GO:0006468,0.6343606687037042,0.1250314431346696,0.8209362581386919,0.233756265095689,0.18657558943498764,0.1087248219610194
GO:0006470,0.534890572390573,0.1102530493433832,0.8524109537211291,0.2519325521058073,0.31752038133055605,0.14167950276242408
GO:0006486,,,0.8829477011075518,0.2742936881587586,,
GO:0006629,,,0.7682979921052585,0.2039393973296338,,
GO:0006811,0.6499209598701156,0.142611816068856,0.8152039525702183,0.2271349272424862,0.16528299270010272,0.0845231111736302
GO:0006865,0.5931809833875952,0.1165911822956918,0.8558608629480003,0.2607674947240475,0.26267987956040517,0.14417631242835566
GO:0006869,0.5279405626513066,0.1015414112250911,0.7930386763495394,0.2296439562659332,0.2650981136982328,0.12810254504084212
GO:0006873,0.6137016234808008,0.1235825786980878,0.8316907811363423,0.2400663636148991,0.2179891576555415,0.11648378491681131
GO:0006887,0.623799983304115,0.1200433149864197,0.8622998649155488,0.2604430640807205,0.23849988161143376,0.1403997490943008
GO:0006897,0.5964229919365686,0.125910454953014,0.8514914503330576,0.2542346106743948,0.25506845839648906,0.12832415572138078
GO:0006970,0.5242897663918806,0.0946607357799851,0.8212908195732743,0.2373856551518494,0.2970010531813937,0.1427249193718643
GO:0006979,0.5254305131959774,0.1070233100705392,0.8759469060491114,0.2632367617738517,0.35051639285313396,0.1562134517033125
GO:0007005,,,0.8134351880156688,0.2318870143279094,,
GO:0007010,0.6587996697458323,0.1395260379798881,0.8010558085359145,0.2209863154446197,0.14225613879008225,0.08146027746473158
GO:0007031,0.6786090067340067,0.1586066104774709,0.8842378695581881,0.2696380619945652,0.20562886282418136,0.11103145151709429
GO:0007033,0.5771335258148456,0.1196559778993252,0.8305700229275865,0.2444488335197621,0.25343649711274097,0.1247928556204369
GO:0007059,0.6995853855358019,0.1553611474306238,0.8269994864022566,0.2361656761100007,0.12741410086645477,0.0808045286793769
GO:0007124,0.5062149555677885,0.0904397063369951,0.7979584123459963,0.2321524912257763,0.2917434567782078,0.1417127848887812
GO:0008033,,,0.8851711215791371,0.2733809430094605,,
GO:0008168,0.5787780316233697,0.1071451984693618,0.8578183947073279,0.2588999725624241,0.2790403630839582,0.1517547740930623
GO:0008233,0.7429612761778105,0.2043997420804431,0.8577701327456214,0.2546769107322801,0.11480885656781092,0.05027716865183701
GO:0008289,,,0.8594740651975815,0.2573640442731028,,
GO:0008380,0.6608773198148788,0.138991866294616,0.8540037732009977,0.2520904721973294,0.1931264533861189,0.1130986059027134
GO:0008643,0.7664694697201575,0.2131371146809761,0.9128080804762376,0.2848912711048698,0.14633861075608012,0.07175415642389368
GO:0009408,,,0.8657462140354751,0.2636864013761056,,
GO:0009451,0.8079376893333047,0.2042767240779123,0.8977609442169964,0.2746190270544453,0.0898232548836917,0.07034230297653299
GO:0016197,0.6777672558922555,0.1647679746891662,0.9010338685071032,0.2778354164908573,0.2232666126148477,0.1130674418016911
GO:0016301,,,0.7697704783444496,0.2079870384846898,,
GO:0016491,0.7140089215668707,0.1785259974889011,0.8334650765226489,0.2432703348923135,0.11945615495577822,0.0647443374034124
GO:0016757,0.5901364473133734,0.1328869188473172,0.8605014351991491,0.2563040429673749,0.2703649878857757,0.1234171241200577
GO:0016779,,,0.876674074539375,0.2633522731108083,,
GO:0016791,0.6140424209008788,0.1346542147395876,0.8453984027222773,0.2454429182193495,0.2313559818213985,0.11078870347976189
GO:0016798,0.6215645006967321,0.1388168755350172,0.8877764145307063,0.2721423779536377,0.26621191383397425,0.1333255024186205
GO:0016829,,,0.853001314346996,0.2526516740066422,,
GO:0016853,0.5178883886442268,0.0908703331968569,0.8338444633212294,0.2487505609496411,0.3159560746770026,0.1578802277527842
GO:0016874,0.6082981398791057,0.1314076125267042,0.8266990827039805,0.239027185702527,0.21840094282487477,0.10761957317582282
GO:0019843,,,0.9525963825246392,0.3069152244466626,,
GO:0022857,0.6940657842031519,0.1668430375354097,0.8058799114723978,0.2244894719514995,0.11181412726924589,0.0576464344160898
GO:0030427,0.677305795227953,0.1464496612191955,0.8127321058092771,0.2258717617204581,0.13542631058132415,0.07942210050126258
GO:0030674,,,0.8389767607427785,0.2475337671927091,,
GO:0031410,0.639540812757577,0.1321754962161212,0.807087763302519,0.2282943638910285,0.16754695054494195,0.0961188676749073
GO:0032196,0.9078603463567994,0.2857823579722355,0.9201475368883164,0.287584273903038,0.012287190531517056,0.001801915930802478
GO:0032543,,,0.9476967296144628,0.3066104747730899,,
GO:0042273,0.865975935828879,0.2644860151277679,0.9479990025244108,0.305116040171886,0.08202306669553183,0.04063002504411806
GO:0042274,0.8791386424696851,0.2565443367013386,0.9441451314492892,0.3023552927642383,0.06500648897960415,0.0458109560628997
GO:0042393,,,0.9113290987378672,0.280965970183251,,
GO:0045333,0.7261375545904841,0.192006262574605,0.8875741459883177,0.274679035585035,0.16143659139783362,0.08267277301042997
GO:0051082,0.6029910762201177,0.1406341658303432,0.8774232502668139,0.2657088860446079,0.2744321740466962,0.12507472021426472
GO:0051321,,,0.8183451317288245,0.235090051436966,,
GO:0051603,0.7014229342588005,0.1682215605456887,0.8443362201552849,0.2497596803522584,0.14291328589648433,0.08153811980656969
GO:0051726,0.6421323553774906,0.1346281255283045,0.8014402983620132,0.2236915841551327,0.15930794298452267,0.08906345862682821
