Gene,Occurances in pairs,Membership
YML009C,8277,Agnostic
YFR017C,8277,Agnostic
YLR287C-A,8277,Agnostic
YJL217W,8277,Agnostic
YJR061W,8277,Agnostic
YOL092W,8277,Agnostic
YLR333C,8277,Agnostic
YHR213W-A,8277,Agnostic
YDL179W,8277,Agnostic
YDR313C,8277,Agnostic
YIL001W,8277,Agnostic
YBR076W,8277,Agnostic
YLR273C,8277,Agnostic
YLR017W,8277,Agnostic
YKL090W,8277,Agnostic
YIL064W,8277,Agnostic
YBR013C,8277,Agnostic
YKL077W,8277,Agnostic
YIL145C,8277,Agnostic
YNL130C-A,8277,Agnostic
YLR082C,8277,Agnostic
YDL012C,8277,Agnostic
YPR145W,8277,Agnostic
YNL081C,8277,Agnostic
YHR087W,8277,Agnostic
YAL061W,8277,Agnostic
YHR199C-A,8277,Agnostic
YNL100W,8277,Agnostic
YMR074C,8277,Agnostic
YMR031C,8277,Agnostic
YDR047W,8277,Agnostic
YLR083C,8277,Agnostic
YNR022C,8277,Agnostic
YAR020C,8277,Agnostic
YPL034W,8277,Agnostic
YMR304W,8277,Agnostic
YDL177C,8277,Agnostic
YBL103C-A,8277,Agnostic
YDR366C,8277,Agnostic
YDR100W,8277,Agnostic
YNL306W,8277,Agnostic
YGR026W,8277,Agnostic
YPR071W,8277,Agnostic
YEL043W,8277,Agnostic
YOR141C,8277,Agnostic
YER047C,8277,Agnostic
YJR142W,8277,Agnostic
YLR281C,8277,Agnostic
YLR348C,8277,Agnostic
YHL015W-A,8277,Agnostic
YGL185C,8277,Agnostic
YOR154W,8277,Agnostic
YMR185W,8277,Agnostic
YLR437C,8277,Agnostic
YPL030W,8277,Agnostic
YGR187C,8277,Agnostic
YGL059W,8277,Agnostic
YOR394W,8277,Agnostic
YMR003W,8277,Agnostic
YLR253W,8277,Agnostic
YBR071W,8277,Agnostic
YMR272W-B,8277,Agnostic
YIL171W,8277,Agnostic
YDL202W,8277,Agnostic
YKR064W,8277,Agnostic
YGR146C,8277,Agnostic
YMR018W,8277,Agnostic
YAL065C,8277,Agnostic
YGL258W-A,8277,Agnostic
YPL134C,8277,Agnostic
YPL279C,8277,Agnostic
YGL076C,8277,Agnostic
YLL066C,8277,Agnostic
YER078C,8277,Agnostic
YDR462W,8277,Agnostic
YER131W,8277,Agnostic
YIL046W-A,8277,Agnostic
YKL164C,8277,Agnostic
YOR360C,8277,Agnostic
YMR071C,8277,Agnostic
YDL021W,8277,Agnostic
YMR001C-A,8277,Agnostic
YFR039C,8277,Agnostic
YIL091C,8277,Agnostic
YDR064W,8277,Agnostic
YBL072C,8277,Agnostic
YFR015C,8277,Agnostic
YBL101W-C,8277,Agnostic
YOR192C,8277,Agnostic
YGL154C,8277,Agnostic
YCR046C,8277,Agnostic
YNL063W,8277,Agnostic
YDR128W,8277,Agnostic
YDL125C,8277,Agnostic
YGL057C,8277,Agnostic
YDL054C,8277,Agnostic
YNL212W,8277,Agnostic
YEL038W,8277,Agnostic
YJL160C,8277,Agnostic
YBL001C,8277,Agnostic
YKL107W,8277,Agnostic
YML100W,8277,Agnostic
YIL071W,8277,Agnostic
YBR120C,8277,Agnostic
YDR350C,8277,Agnostic
YNL052W,8277,Agnostic
YPL024W,8277,Agnostic
YOR285W,8277,Agnostic
YPL064C,8277,Agnostic
YPL052W-A,8277,Agnostic
YER053C-A,8277,Agnostic
YOL097W-A,8277,Agnostic
YFR032C-A,8277,Agnostic
YOR214C,8277,Agnostic
YPL165C,8277,Agnostic
YLR179C,8277,Agnostic
YNL295W,8277,Agnostic
YDR410C,8277,Agnostic
YML081W,8277,Agnostic
YIL102C-A,8277,Agnostic
YGR168C,8277,Agnostic
YPL245W,8277,Agnostic
YHR136C,8277,Agnostic
YGL179C,8277,Agnostic
YIL092W,8277,Agnostic
YDR114C,8277,Agnostic
YNL115C,8277,Agnostic
YOL062C,8277,Agnostic
YLR289W,8277,Agnostic
YOL052C-A,8277,Agnostic
YOR396W,8277,Agnostic
YPL168W,8277,Agnostic
YCR068W,8277,Agnostic
YPR003C,8277,Agnostic
YHR080C,8277,Agnostic
YER004W,8277,Agnostic
YML079W,8277,Agnostic
YMR131C,8277,Agnostic
YMR110C,8277,Agnostic
YNL035C,8277,Agnostic
YNL178W,8277,Agnostic
YJR024C,8277,Agnostic
YKR092C,8277,Agnostic
YCL068C,8277,Agnostic
YAL044W-A,8277,Agnostic
YDR019C,8277,Agnostic
YJL126W,8277,Agnostic
YKR103W,8277,Agnostic
YCR090C,8277,Agnostic
YNL305C,8277,Agnostic
YOL152W,8277,Agnostic
YKR017C,8277,Agnostic
YBL038W,8277,Agnostic
YER078W-A,8277,Agnostic
YEL005C,8277,Agnostic
YGL010W,8277,Agnostic
YCR076C,8277,Agnostic
YHL033C,8277,Agnostic
YFL061W,8277,Agnostic
YJR151W-A,8277,Agnostic
YPL071C,8277,Agnostic
YLR440C,8277,Agnostic
YKR011C,8277,Agnostic
YJL084C,8277,Agnostic
YDR428C,8277,Agnostic
YKR100C,8277,Agnostic
YEL067C,8277,Agnostic
YGR173W,8277,Agnostic
YGR149W,8277,Agnostic
YOR336W,8277,Agnostic
YPR015C,8277,Agnostic
YPL158C,8277,Agnostic
YBR166C,8277,Agnostic
YGR126W,8277,Agnostic
YOL053C-A,8277,Agnostic
YPL099C,8277,Agnostic
YMR020W,8277,Agnostic
YLR121C,8277,Agnostic
YLR412C-A,8277,Agnostic
YLR108C,8277,Agnostic
YDR504C,8277,Agnostic
YHR037W,8277,Agnostic
YGL215W,8277,Agnostic
YIL047C,8277,Agnostic
YML035C,8277,Agnostic
YOR228C,8277,Agnostic
YOR255W,8277,Agnostic
YCL048W,8277,Agnostic
YBL091C,8277,Agnostic
YOR268C,8277,Agnostic
YOR352W,8277,Agnostic
YGL146C,8277,Agnostic
YBR090C,8277,Agnostic
YDL144C,8277,Agnostic
YIL015W,8277,Agnostic
YDR266C,8277,Agnostic
YDR070C,8277,Agnostic
YLR315W,8277,Agnostic
YIR039C,8277,Agnostic
YJR005C-A,8277,Agnostic
YPL273W,8277,Agnostic
YPL201C,8277,Agnostic
YMR062C,8277,Agnostic
YKL098W,8277,Agnostic
YLR342W-A,8277,Agnostic
YEL075C,8277,Agnostic
YDR387C,8277,Agnostic
YKR005C,8277,Agnostic
YIL108W,8277,Agnostic
YCR097W,8277,Agnostic
YHL017W,8277,Agnostic
YLR154C-H,8277,Agnostic
YDL237W,8277,Agnostic
YKL100C,8277,Agnostic
YBR296C-A,8277,Agnostic
YPR129W,8277,Agnostic
YJR112W-A,8277,Agnostic
YDR333C,8277,Agnostic
YJL177W,8277,Agnostic
YHR007C-A,8277,Agnostic
YER079W,8277,Agnostic
YIL005W,8277,Agnostic
YOR097C,8277,Agnostic
YGR027C,8277,Agnostic
YHR057C,8277,Agnostic
YPL119C-A,8277,Agnostic
YNL322C,8277,Agnostic
YGR068C,8277,Agnostic
YML056C,8277,Agnostic
YHR046C,8277,Agnostic
YDR196C,8277,Agnostic
YDR119W,8277,Agnostic
YBL029W,8277,Agnostic
YKL133C,8277,Agnostic
YKL105C,8277,Agnostic
YDR107C,8277,Agnostic
YEL070W,8277,Agnostic
YDL136W,8277,Agnostic
YOL075C,8277,Agnostic
YBR163W,8277,Agnostic
YIL083C,8277,Agnostic
YLR407W,8277,Agnostic
YGL114W,8277,Agnostic
YER175C,8277,Agnostic
YOR337W,8277,Agnostic
YGR087C,8277,Agnostic
YBL027W,8277,Agnostic
YLR038C,8277,Agnostic
YMR215W,8277,Agnostic
YLR143W,8277,Agnostic
YNL067W,8277,Agnostic
YAL039C,8277,Agnostic
YFL010C,8277,Agnostic
YNL208W,8277,Agnostic
YKL033W,8277,Agnostic
YLR421C,8277,Agnostic
YIL090W,8277,Agnostic
YNL122C,8277,Agnostic
YLR285C-A,8277,Agnostic
YGL007C-A,8277,Agnostic
YFR012W,8277,Agnostic
YKL211C,8277,Agnostic
YDL241W,8277,Agnostic
YJR122W,8277,Agnostic
YKL162C,8277,Agnostic
YHR211W,8277,Agnostic
YKR098C,8277,Agnostic
YDR514C,8277,Agnostic
YER139C,8277,Agnostic
YLR344W,8277,Agnostic
YLR404W,8277,Agnostic
YDL186W,8277,Agnostic
YJL028W,8277,Agnostic
YLR356W,8277,Agnostic
YPL150W,8277,Agnostic
YPR013C,8277,Agnostic
YIL137C,8277,Agnostic
YGR102C,8277,Agnostic
YHR101C,8277,Agnostic
YJR100C,8277,Agnostic
YGR282C,8277,Agnostic
YOR072W-B,8277,Agnostic
YKR016W,8277,Agnostic
YPL079W,8277,Agnostic
YPL247C,8277,Agnostic
YBL054W,8277,Agnostic
YBR011C,8277,Agnostic
YOR378W,8277,Agnostic
YDR525W-A,8277,Agnostic
YGL262W,8277,Agnostic
YLR125W,8277,Agnostic
YNL050C,8277,Agnostic
YBR075W,8277,Agnostic
YDR458C,8277,Agnostic
YBL008W-A,8277,Agnostic
YLR363W-A,8277,Agnostic
YEL020C,8277,Agnostic
YMR294W,8277,Agnostic
YIR036C,8277,Agnostic
YBR246W,8277,Agnostic
YPR196W,8277,Agnostic
YBR063C,8277,Agnostic
YER060W,8277,Agnostic
YPR004C,8277,Agnostic
YCR105W,8277,Agnostic
YDR510W,8277,Agnostic
YER023W,8277,Agnostic
YER102W,8277,Agnostic
YJR161C,8277,Agnostic
YPR169W,8277,Agnostic
YLL051C,8277,Agnostic
YMR063W,8277,Agnostic
YOR006C,8277,Agnostic
YKL151C,8277,Agnostic
YJR159W,8277,Agnostic
YHL048C-A,8277,Agnostic
YBL029C-A,8277,Agnostic
YJL046W,8277,Agnostic
YKL207W,8277,Agnostic
YML007C-A,8277,Agnostic
YIR030C,8277,Agnostic
YOR124C,8277,Agnostic
YMR268W-A,8277,Agnostic
YGR032W,8277,Agnostic
YER101C,8277,Agnostic
YDR042C,8277,Agnostic
YHR213W,8277,Agnostic
YLR393W,8277,Agnostic
YEL055C,8277,Agnostic
YER055C,8277,Agnostic
YMR126C,8277,Agnostic
YPR174C,8277,Agnostic
YFL067W,8277,Agnostic
YNL277W,8277,Agnostic
YJL185C,8277,Agnostic
YOR302W,8277,Agnostic
YHR198C,8277,Agnostic
YOR164C,8277,Agnostic
YIL134C-A,8277,Agnostic
YLR154W-C,8277,Agnostic
YJR138W,8277,Agnostic
YGL041C-B,8277,Agnostic
YIL002W-A,8277,Agnostic
YLR420W,8277,Agnostic
YNL146C-A,8277,Agnostic
YFL046W,8277,Agnostic
YFL053W,8277,Agnostic
YGL110C,8277,Agnostic
YLL063C,8277,Agnostic
YNL152W,8277,Agnostic
YBL089W,8277,Agnostic
YBL091C-A,8277,Agnostic
YCR011C,8277,Agnostic
YKR051W,8277,Agnostic
YCL045C,8277,Agnostic
YPL068C,8277,Agnostic
YOR291W,8277,Agnostic
YKL174C,8277,Agnostic
YHL008C,8277,Agnostic
YKR013W,8277,Agnostic
YJL158C,8277,Agnostic
YDL001W,8277,Agnostic
YDR056C,8277,Agnostic
YOR189W,8277,Agnostic
YDR373W,8277,Agnostic
YPL074W,8277,Agnostic
YDR223W,8277,Agnostic
YJL097W,8277,Agnostic
YAR064W,8277,Agnostic
YHR022C,8277,Agnostic
YDR050C,8277,Agnostic
YMR300C,8277,Agnostic
YIL177C,8277,Agnostic
YGL184C,8277,Agnostic
YLR178C,8277,Agnostic
YKR105C,8277,Agnostic
YEL001C,8277,Agnostic
YHR050W-A,8277,Agnostic
YNR014W,8277,Agnostic
YGR031W,8277,Agnostic
YDR014W,8277,Agnostic
YDR390C,8277,Agnostic
YNR012W,8277,Agnostic
YLR456W,8277,Agnostic
YLR073C,8277,Agnostic
YML037C,8277,Agnostic
YGR043C,8277,Agnostic
YOR222W,8277,Agnostic
YER010C,8277,Agnostic
YBR019C,8277,Agnostic
YPL023C,8277,Agnostic
YIL169C,8277,Agnostic
YHR153C,8277,Agnostic
YJR136C,8277,Agnostic
YBR229C,8277,Agnostic
YPL072W,8277,Agnostic
YLR061W,8277,Agnostic
YAL064W,8277,Agnostic
YOR118W,8277,Agnostic
YMR159C,8277,Agnostic
YHR045W,8277,Agnostic
YDR035W,8277,Agnostic
YDR524C-B,8277,Agnostic
YPL278C,8277,Agnostic
YDR316W,8277,Agnostic
YKR004C-A,8277,Agnostic
YLR213C,8277,Agnostic
YLR159W,8277,Agnostic
YOL154W,8277,Agnostic
YBR203W,8277,Agnostic
YLR466C-B,8277,Agnostic
YDL045W-A,8277,Agnostic
YDR020C,8277,Agnostic
YLR159C-A,8277,Agnostic
YKL096W,8277,Agnostic
YER113C,8277,Agnostic
YAL027W,8277,Agnostic
YLL018C,8277,Agnostic
YPR203W,8277,Agnostic
YHR132W-A,8277,Agnostic
YER048C,8277,Agnostic
YOL073C,8277,Agnostic
YKL047W,8277,Agnostic
YMR228W,8277,Agnostic
YER039C-A,8277,Agnostic
YLR387C,8277,Agnostic
YAL063C,8277,Agnostic
YCL001W-A,8277,Agnostic
YPR127W,8277,Agnostic
YBR196C-B,8277,Agnostic
YLR388W,8277,Agnostic
YMR271C,8277,Agnostic
YLL032C,8277,Agnostic
YKL224C,8277,Agnostic
YDR530C,8277,Agnostic
YBL010C,8277,Agnostic
YCL027C-A,8277,Agnostic
YEL023C,8277,Agnostic
YNL146W,8277,Agnostic
YBR230C,8277,Agnostic
YPR147C,8277,Agnostic
YOR096W,8277,Agnostic
YFL054C,8277,Agnostic
YLR239C,8277,Agnostic
YNR037C,8277,Agnostic
YPL013C,8277,Agnostic
YHR044C,8277,Agnostic
YJL193W,8277,Agnostic
YNL254C,8277,Agnostic
YIL176C,8277,Agnostic
YGR106C,8277,Agnostic
YPL225W,8277,Agnostic
YFL041W-A,8277,Agnostic
YER080W,8277,Agnostic
YJR041C,8277,Agnostic
YJL163C,8277,Agnostic
YDR104C,8277,Agnostic
YAL062W,8277,Agnostic
YHR051W,8277,Agnostic
YDL091C,8277,Agnostic
YJL082W,8277,Agnostic
YLR087C,8277,Agnostic
YKL181W,8277,Agnostic
YKL138C,8277,Agnostic
YNR076W,8277,Agnostic
YPL141C,8277,Agnostic
YLL057C,8277,Agnostic
YNL300W,8277,Agnostic
YFR057W,8277,Agnostic
YBR222C,8277,Agnostic
YMR086W,8277,Agnostic
YNR034W-A,8277,Agnostic
YIL148W,8277,Agnostic
YOL032W,8277,Agnostic
YDR169C-A,8277,Agnostic
YML017W,8277,Agnostic
YNR051C,8277,Agnostic
YBR182C-A,8277,Agnostic
YGL164C,8277,Agnostic
YLR029C,8277,Agnostic
YOL107W,8277,Agnostic
YDR452W,8277,Agnostic
YDR267C,8277,Agnostic
YBR259W,8277,Agnostic
YAL049C,8277,Agnostic
YOR389W,8277,Agnostic
YFR012W-A,8277,Agnostic
YJR056C,8277,Agnostic
YGR232W,8277,Agnostic
YGR169C-C,8277,Agnostic
YJL105W,8277,Agnostic
YER059W,8277,Agnostic
YJL068C,8277,Agnostic
YMR315W,8277,Agnostic
YLR049C,8277,Agnostic
YAR061W,8277,Agnostic
YGL036W,8277,Agnostic
YLR326W,8277,Agnostic
YFL065C,8277,Agnostic
YNL096C,8277,Agnostic
YOL098C,8277,Agnostic
YML026C,8277,Agnostic
YCR095W-A,8277,Agnostic
YDR144C,8277,Agnostic
YPL257W,8277,Agnostic
YMR122W-A,8277,Agnostic
YJL213W,8277,Agnostic
YCL042W,8277,Agnostic
YGL077C,8277,Agnostic
YDR031W,8277,Agnostic
YCR050C,8277,Agnostic
YLR094C,8277,Agnostic
YGL197W,8277,Agnostic
YLR204W,8277,Agnostic
YLR327C,8277,Agnostic
YLR194C,8277,Agnostic
YDR026C,8277,Agnostic
YDL127W,8277,Agnostic
YIL015C-A,8277,Agnostic
YLR245C,8277,Agnostic
YMR175W-A,8277,Agnostic
YGR096W,8277,Agnostic
YDR139C,8277,Agnostic
YOR155C,8277,Agnostic
YGR127W,8277,Agnostic
YOR286W,8277,Agnostic
YPL067C,8277,Agnostic
YMR180C,8277,Agnostic
YOR264W,8277,Agnostic
YGL128C,8277,Agnostic
YOR192C-C,8277,Agnostic
YKL221W,8277,Agnostic
YBL095W,8277,Agnostic
YLR307W,8277,Agnostic
YJL044C,8277,Agnostic
YJL037W,8277,Agnostic
YJL221C,8277,Agnostic
YDR476C,8277,Agnostic
YKR099C-A,8277,Agnostic
YDL182W,8277,Agnostic
YDR249C,8277,Agnostic
YGR210C,8277,Agnostic
YBR176W,8277,Agnostic
YGL141W,8277,Agnostic
YOR202W,8277,Agnostic
YIL027C,8277,Agnostic
YOR019W,8277,Agnostic
YJR016C,8277,Agnostic
YDR111C,8277,Agnostic
YGR065C,8277,Agnostic
YNL157W,8277,Agnostic
YGL159W,8277,Agnostic
YDL123W,8277,Agnostic
YDR454C,8277,Agnostic
YDR415C,8277,Agnostic
YIR003W,8277,Agnostic
YHR175W-A,8277,Agnostic
YNL010W,8277,Agnostic
YJR067C,8277,Agnostic
YDL160C-A,8277,Agnostic
YJR054W,8277,Agnostic
YOR022C,8277,Agnostic
YPL148C,8277,Agnostic
YDL176W,8277,Agnostic
YGR236C,8277,Agnostic
YLL007C,8277,Agnostic
YOL132W,8277,Agnostic
YGL117W,8277,Agnostic
YLR352W,8277,Agnostic
YHR159W,8277,Agnostic
YMR259C,8277,Agnostic
YHR215W,8277,Agnostic
YLR012C,8277,Agnostic
YBR067C,8277,Agnostic
YOR365C,8277,Agnostic
YMR024W,8277,Agnostic
YLR030W,8277,Agnostic
YBL021C,8277,Agnostic
YMR124W,8277,Agnostic
YDL131W,8277,Agnostic
YNL108C,8277,Agnostic
YGR076C,8277,Agnostic
YOL164W-A,8277,Agnostic
YGR079W,8277,Agnostic
YHR151C,8277,Agnostic
YJL155C,8277,Agnostic
YGL082W,8277,Agnostic
YBR148W,8277,Agnostic
YCL058W-A,8277,Agnostic
YPL152W-A,8277,Agnostic
YER176W,8277,Agnostic
YGR243W,8277,Agnostic
YLR351C,8277,Agnostic
YHR199C,8277,Agnostic
YOR390W,8277,Agnostic
YDR124W,8277,Agnostic
YDR374W-A,8277,Agnostic
YDR370C,8277,Agnostic
YIR016W,8277,Agnostic
YOR394C-A,8277,Agnostic
YOL038C-A,8277,Agnostic
YOL013W-A,8277,Agnostic
YGL202W,8277,Agnostic
YOL081W,8277,Agnostic
YDR542W,8277,Agnostic
YGR130C,8277,Agnostic
YDR399W,8277,Agnostic
YJR003C,8277,Agnostic
YML106W,8277,Agnostic
YLR251W,8277,Agnostic
YOR258W,8277,Agnostic
YPL207W,8277,Agnostic
YHR137W,8277,Agnostic
YIR034C,8277,Agnostic
YIL020C,8277,Agnostic
YIR027C,8277,Agnostic
YLR093C,8277,Agnostic
YIL134W,8277,Agnostic
YJL216C,8277,Agnostic
YPR192W,8277,Agnostic
YDR068W,8277,Agnostic
YJL131C,8277,Agnostic
YKL024C,8277,Agnostic
YOR304C-A,8277,Agnostic
YCL028W,8277,Agnostic
YPL183C,8277,Agnostic
YNL018C,8277,Agnostic
YPR060C,8277,Agnostic
YPR027C,8277,Agnostic
YDL211C,8277,Agnostic
YMR242C,8277,Agnostic
YLR262C-A,8277,Agnostic
YEL021W,8277,Agnostic
YDR524W-C,8277,Agnostic
YGR294W,8277,Agnostic
YDL210W,8277,Agnostic
YAL065C-A,8277,Agnostic
YKR077W,8277,Agnostic
YLR361C-A,8277,Agnostic
YKR094C,8277,Agnostic
YBR138C,8277,Agnostic
YGR240C-A,8277,Agnostic
YKR075C,8277,Agnostic
YFR032C,8277,Agnostic
YIL078W,8277,Agnostic
YMR019W,8277,Agnostic
YKL027W,8277,Agnostic
YBR128C,8277,Agnostic
YOL056W,8277,Agnostic
YIR043C,8277,Agnostic
YMR181C,8277,Agnostic
YBR157C,8277,Agnostic
YMR230W,8277,Agnostic
YCR079W,8277,Agnostic
YDR261C,8277,Agnostic
YJL159W,8277,Agnostic
YLR343W,8277,Agnostic
YER141W,8277,Agnostic
YKR015C,8277,Agnostic
YGL023C,8277,Agnostic
YPR172W,8277,Agnostic
YDL070W,8277,Agnostic
YGR061C,8277,Agnostic
YER140W,8277,Agnostic
YOR247W,8277,Agnostic
YCR075W-A,8277,Agnostic
YDR033W,8277,Agnostic
YHR018C,8277,Agnostic
YDL110C,8277,Agnostic
YNR029C,8277,Agnostic
YDR051C,8277,Agnostic
YBR187W,8277,Agnostic
YOR114W,8277,Agnostic
YDR044W,8277,Agnostic
YJL017W,8277,Agnostic
YDR352W,8277,Agnostic
YGR198W,8277,Agnostic
YBR252W,8277,Agnostic
YHL032C,8277,Agnostic
YML117W,8277,Agnostic
YPL003W,8277,Agnostic
YFR031C-A,8277,Agnostic
YNL019C,8277,Agnostic
YJL049W,8277,Agnostic
YER034W,8277,Agnostic
YDL219W,8277,Agnostic
YER057C,8277,Agnostic
YIL087C,8277,Agnostic
YKR074W,8277,Agnostic
YNL269W,8277,Agnostic
YML133C,8277,Agnostic
YPL172C,8277,Agnostic
YAL037C-A,8277,Agnostic
YDR049W,8277,Agnostic
YOR381W-A,8277,Agnostic
YDR403W,8277,Agnostic
YLR031W,8277,Agnostic
YPL166W,8277,Agnostic
YLR099W-A,8277,Agnostic
YGL040C,8277,Agnostic
YER074W,8277,Agnostic
