Term,Name,2007 Genes,KS Statistic,KS P-Value,BM Statistic,BM P-Value,Energy Distance
GO:0006766,vitamin metabolic process,87,0.08916000000000002,0.0,-41.82775779227292,0.0,0.0734986025291215
GO:0006811,ion transport,108,0.10090500000000002,0.0,-66.11452874426254,0.0,0.08386709885982756
GO:0006865,amino acid transport,37,0.11014999999999997,0.0,-57.47327432701407,0.0,0.07918177932501569
GO:0006869,lipid transport,34,0.047065000000000023,6.174802469768107e-193,-8.031651537203377,9.643132208818415e-16,0.03449055752218753
GO:0006873,cell ion homeostasis,110,0.08676,0.0,-56.09929375564073,0.0,0.06630877965353149
GO:0006887,exocytosis,45,0.18466,0.0,-134.48380309564936,0.0,0.1548053861518397
GO:0006897,endocytosis,84,0.18156500000000003,0.0,-137.9550374984,0.0,0.1632669710314746
GO:0006970,response to osmotic stress,73,0.11954500000000001,0.0,-78.31677178761443,0.0,0.09686835199993707
GO:0006979,response to oxidative stress,67,0.16893000000000002,0.0,-80.26601298492669,0.0,0.16682645409411317
GO:0006997,nuclear organization and biogenesis,56,0.28157000000000004,0.0,-214.94393210518888,0.0,0.23707207052943954
GO:0007005,mitochondrion organization and biogenesis,106,0.12307000000000001,0.0,-81.03954162032184,0.0,0.09568903233478636
GO:0007010,cytoskeleton organization and biogenesis,227,0.11724000000000001,0.0,-80.28505315397007,0.0,0.09332165187777751
GO:0007031,peroxisome organization and biogenesis,40,0.29815500000000006,0.0,-204.32386475441444,0.0,0.2317997427333938
GO:0007033,vacuole organization and biogenesis,69,0.07636499999999999,0.0,-57.658772609467505,0.0,0.07229268302553729
GO:0007059,chromosome segregation,117,0.22128499999999998,0.0,-148.4656146508352,0.0,0.169379722334425
GO:0007114,cell budding,82,0.14862999999999998,0.0,-105.6169695335979,0.0,0.12151876196625287
GO:0007124,pseudohyphal growth,65,0.05989999999999995,2.42552401358e-312,-28.68839648302128,8.159603401455726e-181,0.038502744397618076
GO:0008033,tRNA processing,31,0.24867999999999996,0.0,-164.9768359454089,0.0,0.20404761329025495
GO:0008135,"translation factor activity, nucleic acid binding",45,0.44955999999999996,0.0,-318.8030758149113,0.0,0.5276373485796091
GO:0008213,protein amino acid alkylation,22,0.37730500000000006,0.0,-280.2457459476948,0.0,0.30693825351452936
GO:0008380,RNA splicing,121,0.23373499999999997,0.0,-165.1145869740086,0.0,0.18609509241436192
GO:0008643,carbohydrate transport,33,0.16021000000000002,0.0,-80.5441547384964,0.0,0.12338141263960485
GO:0009408,response to heat,22,0.33196999999999993,0.0,-229.5302508389217,0.0,0.27046820048660225
GO:0009451,RNA modification,65,0.492605,0.0,-448.0930526895427,0.0,0.5857120113787
GO:0010324,membrane invagination,84,0.17840000000000006,0.0,-136.30233323163563,0.0,0.16158614515722466
GO:0015931,"nucleobase, nucleoside, nucleotide and nucleic acid transport",87,0.23242499999999994,0.0,-166.0936845673288,0.0,0.1931869577257939
GO:0016050,vesicle organization and biogenesis,15,0.20677999999999996,0.0,-119.81177146038023,0.0,0.13971165110022105
GO:0016197,endosome transport,46,0.387375,0.0,-304.2120558838579,0.0,0.32967179110624323
GO:0016570,histone modification,88,0.23846,0.0,-161.72611185111435,0.0,0.18504247330799237
GO:0018193,peptidyl-amino acid modification,27,0.40719500000000003,0.0,-292.8773437458423,0.0,0.36018557566147563
GO:0032196,transposition,109,0.46462000000000003,0.0,109.35243211103635,0.0,0.2822226182630139
GO:0032200,telomere organization and biogenesis,274,0.03241500000000008,1.0117684333426656e-91,-20.37255643499642,3.264323008265851e-92,0.026094108182509273
GO:0032787,monocarboxylic acid metabolic process,124,0.07565999999999995,0.0,-37.290667714372965,8.096385191854646e-304,0.07549632717806988
GO:0042221,response to chemical stimulus,371,0.024644999999999972,3.39528538857167e-53,-6.674162239744433,2.48970708933931e-11,0.013002006943215605
GO:0042255,ribosome assembly,62,0.701155,0.0,-680.089308449171,0.0,0.8657411868134532
GO:0042273,ribosomal large subunit biogenesis and assembly,64,0.77852,0.0,-966.1618078453413,0.0,1.0138787329126187
GO:0042274,ribosomal small subunit biogenesis and assembly,22,0.68568,0.0,-643.9114208340467,0.0,0.8099950038338694
GO:0042594,response to starvation,19,0.17345999999999995,0.0,-92.00285671112715,0.0,0.1696873386317123
GO:0043543,protein amino acid acylation,62,0.14825500000000003,0.0,-92.7813668446056,0.0,0.11095635840540648
GO:0045333,cellular respiration,80,0.33942500000000003,0.0,-283.82264741724384,0.0,0.3619835268176107
GO:0048193,Golgi vesicle transport,161,0.25693000000000005,0.0,-185.20928433818045,0.0,0.206550130298598
GO:0048284,organelle fusion,22,0.164035,0.0,-98.05309977126804,0.0,0.11855590838781636
GO:0048308,organelle inheritance,41,0.18855000000000005,0.0,-133.07400703439512,0.0,0.1524060486401366
GO:0051049,regulation of transport,10,0.23724499999999998,0.0,-118.8953788709774,0.0,0.14512217781372674
GO:0051052,regulation of DNA metabolic process,31,0.12636499999999995,0.0,-89.84811564545741,0.0,0.11081765115419306
GO:0051321,meiotic cell cycle,144,0.125305,0.0,-70.55725764812978,0.0,0.08682704933049011
GO:0051603,proteolysis involved in cellular protein catabolic process,148,0.280625,0.0,-234.289108886942,0.0,0.2781326175314578
GO:0051726,regulation of cell cycle,165,0.1281,0.0,-83.84887281350292,0.0,0.09934312881741765
