Term,Name,2007 Annos,2022 Annos,Difference,Shared,Removed,FracRemoved,2007 AUC,2022 AUC
GO:0008213,protein amino acid alkylation,22,60,38,21,1,0.045454545,0.84442336,0.780931264
GO:0008380,RNA splicing,121,146,25,112,9,0.074380165,0.796189404,0.777793561
GO:0008643,carbohydrate transport,33,48,15,31,2,0.060606061,0.909931504,0.918289312
GO:0009408,response to heat,22,59,37,14,8,0.363636364,0.798931363,0.744159091
GO:0009451,RNA modification,65,116,51,57,8,0.123076923,0.885344263,0.826261239
GO:0015931,"nucleobase, nucleoside, nucleotide and nucleic acid transport",87,185,98,77,10,0.114942529,0.766516083,0.692828966
GO:0016050,vesicle organization and biogenesis,15,101,86,11,4,0.266666667,0.906216241,0.778689878
GO:0016197,endosome transport,46,114,68,37,9,0.195652174,0.811046893,0.809888301
GO:0016570,histone modification,88,139,51,80,8,0.090909091,0.79390964,0.747476474
GO:0018193,peptidyl-amino acid modification,27,229,202,20,7,0.259259259,0.729266482,0.663520216
GO:0032196,transposition,109,120,11,108,1,0.009174312,0.928863177,0.904784564
GO:0032200,telomere organization and biogenesis,274,137,-137,66,208,0.759124088,0.631545236,0.718272901
GO:0032787,monocarboxylic acid metabolic process,124,168,44,89,35,0.282258065,0.808905742,0.859288328
GO:0042221,response to chemical stimulus,371,525,154,208,163,0.4393531,0.690747262,0.672708192
GO:0042255,ribosome assembly,62,80,18,41,21,0.338709677,0.93524466,0.949609375
GO:0042273,ribosomal large subunit biogenesis and assembly,64,129,65,56,8,0.125,0.953150748,0.936632775
GO:0042274,ribosomal small subunit biogenesis and assembly,22,145,123,21,1,0.045454545,0.939664428,0.936014979
GO:0042594,response to starvation,19,90,71,17,2,0.105263158,0.809552032,0.747103969
GO:0043543,protein amino acid acylation,62,86,24,57,5,0.080645161,0.692237156,0.715737952
GO:0045333,cellular respiration,80,107,27,51,29,0.3625,0.89287627,0.864141824
GO:0048193,Golgi vesicle transport,161,210,49,149,12,0.074534161,0.819696657,0.802882596
GO:0048284,organelle fusion,22,113,91,17,5,0.227272727,0.822264113,0.681229913
GO:0048308,organelle inheritance,41,57,16,32,9,0.219512195,0.726388489,0.695638369
GO:0051049,regulation of transport,10,102,92,5,5,0.5,0.940236199,0.783777088
GO:0051052,regulation of DNA metabolic process,31,126,95,22,9,0.290322581,0.709757156,0.676794508
GO:0051321,meiotic cell cycle,144,330,186,130,14,0.097222222,0.786373936,0.745166117
GO:0051603,proteolysis involved in cellular protein catabolic process,148,270,122,135,13,0.087837838,0.832368966,0.803202873
GO:0051726,regulation of cell cycle,165,298,133,128,37,0.224242424,0.725385134,0.753989155
