Gene,Original Label,Modern Label,Confidence,Background Confidence,AG Rank,CellCompOutput Rank,ST Rank,SPELL Rank,MEFIT Rank,bioPIXIE Rank,,,Rankings Similarity to AG
YGR062C,1,1,6.348017858,5.987934419,160,351,5037,871,214,214,,,
YLR069C,-1,-1,6.346504465,6.066962305,161,813,5799,53,22,102,,,
YHR059W,0,-1,6.342473184,6.141995092,162,683,5250,276,80,85,,,
YMR083W,0,0,6.337225585,6.259989163,163,2281,1804,1519,461,386,,,
YOR142W,-1,-1,6.334430437,5.798880285,164,1118,4803,248,370,257,,,
YBR262C,0,1,6.324009703,6.443148423,165,13,5065,239,307,614,,,
YGR033C,1,1,6.318444402,6.092539097,166,1512,5806,1401,1701,1151,,,
YHR083W,1,1,6.315565932,5.644470959,167,927,2127,801,312,160,,,
YCR071C,-1,-1,6.311385731,6.110715709,168,288,5310,342,252,249,,,
YHR011W,-1,-1,6.310747244,6.334112958,169,1136,4286,533,306,414,,,
YJL054W,1,1,6.30969713,5.956170853,170,1004,31,233,46,26,,,
YDR511W,0,1,6.309689026,5.509084745,171,304,115,452,434,708,,,
YGR255C,0,0,6.305129589,6.160484837,172,2352,691,456,973,626,,,
YKR036C,1,1,6.293987667,5.595890241,173,2450,3644,3517,617,458,,,
YPR125W,1,1,6.288952357,5.850067567,174,2796,45,583,93,50,,,
YNL306W,-1,-1,6.284972587,5.838118866,175,1074,5237,48,134,139,,,
YIL087C,0,0,6.283253489,5.891858202,176,396,5481,1944,1431,679,,,
YDL045W-A,-1,-1,6.273765071,5.814361932,177,173,4481,4101,506,182,,,
YMR189W,0,0,6.267858488,6.728310203,178,2748,3484,3217,2892,1572,,,
YBL045C,-1,1,6.26674843,5.959783946,179,444,199,286,504,424,,,
YPL215W,1,1,6.266248476,5.623546967,180,277,5050,65,168,220,,,
YJR016C,0,0,6.25952769,6.132577178,181,1029,507,4756,2036,740,,,
YLR067C,-1,1,6.257102497,6.282338965,182,3200,5495,2726,912,562,,,
YPR047W,-1,-1,6.256311957,6.101049334,183,201,4885,197,165,169,,,
YER178W,0,-1,6.248887405,5.941663932,184,3234,364,1199,1289,711,,,
YER086W,0,0,6.245623666,6.384869105,185,2954,2156,4289,971,330,,,
YLR395C,-1,-1,6.240106888,6.374048168,186,400,2253,738,573,995,,,
YNR022C,-1,-1,6.238247255,5.793745465,187,515,5747,104,164,226,,,
YBR251W,-1,-1,6.232386871,5.702362282,188,457,5991,63,76,154,,,
YOL027C,1,1,6.228802424,5.865094955,189,722,2121,426,640,466,,,
YLR201C,-1,0,6.227293615,6.347714081,190,767,226,138,459,518,,,
YDR322W,-1,1,6.218887182,5.951670108,191,550,5652,37,75,125,,,
YNR017W,1,1,6.211111019,6.05905866,192,746,5667,359,47,9,,,
YDR375C,1,1,6.210690785,5.79440958,193,216,4844,149,25,87,,,
YFR049W,0,-1,6.210041114,5.463104161,194,1890,5658,362,666,731,,,
YPR024W,1,1,6.205370204,5.522562623,195,629,32,163,57,31,,,
YIL062C,1,1,6.204080633,5.323589308,196,576,60,598,51,10,,,
YPL097W,-1,-1,6.197359444,5.548064794,197,784,5873,120,123,122,,,
YDL202W,-1,-1,6.192512128,6.20358782,198,268,5339,22,122,231,,,
YGR101W,1,1,6.190247219,6.185549553,199,417,49,215,224,157,,,
YML129C,-1,1,6.187181679,5.528326725,200,660,4568,306,220,221,,,
YKR065C,1,1,6.183586586,5.830059582,201,645,6023,66,88,96,,,
YPR006C,-1,-1,6.173643335,6.702548253,202,1901,2188,2993,867,403,,,
YLL041C,-1,-1,6.15208263,5.744346557,203,1662,124,932,766,590,,,
YGL129C,-1,-1,6.148335581,6.064557323,204,205,4649,77,82,99,,,
YOR330C,1,1,6.148073264,5.761552741,205,1604,726,1458,1058,485,,,
YNL137C,-1,-1,6.147862135,5.871112727,206,231,4502,7,17,111,,,
YPR011C,0,-1,6.147758487,5.875298282,207,489,106,127,354,451,,,
YKR042W,1,1,6.144701587,5.620643917,208,2357,50,4076,113,267,,,
YPR140W,1,1,6.129520077,5.524704115,209,1718,1587,97,358,343,,,
YLR163C,1,1,6.126007336,5.632893424,210,592,5230,30,277,395,,,
YFL018C,0,0,6.120867509,6.140257977,211,800,300,330,417,229,,,
YKL194C,-1,-1,6.117431218,5.449598483,212,739,4380,35,128,225,,,
YHR106W,-1,-1,6.115832801,5.965965473,213,1826,879,2132,886,354,,,
YPR004C,-1,-1,6.096595566,5.53408034,214,1966,5210,121,402,453,,,
YDR377W,-1,-1,6.094483418,5.938574384,215,1370,5132,613,581,1037,,,
YDR148C,-1,-1,6.091211829,5.835662035,216,636,4908,166,367,261,,,
YDR347W,-1,-1,6.08470003,6.386916067,217,492,5255,101,170,135,,,
YJL104W,1,1,6.084342687,5.734934702,218,467,6013,369,205,238,,,
YAL010C,1,1,6.080378754,6.084690351,219,2236,5038,3963,151,35,,,
YKL134C,1,1,6.053643337,5.475316618,220,1573,6055,1989,738,318,,,
YML078W,-1,-1,6.044890162,6.012824746,221,1007,314,257,263,300,,,
YGL226W,0,-1,6.039264081,6.147969912,222,788,6005,308,295,413,,,
YMR241W,1,1,6.037206381,6.303912851,223,3004,1237,2472,726,394,,,
YNL003C,-1,-1,6.036061363,5.601567422,224,2469,663,408,698,482,,,
YOR266W,1,1,6.035423985,5.855948113,225,1622,9,165,1,192,,,
YGL143C,0,-1,6.032384854,5.461884742,226,41,5733,258,158,121,,,
YML025C,-1,-1,6.031579916,6.402801676,227,392,4385,489,350,415,,,
YML030W,0,1,6.03075064,5.865436623,228,380,4787,58,262,527,,,
YAL008W,0,1,6.030243338,5.720862864,229,1980,5427,1294,908,879,,,
YML091C,1,1,6.028076444,5.652028257,230,475,232,1301,679,399,,,
YPR191W,-1,-1,6.027857541,5.945683134,231,560,94,373,1016,1024,,,
YHR198C,0,0,6.019314091,5.313793959,232,88,5204,90,227,207,,,
YBR026C,-1,-1,6.018900811,5.645441855,233,1125,80,894,1032,663,,,
YKL013C,1,-1,6.015168531,5.260613815,234,503,160,780,54,11,,,
YLR121C,0,0,6.008347193,6.18676306,235,3686,2856,4283,1302,770,,,
YLR239C,-1,0,6.003820085,5.651763899,236,661,4702,27,74,194,,,
YBL099W,-1,-1,5.98718777,5.798518185,237,1270,5026,661,552,367,,,
YPR061C,0,0,5.98565767,5.110303232,238,2140,4832,2887,770,401,,,
YGR215W,-1,-1,5.979856037,5.78306139,239,603,5347,109,209,276,,,
YIR021W,-1,1,5.964934408,6.16437183,240,1152,269,132,181,178,,,
YLR072W,0,-1,5.962345187,5.925044244,241,854,4438,1291,834,421,,,
YCR083W,-1,-1,5.959573467,5.494708813,242,1942,3105,1867,1233,732,,,
YGR207C,0,0,5.959110151,5.567614401,243,2509,5047,230,394,675,,,
YHR001W-A,-1,-1,5.954416166,6.274355503,244,602,847,2385,993,952,,,
YNL310C,1,1,5.949697849,5.483202836,245,2248,74,786,496,360,,,
YDR116C,-1,-1,5.94967715,5.59546393,246,614,4320,5,33,106,,,
YPR098C,0,0,5.947567928,5.413525267,247,852,4722,1363,860,581,,,
YOR147W,1,1,5.943751909,5.732084614,248,1415,11,1130,96,40,,,
YEL024W,-1,-1,5.934782521,5.483327879,249,682,906,704,731,476,,,
YOL033W,-1,-1,5.930161269,5.194356067,250,794,4967,81,110,243,,,
YGR031W,0,-1,5.926700258,5.901107245,251,491,5408,1551,1899,1046,,,
YBL022C,-1,1,5.912357422,6.088050492,252,741,5104,216,182,289,,,
YER182W,0,0,5.898903619,5.313407292,253,83,5756,298,349,639,,,
YAL039C,0,0,5.894651607,5.872956751,254,729,5365,1041,489,435,,,
YDL066W,-1,-1,5.893408508,5.825674376,255,1217,2650,755,1154,685,,,
YMR166C,-1,-1,5.880989825,5.562885728,256,1151,384,787,365,164,,,
YHR117W,0,1,5.878408197,5.55996338,257,2551,4311,125,410,455,,,
YDL067C,-1,-1,5.876691566,6.077356003,258,775,499,860,1006,997,,,
YGL080W,0,-1,5.876317053,5.765697075,259,81,5947,1465,593,351,,,
YER170W,0,0,5.865195533,5.862764802,260,556,374,496,393,454,,,
YDL104C,0,-1,5.853084732,5.600794974,261,1969,5164,1018,554,296,,,
YLR439W,-1,-1,5.851081892,5.871410514,262,609,5753,111,120,150,,,
YNR045W,0,-1,5.837538873,5.187956441,263,416,4661,297,437,464,,,
YLR168C,0,1,5.83724059,6.312982969,264,27,5428,238,292,553,,,
YOR354C,-1,-1,5.836246358,6.070396144,265,1286,93,56,29,193,,,
YGR049W,0,1,5.828631113,6.166981876,266,2479,3731,4361,700,543,,,
YOR221C,-1,-1,5.824434505,5.879187815,267,2022,1560,1017,794,402,,,
YOR236W,0,0,5.823179037,5.456556913,268,2977,3050,2578,919,582,,,
YDR234W,0,0,5.816243499,6.280905289,269,4164,3573,4365,2312,939,,,
YDL107W,1,1,5.811080394,5.803651465,270,855,5216,1675,429,463,,,
YBL015W,0,-1,5.805133861,6.076238351,271,34,331,2591,1343,600,,,
YNL213C,1,1,5.802380519,5.375902635,272,939,63,366,308,450,,,
YJR111C,0,0,5.792962355,5.989706315,273,219,4268,4184,3075,1498,,,
YNL037C,-1,-1,5.781201611,6.100230898,274,356,359,224,270,123,,,
YLR204W,-1,-1,5.776061141,5.635630953,275,754,5429,80,178,205,,,
YLR289W,0,0,5.769524456,5.768513618,276,678,4825,880,547,348,,,
YIL111W,-1,-1,5.765578705,5.891100567,277,681,2333,3531,1115,473,,,
YOR065W,-1,-1,5.763224425,5.940325449,278,411,157,392,553,446,,,
YNL073W,-1,-1,5.753230335,5.631344013,279,542,5473,41,129,219,,,
YPL271W,-1,-1,5.752844639,5.203525222,280,971,5547,1421,446,380,,,
YGL057C,0,0,5.744636523,5.300843713,281,69,6004,251,717,1123,,,
YDR268W,-1,-1,5.74193772,5.782305723,282,494,1045,134,299,358,,,
YPR067W,-1,0,5.740187385,4.845137085,283,872,6088,103,257,508,,,
YOL096C,0,0,5.733475121,5.017262579,284,535,395,152,389,818,,,
YOR226C,-1,-1,5.730502136,5.96717932,285,2799,3881,4222,2890,1348,,,
YEL052W,-1,-1,5.727960507,5.359395305,286,995,4839,114,282,180,,,
YHR037W,0,0,5.725036887,4.897534719,287,1350,802,462,639,467,,,
YJL112W,1,1,5.705461295,5.524087399,288,807,55,116,48,27,,,
YOL009C,1,1,5.705289573,5.192888779,289,1128,70,536,94,49,,,
YLR382C,-1,-1,5.703520803,5.662792319,290,552,1021,50,137,167,,,
YER154W,1,1,5.700540851,5.920880304,291,1549,1539,747,375,165,,,
YPR134W,-1,-1,5.69670942,5.776858808,292,655,1125,511,541,456,,,
YGR183C,-1,1,5.696708568,5.476054001,293,960,1043,1266,390,369,,,
YBR234C,1,-1,5.696555121,5.252129195,294,2690,270,706,103,25,,,
YOR201C,-1,-1,5.69374116,5.676458336,295,2001,5077,194,413,384,,,
YNR018W,-1,1,5.689316196,5.607877662,296,2869,5446,493,451,326,,,
YMR293C,-1,-1,5.681864766,5.875937177,297,673,5178,579,491,494,,,
YER069W,0,0,5.680169845,5.996124425,298,4394,2318,4129,1855,1496,,,
YHL032C,0,-1,5.679330011,5.833376179,299,1367,1239,1887,957,470,,,
YOR022C,-1,-1,5.667036348,5.041713448,300,2534,4706,2843,2350,1181,,,
YDR197W,0,-1,5.662128928,5.840610904,301,697,982,722,347,462,,,
YCL064C,0,0,5.654272518,6.1595473,302,1047,3714,1704,882,404,,,
YPL072W,-1,-1,5.643918001,5.599362934,303,1560,4577,650,341,452,,,
YOL042W,-1,-1,5.641315205,5.740012704,304,3838,5376,956,596,350,,,
YKL208W,-1,-1,5.635994387,5.276213616,305,1845,5700,1138,597,361,,,
YHR067W,-1,-1,5.6293191,5.880760766,306,1361,1619,3242,1512,900,,,
YPL013C,-1,-1,5.619771188,5.520015847,307,686,5839,823,294,269,,,
YGR102C,0,-1,5.607499036,5.753208304,308,404,5515,2936,2160,1155,,,
YMR207C,-1,-1,5.606133112,5.601809907,309,3919,2295,4030,2748,1110,,,
YPL154C,0,-1,5.604003823,5.145429877,310,482,112,2856,5306,5306,,,
YOR017W,0,0,5.599910994,5.486692355,311,2997,369,371,645,468,,,
YOR176W,0,0,5.598845833,5.372055434,312,1526,3008,842,686,417,,,
YBR221C,0,0,5.596988397,5.628129639,313,1617,1261,164,284,442,,,
YIR038C,0,0,5.590885758,5.330112541,314,737,427,2664,5116,5477,,,
YGR257C,-1,-1,5.576278147,5.777721242,315,562,1886,588,551,390,,,
YBR227C,0,1,5.563621218,5.668563185,316,2751,5337,412,559,355,,,
YPL063W,1,1,5.557934403,5.71579758,317,1294,4851,313,144,72,,,
YFL046W,0,1,5.557801177,5.741521008,318,124,4994,1549,1078,1101,,,
YBL095W,0,0,5.545132259,5.557135409,319,176,4798,1940,1884,1539,,,
YMR282C,-1,-1,5.531039973,5.293527668,320,1000,5812,435,163,197,,,
YKL007W,-1,-1,5.524989946,5.175748115,321,646,165,439,52,30,,,
YIL155C,0,0,5.521726458,4.839865238,322,1744,4538,1570,1477,771,,,
YKR049C,0,0,5.515828889,5.263567134,323,882,4796,2429,1553,1199,,,
YKL137W,1,1,5.513863669,4.547808106,324,104,4758,142,261,862,,,
YMR257C,0,1,5.512751608,5.703200189,325,1912,5375,885,776,483,,,
YDR194C,-1,-1,5.511639005,5.702152992,326,1393,4995,145,3,93,,,
YDR376W,-1,-1,5.508033322,5.025480072,327,2792,954,466,556,334,,,
YDR316W,0,0,5.499011893,5.789186639,328,879,5827,130,69,195,,,
YPL183W-A,-1,-1,5.495224711,4.975310254,329,500,4443,5537,458,181,,,
YLR390W,0,0,5.494473829,5.830927098,330,598,241,358,218,213,,,
YER017C,1,1,5.488682885,5.500095484,331,1924,4684,323,99,48,,,
YJR085C,0,0,5.48581079,5.072658962,332,32,5701,2080,1967,1594,,,
YDL029W,1,1,5.4824523,4.399586963,333,2707,20,544,56,4,,,
YCR028C-A,1,1,5.475000112,5.32390505,334,3709,3,5546,512,171,,,
YNL066W,1,1,5.463913614,4.598260991,335,3941,23,3818,4212,1857,,,
YJL151C,0,-1,5.45871652,5.333196892,336,493,4453,2678,1556,1446,,,
YJL200C,-1,-1,5.456129831,5.214622655,337,2907,4497,4237,1262,739,,,
YBR291C,-1,-1,5.451567372,5.633930516,338,1734,5147,3987,1119,474,,,
YDR322C-A,-1,1,5.450833942,5.614246173,339,1418,5485,5501,1090,534,,,
YER078C,0,0,5.449854714,5.271248794,340,2473,1540,658,546,389,,,
YMR145C,-1,0,5.448747592,5.720455792,341,1933,1839,1095,1184,898,,,
YMR115W,-1,-1,5.436314506,5.174109821,342,1638,5519,337,406,311,,,
YGL211W,-1,-1,5.434563303,5.220923046,343,5201,3609,3825,1210,487,,,
YPL134C,0,-1,5.432694932,5.431707617,344,727,5992,678,603,381,,,
YPL040C,-1,-1,5.429510294,5.436723419,345,677,206,181,296,431,,,
