Gene,Original Label,Modern Label,Confidence,Background Confidence,AG Rank,ST Rank,SPELL Rank,MEFIT Rank,bioPIXIE Rank,ST Diff,SPELL Diff,MEFIT Diff,bioPIXIE Diff,,
YPL250C,0,1,4.24926294,3.51279291,35,6024,4393,4151,4128,-5989,-4358,-4116,-4093,,
YGR236C,0,-1,4.217000469,3.175299801,36,4253,5367,4776,3834,-4217,-5331,-4740,-3798,,
YJR074W,0,-1,4.189136203,3.331349775,37,644,950,2741,5334,-607,-913,-2704,-5297,,
YHL048W,0,-1,4.17710996,2.975958621,38,843,2671,3617,2370,-805,-2633,-3579,-2332,,
YBL033C,0,-1,4.160433468,3.051402443,39,875,989,1698,2022,-836,-950,-1659,-1983,,
YGR136W,0,-1,4.146339326,3.198633119,40,5869,2253,3157,2148,-5829,-2213,-3117,-2108,,
YGL143C,0,-1,4.115990155,2.670256431,41,5733,258,158,121,-5692,-217,-117,-80,,
YGR043C,0,-1,4.108957253,3.129197087,42,4666,4891,5543,4910,-4624,-4849,-5501,-4868,,
YPL219W,0,-1,4.083960978,2.849620711,43,778,2381,4490,3144,-735,-2338,-4447,-3101,,
YDL199C,0,-1,4.075831499,2.620548798,44,4739,4693,1264,1284,-4695,-4649,-1220,-1240,,
YBR147W,0,-1,4.064552584,2.94820809,45,5109,5205,4323,2989,-5064,-5160,-4278,-2944,,
YPR158W,0,-1,4.054384159,3.223662275,46,5809,3578,1734,1238,-5763,-3532,-1688,-1192,,
YNL155W,0,-1,4.037673078,2.83625671,47,6006,1684,1637,2117,-5959,-1637,-1590,-2070,,
YKL187C,0,-1,4.034109487,2.886412588,48,5979,4316,4612,2997,-5931,-4268,-4564,-2949,,
YLR312C,0,-1,4.008380904,2.588954498,49,5629,4932,4906,2078,-5580,-4883,-4857,-2029,,
YHR097C,0,-1,3.976537215,2.890673246,50,5263,4634,4356,2380,-5213,-4584,-4306,-2330,,
YKR091W,0,-1,3.956449934,3.05233589,51,949,3802,1757,1302,-898,-3751,-1706,-1251,,
YGR141W,0,-1,3.954907032,3.039954712,52,934,1242,3419,3931,-882,-1190,-3367,-3879,,
YOL073C,0,-1,3.954668309,2.954323286,53,5702,1468,3895,2972,-5649,-1415,-3842,-2919,,
YER037W,0,-1,3.943539176,2.987848865,54,4344,5105,3947,2163,-4290,-5051,-3893,-2109,,
YAL034C,0,-1,3.92556869,2.88880221,55,5853,3240,4366,3427,-5798,-3185,-4311,-3372,,
YFR011C,0,1,3.907285719,2.630982571,56,4871,229,338,674,-4815,-173,-282,-618,,
YIL165C,0,1,3.896250779,3.007455555,57,5138,4405,4630,2838,-5081,-4348,-4573,-2781,,
YBL059W,0,-1,3.892765935,2.895447588,58,4546,396,293,325,-4488,-338,-235,-267,,
YNL234W,0,-1,3.879559144,3.499761109,59,3356,4407,5092,3190,-3297,-4348,-5033,-3131,,
YLR253W,0,1,3.873211174,2.78991408,60,5620,99,66,188,-5560,-39,-6,-128,,
YNL215W,0,-1,3.834719315,2.613993513,61,5602,949,3333,5197,-5541,-888,-3272,-5136,,
YMR031C,0,-1,3.833483663,2.447420805,62,4845,451,1314,1741,-4783,-389,-1252,-1679,,
YFL030W,0,-1,3.816878415,2.540860953,63,808,2422,1379,1192,-745,-2359,-1316,-1129,,
YDR319C,0,-1,3.810580779,2.755106792,64,4369,1281,3298,4795,-4305,-1217,-3234,-4731,,
YOR185C,0,-1,3.793307895,2.930935967,65,568,2757,3645,2804,-503,-2692,-3580,-2739,,
YPR109W,0,-1,3.793188322,3.046716124,66,5925,115,583,3327,-5859,-49,-517,-3261,,
YGR110W,0,-1,3.792239249,2.386761054,67,5819,2486,3650,3791,-5752,-2419,-3583,-3724,,
YER134C,0,-1,3.784895114,2.685084381,68,5217,886,1259,2015,-5149,-818,-1191,-1947,,
YGL057C,0,-1,3.771125113,2.681906023,69,6004,251,717,1123,-5935,-182,-648,-1054,,
YJR100C,0,1,3.766915963,2.546967374,70,4672,25,309,1476,-4602,45,-239,-1406,,
YIL098C,1,1,3.760873381,2.169166761,71,4703,86,173,212,-4632,-15,-102,-141,,
YAL027W,0,-1,3.760424117,2.665586924,72,5537,1420,1586,3333,-5465,-1348,-1514,-3261,,
YHR147C,-1,-1,3.759208369,2.30397927,73,5211,20,116,988,-5138,53,-43,-915,,
YGL091C,0,-1,3.758322899,2.788417259,74,2544,1122,2258,2336,-2470,-1048,-2184,-2262,,
YIR041W,0,-1,3.748241643,3.036496047,75,2413,4583,4136,4055,-2338,-4508,-4061,-3980,,
YDR337W,-1,-1,3.738338325,2.229826861,76,5156,49,126,119,-5080,27,-50,-43,,
YMR294W,0,-1,3.736701975,3.014268119,77,1847,2057,942,927,-1770,-1980,-865,-850,,
YMR174C,0,-1,3.693460026,2.605045477,78,151,4505,5451,4702,-73,-4427,-5373,-4624,,
YNL315C,1,1,3.691865814,2.38898154,79,5252,10,20,130,-5173,69,59,-51,,
YMR028W,0,-1,3.685692264,2.450484227,80,893,609,1496,4525,-813,-529,-1416,-4445,,
YGL080W,0,-1,3.684489589,2.625461541,81,5947,1465,593,351,-5866,-1384,-512,-270,,
YLR387C,0,-1,3.6769028,2.656004848,82,5289,960,2398,2339,-5207,-878,-2316,-2257,,
YER182W,0,-1,3.675931403,2.246929096,83,5756,298,349,639,-5673,-215,-266,-556,,
YGR230W,0,-1,3.671140358,2.525214427,84,2134,1835,2046,4241,-2050,-1751,-1962,-4157,,
YGL108C,0,-1,3.66772577,2.659605377,85,5284,3333,3196,4031,-5199,-3248,-3111,-3946,,
YNL320W,0,-1,3.659158681,2.815191248,86,4363,645,1282,1478,-4277,-559,-1196,-1392,,
YKL162C,0,-1,3.658359567,2.518932691,87,5187,2716,1433,930,-5100,-2629,-1346,-843,,
YHR198C,0,-1,3.656982186,2.484687963,88,5204,90,227,207,-5116,-2,-139,-119,,
YMR148W,0,-1,3.649523333,2.450822551,89,5877,1440,2080,1428,-5788,-1351,-1991,-1339,,
YOR062C,0,-1,3.631773283,2.510140098,90,4887,2967,2235,2128,-4797,-2877,-2145,-2038,,
YER067W,0,-1,3.629905442,2.779794853,91,5948,4371,5286,5353,-5857,-4280,-5195,-5262,,
YJL055W,0,-1,3.6292786,2.447627722,92,6052,959,1313,1889,-5960,-867,-1221,-1797,,
YER059W,0,-1,3.629041881,2.541031673,93,573,1507,2248,2337,-480,-1414,-2155,-2244,,
YKL151C,0,-1,3.605930881,2.523143034,94,5909,3435,4901,3458,-5815,-3341,-4807,-3364,,
YLR375W,0,-1,3.599091804,3.001670833,95,4974,2816,2757,3518,-4879,-2721,-2662,-3423,,
YLR241W,0,-1,3.595797253,2.603952045,96,4619,488,1203,1355,-4523,-392,-1107,-1259,,
YBR120C,-1,1,3.590058152,2.285000071,97,5174,316,221,235,-5077,-219,-124,-138,,
YNL157W,0,-1,3.583559545,2.327122834,98,4879,2278,4415,4802,-4781,-2180,-4317,-4704,,
YMR250W,-1,-1,3.573027138,2.338415523,99,131,3804,5090,3734,-32,-3705,-4991,-3635,,
YER057C,0,-1,3.565530256,2.762682318,100,4428,2391,1412,1150,-4328,-2291,-1312,-1050,,
YEL072W,0,-1,3.56063514,3.100465745,101,4899,3238,5182,4223,-4798,-3137,-5081,-4122,,
YGR250C,0,-1,3.542315756,2.385774283,102,4890,3937,3443,1726,-4788,-3835,-3341,-1624,,
YHL030W,0,-1,3.530450144,2.41471329,103,2242,1795,3833,4166,-2139,-1692,-3730,-4063,,
YKL137W,1,1,3.527515188,2.445317826,104,4758,142,261,862,-4654,-38,-157,-758,,
YDR041W,-1,-1,3.519006295,2.294860623,105,5791,190,212,260,-5686,-85,-107,-155,,
YKL204W,0,-1,3.518391645,2.822945076,106,2347,993,3255,3472,-2241,-887,-3149,-3366,,
YOR163W,0,-1,3.506140536,2.566410509,107,572,455,1183,1930,-465,-348,-1076,-1823,,
YJL185C,0,1,3.500924042,2.717139996,108,4914,2770,3100,2601,-4806,-2662,-2992,-2493,,
YDR542W,0,-1,3.487709952,2.891352735,109,5251,4440,3129,3365,-5142,-4331,-3020,-3256,,
YCR003W,-1,-1,3.485686396,2.012991317,110,4831,119,81,88,-4721,-9,29,22,,
YLR250W,0,-1,3.461427945,2.340014245,111,1610,147,952,1738,-1499,-36,-841,-1627,,
YKL150W,-1,-1,3.456368245,2.22603527,112,5627,344,398,379,-5515,-232,-286,-267,,
YLR179C,0,-1,3.452399881,2.677560268,113,4836,3367,2264,1134,-4723,-3254,-2151,-1021,,
YEL007W,0,-1,3.445161661,2.765760007,114,5924,2230,2968,3523,-5810,-2116,-2854,-3409,,
YOL071W,-1,1,3.401524166,2.217990125,115,4696,206,311,320,-4581,-91,-196,-205,,
YNL252C,-1,-1,3.395987335,1.967143524,116,5801,51,124,134,-5685,65,-8,-18,,
YBR255W,0,-1,3.39407597,2.507278981,117,5296,2048,745,811,-5179,-1931,-628,-694,,
YMR124W,0,-1,3.393501606,2.443225328,118,5076,1939,1367,1029,-4958,-1821,-1249,-911,,
YDR494W,-1,-1,3.384908409,2.066116029,119,4298,92,208,776,-4179,27,-89,-657,,
YEL012W,-1,-1,3.383119078,2.182008348,120,617,2537,3206,2254,-497,-2417,-3086,-2134,,
YDL237W,0,-1,3.380529474,2.131418802,121,4394,128,1285,5125,-4273,-7,-1164,-5004,,
YGL261C,0,-1,3.379951714,3.045563352,122,5913,4075,4455,3826,-5791,-3953,-4333,-3704,,
YHR199C,0,-1,3.379790878,2.582220481,123,4444,1161,1121,1038,-4321,-1038,-998,-915,,
YFL046W,0,1,3.379168239,2.617131444,124,4994,1549,1078,1101,-4870,-1425,-954,-977,,
YER050C,-1,-1,3.3763325,2.199301366,125,4827,294,525,1589,-4702,-169,-400,-1464,,
YLR436C,0,-1,3.369672865,2.507830388,126,1658,2341,3549,2630,-1532,-2215,-3423,-2504,,
YDL234C,0,-1,3.362197504,2.294787403,127,142,2908,3571,2151,-15,-2781,-3444,-2024,,
YEL011W,-1,-1,3.361671313,2.120254812,128,1013,3327,5547,5484,-885,-3199,-5419,-5356,,
YOR158W,-1,-1,3.357553023,1.94290954,129,5222,31,72,131,-5093,98,57,-2,,
YBR185C,1,1,3.356258944,2.233044941,130,16,19,36,82,114,111,94,48,,
YER024W,0,-1,3.352753979,2.629299782,131,1683,3448,3080,2357,-1552,-3317,-2949,-2226,,
YHL042W,0,-1,3.351462837,2.833374635,132,5632,4965,5655,5253,-5500,-4833,-5523,-5121,,
YJL063C,1,-1,3.343099214,2.18970142,133,37,171,115,290,96,-38,18,-157,,
YMR073C,0,-1,3.339977855,2.802272002,134,1614,413,713,1185,-1480,-279,-579,-1051,,
YBL090W,-1,-1,3.33969327,1.927647414,135,5820,150,39,75,-5685,-15,96,60,,
YDL133W,0,-1,3.338943324,2.175347437,136,4939,1899,1999,3069,-4803,-1763,-1863,-2933,,
YPR193C,0,-1,3.332267821,2.473920125,137,1636,5149,5082,4494,-1499,-5012,-4945,-4357,,
YNL295W,0,1,3.329520956,2.236057725,138,5011,1481,2439,3348,-4873,-1343,-2301,-3210,,
YDL248W,0,-1,3.328713334,2.543835791,139,5789,4515,4224,3421,-5650,-4376,-4085,-3282,,
YOL083W,0,-1,3.324886668,2.241239968,140,5133,3031,4763,3594,-4993,-2891,-4623,-3454,,
YGR066C,0,-1,3.321359481,2.424467909,141,4496,5509,3357,2259,-4355,-5368,-3216,-2118,,
YPR040W,0,-1,3.315208683,2.712121999,142,3187,3071,4722,3431,-3045,-2929,-4580,-3289,,
YMR027W,0,-1,3.314270231,2.284613657,143,4408,123,947,2209,-4265,20,-804,-2066,,
YPR100W,-1,1,3.312234631,2.233840481,144,5425,83,171,146,-5281,61,-27,-2,,
YJL166W,-1,-1,3.30884457,2.00146735,145,1993,1485,799,1163,-1848,-1340,-654,-1018,,
YOR276W,0,-1,3.293286183,2.259028011,146,202,3488,4003,4051,-56,-3342,-3857,-3905,,
YDL089W,0,-1,3.292741888,2.309567455,147,5149,2204,3091,4030,-5002,-2057,-2944,-3883,,
YNL173C,-1,-1,3.282896653,2.085513754,148,473,1424,1416,1457,-325,-1276,-1268,-1309,,
YLR457C,0,-1,3.275608951,2.756467469,149,2924,4651,3034,3093,-2775,-4502,-2885,-2944,,
YEL050C,-1,-1,3.274316868,2.071497981,150,5889,24,68,746,-5739,126,82,-596,,
YGL082W,0,-1,3.264905457,2.159264605,151,5498,521,1517,2116,-5347,-370,-1366,-1965,,
YKL167C,-1,-1,3.256740594,2.028154551,152,5688,52,184,129,-5536,100,-32,23,,
YLR303W,0,-1,3.25644836,2.928319097,153,4010,4231,4821,4323,-3857,-4078,-4668,-4170,,
YOR187W,-1,-1,3.255310384,2.191065124,154,5508,21,79,252,-5354,133,75,-98,,
YLR046C,0,-1,3.248408571,2.476848746,155,5768,1900,1054,941,-5613,-1745,-899,-786,,
YNR001C,-1,-1,3.247661288,2.123628149,156,4752,986,198,170,-4596,-830,-42,-14,,
YPL173W,-1,-1,3.246233287,2.052929924,157,4628,124,245,1378,-4471,33,-88,-1221,,
YNL177C,-1,-1,3.245906234,2.23955712,158,4474,78,119,120,-4316,80,39,38,,
YPR155C,-1,-1,3.245743608,1.526997472,159,6097,202,280,215,-5938,-43,-121,-56,,
YER066W,0,-1,3.241483224,2.648422831,160,4561,2100,1167,1354,-4401,-1940,-1007,-1194,,
YGL114W,0,-1,3.241135953,2.342633987,161,2430,2684,5184,4694,-2269,-2523,-5023,-4533,,
YBL038W,-1,-1,3.238698703,1.679545664,162,4501,11,41,60,-4339,151,121,102,,
YDR171W,-1,-1,3.237635846,2.003698804,163,83,4366,787,816,80,-4203,-624,-653,,
YPL087W,-1,-1,3.237188014,2.132961293,164,5118,407,1239,1575,-4954,-243,-1075,-1411,,
YPR089W,0,-1,3.225576366,2.375891671,165,5292,4040,1263,1300,-5127,-3875,-1098,-1135,,
YKL035W,-1,-1,3.221582338,2.236721857,166,1374,1410,2929,1851,-1208,-1244,-2763,-1685,,
YGR150C,0,1,3.220578548,2.320355497,167,5879,1794,531,376,-5712,-1627,-364,-209,,
YBR282W,-1,-1,3.219476249,1.887462744,168,4928,281,118,128,-4760,-113,50,40,,
YKL091C,-1,-1,3.218357499,1.938494997,169,4304,1869,3729,3261,-4135,-1700,-3560,-3092,,
YPR139C,0,-1,3.207214896,2.484328056,170,1262,765,1407,4134,-1092,-595,-1237,-3964,,
YLR270W,-1,-1,3.200106941,2.014490242,171,125,1038,3505,3554,46,-867,-3334,-3383,,
YOR150W,-1,-1,3.199768685,1.728478859,172,4326,6,85,142,-4154,166,87,30,,
YDL045W-A,-1,-1,3.198409738,1.984223295,173,4481,4101,506,182,-4308,-3928,-333,-9,,
YKR051W,0,-1,3.19748165,2.136692514,174,5692,1055,3027,4670,-5518,-881,-2853,-4496,,
YJL096W,-1,-1,3.19063007,2.260088622,175,5235,28,32,115,-5060,147,143,60,,
YBL095W,0,-1,3.190019827,2.300379913,176,4798,1940,1884,1539,-4622,-1764,-1708,-1363,,
YML100W,-1,-1,3.185936441,2.134501943,177,670,3010,4813,4774,-493,-2833,-4636,-4597,,
YLR271W,0,-1,3.185708333,2.170770878,178,5165,3453,3604,2635,-4987,-3275,-3426,-2457,,
YDR063W,0,-1,3.185555251,2.374125452,179,5201,368,855,2105,-5022,-189,-676,-1926,,
YGL056C,0,-1,3.178071423,2.802695724,180,5003,2464,3021,2140,-4823,-2284,-2841,-1960,,
YLL056C,0,-1,3.177962771,2.689843406,181,2646,4617,4354,3698,-2465,-4436,-4173,-3517,,
YPL118W,-1,-1,3.177862839,1.660435294,182,5944,1,31,137,-5762,181,151,45,,
YDR066C,0,-1,3.173686098,2.147072511,183,5716,2122,1174,1868,-5533,-1939,-991,-1685,,
YFL042C,0,-1,3.169076682,2.328264152,184,5725,3733,3730,2816,-5541,-3549,-3546,-2632,,
YMR158W,-1,-1,3.168194115,1.909652306,185,5344,76,250,884,-5159,109,-65,-699,,
YER141W,-1,-1,3.167748067,1.919187638,186,104,381,361,239,82,-195,-175,-53,,
YJL048C,-1,-1,3.162986798,1.819952676,187,616,3097,418,535,-429,-2910,-231,-348,,
YMR193W,-1,-1,3.16287831,1.996491568,188,4472,15,125,783,-4284,173,63,-595,,
YBR071W,0,-1,3.160903838,2.489275993,189,5988,2926,4935,5243,-5799,-2737,-4746,-5054,,
YGR076C,-1,-1,3.15837186,2.073871338,190,4600,242,136,107,-4410,-52,54,83,,
YCR100C,0,-1,3.15620287,2.443443001,191,4257,5182,4382,4181,-4066,-4991,-4191,-3990,,
YCR015C,0,-1,3.15565015,2.796338483,192,5283,3115,3105,3364,-5091,-2923,-2913,-3172,,
YCR104W,0,-1,3.15456426,2.745164923,193,5780,4557,4546,3829,-5587,-4364,-4353,-3636,,
YMR219W,0,-1,3.150991545,2.400377265,194,2387,3621,4610,4615,-2193,-3427,-4416,-4421,,
YDL110C,-1,-1,3.14967575,1.628070676,195,5704,1368,2051,2717,-5509,-1173,-1856,-2522,,
YDR115W,-1,-1,3.149391483,2.367747885,196,5475,187,211,280,-5279,9,-15,-84,,
YOR374W,-1,-1,3.146461875,1.975970551,197,170,1648,1521,751,27,-1451,-1324,-554,,
YLR370C,1,-1,3.144853316,2.06961058,198,56,195,55,16,142,3,143,182,,
YMR002W,-1,1,3.134449304,1.875497638,199,5961,209,529,2103,-5762,-10,-330,-1904,,
YER132C,0,-1,3.132209026,2.568195789,200,2570,3833,893,864,-2370,-3633,-693,-664,,
YPR047W,-1,-1,3.130932398,1.915720387,201,4885,197,165,169,-4684,4,36,32,,
YGR086C,-1,-1,3.128095458,1.966423543,202,728,2828,2149,1597,-526,-2626,-1947,-1395,,
YLR243W,0,-1,3.113963643,2.452668238,203,5604,3060,4388,3825,-5401,-2857,-4185,-3622,,
YML009C,-1,-1,3.113834444,2.254452089,204,4841,287,138,104,-4637,-83,66,100,,
YGL129C,-1,-1,3.11161755,2.107017752,205,4649,77,82,99,-4444,128,123,106,,
YLR392C,0,-1,3.1072441,2.052733341,206,4506,1790,2555,2134,-4300,-1584,-2349,-1928,,
YDR475C,0,-1,3.104820426,2.324523854,207,4700,5302,1075,1186,-4493,-5095,-868,-979,,
YER010C,0,-1,3.103914901,2.506964308,208,5172,1231,1217,4422,-4964,-1023,-1009,-4214,,
YLR021W,0,-1,3.10089495,2.45807753,209,4423,1339,1321,1688,-4214,-1130,-1112,-1479,,
YDR003W,-1,-1,3.100014358,1.815406474,210,351,2280,3855,1879,-141,-2070,-3645,-1669,,
YLR262C-A,0,-1,3.099164049,2.742603337,211,101,5568,743,271,110,-5357,-532,-60,,
YDR525W-A,0,-1,3.095419447,2.370148189,212,5046,5571,4937,4380,-4834,-5359,-4725,-4168,,
YNR058W,0,-1,3.095345096,2.590739088,213,3381,4716,2506,1619,-3168,-4503,-2293,-1406,,
YJR104C,-1,-1,3.094011589,2.033486879,214,118,2368,2281,4126,96,-2154,-2067,-3912,,
YLL009C,1,1,3.089685815,1.981798895,215,6064,289,623,1042,-5849,-74,-408,-827,,
YDR375C,1,1,3.08837507,1.979052881,216,4844,149,25,87,-4628,67,191,129,,
YHR008C,-1,-1,3.087772711,2.024843052,217,714,2851,1031,507,-497,-2634,-814,-290,,
YPL004C,-1,-1,3.087315168,1.679656635,218,5656,1159,2105,1965,-5438,-941,-1887,-1747,,
YJR111C,0,-1,3.087287231,2.652731386,219,4268,4184,3075,1498,-4049,-3965,-2856,-1279,,
YLR312W-A,-1,-1,3.083264335,1.748547773,220,5111,2376,231,89,-4891,-2156,-11,131,,
YIL113W,-1,-1,3.077171618,2.16661935,221,2602,4489,1391,585,-2381,-4268,-1170,-364,,
YJL066C,-1,-1,3.074802935,1.479946943,222,5570,383,404,281,-5348,-161,-182,-59,,
YER053C,-1,-1,3.074025609,1.641863592,223,87,2941,2118,1368,136,-2718,-1895,-1145,,
YHR100C,0,-1,3.073612665,2.529898323,224,4698,3077,2327,3767,-4474,-2853,-2103,-3543,,
YKL087C,-1,-1,3.067576444,1.849105937,225,5456,55,167,734,-5231,170,58,-509,,
YGL191W,-1,1,3.066068064,1.761265683,226,723,867,1005,1410,-497,-641,-779,-1184,,
YBR017C,0,-1,3.06602926,2.399483233,227,3559,1527,1155,840,-3332,-1300,-928,-613,,
YPL052W,0,-1,3.063232158,2.819929277,228,2963,3321,2254,1685,-2735,-3093,-2026,-1457,,
YPL014W,0,-1,3.063106928,2.731788468,229,5891,3261,4938,4879,-5662,-3032,-4709,-4650,,
YFL007W,0,-1,3.060758047,2.490522759,230,1151,3396,2402,2131,-921,-3166,-2172,-1901,,
YNL137C,-1,-1,3.057806364,2.141894302,231,4502,7,17,111,-4271,224,214,120,,
YDL204W,-1,-1,3.055488159,2.001177834,232,4565,4597,5675,5078,-4333,-4365,-5443,-4846,,
YBR122C,-1,-1,3.054963669,1.637399097,233,5062,44,135,138,-4829,189,98,95,,
YJR045C,1,1,3.054714163,2.059599183,234,5888,221,206,576,-5654,13,28,-342,,
YBR035C,-1,-1,3.053593155,2.025051216,235,925,985,2483,2739,-690,-750,-2248,-2504,,
YPR015C,0,-1,3.048075003,2.52570995,236,5146,5083,3190,3238,-4910,-4847,-2954,-3002,,
YPL222W,0,-1,3.042913826,2.034755353,237,4514,2689,1348,917,-4277,-2452,-1111,-680,,
YMR003W,0,-1,3.04270764,2.220128329,238,5479,825,139,63,-5241,-587,99,175,,
YER058W,1,1,3.042644104,1.965341644,239,4562,530,346,1440,-4323,-291,-107,-1201,,
YDR031W,-1,-1,3.042006094,1.74680805,240,5742,379,1445,4983,-5502,-139,-1205,-4743,,
YKL085W,-1,-1,3.041739288,2.09114006,241,1160,438,634,574,-919,-197,-393,-333,,
YDR231C,1,1,3.036314101,1.498634298,242,5126,541,724,559,-4884,-299,-482,-317,,
YMR203W,1,1,3.035524644,1.990817651,243,5511,72,141,209,-5268,171,102,34,,
YGR131W,0,-1,3.03468992,3.010924915,244,5928,5051,2923,2932,-5684,-4807,-2679,-2688,,
YNR076W,0,-1,3.023258631,2.537542981,245,5364,4341,4715,4368,-5119,-4096,-4470,-4123,,
YMR325W,0,-1,3.022468698,2.725735371,246,6079,5103,5345,4901,-5833,-4857,-5099,-4655,,
YIL136W,-1,-1,3.021751249,1.897274538,247,4659,3129,1779,1495,-4412,-2882,-1532,-1248,,
YDR183W,0,-1,3.019209419,2.433952009,248,3009,1979,3331,3539,-2761,-1731,-3083,-3291,,
YNL081C,-1,-1,3.018391707,1.746231714,249,4398,23,83,117,-4149,226,166,132,,
YGL040C,-1,-1,3.018038577,2.1340706,250,176,67,441,2005,74,183,-191,-1755,,
YKL214C,0,-1,3.01461526,2.09657582,251,3049,895,1126,2420,-2798,-644,-875,-2169,,
YDR295C,0,-1,3.013014798,2.278452445,252,3205,4563,4437,4079,-2953,-4311,-4185,-3827,,
YHR209W,-1,-1,3.012097857,2.010296842,253,6084,4233,2935,1666,-5831,-3980,-2682,-1413,,
YIL157C,1,1,3.007696793,2.070745909,254,5775,79,169,149,-5521,175,85,105,,
YCR036W,-1,-1,3.004518006,2.108232106,255,360,459,1419,2218,-105,-204,-1164,-1963,,
YLR203C,-1,1,3.002832437,1.986259543,256,5419,32,177,287,-5163,224,79,-31,,
YBR037C,-1,1,3.002066997,1.938349662,257,5288,95,197,227,-5031,162,60,30,,
YJL084C,0,-1,3.000064506,2.202825396,258,4761,2384,4563,4116,-4503,-2126,-4305,-3858,,
YGL228W,0,-1,2.995887729,2.190814357,259,5578,1180,2586,3648,-5319,-921,-2327,-3389,,
YPR149W,-1,-1,2.994840025,1.783871102,260,622,3053,4664,4808,-362,-2793,-4404,-4548,,
YIR024C,0,1,2.992853886,2.094343588,261,4667,1276,392,374,-4406,-1015,-131,-113,,
YIL176C,0,-1,2.992631055,2.928066772,262,4777,4761,3815,3803,-4515,-4499,-3553,-3541,,
YDR032C,-1,-1,2.992406122,2.291757315,263,4527,2165,3930,2389,-4264,-1902,-3667,-2126,,
YCL056C,0,-1,2.982905136,2.173425098,264,5148,1980,1023,1058,-4884,-1716,-759,-794,,
