Go Term,Name,2007 Annos,2022 Annos,N,C,M,Mean NxN,Mean CxC,Mean MxM,Mean NxC,Mean NxM,Mean CxM,KS CxC CxM Statistic,KS CxC CxM P-Value,KS MxM CxM Statistic,KS MxM CxM P-Value,KS CxC CxN Statistic,KS CxC CxN P-Value,KS NxN CxN Statistic,KS NxN CxN P-Value,KS MxM NxM Statistic,KS MxM NxM P-Value,KS NxN NxM Statistic,KS NxN NxM P-Value
GO:0003700,transcription factor activity,60,181,127,54,6,0.2225,0.4387,2.262,0.1494,0.04636,0.06476,0.2987,1e-323,0.1946,6.189753249940867e-166,0.1055,7.504608917399113e-49,0.0707,3.7655716015297906e-22,0.3101,1e-323,0.222,3.024150923837851e-216
GO:0007124,pseudohyphal growth,65,77,31,46,19,0.541,0.3813,0.8394,0.1133,0.1477,0.1259,0.0822,8.409750964239297e-30,0.1631,1.8189464709249053e-116,0.0473,3.8147229939069957e-10,0.0977,6.056786908959101e-42,0.0941,6.166727349642842e-39,0.0535,7.330302156547564e-13
GO:0051052,regulation of DNA metabolic process,31,126,104,22,9,0.2761,0.7417,1.597,0.1619,0.1973,0.189,0.118,4.918018328559283e-61,0.2213,7.094727955738263e-215,0.1078,5.453759524020573e-51,0.0501,2.4898661086617664e-11,0.184,2.70805274589503e-148,0.0704,5.753928303521954e-22
GO:0006766,vitamin metabolic process,87,62,27,35,52,0.471,0.5303,0.391,0.0801,0.06018,0.0758,0.1424,8.713999039965003e-89,0.1929,4.887284583896337e-163,0.2164,2.079900567563569e-205,0.1024,4.8341578935586635e-46,0.1977,2.7606663093755426e-171,0.1197,8.48407225173003e-63
GO:0006869,lipid transport,34,78,47,31,3,0.3628,0.4534,4.473,0.0971,-0.0232,0.0515,0.1617,1.7872442273609856e-114,0.4588,0.0,0.059,1.4969703202135986e-15,0.0784,3.808765148627586e-27,0.5376,0.0,0.3829,0.0
GO:0042594,response to starvation,19,90,73,17,2,0.2893,0.9805,6.88,0.1373,0.0965,0.06555,0.3378,0.0,0.4897,0.0,0.1691,3.3337133237429686e-125,0.0338,2.1816203846959704e-05,0.4897,0.0,0.1513,3.205460466221225e-100
GO:0051321,meiotic cell cycle,144,330,200,130,14,0.1775,0.2195,0.9844,0.1123,0.106,0.1038,0.1158,8.625311118337288e-59,0.1312,2.1469345627779069e-75,0.0698,1.3362102510324195e-21,0.0322,6.273904229741002e-05,0.1072,1.9910433863701831e-50,0.0325,5.166734198543513e-05
GO:0008380,RNA splicing,121,146,34,112,9,0.479,0.3074,1.578,0.1324,0.1401,0.1595,0.1493,1.3698335696749813e-97,0.1906,3.6946890845477517e-159,0.1935,4.671278479132142e-164,0.0697,1.5365771542023889e-21,0.2087,5.66341909108645e-191,0.0886,1.4657304341507354e-34
GO:0000902,cell morphogenesis,259,45,10,35,224,1.427,0.4783,0.1792,0.0879,0.10175,0.1206,0.0574,9.658683238549156e-15,0.0961,1.3585440525573562e-40,0.1324,8.914349139849176e-77,0.2652,1.54163680670387e-309,0.053,1.2490823049879828e-12,0.2076,5.9051684456633185e-189
GO:0001403,invasive growth (sensu Saccharomyces),43,55,21,34,9,0.6865,0.5537,1.413,0.1182,0.1231,0.1581,0.0977,6.056786908959101e-42,0.2364,1.9747982476110128e-245,0.1033,7.542215379855521e-47,0.0657,3.4848310854136994e-19,0.2598,6.233055357880596e-297,0.1435,3.6732905134400605e-90
GO:0048284,organelle fusion,22,113,96,17,5,0.2734,0.868,2.629,0.1282,0.06586,0.1278,0.1641,6.698783027828509e-118,0.4445,0.0,0.1529,2.375032079120672e-102,0.0588,1.895162290674394e-15,0.4445,0.0,0.1822,2.127433046037415e-145
GO:0006325,establishment and/or maintenance of chromatin architecture,245,305,88,217,28,0.28,0.2479,0.603,0.1573,0.1289,0.1506,0.1072,1.9910433863701831e-50,0.1369,4.520568487582714e-82,0.1099,5.539032590120237e-53,0.0629,1.2825442697208656e-17,0.0701,8.776318950499625e-22,0.0491,6.719367281896672e-11
GO:0007114,cell budding,82,61,19,42,40,0.793,0.4429,0.5503,0.1417,0.1656,0.1604,0.0451,2.9166336167981932e-09,0.1982,3.7142607420022396e-172,0.071,2.45986773719227e-22,0.1176,1.2675281251956457e-60,0.117,5.212747222795947e-60,0.1099,5.539032590120237e-53
GO:0008643,carbohydrate transport,33,48,17,31,2,0.704,0.5684,6.914,0.11304,0.2031,0.1423,0.1381,1.6328951257089146e-83,0.9093,0.0,0.1889,2.533125796328862e-156,0.1958,5.3795683126459745e-168,0.8817,0.0,0.1884,1.7093975293265532e-155
GO:0005085,guanyl-nucleotide exchange factor activity,38,59,23,36,2,0.553,0.545,5.742,0.14,0.1316,0.2013,0.0859,1.6494790145430137e-32,0.6638,0.0,0.1498,3.036026832281386e-98,0.0912,1.3502658545533624e-36,0.6643,0.0,0.1704,3.868409471592757e-127
GO:0048308,organelle inheritance,41,57,25,32,9,0.6987,0.5347,2.041,0.1526,0.2383,0.2322,0.1371,2.60438893411519e-82,0.5729,0.0,0.0482,1.614066761277084e-10,0.1218,5.192679227584594e-65,0.4772,0.0,0.1161,4.2883117996909605e-59
GO:0051726,regulation of cell cycle,165,298,170,128,37,0.181,0.2737,0.4336,0.1431,0.1241,0.1367,0.0878,6.032486036954906e-34,0.0808,8.279354923713331e-29,0.0724,3.292813300160365e-23,0.0474,3.469817258253957e-10,0.0768,4.585036479758856e-26,0.0213,0.02141057602373857
GO:0042255,ribosome assembly,62,80,39,41,21,0.9673,1.355,1.3955,0.802,0.597,0.745,0.2083,3.0776823095134117e-190,0.2081,7.165583393576404e-190,0.1986,7.43587169336492e-173,0.1377,4.955867531883539e-83,0.308,1e-323,0.0856,2.7626772334059274e-32
GO:0042274,ribosomal small subunit biogenesis and assembly,22,145,124,21,1,0.891,1.52,13.19,0.8013,0.09863,0.06033,0.886,0.0,1.0,0.0,0.1242,1.3752969691032261e-67,0.0494,4.999158196749784e-11,1.0,0.0,0.7208,0.0
GO:0006401,RNA catabolic process,69,166,100,66,3,0.219,0.4023,3.957,0.1514,0.1233,0.1873,0.1479,9.058745349732794e-96,0.7341,0.0,0.1575,1.3317571659918136e-108,0.0912,1.3502658545533624e-36,0.7985,0.0,0.0444,5.4592827908090716e-09
GO:0004518,nuclease activity,140,151,33,118,22,0.456,0.1476,0.8584,0.10065,0.1915,0.12,0.114,5.496276754055438e-57,0.2867,1e-323,0.098,3.360952740954835e-42,0.169,4.69006527892648e-125,0.1613,6.579906068561835e-114,0.0806,1.1441559634099407e-28
GO:0000278,mitotic cell cycle,248,386,207,179,69,0.2223,0.2676,0.3245,0.1642,0.1364,0.1534,0.093,4.857943536124278e-38,0.0425,2.8484937289854423e-08,0.0728,1.840335390614857e-23,0.0411,9.187228212850023e-08,0.0487,9.939201212766155e-11,0.0355,6.713630444375127e-06
GO:0000747,conjugation with cellular fusion,114,125,39,86,28,0.3535,0.2996,0.6196,0.1032,0.0866,0.11395,0.065,8.710937473814647e-19,0.0871,2.058438780430485e-33,0.1158,8.625311118337288e-59,0.0404,1.625827211267477e-07,0.0956,3.553087110820756e-40,0.0572,1.2149611212456801e-14
GO:0006364,rRNA processing,171,296,135,161,10,0.6084,1.076,1.422,0.5825,0.3425,0.3376,0.4944,0.0,0.3648,0.0,0.3864,0.0,0.1861,1.042582942477046e-151,0.0961,1.3585440525573562e-40,0.1494,1.0138484580846585e-97
GO:0007033,vacuole organization and biogenesis,69,115,72,43,26,0.368,0.4058,0.6733,0.1229,0.0937,0.1375,0.0373,1.8098173009717144e-06,0.1645,1.7781453352178161e-118,0.0437,1.0118707138716922e-08,0.1113,2.472032383021569e-54,0.1986,7.43587169336492e-173,0.1745,2.4240197906594528e-133
GO:0016197,endosome transport,46,114,77,37,9,0.3206,0.712,1.714,0.2241,0.2053,0.2712,0.1807,5.2274051049248315e-143,0.3163,1e-323,0.1977,2.7606663093755426e-171,0.0955,4.30377251367078e-40,0.3043,1e-323,0.1512,4.3478400503775873e-100
GO:0006413,translational initiation,41,64,27,37,4,0.6045,0.798,3.56,0.2422,0.2308,0.5254,0.1857,4.694165883909373e-151,0.5283,0.0,0.2507,2.662413998220582e-276,0.0946,2.39384571183979e-39,0.4788,0.0,0.1657,3.2606981162594595e-120
GO:0006397,mRNA processing,149,210,82,128,21,0.2937,0.317,0.809,0.1654,0.1613,0.1934,0.0705,4.99659201396918e-22,0.1266,3.240331722022523e-70,0.1058,3.9720207266406064e-49,0.0735,6.597243091950528e-24,0.1033,7.542215379855521e-47,0.0563,3.377918305481372e-14
GO:0006486,protein amino acid glycosylation,73,81,15,66,7,0.8125,0.507,2.133,0.1753,0.1626,0.3003,0.0653,5.889343713569345e-19,0.2784,1e-323,0.3068,1e-323,0.1351,6.232294025721478e-80,0.2886,1e-323,0.1255,5.263933340818291e-69
GO:0006970,response to osmotic stress,73,69,27,42,31,0.535,0.502,0.503,0.11505,0.10596,0.146,0.0747,1.1107942753711278e-24,0.0772,2.473433498513938e-26,0.1395,3.267652992359178e-85,0.0678,2.103220066912491e-20,0.092,3.1057045089168894e-37,0.0463,9.73283756164034e-10
GO:0008033,tRNA processing,31,136,111,25,6,0.3826,0.728,2.45,0.265,0.1389,0.1282,0.1885,1.1673092425758777e-155,0.199,1.4836950838358545e-173,0.0388,5.77660747207657e-07,0.0505,1.664474098626641e-11,0.3168,1e-323,0.163,2.5276184472314907e-116
GO:0008213,protein amino acid alkylation,22,60,39,21,1,0.3909,0.81,14.28,0.1785,0.2979,0.4578,0.4221,0.0,1.0,0.0,0.2643,2.0323469435383246e-307,0.1322,1.5179650222955672e-76,1.0,0.0,0.3999,0.0
GO:0006281,DNA repair,185,314,139,175,10,0.2412,0.2308,1.596,0.1543,0.1495,0.148,0.0795,6.6822517286412225e-28,0.2172,6.1284316000129075e-207,0.0598,5.780879599143655e-16,0.0459,1.4077089291987255e-09,0.2034,2.3764687169088517e-181,0.0595,8.271892217121402e-16
GO:0007031,peroxisome organization and biogenesis,40,53,19,34,6,0.834,0.6304,2.578,0.188,0.1903,0.2415,0.1041,1.4267705662490228e-47,0.3532,0.0,0.1933,1.0225250137624486e-163,0.1053,1.1457765804065715e-48,0.395,0.0,0.133,1.7966003941245165e-77
GO:0006897,endocytosis,84,140,65,75,9,0.3462,0.3896,1.527,0.1815,0.1282,0.1505,0.1243,1.0713200084858182e-67,0.2248,9.005232516232876e-222,0.0951,9.245844712152985e-40,0.0416,6.07449628840606e-08,0.143,1.5540286405170744e-89,0.0969,2.887112438050816e-41
GO:0006865,amino acid transport,37,58,23,35,2,0.6226,0.512,6.55,0.11725,0.1415,0.1205,0.1249,2.3834330288381505e-68,0.5005,0.0,0.0892,5.029742288342833e-35,0.0863,8.269463095543286e-33,0.5005,0.0,0.1335,4.70242143121554e-78
GO:0000054,ribosome export from nucleus,25,54,35,19,6,0.9487,1.391,3.033,0.627,0.72,0.7285,0.1535,3.7236394863916366e-103,0.4007,0.0,0.1837,8.264420624021389e-148,0.0793,9.186260963571572e-28,0.2925,1e-323,0.1786,1.0738705257687107e-139
GO:0007059,chromosome segregation,117,224,120,104,13,0.2416,0.2878,1.168,0.1666,0.1387,0.1775,0.056,4.732707608876252e-14,0.1275,3.2512888102778903e-71,0.0922,2.146443285936436e-37,0.0895,2.938391295282813e-35,0.1454,1.460491824539424e-92,0.0589,1.6845091585444702e-15
GO:0015931,"nucleobase, nucleoside, nucleotide and nucleic acid transport",87,185,108,77,10,0.2227,0.421,1.356,0.1428,0.1055,0.1718,0.1624,1.8121222112207562e-115,0.1165,1.6842344649918124e-59,0.1933,1.0225250137624486e-163,0.1092,2.5832213271606204e-52,0.1822,2.127433046037415e-145,0.0595,8.271892217121402e-16
GO:0006414,translational elongation,20,48,31,17,3,0.4458,1.222,4.07,0.2399,0.2063,0.3838,0.2347,6.918797768890241e-242,0.4461,0.0,0.3686,0.0,0.1197,8.48407225173003e-63,0.4261,0.0,0.1442,4.834653852454181e-91
GO:0045333,cellular respiration,80,107,56,51,29,0.4373,0.7,0.813,0.2944,0.2195,0.2876,0.205,3.1460418479869564e-184,0.2207,1.0518274018541223e-213,0.1612,9.109734045566117e-114,0.1125,1.666735726454748e-55,0.2731,1e-323,0.0855,3.279565231914133e-32
GO:0006457,protein folding,83,123,51,72,11,0.3328,0.3708,1.346,0.12354,0.0731,0.0833,0.1923,5.075185282739007e-162,0.1154,2.183702686370483e-58,0.097,2.3768014975421077e-41,0.0529,1.3887484607246814e-12,0.2248,9.005232516232876e-222,0.0955,4.30377251367078e-40
GO:0006605,protein targeting,244,255,109,146,98,0.2168,0.247,0.3638,0.1323,0.06192,0.09064,0.0816,2.2518759573503394e-29,0.222,3.024150923837851e-216,0.0672,4.733488407448903e-20,0.0408,1.1747488289136662e-07,0.2794,1e-323,0.1546,1.2228230450682983e-104
GO:0006353,transcription termination,20,41,25,16,4,0.7983,1.092,3.672,0.2368,0.2034,0.1289,0.264,1.0303595557756915e-306,0.2989,1e-323,0.0839,4.962449430823474e-31,0.2611,6.089802279869274e-300,0.3639,0.0,0.2568,4.7975965786460333e-290
GO:0006352,transcription initiation,56,87,57,30,26,0.4246,0.7524,0.826,0.2358,0.1638,0.2279,0.2243,8.842136544726553e-221,0.1046,5.006509140421456e-48,0.2148,2.3011019840360224e-202,0.0957,2.9327479994764e-40,0.2215,2.8831612633786395e-215,0.0554,9.24013497785134e-14
GO:0018193,peptidyl-amino acid modification,27,229,209,20,7,0.1852,1.07,1.966,0.1304,0.0828,0.2319,0.2965,1e-323,0.272,1e-323,0.4772,0.0,0.0668,8.096563615176503e-20,0.2969,1e-323,0.1475,2.9784163130059647e-95
GO:0009451,RNA modification,65,116,59,57,8,0.4087,0.7144,2.688,0.3325,0.4834,0.7764,0.2233,8.391182852585643e-219,0.712,0.0,0.2204,4.03846406905842e-213,0.1356,1.5967273615237926e-80,0.5835,0.0,0.2851,1e-323
GO:0006418,tRNA aminoacylation for protein translation,31,37,7,30,1,1.876,0.831,10.55,0.3547,0.0075,-0.06015,0.5414,0.0,1.0,0.0,0.1484,2.036682897308411e-96,0.1441,6.463150996586136e-91,1.0,0.0,0.5075,0.0
GO:0006260,DNA replication,112,158,66,92,20,0.2869,0.4092,0.834,0.1603,0.1523,0.1995,0.1641,6.698783027828509e-118,0.0902,8.324551735181689e-36,0.2387,2.868731992538165e-250,0.0501,2.4898661086617664e-11,0.0966,5.168327124031936e-41,0.052,3.5727044438965934e-12
GO:0006470,protein amino acid dephosphorylation,28,55,39,16,12,0.441,0.9575,1.311,0.1272,0.1509,0.1436,0.0665,1.208437598903541e-19,0.2593,8.87644273177731e-296,0.0809,7.040783648697654e-29,0.0574,9.658683238549156e-15,0.2126,3.2302148603973173e-198,0.0658,3.0548674076768807e-19
GO:0009408,response to heat,22,59,45,14,8,0.4402,1.129,2.074,0.1741,0.2034,0.283,0.1223,1.5230222642261506e-65,0.392,0.0,0.1659,1.6696201152679625e-120,0.0716,1.044038376030117e-22,0.3453,0.0,0.1265,4.179230358363566e-70
GO:0006873,cell ion homeostasis,110,167,68,99,11,0.2664,0.2446,1.35,0.09985,0.0833,0.1191,0.0516,5.409049204108268e-12,0.3487,0.0,0.0906,4.031207197870543e-36,0.025,0.0038596010962783566,0.3628,0.0,0.0471,4.6080233255856335e-10
GO:0006366,transcription from RNA polymerase II promoter,333,553,242,311,22,0.1753,0.2034,0.7134,0.1299,0.11694,0.1359,0.0574,9.658683238549156e-15,0.1089,4.9824233164813615e-52,0.0848,1.083351520234478e-31,0.046,1.284029722130501e-09,0.0859,1.6494790145430137e-32,0.0306,0.00017141101881398295
GO:0042221,response to chemical stimulus,371,525,317,208,163,0.1433,0.1813,0.1464,0.0967,0.0807,0.0833,0.0554,9.24013497785134e-14,0.0613,9.379316706833986e-17,0.039,4.94385703236124e-07,0.0315,9.800441299350962e-05,0.0205,0.02991364969994266,0.0392,4.2277665801074036e-07
GO:0006979,response to oxidative stress,67,130,70,60,7,0.2444,0.3682,2.19,0.1181,0.1301,0.1619,0.084,4.193819117691314e-31,0.2734,1e-323,0.1099,5.539032590120237e-53,0.0509,1.1091361574171917e-11,0.2396,3.559307016400837e-252,0.0927,8.49345944768089e-38
GO:0016050,vesicle organization and biogenesis,15,101,90,11,4,0.3167,1.352,3.365,0.1599,0.151,0.1492,0.1976,4.120700447082611e-171,0.5042,0.0,0.1629,3.511671549552292e-116,0.0477,2.6080450310863233e-10,0.5428,0.0,0.1055,7.504608917399113e-49
GO:0008135,"translation factor activity, nucleic acid binding",45,57,14,43,2,0.875,0.8325,6.582,0.2666,-0.01562,-0.1293,0.6594,0.0,0.5024,0.0,0.3164,1e-323,0.1573,2.5126677830050742e-108,0.7071,0.0,0.218,1.7816493351054234e-208
GO:0032787,monocarboxylic acid metabolic process,124,168,79,89,35,0.2294,0.28,0.528,0.101,0.10077,0.11584,0.044,7.776685772517619e-09,0.1644,2.4780400225719805e-118,0.0593,1.049324174041624e-15,0.0308,0.0001515979325096062,0.141,4.730535680269984e-87,0.059,1.4969703202135986e-15
GO:0032200,telomere organization and biogenesis,274,137,71,66,208,0.3647,0.3293,0.1852,0.1475,0.1315,0.0949,0.1248,3.0634412867230755e-68,0.1182,3.059693580240789e-61,0.029,0.00044492209659532624,0.1063,1.370020699693687e-49,0.0782,5.212875919599818e-27,0.1381,1.6328951257089146e-83
GO:0006629,lipid metabolic process,233,349,141,208,25,0.2036,0.1962,0.63,0.11005,0.0893,0.0993,0.0975,8.960324950620974e-42,0.0576,7.672288046327015e-15,0.075,7.08331107914561e-25,0.0433,1.4333339043460187e-08,0.0996,1.4091977843589386e-43,0.0436,1.1042340694979978e-08
GO:0006497,protein amino acid lipidation,46,49,13,36,10,1.078,0.594,1.498,0.1919,0.162,0.1453,0.1665,2.2304644193399226e-121,0.1634,6.770328569588839e-117,0.1137,1.0914704176102792e-56,0.0798,4.1394568181010795e-28,0.1494,1.0138484580846585e-97,0.1437,2.0600275824997777e-90
GO:0006383,transcription from RNA polymerase III promoter,39,46,10,36,3,1.614,0.722,4.516,0.218,0.3289,0.2993,0.1988,3.322914207481931e-173,0.7143,0.0,0.235,1.6461148936048217e-242,0.1626,9.405582296626568e-116,0.642,0.0,0.1506,2.695912812066216e-99
GO:0007005,mitochondrion organization and biogenesis,106,292,202,90,16,0.2352,0.2603,0.9844,0.1456,0.1644,0.1407,0.0625,2.1192865751013387e-17,0.1487,8.297952316434739e-97,0.0356,6.252700428350531e-06,0.0518,4.397776837181771e-12,0.133,1.7966003941245165e-77,0.0507,1.3592680509184789e-11
GO:0051603,proteolysis involved in cellular protein catabolic process,148,270,135,135,13,0.2152,0.4417,1.152,0.1875,0.1368,0.2272,0.1336,3.5944320484723584e-78,0.1227,5.688148841081019e-66,0.1959,3.617567386094065e-168,0.0994,2.1008074882120754e-43,0.1632,1.3086969579754585e-116,0.0375,1.5582502873684015e-06
GO:0042273,ribosomal large subunit biogenesis and assembly,64,129,73,56,8,0.9785,1.346,2.098,0.931,0.5586,0.6953,0.3652,0.0,0.4044,0.0,0.209,1.5876925229001342e-191,0.112,5.145181948464442e-55,0.1674,1.0740678411152249e-122,0.2332,8.820165489862029e-239
GO:0007010,cytoskeleton organization and biogenesis,227,282,117,165,62,0.2233,0.251,0.3672,0.1416,0.1255,0.1434,0.0507,1.3592680509184789e-11,0.0353,7.7352821467605e-06,0.056,4.732707608876252e-14,0.0629,1.2825442697208656e-17,0.0502,2.2520699072727212e-11,0.0582,3.826963745673442e-15
GO:0006887,exocytosis,45,55,16,39,6,0.999,0.5073,2.049,0.1719,0.1469,0.1644,0.1242,1.3752969691032261e-67,0.2042,8.704594947411303e-183,0.1141,4.370973165867622e-57,0.0786,2.7806186723432776e-27,0.1629,3.511671549552292e-116,0.1218,5.192679227584594e-65
