Gene,Anno,NN,SPELL,MEFIT,bioPIXIE
YDR022C,-/+,0.6870805369127517,0.5915077989601386,0.7229953611663353,0.7439972361375021
YNL223W,-/+,0.6976510067114094,0.29653379549393416,0.39209189308592884,0.6080497495249612
YLR067C,-/+,0.7486577181208054,0.5277296360485269,0.8751932847360283,0.9032648125755743
YOL145C,-/+,0.7516778523489933,0.6493934142114385,0.7514910536779325,0.7127310416306789
YGR033C,-/+,0.7585570469798658,0.75736568457539,0.5266180693616082,0.8010019001554672
YOR027W,-/+,0.7624161073825504,0.5922010398613519,0.21426993593991606,0.7593712212817413
YDL113C,-/+,0.765268456375839,0.321317157712305,0.11552904793461453,0.06235964760753152
YJL102W,-/+,0.7795302013422819,0.9419410745233969,0.8301303291362934,0.9146657453791673
YNR032W,-/+,0.8048657718120805,0.8545927209705373,0.21669980119284293,0.5600276386249784
YER017C,-/+,0.8181208053691276,0.9440207972270364,0.7033355423017451,0.9915356711003628
YNL169C,-/+,0.8273489932885906,0.9268630849220104,0.7881599293130108,0.8315771290378303
YLR423C,-/+,0.8307046979865772,0.33986135181975735,0.08195272807598851,0.18863361547763
YFL016C,-/+,0.8335570469798658,0.7003466204506066,0.851557322730285,0.9502504750388668
YER095W,-/+,0.8343959731543624,0.6318890814558059,0.15772034459907222,0.8770081188460874
YOR232W,-/+,0.8426174496644295,0.9809358752166378,0.9825491495471614,0.7574710658144758
YIL042C,-/+,0.8442953020134228,0.6192374350086655,,0.9222663672482294
YIR004W,-/+,0.8501677852348993,0.7842287694974004,0.8963993814888447,0.7255139056831923
YDR231C,-/+,0.8609060402684564,0.9062391681109185,0.7490611884250056,0.9036102953878045
YOL026C,-/+,0.864765100671141,0.88578856152513,0.7930196598188646,0.8621523579201935
YNL242W,-/+,0.8652684563758389,0.41386481802426345,0.15440689198144467,0.24995681464847125
YPL029W,-/+,0.887751677852349,0.9263431542461005,0.9763640379942566,0.9694247711176369
YGR082W,-/+,0.8890939597315436,0.8738301559792028,0.9969074442235476,0.9968906546899292
YLR059C,-/+,0.8944630872483221,0.7802426343154246,0.6498785067373537,0.9937813093798583
YPL063W,-/+,0.9057046979865772,0.9457538994800693,0.710846034901701,0.9877353601658317
YOL071W,-/+,0.9104026845637584,0.9642980935875216,0.9229070024298652,0.9443772672309553
YKL134C,-/+,0.9179530201342282,0.6554592720970537,0.4952507179147338,0.9452409742615305
YER125W,-/+,0.9194630872483222,0.8847487001733102,0.6492158162138282,0.9469683883226809
YMR035W,-/+,0.9251677852348993,0.9197573656845754,0.48994919372652973,0.7422698220763517
YAL005C,-/+,0.9260067114093959,0.3781629116117851,0.5374420145791915,0.7412333736396615
YKR087C,-/+,0.9278523489932886,0.9511265164644714,0.6364037994256682,0.8132665399896355
YHR024C,-/+,0.9431208053691276,0.9804159445407279,0.9469847581179589,0.9725341164277077
YBR024W,-/+,0.9442953020134228,0.8526863084922011,0.8718798321184007,0.8647434790119192
YFR004W,-/+,0.9474832214765101,0.8471403812824957,0.7671747294013695,0.3427189497322508
YBR037C,-/+,0.947986577181208,0.9835355285961872,0.9487519328473603,0.9609604422179997
YJL143W,-/+,0.9508389261744966,0.8714038128249567,0.9321846697592224,0.8823631024356539
YML129C,-/+,0.9541946308724832,0.9469670710571924,0.9615639496355202,0.96234237346692
YJL104W,-/+,0.9550335570469799,0.9360485268630849,0.985862602164789,0.9590602867507342
YGR028W,-/+,0.9563758389261745,0.9036395147313692,0.9262204550474928,0.9607877008118846
YBL022C,-/+,0.9577181208053691,0.9625649913344887,0.9160592003534349,0.9500777336327517
YGR183C,-/+,0.9585570469798658,0.7807625649913345,0.952286282306163,0.9360856797374331
YOR020C,-/+,0.9590604026845637,0.8927209705372617,0.9635520212060967,0.7814821212644671
YKL141W,-/+,0.961241610738255,0.9668977469670711,0.8069361608129004,0.7795819657972016
YHR116W,-/+,0.9625838926174497,0.946793760831889,0.975480450629556,0.7598894455000864
YIL022W,-/+,0.964765100671141,0.9665511265164645,0.8475811795891319,0.9618241492485748
YJL003W,-/+,0.9651006711409396,0.9750433275563258,0.9942566821294455,0.747452064259803
YNL131W,-/+,0.9662751677852349,0.9876949740034662,0.9759222443119063,0.9652789773708758
YDR512C,-/+,0.9674496644295302,0.9636048526863085,0.9480892423238347,0.7517705994126792
YBL045C,-/+,0.9699664429530201,0.9504332755632582,0.6938369781312127,0.9267576438072206
YPL218W,-/+,0.9724832214765101,0.812998266897747,0.9061188425005522,0.1490758334772845
YGR029W,-/+,0.9728187919463087,0.9168110918544194,0.8769604594654297,0.3879771981343928
YPR133W-A,-/+,0.9731543624161074,0.044540727902946275,0.6914071128782858,0.9873898773536016
YDR375C,-/+,0.9773489932885906,0.9741767764298094,0.9938148884470952,0.984626014855761
YMR150C,-/+,0.9786912751677852,0.9743500866551127,0.8933068257123923,0.7272413197443427
YNR017W,-/+,0.9791946308724833,0.9377816291161178,0.9474265518003092,0.9984453273449646
YGL191W,-/+,0.9796979865771812,0.8497400346620451,0.8603931963772918,0.7567801001900155
YNL138W,-/+,0.9803691275167785,0.9103986135181976,0.7607687210072896,0.9942995335982034
YPR100W,-/+,0.9805369127516779,0.9856152512998267,0.9761431411530815,0.9747797547072033
YPR020W,-/+,0.9808724832214765,0.9518197573656846,0.9692953390766512,0.8282950423216445
YGR231C,-/+,0.9833892617449664,0.997053726169844,0.9739341727413298,0.992744860943168
YLR259C,-/+,0.9837248322147651,0.8986135181975736,0.9385906781533024,0.9720158922093626
YDL126C,-/+,0.9840604026845637,0.7155979202772964,0.3030704660923349,0.1487303506650544
YDR529C,-/+,0.9842281879194631,0.7005199306759099,0.8126794786834548,0.8381413024702021
YGR112W,-/+,0.9850671140939598,0.9454072790294628,0.8957366909653192,0.9122473656935568
YLR295C,-/+,0.9854026845637583,0.9584055459272097,0.9560415286061409,0.8065296251511487
YLR163C,-/+,0.9864093959731544,0.9948006932409013,0.8842500552242103,0.9312489203662118
YGR132C,-/+,0.9865771812080537,0.9949740034662045,0.9860834990059643,0.9922266367248229
YKL195W,-/+,0.9867449664429531,0.9854419410745234,0.9960238568588469,0.9851442390741061
YDR511W,-/+,0.987751677852349,0.9216637781629116,0.9657609896178485,0.8775263430644326
YIL098C,-/+,0.9890939597315436,0.9850953206239168,0.9730505853766291,0.9633788219036103
YLL009C,-/+,0.989765100671141,0.9499133448873484,0.9319637729180472,0.8193124892036621
YDR079W,-/+,0.9914429530201342,0.8856152512998267,0.9721669980119284,0.860597685265158
YOR045W,-/+,0.9954697986577181,0.6876949740034662,0.9770267285177822,0.988599067196407
YMR203W,-/+,0.9963087248322148,0.9875216637781629,0.859288712171416,0.9638970461219555
YKR065C,-/+,0.9964765100671141,0.9885615251299826,0.9538325601943892,0.9834168250129556
YML081C-A,-/+,0.998489932885906,0.04367417677642981,0.7117296222664016,0.8412506477802729
YJR045C,-/+,0.9986577181208054,0.9616984402079722,0.9856417053236138,0.8996372430471584
YDR322C-A,-/+,0.9993288590604027,0.051299826689774695,0.7506074663132317,0.9077560891345655
