Go Term,Name,2007 Annos,2022 Annos,N,C,M,Mean NxN,Mean CxC,Mean MxM,Mean NxC,Mean NxM,Mean CxM,KS CxC CxM Statistic,KS CxC CxM P-Value,KS MxM CxM Statistic,KS MxM CxM P-Value,KS CxC CxN Statistic,KS CxC CxN P-Value,KS NxN CxN Statistic,KS NxN CxN P-Value,KS MxM NxM Statistic,KS MxM NxM P-Value,KS NxN NxM Statistic,KS NxN NxM P-Value
GO:0051049,regulation of transport,10,102,97,5,5,0.2903,2.725,2.744,0.1991,0.1835,0.2213,0.485,5.817471443266706e-107,0.261,2.4343375575880706e-30,0.386,8.25723185131597e-67,0.142,3.301172138175878e-09,0.254,9.710257857878779e-29,0.138,1.0187003665032852e-08
GO:0032196,transposition,109,120,12,108,1,1.556,0.0851,4.066,0.01539,0.04678,0.0317,0.254,9.710257857878779e-29,1.0,0.0,0.38,1.0444692753699931e-64,0.701,6.223712835253941e-236,1.0,0.0,0.7,3.5288451775889846e-235
GO:0008033,tRNA processing,31,136,111,25,6,0.4055,0.7153,2.01,0.266,0.1327,0.1209,0.216,7.7335939682735e-21,0.206,5.599003563551554e-19,0.043,0.3136800387320582,0.054,0.1082872208757189,0.277,3.594137052202643e-34,0.181,1.003727957465678e-14
GO:0043543,protein amino acid acylation,62,86,29,57,5,0.4814,0.315,2.65,0.1537,0.10895,0.08264,0.185,2.285036637582163e-15,0.443,1.2184061416761676e-88,0.032,0.6854967337920594,0.046,0.24068202486600215,0.414,4.153111074317305e-77,0.243,2.5766074972787e-26
GO:0006486,protein amino acid glycosylation,73,81,15,66,7,0.7827,0.4873,1.997,0.1736,0.1578,0.2937,0.062,0.042792013924212634,0.293,3.048568824143975e-38,0.311,4.101461018780163e-43,0.098,0.00013349301651925088,0.295,9.080631963507678e-39,0.114,4.441088228134397e-06
GO:0006310,DNA recombination,109,254,165,89,20,0.1393,0.2443,0.879,0.0908,0.11346,0.1465,0.057,0.07761108123267829,0.383,9.385179449268594e-66,0.231,8.470621055424192e-24,0.112,6.990901300156074e-06,0.345,3.622550883311272e-53,0.156,4.944209857281109e-11
GO:0001403,invasive growth (sensu Saccharomyces),43,55,21,34,9,0.704,0.4756,1.585,0.1078,0.1305,0.1616,0.116,2.798513019401821e-06,0.275,1.1157313408241001e-33,0.102,5.984567716622354e-05,0.064,0.033253124816560224,0.278,2.0333028863399926e-34,0.161,1.0005498414087888e-11
GO:0016570,histone modification,88,139,59,80,8,0.3206,0.3647,1.771,0.1388,0.1128,0.1749,0.067,0.022438659451142425,0.174,1.2354887717127082e-13,0.138,1.0187003665032852e-08,0.07,0.014870029418858987,0.186,1.5702401851850447e-15,0.046,0.24068202486600215
GO:0006468,protein amino acid phosphorylation,96,218,128,90,6,0.1544,0.3179,2.334,0.1361,0.1447,0.1682,0.042,0.34112475112661245,0.189,5.032549473768586e-16,0.084,0.0017162135084044633,0.057,0.07761108123267829,0.173,1.753886116071003e-13,0.073,0.00967775474446886
GO:0006260,DNA replication,112,158,66,92,20,0.3408,0.3904,0.747,0.1672,0.1573,0.1882,0.175,8.685223195188911e-14,0.078,0.004543821879051605,0.231,8.470621055424192e-24,0.063,0.03776014017220749,0.071,0.012912352230759101,0.07,0.014870029418858987
GO:0000278,mitotic cell cycle,248,386,207,179,69,0.2546,0.2275,0.2346,0.172,0.1372,0.1592,0.095,0.00023854664270315346,0.075,0.007195361443046065,0.078,0.004543821879051605,0.05,0.16411447756429137,0.045,0.26347172719864703,0.057,0.07761108123267829
GO:0016050,vesicle organization and biogenesis,15,101,90,11,4,0.316,1.26,3.066,0.1675,0.1547,0.1554,0.214,1.8518210519255763e-20,0.51,8.22523681091035e-119,0.169,6.977595468924532e-13,0.07,0.014870029418858987,0.554,1.8297069687685735e-141,0.116,2.798513019401821e-06
GO:0000902,cell morphogenesis,259,45,10,35,224,1.435,0.517,0.1641,0.08276,0.1109,0.1156,0.047,0.21939649929677082,0.113,5.577646320340156e-06,0.121,8.513708327314542e-07,0.304,3.5000098011524194e-41,0.05,0.16411447756429137,0.209,1.5839049278876935e-19
GO:0008643,carbohydrate transport,33,48,17,31,2,0.653,0.6816,6.76,0.11725,0.2053,0.13,0.156,4.944209857281109e-11,0.904,0.0,0.209,1.5839049278876935e-19,0.198,1.4811534595157654e-17,0.881,0.0,0.212,4.397213520931296e-20
GO:0006364,rRNA processing,171,296,135,161,10,0.594,1.087,1.303,0.597,0.3135,0.325,0.531,2.4879827406055202e-129,0.365,1.3022098987478291e-59,0.403,5.766493709529924e-73,0.182,6.954764781424622e-15,0.086,0.0012207544622917959,0.185,2.285036637582163e-15
GO:0006353,transcription termination,20,41,25,16,4,0.93,1.159,3.818,0.2333,0.2039,0.1353,0.247,3.4882693423303045e-27,0.301,2.276862872642912e-40,0.096,0.0001969751018672361,0.278,2.0333028863399926e-34,0.368,1.2990993761208528e-60,0.27,1.8240952462376744e-32
GO:0006383,transcription from RNA polymerase III promoter,39,46,10,36,3,1.582,0.6406,4.695,0.2104,0.3271,0.3042,0.19,3.4297459018708595e-16,0.736,2.0352396094835964e-263,0.237,4.853305934225328e-25,0.176,6.092949945604465e-14,0.652,6.2952636855258486e-201,0.157,3.6066664818887265e-11
GO:0006281,DNA repair,185,314,139,175,10,0.203,0.2627,1.509,0.1572,0.1477,0.1505,0.091,0.0005028776494501317,0.184,3.318343646488803e-15,0.082,0.002393409648884169,0.077,0.005306868855560685,0.192,1.583096794215111e-16,0.082,0.002393409648884169
GO:0045333,cellular respiration,80,107,56,51,29,0.4285,0.639,0.744,0.299,0.2013,0.2952,0.2,6.6131216618004355e-18,0.199,9.907298369738481e-18,0.156,4.944209857281109e-11,0.115,3.528972349889754e-06,0.289,3.3470758389799365e-37,0.08,0.003311056963176061
GO:0006869,lipid transport,34,78,47,31,3,0.456,0.6895,4.36,0.0981,-0.02597,0.04932,0.181,1.003727957465678e-14,0.437,3.510978890942674e-86,0.094,0.0002883096840614359,0.108,1.690722046468961e-05,0.518,9.324432038614757e-123,0.423,1.3639763952989482e-80
GO:0042273,ribosomal large subunit biogenesis and assembly,64,129,73,56,8,0.962,1.35,2.14,0.942,0.5557,0.6865,0.371,1.269310553972161e-61,0.425,2.2339852302897496e-81,0.167,1.3746584738471068e-12,0.124,4.0687670654048253e-07,0.181,1.003727957465678e-14,0.235,1.2696120775805016e-24
GO:0042594,response to starvation,19,90,73,17,2,0.3357,0.9985,7.15,0.1572,0.0897,0.0564,0.352,2.231788601339735e-55,0.509,2.529553479526401e-118,0.174,1.2354887717127082e-13,0.048,0.19957365535779528,0.509,2.529553479526401e-118,0.168,9.803857095159588e-13
GO:0042255,ribosome assembly,62,80,39,41,21,1.017,1.319,1.406,0.791,0.6157,0.7095,0.232,5.287262655536692e-24,0.204,1.2857747777661932e-18,0.212,4.397213520931296e-20,0.164,3.743099241683002e-12,0.283,1.1405545071561369e-35,0.09,0.0006029005665324465
GO:0006629,lipid metabolic process,233,349,141,208,25,0.1567,0.2303,0.6387,0.1102,0.0972,0.1048,0.118,1.7492235820299696e-06,0.06,0.05462666510701526,0.115,3.528972349889754e-06,0.057,0.07761108123267829,0.07,0.014870029418858987,0.054,0.1082872208757189
GO:0051052,regulation of DNA metabolic process,31,126,104,22,9,0.2418,0.607,1.576,0.1627,0.1934,0.1914,0.126,2.461977466455732e-07,0.196,3.289875262334598e-17,0.112,6.990901300156074e-06,0.04,0.4006338815832625,0.157,3.6066664818887265e-11,0.072,0.01118990326412112
GO:0006766,vitamin metabolic process,87,62,27,35,52,0.547,0.5425,0.534,0.08,0.056,0.0826,0.148,5.728163385319411e-10,0.208,2.4178548709800775e-19,0.213,2.8565575057657556e-20,0.12,1.0845303448772275e-06,0.212,4.397213520931296e-20,0.123,5.214702601499457e-07
GO:0051726,regulation of cell cycle,165,298,170,128,37,0.2098,0.254,0.4822,0.1418,0.1376,0.1266,0.106,2.597590093504764e-05,0.064,0.033253124816560224,0.067,0.022438659451142425,0.044,0.28779764348473313,0.077,0.005306868855560685,0.049,0.18116454248303263
GO:0006414,translational elongation,20,48,31,17,3,0.499,1.151,3.92,0.2399,0.2175,0.4019,0.226,8.66144540069212e-23,0.45,1.469142113147104e-91,0.352,2.231788601339735e-55,0.13,8.797089063129894e-08,0.426,9.008004960845764e-82,0.161,1.0005498414087888e-11
GO:0048193,Golgi vesicle transport,161,210,61,149,12,0.3806,0.2947,1.388,0.1693,0.1357,0.1749,0.101,7.335921717149848e-05,0.097,0.00016232041211307663,0.126,2.461977466455732e-07,0.066,0.025633868930359294,0.097,0.00016232041211307663,0.055,0.09710349657052789
GO:0048284,organelle fusion,22,113,96,17,5,0.2817,1.043,2.639,0.12415,0.0726,0.1259,0.169,6.977595468924532e-13,0.434,5.76431020842028e-85,0.163,5.205457009939086e-12,0.077,0.005306868855560685,0.434,5.76431020842028e-85,0.19,3.4297459018708595e-16
GO:0006997,nuclear organization and biogenesis,56,105,62,43,13,0.3232,0.5996,1.149,0.1683,0.1544,0.2634,0.067,0.022438659451142425,0.323,1.5586361620357814e-46,0.189,5.032549473768586e-16,0.076,0.006185603570160095,0.332,3.4361829016674145e-49,0.04,0.4006338815832625
GO:0007031,peroxisome organization and biogenesis,40,53,19,34,6,0.818,0.654,2.178,0.1918,0.1882,0.2358,0.126,2.461977466455732e-07,0.365,1.3022098987478291e-59,0.204,1.2857747777661932e-18,0.129,1.1412985810949231e-07,0.404,2.4519919833257585e-73,0.133,3.979777583324821e-08
GO:0009451,RNA modification,65,116,59,57,8,0.393,0.726,2.754,0.3616,0.479,0.7744,0.23,1.354199288211322e-23,0.688,2.8792906275024907e-226,0.175,8.685223195188911e-14,0.157,3.6066664818887265e-11,0.599,3.827420009052391e-167,0.272,6.004339469183771e-33
GO:0000747,conjugation with cellular fusion,114,125,39,86,28,0.4053,0.296,0.5107,0.1103,0.08405,0.125,0.052,0.13385273551786803,0.116,2.798513019401821e-06,0.103,4.872295384883887e-05,0.057,0.07761108123267829,0.092,0.000418604197209586,0.075,0.007195361443046065
GO:0006418,tRNA aminoacylation for protein translation,31,37,7,30,1,1.962,0.866,10.55,0.3423,0.0087,-0.05795,0.548,3.0940781182944927e-138,1.0,0.0,0.153,1.2581488962359795e-10,0.158,2.6255784492506013e-11,1.0,0.0,0.523,2.918596237847823e-125
GO:0006457,protein folding,83,123,51,72,11,0.343,0.3062,1.5,0.1317,0.0709,0.08374,0.217,4.9820358842452125e-21,0.119,1.3787445928064639e-06,0.111,8.74452446093763e-06,0.087,0.0010264669536591562,0.228,3.4392828740186846e-23,0.103,4.872295384883887e-05
GO:0006873,cell ion homeostasis,110,167,68,99,11,0.2913,0.302,1.672,0.1008,0.09106,0.1238,0.051,0.14836452078962484,0.361,2.7251028162810716e-58,0.061,0.04839715079181246,0.039,0.43260886958153144,0.377,1.1381990209488563e-63,0.053,0.12051526066065596
GO:0051603,proteolysis involved in cellular protein catabolic process,148,270,135,135,13,0.2235,0.4207,1.245,0.171,0.1338,0.2255,0.161,1.0005498414087888e-11,0.16,1.382902816518576e-11,0.246,5.7690608353924265e-27,0.117,2.214758736930358e-06,0.188,7.369090300875429e-16,0.055,0.09710349657052789
GO:0042274,ribosomal small subunit biogenesis and assembly,22,145,124,21,1,0.9033,1.576,13.19,0.836,0.09534,0.05255,0.889,0.0,1.0,0.0,0.1,8.974277567313009e-05,0.084,0.0017162135084044633,1.0,0.0,0.708,2.9576959977649988e-241
GO:0007010,cytoskeleton organization and biogenesis,227,282,117,165,62,0.2382,0.252,0.3066,0.1349,0.1268,0.136,0.091,0.0005028776494501317,0.041,0.37012017606173,0.093,0.00034775170271509687,0.037,0.5005673707894058,0.045,0.26347172719864703,0.046,0.24068202486600215
GO:0008213,protein amino acid alkylation,22,60,39,21,1,0.4197,0.8936,14.28,0.1836,0.2944,0.4695,0.419,4.9383656742309225e-79,1.0,0.0,0.274,1.95944553657125e-33,0.141,4.38875271454814e-09,1.0,0.0,0.401,3.166572974357379e-72
GO:0007005,mitochondrion organization and biogenesis,106,292,202,90,16,0.2186,0.343,0.988,0.1318,0.1544,0.1367,0.056,0.08689937254547132,0.152,1.71066707235859e-10,0.063,0.03776014017220749,0.082,0.002393409648884169,0.139,7.709567304002036e-09,0.083,0.0020287627507189713
GO:0006605,protein targeting,244,255,109,146,98,0.2788,0.2502,0.3499,0.1329,0.078,0.0809,0.117,2.214758736930358e-06,0.251,4.564357804197157e-28,0.098,0.00013349301651925088,0.053,0.12051526066065596,0.278,2.0333028863399926e-34,0.157,3.6066664818887265e-11
GO:0007033,vacuole organization and biogenesis,69,115,72,43,26,0.3608,0.4272,0.7163,0.1317,0.09314,0.1315,0.049,0.18116454248303263,0.152,1.71066707235859e-10,0.063,0.03776014017220749,0.129,1.1412985810949231e-07,0.192,1.583096794215111e-16,0.21,1.0354287586439385e-19
GO:0006897,endocytosis,84,140,65,75,9,0.356,0.3718,1.595,0.1775,0.1355,0.146,0.117,2.214758736930358e-06,0.205,8.493582764331036e-19,0.096,0.0001969751018672361,0.029,0.7946637387576738,0.145,1.3878173223697225e-09,0.099,0.00010956387707040737
GO:0003700,transcription factor activity,60,181,127,54,6,0.242,0.4985,2.207,0.1569,0.0408,0.05765,0.309,1.4773569429441138e-42,0.195,4.8878146754685455e-17,0.094,0.0002883096840614359,0.089,0.0007213629171338913,0.291,1.0145595651922142e-37,0.215,1.1979681866777803e-20
GO:0006352,transcription initiation,56,87,57,30,26,0.4294,0.6216,0.7036,0.2339,0.1542,0.2227,0.238,2.991173205019326e-25,0.11,1.0915917613597424e-05,0.245,9.520860663442335e-27,0.098,0.00013349301651925088,0.234,2.0469594201199992e-24,0.083,0.0020287627507189713
GO:0032200,telomere organization and biogenesis,274,137,71,66,208,0.428,0.3425,0.1815,0.1406,0.126,0.1008,0.125,3.1682132882618906e-07,0.132,5.194801845515002e-08,0.057,0.07761108123267829,0.127,1.9092886474554655e-07,0.091,0.0005028776494501317,0.157,3.6066664818887265e-11
GO:0006401,RNA catabolic process,69,166,100,66,3,0.1702,0.3604,3.852,0.1649,0.1196,0.1803,0.163,5.205457009939086e-12,0.73,1.5075361928992265e-258,0.162,7.224279835989447e-12,0.119,1.3787445928064639e-06,0.801,7.44e-321,0.049,0.18116454248303263
GO:0005085,guanyl-nucleotide exchange factor activity,38,59,23,36,2,0.55,0.531,5.617,0.1346,0.133,0.2031,0.104,3.9587400002181794e-05,0.687,1.5527931563016627e-225,0.154,9.23442040824848e-11,0.077,0.005306868855560685,0.667,3.077566159393644e-211,0.177,4.265582629717994e-14
GO:0018193,peptidyl-amino acid modification,27,229,209,20,7,0.1783,1.018,1.783,0.1309,0.09155,0.2329,0.317,8.321707198856545e-45,0.283,1.1405545071561369e-35,0.479,3.178500719236986e-104,0.086,0.0012207544622917959,0.309,1.4773569429441138e-42,0.158,2.6255784492506013e-11
GO:0006970,response to osmotic stress,73,69,27,42,31,0.5054,0.507,0.635,0.119,0.10913,0.15,0.083,0.0020287627507189713,0.086,0.0012207544622917959,0.159,1.907452160715277e-11,0.056,0.08689937254547132,0.109,1.3598954602798138e-05,0.057,0.07761108123267829
GO:0006887,exocytosis,45,55,16,39,6,1.075,0.46,2.027,0.1727,0.1473,0.1587,0.123,5.214702601499457e-07,0.186,1.5702401851850447e-15,0.11,1.0915917613597424e-05,0.078,0.004543821879051605,0.162,7.224279835989447e-12,0.123,5.214702601499457e-07
GO:0042221,response to chemical stimulus,371,525,317,208,163,0.1338,0.1421,0.12195,0.08484,0.08356,0.0841,0.037,0.5005673707894058,0.059,0.06153429181321559,0.03,0.7593695685682871,0.045,0.26347172719864703,0.043,0.3136800387320582,0.042,0.34112475112661245
GO:0015931,"nucleobase, nucleoside, nucleotide and nucleic acid transport",87,185,108,77,10,0.1981,0.335,1.568,0.1367,0.1013,0.1594,0.157,3.6066664818887265e-11,0.133,3.979777583324821e-08,0.193,1.0722063786469485e-16,0.131,6.766991587022994e-08,0.182,6.954764781424622e-15,0.062,0.042792013924212634
GO:0051321,meiotic cell cycle,144,330,200,130,14,0.1675,0.1952,1.216,0.1075,0.08124,0.1015,0.113,5.577646320340156e-06,0.138,1.0187003665032852e-08,0.085,0.0014488954599620356,0.035,0.5728904395829821,0.12,1.0845303448772275e-06,0.088,0.0008613642727365059
GO:0008380,RNA splicing,121,146,34,112,9,0.4963,0.3213,1.567,0.1271,0.1395,0.1559,0.177,4.265582629717994e-14,0.223,3.407327718086382e-22,0.244,1.5679195140192733e-26,0.066,0.025633868930359294,0.204,1.2857747777661932e-18,0.089,0.0007213629171338913
GO:0006811,ion transport,108,340,244,96,12,0.10504,0.2686,1.24,0.0995,0.083,0.0963,0.105,3.209982841805882e-05,0.278,2.0333028863399926e-34,0.073,0.00967775474446886,0.058,0.06917625399020766,0.26,4.148242783943996e-30,0.067,0.022438659451142425
GO:0004518,nuclease activity,140,151,33,118,22,0.408,0.0796,0.9233,0.0923,0.1909,0.12366,0.17,4.955881909979731e-13,0.296,4.9396956282970015e-39,0.104,3.9587400002181794e-05,0.189,5.032549473768586e-16,0.166,1.9235329004551243e-12,0.09,0.0006029005665324465
GO:0048308,organelle inheritance,41,57,25,32,9,0.8887,0.754,2.006,0.1548,0.2283,0.222,0.14,5.822752148022591e-09,0.588,1.2731334052701707e-160,0.076,0.006185603570160095,0.121,8.513708327314542e-07,0.512,8.626549012104484e-120,0.094,0.0002883096840614359
GO:0032787,monocarboxylic acid metabolic process,124,168,79,89,35,0.1749,0.3074,0.4893,0.10284,0.111,0.1209,0.046,0.24068202486600215,0.171,3.5127087833331994e-13,0.065,0.029225323426275904,0.061,0.04839715079181246,0.136,1.767765488097077e-08,0.082,0.002393409648884169
GO:0007059,chromosome segregation,117,224,120,104,13,0.184,0.2937,1.2705,0.1606,0.1449,0.1738,0.073,0.00967775474446886,0.137,1.3433151993983066e-08,0.103,4.872295384883887e-05,0.134,3.042740004182204e-08,0.144,1.8563677968613695e-09,0.102,5.984567716622354e-05
GO:0007114,cell budding,82,61,19,42,40,0.855,0.3477,0.6997,0.1394,0.1638,0.1642,0.085,0.0014488954599620356,0.208,2.4178548709800775e-19,0.056,0.08689937254547132,0.12,1.0845303448772275e-06,0.134,3.042740004182204e-08,0.111,8.74452446093763e-06
GO:0000054,ribosome export from nucleus,25,54,35,19,6,0.9175,1.462,3.1,0.6196,0.7007,0.709,0.162,7.224279835989447e-12,0.413,1.0004257340859742e-76,0.185,2.285036637582163e-15,0.085,0.0014488954599620356,0.316,1.6022936229377296e-44,0.167,1.3746584738471068e-12
GO:0016197,endosome transport,46,114,77,37,9,0.3745,0.623,1.753,0.2147,0.2152,0.2673,0.188,7.369090300875429e-16,0.334,8.609790616330956e-50,0.193,1.0722063786469485e-16,0.082,0.002393409648884169,0.296,4.9396956282970015e-39,0.166,1.9235329004551243e-12
GO:0009408,response to heat,22,59,45,14,8,0.3657,1.475,2.182,0.1664,0.1979,0.2854,0.127,1.9092886474554655e-07,0.361,2.7251028162810716e-58,0.171,3.5127087833331994e-13,0.061,0.04839715079181246,0.338,5.261321340466556e-51,0.132,5.194801845515002e-08
GO:0006497,protein amino acid lipidation,46,49,13,36,10,1.357,0.6377,1.235,0.1888,0.17,0.142,0.183,4.808958234324042e-15,0.142,3.301172138175878e-09,0.133,3.979777583324821e-08,0.136,1.767765488097077e-08,0.138,1.0187003665032852e-08,0.147,7.709181203220028e-10
