Gene,Anno,NN,SPELL,MEFIT,bioPIXIE,NN_SPELL Diff,NN_MEFIT_Diff,NN_bioPIXIE_Diff
YNL169C,-/+,0.827348993,0.926863085,0.788159929,0.831577129,-0.099514092,0.039189064,0.095285956
YNR007C,-/+,0.638422819,0.640034662,0.601060305,0.695802384,-0.001611843,0.037362514,-0.055767722
YNR017W,-/+,0.979194631,0.937781629,0.947426552,0.998445327,0.041413002,0.031768079,-0.060663698
YGR028W,-/+,0.956375839,0.903639515,0.926220455,0.960787701,0.052736324,0.030155384,-0.057148186
YKL084W,-/+,0.387248322,0.293414211,0.357411089,0.676282605,0.093834111,0.029837233,-0.382868394
YLR295C,-/+,0.985402685,0.958405546,0.956041529,0.806529625,0.026997139,0.029361156,0.151875921
YDR511W,-/+,0.987751678,0.921663778,0.96576099,0.877526343,0.0660879,0.021990688,0.044137435
YDR512C,-/+,0.967449664,0.963604853,0.948089242,0.751770599,0.003844812,0.019360422,0.211834253
YDR079W,-/+,0.991442953,0.885615251,0.972166998,0.860597685,0.105827702,0.019275955,0.025017566
YJL143W,-/+,0.950838926,0.871403813,0.93218467,0.882363102,0.079435113,0.018654256,-0.01095929
YOR045W,-/+,0.995469799,0.687694974,0.977026729,0.988599067,0.307774825,0.01844307,-0.300904093
YIL098C,-/+,0.98909396,0.985095321,0.973050585,0.963378822,0.003998639,0.016043374,0.021716499
YAL015C,-/+,0.38590604,0.749393414,0.371548487,0.576092589,-0.363487374,0.014357553,0.173300825
YJR045C,-/+,0.998657718,0.96169844,0.985641705,0.899637243,0.036959278,0.013016013,0.062061197
YPR020W,-/+,0.980872483,0.951819757,0.969295339,0.828295042,0.029052726,0.011577144,0.123524715
YGR231C,-/+,0.983389262,0.997053726,0.973934173,0.992744861,-0.013664464,0.009455089,0.004308865
YGR183C,-/+,0.958557047,0.780762565,0.952286282,0.93608568,0.177794482,0.006270765,-0.155323115
YPR100W,-/+,0.980536913,0.985615251,0.976143141,0.974779755,-0.005078339,0.004393772,0.010835497
YDR065W,-/+,0.606208054,0.426863085,0.603931964,0.825876663,0.179344969,0.00227609,-0.399013578
YGR132C,-/+,0.986577181,0.994974003,0.986083499,0.992226637,-0.008396822,0.000493682,0.002747367
YOL145C,-/+,0.751677852,0.649393414,0.751491054,0.712731042,0.102284438,0.000186799,-0.063337627
YBR037C,-/+,0.947986577,0.983535529,0.948751933,0.960960442,-0.035548951,-0.000765356,0.022575086
YHR024C,-/+,0.943120805,0.980415945,0.946984758,0.972534116,-0.037295139,-0.003863953,0.007881828
YOR020C,-/+,0.959060403,0.892720971,0.963552021,0.781482121,0.066339432,-0.004491619,0.111238849
YML129C,-/+,0.954194631,0.946967071,0.96156395,0.962342373,0.00722756,-0.007369319,-0.015375302
YKL195W,-/+,0.986744966,0.985441941,0.996023857,0.985144239,0.001303025,-0.00927889,0.000297702
YNL131W,-/+,0.966275168,0.987694974,0.975922244,0.965278977,-0.021419806,-0.009647077,0.022415997
YOL071W,-/+,0.910402685,0.964298094,0.922907002,0.944377267,-0.053895409,-0.012504318,0.019920826
YHR116W,-/+,0.962583893,0.946793761,0.975480451,0.759889446,0.015790132,-0.012896558,0.186904315
YDR375C,-/+,0.977348993,0.974176776,0.993814888,0.984626015,0.003172217,-0.016465895,-0.010449238
YNL064C,-/+,0.434563758,0.507279029,0.451513143,0.401451028,-0.072715271,-0.016949385,0.105828002
YFL016C,-/+,0.833557047,0.70034662,0.851557323,0.950250475,0.133210427,-0.018000276,-0.249903855
YJL003W,-/+,0.965100671,0.975043328,0.994256682,0.747452064,-0.009942656,-0.029156011,0.227591263
YJL104W,-/+,0.955033557,0.936048527,0.985862602,0.959060287,0.01898503,-0.030829045,-0.02301176
YDR022C,-/+,0.687080537,0.591507799,0.722995361,0.743997236,0.095572738,-0.035914824,-0.152489437
YIR004W,-/+,0.850167785,0.784228769,0.896399381,0.725513906,0.065939016,-0.046231596,0.058714864
YJL102W,-/+,0.779530201,0.941941075,0.830130329,0.914665745,-0.162410873,-0.050600128,0.027275329
YPL149W,-/+,0.673154362,0.45355286,0.7552463,0.417515979,0.219601503,-0.082091938,0.036036881
YPL029W,-/+,0.887751678,0.926343154,0.976364038,0.969424771,-0.038591476,-0.08861236,-0.043081617
YGR082W,-/+,0.88909396,0.873830156,0.996907444,0.996890655,0.015263804,-0.107813484,-0.123060499
YLR067C,-/+,0.748657718,0.527729636,0.875193285,0.903264813,0.220928082,-0.126535567,-0.375535177
YOR232W,-/+,0.84261745,0.980935875,0.98254915,0.757471066,-0.138318426,-0.1399317,0.223464809
YLL018C-A,-/+,0.245973154,0.036741768,0.425005522,0.893591294,0.209231387,-0.179032368,-0.856849526
YDL069C,-/+,0.681879195,0.535355286,0.893748619,0.740542408,0.146523909,-0.211869425,-0.205187122
YER083C,-/+,0.514765101,0.651993068,0.781753921,0.989290033,-0.137227967,-0.26698882,-0.337296965
YOR043W,-/+,0.271812081,0.897227036,0.546277888,0.803074797,-0.625414956,-0.274465808,0.094152239
YLR090W,-/+,0.517281879,0.982322357,0.807157058,0.937122128,-0.465040478,-0.289875178,0.045200229
YBR279W,-/+,0.438255034,0.782668977,0.804064502,0.721886336,-0.344413944,-0.365809468,0.060782641
YPL240C,-/+,0.206208054,0.715944541,0.652750166,0.842114355,-0.509736487,-0.446542112,-0.126169814
YLR008C,-/+,0.430872483,0.928249567,0.960238569,0.726377613,-0.497377084,-0.529366085,0.201871954
YIR021W,-/+,0.403020134,0.97712305,0.943892202,0.969079288,-0.574102916,-0.540872068,0.008043762
YKL166C,-/+,0.044798658,0.271577123,0.632648553,0.221972707,-0.226778465,-0.587849895,0.049604416
YLL042C,-/+,0.220973154,0.449046794,0.845814005,0.456728278,-0.228073639,-0.62484085,-0.007681484
YKL011C,-/+,0.047651007,0.811611785,0.838303512,0.972361375,-0.763960778,-0.790652506,-0.16074959
YOR297C,-/+,0.100671141,0.890814558,0.935277226,0.994990499,-0.790143417,-0.834606085,-0.104175941
YOR113W,-/-,0.970973154,0.322530329,,0.386249784,0.648442825,0.970973154,-0.063719455
YOR087W,-/-,0.964597315,0.63864818,,0.913802038,0.325949135,0.964597315,-0.275153858
YPR001W,-/-,0.916946309,0.19254766,,0.123510105,0.724398648,0.916946309,0.069037555
YKL129C,-/-,0.916275168,0.615944541,,0.996545172,0.300330627,0.916275168,-0.380600631
YNL278W,-/-,0.914932886,0.459272097,,0.400932804,0.455660789,0.914932886,0.058339293
YDL195W,-/-,0.911241611,0.648180243,,0.836932113,0.263061368,0.911241611,-0.18875187
YNL297C,-/-,0.91090604,0.775043328,,0.091552945,0.135862713,0.91090604,0.683490382
YML013W,-/-,0.907718121,0.557712305,,0.721540853,0.350005816,0.907718121,-0.163828548
YGR143W,-/-,0.904865772,0.415944541,,0.747970288,0.488921231,0.904865772,-0.332025748
YHR150W,-/-,0.898489933,0.262218371,,0.360511315,0.636271562,0.898489933,-0.098292944
YDR434W,-/-,0.916778523,0.538994801,0.021426994,0.499395405,0.377783723,0.89535153,0.039599396
YPR019W,-/-,0.890939597,0.855632582,,0.393677665,0.035307015,0.890939597,0.461954918
YJR033C,-/-,0.889597315,0.554419411,,0.473656936,0.335177905,0.889597315,0.080762475
YNL036W,-/-,0.933389262,0.431542461,0.047051027,0.588702712,0.501846801,0.886338235,-0.157160251
YAR035W,-/-,0.885738255,0.280762565,,0.544308171,0.60497569,0.885738255,-0.263545606
YCR073W-A,-/-,0.883724832,0.332409012,,0.935394714,0.55131582,0.883724832,-0.602985702
YLR055C,-/-,0.882550336,0.724783362,,0.016755916,0.157766973,0.882550336,0.708027446
YDR247W,-/-,0.880872483,0.157365685,,0.299360857,0.723506799,0.880872483,-0.141995172
YBR223C,-/-,0.879865772,0.275563258,,0.440490586,0.604302514,0.879865772,-0.164927327
YCR088W,-/-,0.921308725,0.905372617,0.042853987,0.999827259,0.015936108,0.878454738,-0.094454642
YOR373W,-/-,0.877348993,0.30779896,,0.417170496,0.569550033,0.877348993,-0.109371536
YER089C,-/-,0.872147651,0.556325823,,0.912074624,0.315821828,0.872147651,-0.355748801
YMR190C,-/-,0.868624161,0.251819757,,0.767144585,0.616804404,0.868624161,-0.515324827
YBL047C,-/-,0.86057047,0.744887348,,0.905164968,0.115683121,0.86057047,-0.16027762
YJR140C,-/-,0.853187919,0.474176776,,0.247192952,0.379011143,0.853187919,0.226983824
YGR040W,-/-,0.887416107,0.36169844,0.035343495,0.098462601,0.525717667,0.852072613,0.263235839
YML034W,-/-,0.857214765,0.648353553,0.006185112,0.757643807,0.208861212,0.851029654,-0.109290254
YMR162C,-/-,0.85033557,0.209358752,,0.573155985,0.640976818,0.85033557,-0.363797233
YGR141W,-/-,0.872651007,0.78492201,0.022752375,0.318880636,0.087728996,0.849898632,0.466041375
YGR077C,-/-,0.950503356,0.889774697,0.105809587,0.386422525,0.060728659,0.844693769,0.503352171
YMR008C,-/-,0.888422819,0.497746967,0.046388337,0.742615305,0.390675852,0.842034482,-0.244868338
YLR035C,-/-,0.840604027,0.242461005,,0.650716877,0.598143022,0.840604027,-0.408255872
YDR080W,-/-,0.839765101,0.548006932,,0.509068924,0.291758168,0.839765101,0.038938009
YNL197C,-/-,0.870134228,0.634835355,0.030704661,0.332181724,0.235298873,0.839429567,0.302653631
YDR009W,-/-,0.830369128,0.085788562,,0.166868198,0.744580566,0.830369128,-0.081079637
YFR024C-A,-/-,0.858724832,0.679202773,0.030483764,0.820521679,0.179522059,0.828241068,-0.141318906
YNL148C,-/-,0.826342282,0.313691508,,0.447400242,0.512650774,0.826342282,-0.133708734
YCR052W,-/-,0.837416107,0.847660312,0.011928429,0.092589394,-0.010244205,0.825487678,0.755070918
YNL101W,-/-,0.82114094,0.488214905,,0.129210572,0.332926035,0.82114094,0.359004333
YBR059C,-/-,0.820973154,0.824090121,,0.799619969,-0.003116967,0.820973154,0.024470152
YIL112W,-/-,0.819798658,0.449913345,,0.176541717,0.369885313,0.819798658,0.273371628
YOR290C,-/-,0.816107383,0.589948007,,0.010191743,0.226159376,0.816107383,0.579756264
YDR423C,-/-,0.813758389,0.452512998,,0.652617032,0.361245391,0.813758389,-0.200104034
YMR109W,-/-,0.813590604,0.800866551,,0.99879081,0.012724053,0.813590604,-0.197924259
YDR205W,-/-,0.881208054,0.606239168,0.068919814,0.212644671,0.274968886,0.812288239,0.393594497
YLR011W,-/-,0.901510067,0.791334489,0.091893086,0.653653481,0.110175578,0.809616981,0.137681008
YDR293C,-/-,0.807214765,0.740034662,,0.186560719,0.067180103,0.807214765,0.553473943
YAL026C,-/-,0.805369128,0.321837088,,0.60321299,0.483532039,0.805369128,-0.281375902
YGR204W,-/-,0.803187919,0.455805893,,0.325617551,0.347382027,0.803187919,0.130188342
YNL009W,-/-,0.891946309,0.228942808,0.089242324,0.371221282,0.663003501,0.802703985,-0.142278474
YPL084W,-/-,0.895302013,0.801559792,0.094543848,0.623078252,0.093742221,0.800758165,0.17848154
YMR047C,-/-,0.800167785,0.73102253,,0.017101399,0.069145255,0.800167785,0.713921131
YKL197C,-/-,0.799832215,0.480069324,,0.749870444,0.319762891,0.799832215,-0.26980112
YJR019C,-/-,0.97885906,0.684228769,0.180251822,0.782000345,0.294630291,0.798607238,-0.097771576
YDL188C,-/-,0.805536913,0.931889081,0.010823945,0.241837969,-0.126352169,0.794712968,0.690051113
YKR050W,-/-,0.793959732,0.355979203,,0.212126447,0.437980529,0.793959732,0.143852756
YMR273C,-/-,0.792785235,0.385615251,,0.165486267,0.407169984,0.792785235,0.220128984
YLR141W,-/-,0.868288591,0.270883882,0.076651204,0.181378476,0.597404708,0.791637387,0.089505406
YPL270W,-/-,0.942281879,0.967764298,0.15241882,0.935567456,-0.025482419,0.789863059,0.032196843
YDR443C,-/-,0.78942953,0.383708839,,0.536189325,0.405720691,0.78942953,-0.152480486
YBR295W,-/-,0.788255034,0.168457539,,0.339264122,0.619797495,0.788255034,-0.170806583
YER116C,-/-,0.787080537,0.114211438,,0.15235792,0.672869098,0.787080537,-0.038146482
YLR403W,-/-,0.786241611,0.569844021,,0.04543099,0.21639759,0.786241611,0.524413031
YMR168C,-/-,0.810738255,0.81507799,0.03004197,0.403178442,-0.004339735,0.780696285,0.411899548
YDR251W,-/-,0.906208054,0.80762565,0.126132096,0.174814303,0.098582404,0.780075957,0.632811347
YOR347C,-/-,0.902516779,0.680415945,0.123039541,0.704957678,0.222100834,0.779477238,-0.024541734
YPL135W,-/-,0.896979866,0.608492201,0.118842501,0.975297979,0.288487665,0.778137365,-0.366805778
YGR133W,-/-,0.778020134,0.362218371,,0.705475903,0.415801763,0.778020134,-0.343257532
YNL243W,-/-,0.943791946,0.943500867,0.165893528,0.922784591,0.00029108,0.777898419,0.020716275
YPR164W,-/-,0.777852349,0.143154246,,0.817757817,0.634698103,0.777852349,-0.67460357
YFL033C,-/-,0.836744966,0.302426343,0.059200353,0.121264467,0.534318623,0.777544613,0.181161876
YNL127W,-/-,0.808053691,0.697053726,0.031146455,0.680428399,0.110999965,0.776907237,0.016625327
YDL197C,-/-,0.773322148,0.440554593,,0.465538089,0.332767555,0.773322148,-0.024983497
YNL106C,-/-,0.77147651,0.527036395,,0.990499223,0.244440115,0.77147651,-0.463462828
YPL085W,-/-,0.794798658,0.362738302,0.024077756,0.09587148,0.432060356,0.770720902,0.266866821
YJL108C,-/-,0.767281879,0.130329289,,0.22974607,0.63695259,0.767281879,-0.099416781
YLR006C,-/-,0.88557047,0.688908146,0.118400707,0.474002418,0.196662324,0.767169763,0.214905727
YBR196C,-/-,0.860738255,0.291507799,0.094985642,0.753152531,0.569230456,0.765752613,-0.461644732
YHR082C,-/-,0.76442953,0.494454073,,0.288132665,0.269975457,0.76442953,0.206321407
YDR052C,-/-,0.763255034,0.363084922,,0.035411988,0.400170112,0.763255034,0.327672934
YKR066C,-/-,0.886241611,0.591334489,0.124364922,0.815166695,0.294907122,0.761876689,-0.223832207
YML010W,-/-,0.793288591,0.667937608,0.031588248,0.013819312,0.125350982,0.761700342,0.654118296
YOR380W,-/-,0.761241611,0.508492201,,0.410951805,0.25274941,0.761241611,0.097540396
YDR030C,-/-,0.762248322,0.466724437,0.002871659,0.470893073,0.295523885,0.759376663,-0.004168636
YJR049C,-/-,0.758389262,0.732235702,,0.647953014,0.02615356,0.758389262,0.084282688
YGR092W,-/-,0.757214765,0.577642981,,0.714803939,0.179571784,0.757214765,-0.137160958
YNL139C,-/-,0.756375839,0.144714038,,0.250993263,0.611661801,0.756375839,-0.106279225
YOR035C,-/-,0.756040268,0.445580589,,0.995854206,0.310459679,0.756040268,-0.550273617
YLR095C,-/-,0.755872483,0.758058925,,0.696666091,-0.002186442,0.755872483,0.061392835
YPL096C-A,-/-,0.755704698,0.032062392,,0.524961133,0.723642306,0.755704698,-0.492898742
YER088C,-/-,0.755033557,0.259618718,,0.850405942,0.49541484,0.755033557,-0.590787225
YJR156C,-/-,0.752852349,0.154766031,,0.30713422,0.598086318,0.752852349,-0.152368189
YHR106W,-/-,0.809899329,0.63067591,0.057874972,0.939195025,0.179223419,0.752024356,-0.308519115
YDR243C,-/-,0.74966443,0.284055459,,0.211435481,0.46560897,0.74966443,0.072619978
YKR054C,-/-,0.748154362,0.151819757,,0.840559682,0.596334605,0.748154362,-0.688739925
YMR106C,-/-,0.747818792,0.185615251,,0.723268267,0.562203541,0.747818792,-0.537653016
YLR319C,-/-,0.847818792,0.723916811,0.101612547,0.585247884,0.123901981,0.746206245,0.138668927
YHR098C,-/-,0.751845638,0.560831889,0.006626905,0.224736569,0.191013749,0.745218732,0.33609532
YAL056W,-/-,0.918288591,0.389948007,0.173845814,0.780618414,0.528340584,0.744442777,-0.390670407
YDR098C,-/-,0.866107383,0.655979203,0.122597747,0.618586975,0.21012818,0.743509636,0.037392227
YJR091C,-/-,0.743120805,0.57677643,,0.84280532,0.166344376,0.743120805,-0.266028891
YIR006C,-/-,0.74261745,0.800693241,,0.990671964,-0.058075791,0.74261745,-0.189978723
YDL095W,-/-,0.815100671,0.479549393,0.073116854,0.778718259,0.335551278,0.741983817,-0.299168865
YOL063C,-/-,0.741946309,0.767590988,,0.368284678,-0.025644679,0.741946309,0.39930631
YDL033C,-/-,0.739765101,0.660485269,,0.940576956,0.079279832,0.739765101,-0.280091688
YOL138C,-/-,0.737248322,0.644714038,,0.80221109,0.092534284,0.737248322,-0.157497052
YGL137W,-/-,0.930872483,0.743847487,0.195935498,0.207116946,0.187024996,0.734936985,0.536730541
YJL047C,-/-,0.734731544,0.428769497,,0.654344446,0.305962046,0.734731544,-0.225574949
YMR056C,-/-,0.866778523,0.760831889,0.132096311,0.918293315,0.105946634,0.734682212,-0.157461426
YOR230W,-/-,0.873825503,0.681109185,0.139385907,0.299015374,0.192716318,0.734439597,0.382093811
YOR181W,-/-,0.831711409,0.533275563,0.097857301,0.999654517,0.298435846,0.733854109,-0.466378954
YHR188C,-/-,0.733724832,0.652166378,,0.706166868,0.081558454,0.733724832,-0.05400049
YBR168W,-/-,0.950167785,0.641247834,0.217804285,0.848333045,0.308919952,0.7323635,-0.207085212
YGR267C,-/-,0.865604027,0.87729636,0.133421692,0.290723786,-0.011692334,0.732182335,0.586572574
YCR026C,-/-,0.73204698,0.481802426,,0.385040594,0.250244554,0.73204698,0.096761832
YKL146W,-/-,0.79261745,0.844540728,0.061188425,0.345482812,-0.051923278,0.731429025,0.499057916
YOL126C,-/-,0.929530201,0.46152513,0.199248951,0.847814821,0.468005071,0.730281251,-0.386289691
YMR100W,-/-,0.836241611,0.705025997,0.106693174,0.42131629,0.131215614,0.729548436,0.283709707
YGL008C,-/-,0.729026846,0.21542461,,0.356365521,0.513602236,0.729026846,-0.140940911
YML027W,-/-,0.877852349,0.553032929,0.149547161,0.614095699,0.32481942,0.728305188,-0.06106277
YBR218C,-/-,0.765436242,0.636568458,0.037552463,0.595266885,0.128867784,0.727883779,0.041301572
YDL194W,-/-,0.726006711,0.386828423,,0.19416134,0.339178289,0.726006711,0.192667082
YNL054W,-/-,0.725,0.440727903,0.000441794,0.705821385,0.284272097,0.724558206,-0.265093482
YGL065C,-/-,0.796979866,0.903292894,0.072895958,0.294351356,-0.106313029,0.724083908,0.608941538
YIL147C,-/-,0.723489933,0.347833622,,0.796510624,0.375656311,0.723489933,-0.448677001
YOR321W,-/-,0.785402685,0.634662045,0.062734703,0.835031957,0.15074064,0.722667982,-0.200369912
YNL250W,-/-,0.771308725,0.253032929,0.049259996,0.812402833,0.518275796,0.722048729,-0.559369904
YCL004W,-/-,0.721979866,0.285268631,,0.343755398,0.436711235,0.721979866,-0.058486767
YOR316C,-/-,0.904362416,0.862218371,0.183565275,0.094489549,0.042144045,0.720797141,0.767728822
YBL088C,-/-,0.720637584,0.272270364,,0.957505614,0.44836722,0.720637584,-0.68523525
YBL015W,-/-,0.929026846,0.551126516,0.209851999,0.897218863,0.377900329,0.719174847,-0.346092347
YIL126W,-/-,0.719127517,0.35389948,,0.022283641,0.365228037,0.719127517,0.331615839
YER018C,-/-,0.79295302,0.35407279,0.074663132,0.373639661,0.43888023,0.718289888,-0.019566871
YMR173W,-/-,0.746308725,0.290467938,0.029158383,0.584384177,0.455840787,0.717150342,-0.293916239
YJL019W,-/-,0.715771812,0.270710572,,0.8894455,0.44506124,0.715771812,-0.618734928
YMR070W,-/-,0.783724832,0.467764298,0.068036227,0.112454655,0.315960534,0.715688605,0.355309643
YHR079C,-/-,0.714261745,0.31559792,,0.171704958,0.398663825,0.714261745,0.143892963
YDL227C,-/-,0.753020134,0.104679376,0.041307709,0.528761444,0.648340758,0.711712425,-0.424082068
YOR130C,-/-,0.711073826,0.666897747,,0.884781482,0.044176079,0.711073826,-0.217883735
YJL012C,-/-,0.714932886,0.142114385,0.00419704,0.142857143,0.572818501,0.710735846,-0.000742758
YCR081W,-/-,0.710402685,0.406585789,,0.762826049,0.303816896,0.710402685,-0.356240261
YBR112C,-/-,0.860067114,0.773136915,0.149988955,0.310589048,0.086930199,0.710078159,0.462547867
YEL013W,-/-,0.879697987,0.904852686,0.170090568,0.840214199,-0.0251547,0.709607419,0.064638487
YEL071W,-/-,0.709395973,0.327209705,,0.954396269,0.382186268,0.709395973,-0.627186563
YOL034W,-/-,0.708892617,0.274350087,,0.21247193,0.434542531,0.708892617,0.061878157
YNR047W,-/-,0.708389262,0.588214905,,0.196234237,0.120174357,0.708389262,0.391980667
YMR224C,-/-,0.707885906,0.4847487,,0.955259976,0.223137206,0.707885906,-0.470511276
YNL294C,-/-,0.70704698,0.840727903,,0.833995509,-0.133680923,0.70704698,0.006732394
YDR188W,-/-,0.797818792,0.72287695,0.091451292,0.70513042,0.074941842,0.7063675,0.01774653
YJR060W,-/-,0.706040268,0.702599653,,0.827604077,0.003440615,0.706040268,-0.125004423
YLR347C,-/-,0.705369128,0.681802426,,0.141475212,0.023566701,0.705369128,0.540327215
YKR095W-A,-/-,0.705201342,0.03067591,,0.567110036,0.674525432,0.705201342,-0.536434126
YNL025C,-/-,0.704865772,0.614558059,,0.178441873,0.090307713,0.704865772,0.436116186
YOL064C,-/-,0.795805369,0.626689775,0.091230395,0.163758853,0.169115594,0.704574974,0.462930922
