Gene,Original Label,Modern Label,NN Rank,Spell Rank,Difference
YOR125C,-1,-1,887,497.0,390.0
YNL183C,-1,-1,521,133.0,388.0
YNR017W,1,1,746,359.0,387.0
YOL096C,-1,-1,535,152.0,383.0
YGR167W,-1,-1,524,151.0,373.0
YMR267W,-1,-1,385,14.0,371.0
YMR089C,1,-1,383,13.0,370.0
YPR129W,0,-1,499,129.0,370.0
YGL084C,-1,-1,669,302.0,367.0
YNL185C,-1,-1,530,167.0,363.0
YPR011C,-1,-1,489,127.0,362.0
YKR085C,-1,-1,421,60.0,361.0
YDR268W,-1,-1,494,134.0,360.0
YMR060C,1,1,716,361.0,355.0
YML129C,-1,1,660,306.0,354.0
YLR259C,1,1,937,585.0,352.0
YLR008C,1,1,762,414.0,348.0
YGR077C,-1,-1,964,636.0,328.0
YKL138C,-1,-1,388,61.0,327.0
YML030W,-1,1,380,58.0,322.0
YKL039W,-1,-1,632,317.0,315.0
YOR286W,0,0,579,269.0,310.0
YKR006C,-1,-1,327,18.0,309.0
YJR048W,-1,-1,863,554.0,309.0
YNL121C,1,1,330,26.0,304.0
YBR146W,-1,-1,331,33.0,298.0
YOL027C,1,1,722,426.0,296.0
YGL068W,-1,-1,461,168.0,293.0
YBR268W,-1,-1,755,464.0,291.0
YHR051W,-1,-1,561,273.0,288.0
YGR165W,-1,-1,320,34.0,286.0
YDR298C,-1,-1,437,154.0,283.0
YNL005C,-1,1,317,36.0,281.0
YGL219C,1,1,582,304.0,278.0
YDL004W,-1,-1,523,247.0,276.0
YHR200W,-1,-1,759,485.0,274.0
YIL093C,-1,-1,920,651.0,269.0
YDR296W,1,1,350,85.0,265.0
YGR231C,1,1,278,17.0,261.0
YGR174C,1,1,463,207.0,256.0
YBL041W,-1,-1,474,226.0,248.0
YDL202W,-1,-1,268,22.0,246.0
YMR225C,-1,-1,447,205.0,242.0
YDR175C,-1,-1,298,57.0,241.0
YPL078C,-1,-1,329,89.0,240.0
YLR390W,-1,-1,598,358.0,240.0
YHL004W,-1,-1,312,73.0,239.0
YER163C,0,-1,496,265.0,231.0
YNL081C,-1,-1,249,23.0,226.0
YNL137C,-1,-1,231,7.0,224.0
YLR203C,-1,1,256,32.0,224.0
YPL099C,-1,1,601,377.0,224.0
YDR237W,-1,-1,291,70.0,221.0
YNL231C,-1,-1,743,526.0,217.0
YPL215W,1,1,277,65.0,212.0
YOL023W,-1,-1,502,291.0,211.0
YKL145W,-1,-1,459,252.0,207.0
YKL007W,-1,-1,646,439.0,207.0
YGR101W,1,1,417,215.0,202.0
YGR253C,-1,-1,824,623.0,201.0
YGR112W,1,1,514,315.0,199.0
YLR118C,-1,-1,777,582.0,195.0
YBR122C,-1,-1,233,44.0,189.0
YPR191W,-1,-1,560,373.0,187.0
YGL040C,-1,-1,250,67.0,183.0
YMR188C,-1,-1,368,185.0,183.0
YPL118W,-1,-1,182,1.0,181.0
YJL143W,1,1,921,742.0,179.0
YGL002W,-1,-1,699,522.0,177.0
YIL157C,1,1,254,79.0,175.0
YPR023C,-1,-1,420,245.0,175.0
YMR193W,-1,-1,188,15.0,173.0
YLR193C,1,-1,551,378.0,173.0
YMR203W,1,1,243,72.0,171.0
YKL087C,-1,-1,225,55.0,170.0
YGR277C,-1,-1,914,745.0,169.0
YOR150W,-1,-1,172,6.0,166.0
YPR166C,-1,-1,386,220.0,166.0
YNR020C,-1,1,979,816.0,163.0
YBR037C,-1,1,257,95.0,162.0
YBR039W,-1,-1,418,259.0,159.0
YBL045C,-1,1,444,286.0,158.0
YNL052W,-1,-1,584,432.0,152.0
YBL038W,-1,-1,162,11.0,151.0
YER133W,-1,-1,853,705.0,148.0
YJL096W,-1,-1,175,28.0,147.0
YKL067W,-1,-1,410,264.0,146.0
YPR134W,-1,-1,655,511.0,144.0
YJR102C,-1,-1,472,331.0,141.0
YGR029W,1,1,618,480.0,138.0
YDL174C,-1,-1,847,710.0,137.0
YOR187W,-1,-1,154,21.0,133.0
YNL037C,-1,-1,356,224.0,132.0
YPL120W,-1,-1,963,834.0,129.0
YGL129C,-1,-1,205,77.0,128.0
YKL016C,-1,-1,305,178.0,127.0
YEL050C,-1,-1,150,24.0,126.0
YHR083W,1,1,927,801.0,126.0
YLR295C,-1,1,363,240.0,123.0
YOR244W,-1,-1,954,831.0,123.0
YNR045W,-1,-1,416,297.0,119.0
YBR185C,1,1,130,19.0,111.0
YMR158W,-1,-1,185,76.0,109.0
YKL141W,-1,1,299,191.0,108.0
YKL003C,-1,-1,283,176.0,107.0
YBR177C,-1,-1,786,682.0,104.0
YKL167C,-1,-1,152,52.0,100.0
YOR158W,-1,-1,129,31.0,98.0
YJL104W,1,1,467,369.0,98.0
YMR293C,-1,-1,673,579.0,94.0
YPR147C,0,-1,345,263.0,82.0
YNL177C,-1,-1,158,78.0,80.0
YLL001W,1,1,307,227.0,80.0
YNL315C,1,1,79,10.0,69.0
YDR375C,1,1,216,149.0,67.0
YNL252C,-1,-1,116,51.0,65.0
YPR100W,-1,1,144,83.0,61.0
YER170W,-1,-1,556,496.0,60.0
YHR147C,-1,-1,73,20.0,53.0
YPL134C,-1,-1,727,678.0,49.0
YGL252C,0,-1,265,219.0,46.0
YJR100C,0,1,70,25.0,45.0
YMR072W,1,1,638,601.0,37.0
YJR113C,-1,-1,323,288.0,35.0
YDR286C,0,0,940,905.0,35.0
YPL173W,-1,-1,157,124.0,33.0
YKR089C,-1,-1,707,679.0,28.0
YDR337W,-1,-1,76,49.0,27.0
YDR494W,-1,-1,119,92.0,27.0
YMR258C,0,-1,611,590.0,21.0
YMR027W,0,-1,143,123.0,20.0
YOR065W,-1,-1,411,392.0,19.0
YBR253W,-1,-1,908,893.0,15.0
YJR121W,-1,-1,293,279.0,14.0
YJR045C,1,1,234,221.0,13.0
YJL102W,-1,1,348,335.0,13.0
YDR115W,-1,-1,196,187.0,9.0
YMR157C,0,-1,10,2.0,8.0
YJR080C,0,1,9,4.0,5.0
YPR047W,-1,-1,201,197.0,4.0
YLR370C,1,-1,198,195.0,3.0
YMR139W,-1,-1,526,524.0,2.0
YHR198C,0,-1,88,90.0,-2.0
YER063W,-1,-1,439,445.0,-6.0
YDL237W,0,-1,121,128.0,-7.0
YCR003W,-1,-1,110,119.0,-9.0
YMR002W,-1,1,199,209.0,-10.0
YIL098C,1,1,71,86.0,-15.0
YBL090W,-1,-1,135,150.0,-15.0
YGL187C,-1,-1,435,450.0,-15.0
YJL196C,-1,-1,714,729.0,-15.0
YDR308C,-1,-1,753,768.0,-15.0
YIL062C,1,1,576,598.0,-22.0
YEL024W,-1,-1,682,704.0,-22.0
YDR197W,-1,-1,697,722.0,-25.0
YGR257C,-1,-1,562,588.0,-26.0
YKR016W,0,1,12,40.0,-28.0
YOR132W,-1,-1,497,532.0,-35.0
YLR250W,0,-1,111,147.0,-36.0
YKL137W,1,1,104,142.0,-38.0
YJL063C,1,-1,133,171.0,-38.0
YLR253W,0,1,60,99.0,-39.0
YPR155C,-1,-1,159,202.0,-43.0
YKL192C,-1,-1,485,528.0,-43.0
YJR044C,-1,-1,393,437.0,-44.0
YMR012W,1,1,823,868.0,-45.0
YNL045W,-1,-1,422,470.0,-48.0
YPR109W,0,-1,66,115.0,-49.0
YGR076C,-1,-1,190,242.0,-52.0
YCR071C,-1,-1,288,342.0,-54.0
YML001W,-1,-1,821,875.0,-54.0
YMR284W,-1,-1,932,997.0,-65.0
YER107C,0,-1,520,589.0,-69.0
YNL156C,-1,-1,688,759.0,-71.0
YMR286W,-1,-1,959,1030.0,-71.0
YLL009C,1,1,215,289.0,-74.0
YDR307W,-1,-1,884,965.0,-81.0
YML009C,-1,-1,204,287.0,-83.0
YDR041W,-1,-1,105,190.0,-85.0
YDL067C,-1,-1,775,860.0,-85.0
YNL100W,0,1,1,88.0,-87.0
YHL034C,-1,-1,965,1052.0,-87.0
YOL071W,-1,1,115,206.0,-91.0
YLR304C,1,1,313,405.0,-92.0
YOR136W,-1,-1,604,696.0,-92.0
YML025C,-1,-1,392,489.0,-97.0
YGR082W,1,1,627,728.0,-101.0
YLR104W,0,-1,469,571.0,-102.0
YDL046W,-1,-1,631,733.0,-102.0
YER026C,-1,-1,279,382.0,-103.0
YOR131C,-1,-1,362,469.0,-107.0
YGR048W,-1,-1,865,972.0,-107.0
YPL259C,-1,-1,892,1001.0,-109.0
YPL116W,-1,-1,575,686.0,-111.0
YBR282W,-1,-1,168,281.0,-113.0
YKL160W,-1,-1,870,983.0,-113.0
YHR113W,-1,-1,527,643.0,-116.0
YPR021C,-1,-1,445,562.0,-117.0
YGR181W,1,1,321,443.0,-122.0
YDR079W,1,1,537,660.0,-123.0
YOR042W,0,-1,28,156.0,-128.0
YOR059C,-1,-1,998,1131.0,-133.0
YPL013C,-1,-1,686,823.0,-137.0
YDR031W,-1,-1,240,379.0,-139.0
YDR511W,-1,1,304,452.0,-148.0
YNL115C,-1,-1,915,1067.0,-152.0
YJL066C,-1,-1,222,383.0,-161.0
YOL053W,0,-1,16,180.0,-164.0
YER050C,-1,-1,125,294.0,-169.0
YFR011C,0,1,56,229.0,-173.0
YDR513W,-1,-1,765,939.0,-174.0
YGR028W,1,1,377,556.0,-179.0
YGL057C,0,-1,69,251.0,-182.0
YDR063W,0,-1,179,368.0,-189.0
YIR003W,-1,-1,374,566.0,-192.0
YER141W,-1,-1,186,381.0,-195.0
YKL085W,-1,-1,241,438.0,-197.0
YJR034W,1,1,360,557.0,-197.0
YFR050C,-1,-1,641,841.0,-200.0
YHR038W,0,-1,3,204.0,-201.0
YPL184C,0,-1,795,996.0,-201.0
YLR289W,-1,-1,678,880.0,-202.0
YOL087C,0,-1,685,887.0,-202.0
YCR036W,-1,-1,255,459.0,-204.0
YGL047W,-1,-1,842,1046.0,-204.0
YIL050W,-1,-1,628,836.0,-208.0
YLR168C,0,1,27,238.0,-211.0
YML120C,-1,-1,289,503.0,-214.0
YER182W,0,-1,83,298.0,-215.0
YLR038C,1,1,372,587.0,-215.0
YER012W,-1,-1,574,790.0,-216.0
YGL143C,0,-1,41,258.0,-217.0
YBR120C,-1,1,97,316.0,-219.0
YBR262C,0,1,13,239.0,-226.0
YHR192W,0,-1,337,568.0,-231.0
YKL150W,-1,-1,112,344.0,-232.0
YKR014C,-1,-1,359,591.0,-232.0
YBL107C,0,-1,266,501.0,-235.0
YFR002W,0,-1,702,938.0,-236.0
YPL087W,-1,-1,164,407.0,-243.0
YKL193C,-1,-1,453,707.0,-254.0
YNL070W,1,1,481,739.0,-258.0
YKL013C,1,-1,503,780.0,-277.0
YJR059W,-1,-1,619,896.0,-277.0
YMR073C,0,-1,134,413.0,-279.0
YKL064W,-1,-1,849,1129.0,-280.0
YJL100W,-1,-1,703,991.0,-288.0
YLR218C,0,1,23,314.0,-291.0
YER058W,1,1,239,530.0,-291.0
YIL070C,-1,-1,364,656.0,-292.0
YDR231C,1,1,242,541.0,-299.0
YGL004C,-1,-1,930,1235.0,-305.0
YGR183C,-1,1,960,1266.0,-306.0
YAL039C,-1,-1,729,1041.0,-312.0
YOR215C,-1,-1,325,640.0,-315.0
YDR405W,-1,-1,460,784.0,-324.0
YKL117W,-1,-1,811,1140.0,-329.0
YJL131C,0,-1,18,350.0,-332.0
YDR493W,0,1,5,343.0,-338.0
YBL059W,0,-1,58,396.0,-338.0
YLR395C,-1,-1,400,738.0,-338.0
YOR163W,0,-1,107,455.0,-348.0
YGL082W,0,-1,151,521.0,-370.0
YKR021W,0,-1,657,1042.0,-385.0
YMR031C,0,-1,62,451.0,-389.0
YMR261C,-1,-1,790,1181.0,-391.0
YLR241W,0,-1,96,488.0,-392.0
YOR159C,-1,-1,918,1316.0,-398.0
YFL036W,1,1,296,697.0,-401.0
YKL148C,-1,-1,280,684.0,-404.0
YGL161C,-1,-1,287,692.0,-405.0
YLL023C,-1,-1,911,1325.0,-414.0
YER094C,-1,-1,958,1375.0,-417.0
YKL094W,-1,-1,476,904.0,-428.0
YJR077C,-1,-1,371,807.0,-436.0
YLR072W,0,-1,854,1291.0,-437.0
YML050W,0,-1,19,465.0,-446.0
YDR282C,0,-1,553,1000.0,-447.0
YPL271W,-1,-1,971,1421.0,-450.0
YBR024W,-1,1,398,850.0,-452.0
YHR190W,-1,-1,390,847.0,-457.0
YCL034W,-1,-1,281,743.0,-462.0
YGL198W,-1,-1,589,1071.0,-482.0
YGR206W,-1,-1,674,1167.0,-493.0
YPL224C,-1,-1,633,1141.0,-508.0
YPR098C,-1,-1,852,1363.0,-511.0
YOR023C,0,-1,290,804.0,-514.0
YFR014C,-1,-1,458,975.0,-517.0
YGR062C,1,1,351,871.0,-520.0
YER004W,-1,-1,696,1218.0,-522.0
YMR028W,0,-1,80,609.0,-529.0
YDR204W,-1,-1,346,878.0,-532.0
YBL030C,-1,-1,271,810.0,-539.0
YBL047C,-1,-1,923,1473.0,-550.0
YJL036W,-1,1,885,1436.0,-551.0
YNL265C,-1,-1,357,909.0,-552.0
YMR278W,-1,-1,639,1191.0,-552.0
YNL320W,0,-1,86,645.0,-559.0
YBL032W,0,-1,701,1265.0,-564.0
YIL125W,-1,-1,409,981.0,-572.0
YMR003W,0,-1,238,825.0,-587.0
YLR114C,0,-1,785,1372.0,-587.0
YMR155W,0,-1,391,984.0,-593.0
YPR139C,0,-1,170,765.0,-595.0
YBR269C,0,1,15,627.0,-612.0
YGL191W,-1,1,226,867.0,-641.0
YKL214C,0,-1,251,895.0,-644.0
YDR178W,-1,-1,442,1092.0,-650.0
YKL068W,0,-1,608,1260.0,-652.0
YER092W,0,-1,549,1202.0,-653.0
YLR093C,-1,-1,565,1224.0,-659.0
YOL065C,-1,-1,809,1469.0,-660.0
YGR080W,-1,-1,758,1435.0,-677.0
YCR076C,0,-1,26,711.0,-685.0
YGR100W,0,-1,666,1361.0,-695.0
YDR313C,-1,-1,616,1313.0,-697.0
YAR002W,0,-1,840,1556.0,-716.0
YDR129C,-1,-1,933,1652.0,-719.0
YNL015W,-1,-1,835,1557.0,-722.0
YOR245C,-1,-1,675,1404.0,-729.0
YJR086W,-1,-1,322,1059.0,-737.0
YBR035C,-1,-1,235,985.0,-750.0
YNL259C,-1,-1,647,1417.0,-770.0
YFL017C,0,-1,339,1114.0,-775.0
YOR228C,-1,1,756,1537.0,-781.0
YER134C,0,-1,68,886.0,-818.0
YDL107W,1,1,855,1675.0,-820.0
YFL028C,0,-1,389,1214.0,-825.0
YML091C,1,1,475,1301.0,-826.0
YNR001C,-1,-1,156,986.0,-830.0
YNL333W,0,-1,309,1152.0,-843.0
YFL016C,1,1,886,1730.0,-844.0
YMR226C,-1,-1,889,1744.0,-855.0
YJL055W,0,-1,92,959.0,-867.0
YLR270W,-1,-1,171,1038.0,-867.0
YGL197W,0,-1,570,1442.0,-872.0
YLR387C,0,-1,82,960.0,-878.0
YKR051W,0,-1,174,1055.0,-881.0
YDR214W,-1,-1,518,1399.0,-881.0
YDR329C,-1,-1,803,1685.0,-882.0
YBR179C,1,1,916,1801.0,-885.0
YKL204W,0,-1,106,993.0,-887.0
YNL215W,0,-1,61,949.0,-888.0
YNL108C,0,-1,405,1311.0,-906.0
YJR074W,0,-1,37,950.0,-913.0
YOR230W,-1,-1,924,1841.0,-917.0
YGL228W,0,-1,259,1180.0,-921.0
YPL203W,-1,-1,605,1532.0,-927.0
YPL240C,-1,1,712,1640.0,-928.0
YGL105W,-1,-1,764,1694.0,-930.0
YGL237C,-1,-1,757,1688.0,-931.0
YDR255C,-1,-1,668,1608.0,-940.0
YPL004C,-1,-1,218,1159.0,-941.0
YHR002W,-1,-1,324,1273.0,-949.0
YBL033C,0,-1,39,989.0,-950.0
YCR030C,-1,-1,723,1683.0,-960.0
YML070W,-1,-1,644,1609.0,-965.0
YOR281C,0,-1,275,1252.0,-977.0
YJR019C,-1,-1,838,1823.0,-985.0
YLR345W,-1,-1,733,1723.0,-990.0
YBR139W,-1,-1,423,1422.0,-999.0
YDR539W,0,-1,306,1306.0,-1000.0
YGL110C,0,-1,581,1587.0,-1006.0
YIR024C,0,1,261,1276.0,-1015.0
YER010C,0,-1,208,1231.0,-1023.0
YLR102C,-1,-1,596,1622.0,-1026.0
YLR283W,-1,-1,720,1755.0,-1035.0
YIR036C,-1,-1,468,1504.0,-1036.0
YPR028W,-1,-1,600,1637.0,-1037.0
YHR199C,0,-1,123,1161.0,-1038.0
YBR230C,-1,1,913,1951.0,-1038.0
YDR479C,-1,-1,917,1959.0,-1042.0
YGL091C,0,-1,74,1122.0,-1048.0
YGR270W,0,-1,295,1352.0,-1057.0
YGR031W,0,-1,491,1551.0,-1060.0
YNL241C,-1,-1,373,1451.0,-1078.0
YDL027C,0,-1,29,1110.0,-1081.0
YJL044C,-1,-1,994,2077.0,-1083.0
YFR053C,-1,-1,642,1727.0,-1085.0
YFR039C,0,-1,450,1548.0,-1098.0
YDR153C,-1,-1,925,2042.0,-1117.0
YOR166C,0,-1,909,2027.0,-1118.0
YPL003W,-1,-1,774,1897.0,-1123.0
YLR021W,0,-1,209,1339.0,-1130.0
YMR244C-A,-1,1,662,1829.0,-1167.0
YKL189W,-1,-1,726,1893.0,-1167.0
YKL219W,0,-1,355,1526.0,-1171.0
YDL110C,-1,-1,195,1368.0,-1173.0
YIL077C,0,-1,587,1767.0,-1180.0
YPL094C,-1,-1,728,1908.0,-1180.0
YGR141W,0,-1,52,1242.0,-1190.0
YER177W,-1,-1,466,1660.0,-1194.0
YGL005C,-1,-1,724,1921.0,-1197.0
YMR086W,-1,-1,557,1757.0,-1200.0
YLR128W,-1,-1,590,1793.0,-1203.0
YDR458C,0,-1,285,1494.0,-1209.0
YDR319C,0,-1,64,1281.0,-1217.0
YFR003C,-1,-1,427,1649.0,-1222.0
YIR037W,-1,-1,367,1592.0,-1225.0
YPL015C,-1,-1,591,1821.0,-1230.0
YKL035W,-1,-1,166,1410.0,-1244.0
YNL214W,-1,-1,292,1543.0,-1251.0
YLR018C,0,-1,760,2012.0,-1252.0
YNL079C,1,1,791,2046.0,-1255.0
YDL224C,0,-1,365,1621.0,-1256.0
YBR149W,-1,-1,567,1834.0,-1267.0
YMR209C,0,-1,607,1878.0,-1271.0
YDR219C,1,1,501,1775.0,-1274.0
YNL173C,-1,-1,148,1424.0,-1276.0
YJL137C,-1,-1,395,1678.0,-1283.0
YPL135W,-1,-1,976,2260.0,-1284.0
YBR126C,-1,-1,893,2184.0,-1291.0
YDR353W,-1,-1,369,1663.0,-1294.0
YBR017C,0,-1,227,1527.0,-1300.0
YNL274C,-1,-1,343,1669.0,-1326.0
YKR046C,-1,-1,935,2261.0,-1326.0
YAL060W,-1,-1,387,1720.0,-1333.0
YJL166W,-1,-1,145,1485.0,-1340.0
YNL295W,0,1,138,1481.0,-1343.0
YAL027W,0,-1,72,1420.0,-1348.0
YPR115W,0,-1,284,1634.0,-1350.0
YLR335W,0,-1,738,2088.0,-1350.0
YMR148W,0,-1,89,1440.0,-1351.0
YNL040W,0,-1,426,1780.0,-1354.0
YMR102C,0,-1,599,1955.0,-1356.0
YNL004W,0,-1,505,1863.0,-1358.0
YDR387C,-1,-1,904,2267.0,-1363.0
YDR181C,0,-1,989,2352.0,-1363.0
YMR297W,-1,-1,919,2292.0,-1373.0
YJL020C,-1,-1,480,1861.0,-1381.0
YGL080W,0,-1,81,1465.0,-1384.0
YJR024C,0,-1,719,2112.0,-1393.0
YDL116W,0,-1,342,1737.0,-1395.0
YJR136C,0,-1,333,1735.0,-1402.0
YDR529C,1,1,326,1729.0,-1403.0
YER059W,0,-1,93,1507.0,-1414.0
YOL073C,0,-1,53,1468.0,-1415.0
YBR290W,-1,-1,848,2269.0,-1421.0
YFR043C,0,-1,315,1738.0,-1423.0
YFL046W,0,1,124,1549.0,-1425.0
YNL305C,-1,-1,314,1745.0,-1431.0
YDL177C,0,-1,749,2189.0,-1440.0
YOR374W,-1,-1,197,1648.0,-1451.0
YJL132W,0,-1,462,1916.0,-1454.0
YML008C,-1,-1,488,1948.0,-1460.0
YKR066C,-1,-1,890,2359.0,-1469.0
YJL164C,-1,-1,454,1928.0,-1474.0
YOR045W,1,1,328,1803.0,-1475.0
YDL001W,0,-1,973,2453.0,-1480.0
YDR315C,-1,-1,905,2386.0,-1481.0
YDR059C,-1,-1,871,2363.0,-1492.0
YOR036W,-1,-1,742,2250.0,-1508.0
YKL065C,-1,-1,713,2237.0,-1524.0
YOR285W,-1,-1,486,2028.0,-1542.0
YKR049C,-1,-1,882,2429.0,-1547.0
YIL087C,-1,-1,396,1944.0,-1548.0
YLR356W,-1,1,504,2068.0,-1564.0
YGR046W,1,-1,700,2268.0,-1568.0
YLR392C,0,-1,206,1790.0,-1584.0
YDR246W,-1,-1,583,2168.0,-1585.0
YOR292C,-1,-1,594,2181.0,-1587.0
YJR061W,0,-1,637,2224.0,-1587.0
YCR084C,0,-1,620,2210.0,-1590.0
YPR085C,0,-1,956,2548.0,-1592.0
YGR015C,0,-1,630,2231.0,-1601.0
YLR137W,0,-1,817,2418.0,-1601.0
YNR009W,0,-1,740,2345.0,-1605.0
YLR065C,0,-1,705,2326.0,-1621.0
YBR062C,0,-1,11,1636.0,-1625.0
YBR056W,-1,-1,577,2202.0,-1625.0
YGR150C,0,1,167,1794.0,-1627.0
YNL155W,0,-1,47,1684.0,-1637.0
YNL055C,1,1,903,2582.0,-1679.0
YML068W,0,-1,484,2175.0,-1691.0
YHL030W,0,-1,103,1795.0,-1692.0
YNL074C,0,-1,588,2286.0,-1698.0
YKL091C,-1,-1,169,1869.0,-1700.0
YMR315W,-1,-1,613,2324.0,-1711.0
YCL056C,0,-1,264,1980.0,-1716.0
YGL104C,-1,-1,341,2066.0,-1725.0
YDR183W,0,-1,248,1979.0,-1731.0
YLR046C,0,-1,155,1900.0,-1745.0
YLR227C,0,-1,778,2525.0,-1747.0
YGR230W,0,-1,84,1835.0,-1751.0
YDR192C,0,-1,801,2560.0,-1759.0
YOL032W,-1,-1,856,2615.0,-1759.0
YDL133W,0,-1,136,1899.0,-1763.0
YCL035C,-1,-1,430,2193.0,-1763.0
YBL095W,0,-1,176,1940.0,-1764.0
YMR256C,-1,-1,419,2187.0,-1768.0
YHR001W-A,-1,-1,602,2385.0,-1783.0
YGL087C,-1,-1,624,2417.0,-1793.0
YBR283C,-1,-1,829,2627.0,-1798.0
YLL049W,0,-1,622,2423.0,-1801.0
YLR151C,-1,-1,634,2448.0,-1814.0
YAR027W,-1,-1,650,2465.0,-1815.0
YPL061W,-1,-1,929,2746.0,-1817.0
YMR124W,0,-1,118,1939.0,-1821.0
YOR375C,-1,-1,814,2636.0,-1822.0
YBL104C,0,-1,429,2262.0,-1833.0
YHR004C,-1,-1,671,2516.0,-1845.0
YNL134C,-1,-1,812,2663.0,-1851.0
YOR317W,-1,-1,436,2291.0,-1855.0
YCL051W,-1,-1,883,2756.0,-1873.0
YJR072C,0,-1,693,2584.0,-1891.0
YDR381W,-1,-1,981,2880.0,-1899.0
YKL047W,0,-1,878,2778.0,-1900.0
YDR032C,-1,-1,263,2165.0,-1902.0
YOR173W,-1,-1,952,2861.0,-1909.0
YJL155C,-1,-1,832,2753.0,-1921.0
YIR038C,-1,-1,737,2664.0,-1927.0
YBR255W,0,-1,117,2048.0,-1931.0
YJR073C,-1,-1,540,2475.0,-1935.0
YDR066C,0,-1,183,2122.0,-1939.0
YER066W,0,-1,160,2100.0,-1940.0
YML028W,-1,-1,412,2353.0,-1941.0
YGL134W,-1,-1,955,2929.0,-1974.0
YMR294W,0,-1,77,2057.0,-1980.0
YMR066W,0,-1,709,2690.0,-1981.0
YML132W,-1,-1,961,2944.0,-1983.0
YGR093W,0,-1,659,2643.0,-1984.0
YKL109W,-1,-1,841,2835.0,-1994.0
YBR006W,-1,-1,910,2920.0,-2010.0
YOL108C,-1,-1,394,2415.0,-2021.0
YOL143C,0,-1,21,2053.0,-2032.0
YGL018C,-1,-1,745,2784.0,-2039.0
YNL022C,0,-1,946,2988.0,-2042.0
YJR085C,0,-1,32,2080.0,-2048.0
YGL215W,0,-1,804,2855.0,-2051.0
YDL089W,0,-1,147,2204.0,-2057.0
YDR003W,-1,-1,210,2280.0,-2070.0
YKL105C,0,-1,877,2957.0,-2080.0
