Gene,Occurances in pairs
YPR063C,8277
YPL246C,8277
YML119W,8277
YLL055W,8277
YOR070C,8277
YIL130W,8277
YJL162C,8277
YML100W,8277
YPR026W,8277
YGR131W,8277
YMR295C,8277
YPL003W,8277
YPL077C,8277
YJL144W,8277
YJR100C,8277
YJR072C,8277
YLR004C,8277
YLR367W,8277
YLR063W,8277
YDR315C,8277
YDR524C-B,8277
YML022W,8277
YMR318C,8277
YDL248W,8277
YDR261C,8277
YER079W,8277
YBL029W,8277
YGR127W,8277
YFL065C,8277
YLR046C,8277
YKR105C,8277
YBR271W,8277
YNR028W,8277
YMR105W-A,8277
YMR321C,8277
YMR268W-A,8277
YLR177W,8277
YBR141C,8277
YBR150C,8277
YDR186C,8277
YDL144C,8277
YLR299W,8277
YJL023C,8277
YLR404W,8277
YNL158W,8277
YIL093C,8277
YPR085C,8277
YHL018W,8277
YIR021W-A,8277
YKR069W,8277
YDR406W,8277
YCR099C,8277
YLR218C,8277
YLR154C-G,8277
YNL255C,8277
YCR051W,8277
YGL224C,8277
YJR136C,8277
YMR090W,8277
YER150W,8277
YDR368W,8277
YDR387C,8277
YOR273C,8277
YPR004C,8277
YPL198W,8277
YAL064W,8277
YDR399W,8277
YJL084C,8277
YHR122W,8277
YHR179W,8277
YJR122W,8277
YBL031W,8277
YGR084C,8277
YLR118C,8277
YOR278W,8277
YFL034C-A,8277
YNR063W,8277
YBL089W,8277
YIL171W,8277
YCL073C,8277
YHR037W,8277
YBR018C,8277
YIL015W,8277
YCR054C,8277
YHR047C,8277
YPL272C,8277
YGR201C,8277
YPL023C,8277
YDR275W,8277
YLR146C,8277
YPL257W,8277
YIL024C,8277
YOR258W,8277
YGL196W,8277
YOL107W,8277
YGR110W,8277
YOL084W,8277
YJR106W,8277
YFL028C,8277
YCR105W,8277
YGR236C,8277
YMR187C,8277
YAR035C-A,8277
YFL053W,8277
YOR311C,8277
YOL036W,8277
YKR075C,8277
YML026C,8277
YJL147C,8277
YLR128W,8277
YER078W-A,8277
YIL001W,8277
YHR213W-B,8277
YJL159W,8277
YCR003W,8277
YLR185W,8277
YDR475C,8277
YKL050C,8277
YIL127C,8277
YBR197C,8277
YLR199C,8277
YGL103W,8277
YFR012W-A,8277
YBR182C-A,8277
YOR302W,8277
YAL063C-A,8277
YOR381W-A,8277
YGR027C,8277
YFL052W,8277
YKL104C,8277
YER086W,8277
YPL250C,8277
YPL199C,8277
YLR161W,8277
YNL237W,8277
YIL148W,8277
YCR090C,8277
YLR225C,8277
YNL132W,8277
YDL186W,8277
YOR262W,8277
YLR351C,8277
YMR001C-A,8277
YGL026C,8277
YDR042C,8277
YOR312C,8277
YER189W,8277
YOR286W,8277
YCL009C,8277
YBR104W,8277
YDL110C,8277
YMR233W,8277
YKL107W,8277
YOR202W,8277
YFL042C,8277
YPR129W,8277
YLL046C,8277
YOR077W,8277
YOR252W,8277
YOR304C-A,8277
YGR052W,8277
YFL007W,8277
YJR133W,8277
YER071C,8277
YPL183C,8277
YHR199C,8277
YFR016C,8277
YGL108C,8277
YPL052W-A,8277
YFL020C,8277
YLR253W,8277
YDR462W,8277
YKL003C,8277
YHR121W,8277
YER010C,8277
YMR074C,8277
YDR536W,8277
YIL069C,8277
YGL259W,8277
YGL082W,8277
YAR029W,8277
YDR380W,8277
YDR410C,8277
YLL049W,8277
YKL159C,8277
YPL034W,8277
YOL041C,8277
YNR022C,8277
YJR109C,8277
YDR452W,8277
YHL026C,8277
YPR097W,8277
YJR161C,8277
YHR185C,8277
YHL043W,8277
YOR012W,8277
YBR259W,8277
YHL004W,8277
YHR110W,8277
YIL006W,8277
YBR225W,8277
YHR103W,8277
YIL111W,8277
YCL027C-A,8277
YFR035C,8277
YBR138C,8277
YLR072W,8277
YGR125W,8277
YGL140C,8277
YMR034C,8277
YER115C,8277
YKL151C,8277
YGL064C,8277
YPL119C-A,8277
YOR016C,8277
YOR342C,8277
YDL234C,8277
YGR015C,8277
YBL112C,8277
YIL011W,8277
YJL133C-A,8277
YLL057C,8277
YDR169C-A,8277
YJR115W,8277
YOR175C,8277
YIL133C,8277
YMR166C,8277
YDL184C,8277
YMR066W,8277
YGR066C,8277
YDR117C,8277
YAL034C,8277
YML053C,8277
YPL071C,8277
YJR151W-A,8277
YJL189W,8277
YOL015W,8277
YKL106C-A,8277
YER064C,8277
YOR378W,8277
YBL071C-B,8277
YGL036W,8277
YPL070W,8277
YLL054C,8277
YDR155C,8277
YDL133C-A,8277
YHR214W,8277
YBR096W,8277
YOL013W-B,8277
YJL057C,8277
YGL117W,8277
YBR262C,8277
YLR412C-A,8277
YMR325W,8277
YNL087W,8277
YBR067C,8277
YLR460C,8277
YOR071C,8277
YER056C-A,8277
YGR017W,8277
YGR204C-A,8277
YPR069C,8277
YDL045W-A,8277
YHL001W,8277
YGL203C,8277
YDR305C,8277
YJR095W,8277
YFR045W,8277
YDR349C,8277
YHR045W,8277
YLR307C-A,8277
YLR089C,8277
YKL039W,8277
YKR098C,8277
YER138W-A,8277
YNR068C,8277
YGL091C,8277
YLR030W,8277
YPR011C,8277
YER047C,8277
YDR044W,8277
YJR016C,8277
YJR151C,8277
YNL081C,8277
YDR351W,8277
YPL030W,8277
YEL001C,8277
YMR154C,8277
YBR230W-A,8277
YJL105W,8277
YJL171C,8277
YPL215W,8277
YNL035C,8277
YHR022C-A,8277
YAR050W,8277
YPL056C,8277
YGR282C,8277
YNR051C,8277
YPR096C,8277
YOR062C,8277
YBR162W-A,8277
YHR214C-D,8277
YEL044W,8277
YDR286C,8277
YNL100W,8277
YFR032C,8277
YBR075W,8277
YLL033W,8277
YLL051C,8277
YGL147C,8277
YLR457C,8277
YBL104C,8277
YHR144C,8277
YDL241W,8277
YAL063C,8277
YOR247W,8277
YGL258W-A,8277
YMR304W,8277
YOR215C,8277
YPL225W,8277
YOR034C-A,8277
YDR239C,8277
YER139C,8277
YMR307W,8277
YBR241C,8277
YDR248C,8277
YGR240C-A,8277
YMR323W,8277
YLR040C,8277
YLR024C,8277
YMR185W,8277
YNL005C,8277
YPR194C,8277
YHR189W,8277
YDL123W,8277
YBR072C-A,8277
YOL014W,8277
YLR312C,8277
YOR114W,8277
YLR017W,8277
YEL020C,8277
YMR098C,8277
YCL042W,8277
YBR044C,8277
YGR043C,8277
YKL096C-B,8277
YDR370C,8277
YPR172W,8277
YJL206C-A,8277
YHR097C,8277
YKR103W,8277
YBR246W,8277
YDR089W,8277
YMR115W,8277
YPL280W,8277
YHR199C-A,8277
YML100W-A,8277
YHR104W,8277
YPL103C,8277
YKL116C,8277
YER060W-A,8277
YJR051W,8277
YPL148C,8277
YDR352W,8277
YDR194W-A,8277
YOR096W,8277
YGL164C,8277
YHR109W,8277
YDR246W-A,8277
YBR221W-A,8277
YMR063W,8277
YIL165C,8277
YDR003W-A,8277
YOR358W,8277
YLR390W,8277
YJR041C,8277
YPL079W,8277
YDL141W,8277
YBR291C,8277
YPR106W,8277
YHL023C,8277
YBR229C,8277
YDR061W,8277
YKL181W,8277
YDL204W,8277
YOR324C,8277
YHR080C,8277
YHR003C,8277
YNL034W,8277
YDR056C,8277
YLR308W,8277
YNL108C,8277
YIL170W,8277
YBL101W-C,8277
YHR063C,8277
YJR011C,8277
YJL017W,8277
YGR207C,8277
YDL219W,8277
YIR039C,8277
YKL216W,8277
YOR293W,8277
YMR110C,8277
YBR052C,8277
YMR181C,8277
YDR408C,8277
YOL062C,8277
YKR102W,8277
YMR062C,8277
YNL141W,8277
YOL092W,8277
YMR252C,8277
YGR210C,8277
YPR035W,8277
YDL067C,8277
YDR226W,8277
YAR027W,8277
YGR196C,8277
YHR018C,8277
YJR096W,8277
YJR099W,8277
YDL114W,8277
YER081W,8277
YBR108W,8277
YLR245C,8277
YML070W,8277
YDR505C,8277
YNL320W,8277
YOR223W,8277
YER067W,8277
YOR111W,8277
YOL164W-A,8277
YDL122W,8277
YPL264C,8277
YGL148W,8277
YFL027C,8277
YDR001C,8277
YOR303W,8277
YJL077C,8277
YGR234W,8277
YER055C,8277
YOR251C,8277
YNR041C,8277
YCR032W,8277
YPR180W,8277
YMR028W,8277
YLL023C,8277
YOR396W,8277
YPL189W,8277
YHR149C,8277
YPR145W,8277
YBR269C,8277
YHR216W,8277
YOR154W,8277
YJL107C,8277
YER060W,8277
YDR127W,8277
YLR019W,8277
YGL231C,8277
YGR026W,8277
YJL177W,8277
YDR542W,8277
YJL126W,8277
YMR228W,8277
YLR156W,8277
YDL025C,8277
YMR272W-B,8277
YPL108W,8277
YIL002W-A,8277
YOL018C,8277
YML054C,8277
YBR252W,8277
YDR033W,8277
YBR235W,8277
YOL053C-A,8277
YLR287C,8277
YJR012C,8277
YGR136W,8277
YOR376W-A,8277
YER190C-B,8277
YGR035W-A,8277
YHR025W,8277
YLR413W,8277
YEL058W,8277
YGR237C,8277
YML087C,8277
YMR160W,8277
YBR233W,8277
YMR120C,8277
YDR461C-A,8277
YKL078W,8277
YEL040W,8277
YCL037C,8277
YMR189W,8277
YLL045C,8277
YLR154C-H,8277
YNR045W,8277
YIR007W,8277
YBL029C-A,8277
YOL114C,8277
YNL295W,8277
YBL060W,8277
YKR049C,8277
YBR248C,8277
YGL248W,8277
YCR021C,8277
YDR336W,8277
YKL103C,8277
YER033C,8277
YOL086W-A,8277
YHR213W,8277
YHR211W,8277
YJL161W,8277
YIL003W,8277
YMR158C-B,8277
YKL158W,8277
YBR137W,8277
YDR471W,8277
YMR086W,8277
YIL092W,8277
YDL127W,8277
YPL168W,8277
YGL007C-A,8277
YMR223W,8277
YPL105C,8277
YGR121W-A,8277
YCL049C,8277
YOR161C-C,8277
YLL029W,8277
YGL081W,8277
YIL005W,8277
YLR326W,8277
YKL063C,8277
YBR285W,8277
YER048C,8277
YMR018W,8277
YJL172W,8277
YPL064C,8277
YIL116W,8277
YPL039W,8277
YPL201C,8277
YBR090C,8277
YOR072W-B,8277
YOR390W,8277
YLR178C,8277
YDL037C,8277
YKL199C,8277
YHL035C,8277
YLR213C,8277
YDR454C,8277
YBR003W,8277
YKL198C,8277
YGL159W,8277
YOR280C,8277
YHR049W,8277
YPR090W,8277
YPL165C,8277
YOL081W,8277
YLR281C,8277
YLR393W,8277
YNL146C-A,8277
YFL012W,8277
YER023W,8277
YJL027C,8277
YBL044W,8277
YFR022W,8277
YER158C,8277
YGR215W,8277
YMR253C,8277
YJL043W,8277
YOR323C,8277
YOR393W,8277
YHR168W,8277
YNL185C,8277
YNL322C,8277
YOL120C,8277
YPR159C-A,8277
YOR020W-A,8277
YKL215C,8277
YOR293C-A,8277
YBL111C,8277
YDL021W,8277
YMR157C,8277
YAL037C-A,8277
YIL094C,8277
YGL176C,8277
YOR107W,8277
YDL054C,8277
YIL045W,8277
YKL161C,8277
YMR244C-A,8277
YDL179W,8277
YPL088W,8277
YBR264C,8277
YDR538W,8277
YFR015C,8277
YBR281C,8277
YOR192C,8277
YLR297W,8277
YHR151C,8277
YPL109C,8277
YLR461W,8277
YAL019W,8277
YEL038W,8277
YMR261C,8277
YPR153W,8277
YER128W,8277
YDL121C,8277
YML066C,8277
YLR157W-E,8277
YGR035C,8277
YMR020W,8277
YJL066C,8277
YGL198W,8277
YPL143W,8277
YLR406C,8277
YEL077C,8277
YPR040W,8277
YKL087C,8277
YAL062W,8277
YHR126C,8277
YLR264C-A,8277
YML108W,8277
YGL189C,8277
YKL090W,8277
YAR066W,8277
YBR181C,8277
YJL131C,8277
YKR100C,8277
YHR028C,8277
YOR052C,8277
YOR152C,8277
YDR402C,8277
YJL185C,8277
YOR090C,8277
YML050W,8277
YJL218W,8277
YNL067W-B,8277
YGR174W-A,8277
YNL190W,8277
YBR200W-A,8277
YNL095C,8277
YKL171W,8277
YBR062C,8277
YNL165W,8277
YML002W,8277
YLR327C,8277
YJL205C,8277
YGR016W,8277
YBR074W,8277
YBR222C,8277
YBR014C,8277
YNL195C,8277
YCL001W-B,8277
YJL137C,8277
YMR291W,8277
YDR354W,8277
YGL107C,8277
YPL184C,8277
YOR296W,8277
YLL014W,8277
YOR234C,8277
YJL096W,8277
YLR440C,8277
YFL064C,8277
YDL173W,8277
YJL046W,8277
YKR045C,8277
YLR300W,8277
YJR117W,8277
YIL137C,8277
YDR032C,8277
YEL035C,8277
YOL152W,8277
YOR369C,8277
YJR008W,8277
YCL002C,8277
YIL087C,8277
YIR027C,8277
YBR191W,8277
YMR193W,8277
YGR273C,8277
YMR251W-A,8277
YKL224C,8277
YDR415C,8277
YGR260W,8277
YLR149C,8277
YML133C,8277
YDR111C,8277
YOL048C,8277
YGL009C,8277
YPL052W,8277
YJL123C,8277
YER099C,8277
YNL335W,8277
YML068W,8277
YAL065C-A,8277
YAL018C,8277
YDR242W,8277
YIR034C,8277
YKR004C,8277
YCL001W-A,8277
YMR256C,8277
YPR158W,8277
YLR422W,8277
YOR339C,8277
YJR015W,8277
YGL123W,8277
YML003W,8277
YBR301W,8277
YCR024C-B,8277
YOL159C-A,8277
YJR148W,8277
YDR035W,8277
YIL168W,8277
YPL104W,8277
YER182W,8277
YGL179C,8277
YNL204C,8277
YLR392C,8277
YIR031C,8277
YOL070C,8277
YOR387C,8277
YMR178W,8277
YGL121C,8277
YIL090W,8277
YGR146C-A,8277
YER043C,8277
YJR003C,8277
YLR262C-A,8277
YHR033W,8277
YHR146W,8277
YNL104C,8277
YOR214C,8277
YGL237C,8277
YKL128C,8277
YFL047W,8277
YGL057C,8277
YNL277W-A,8277
YCR016W,8277
YGR096W,8277
YDR522C,8277
YKR021W,8277
YLR194C,8277
YJR010W,8277
YDL237W,8277
YKL187C,8277
YBR261C,8277
YGR223C,8277
YMR286W,8277
YOL161C,8277
YDL061C,8277
YEL049W,8277
YDR514C,8277
YIR044C,8277
YOR131C,8277
YOR276W,8277
YHR177W,8277
YJR107W,8277
YER144C,8277
YBR220C,8277
YDR049W,8277
YCR100C,8277
YDR530C,8277
YDR003W,8277
YIL102C-A,8277
YCR076C,8277
YPL172C,8277
YLR179C,8277
YOL097W-A,8277
YLR151C,8277
YOL052C-A,8277
YJL127C-B,8277
YDL246C,8277
YBR270C,8277
YAR020C,8277
YMR279C,8277
YER163C,8277
YNL260C,8277
YLR143W,8277
YPR166C,8277
YGR124W,8277
YPL158C,8277
YHR147C,8277
YOL096C,8277
YLR283W,8277
YMR175W-A,8277
YCL005W,8277
YMR064W,8277
YHR101C,8277
YDR374W-A,8277
YNR069C,8277
YDR169C,8277
YKL094W,8277
YIR043C,8277
YOR134W,8277
YLR209C,8277
YAL048C,8277
YMR282C,8277
YMR195W,8277
YJL200C,8277
YGR168C,8277
YKL221W,8277
YLR454W,8277
YGR105W,8277
YLR315W,8277
YER093C-A,8277
YEL064C,8277
YNL289W,8277
YDL222C,8277
YBL101C,8277
YFL043C,8277
YDR381C-A,8277
YGL156W,8277
YJR111C,8277
YLR162W,8277
YGL139W,8277
YBR101C,8277
YOR022C,8277
YOR336W,8277
YKR091W,8277
YOR125C,8277
YLR082C,8277
YDR307W,8277
YKL180W,8277
YDR182W-A,8277
YHR044C,8277
YNL033W,8277
YMR158C-A,8277
YGL101W,8277
YKL047W,8277
YFL066C,8277
YDL193W,8277
YKL027W,8277
YGR149W,8277
YLR087C,8277
YFL062W,8277
YPL152W-A,8277
YPL230W,8277
YML054C-A,8277
YLR419W,8277
YNL249C,8277
YGL110C,8277
YPL081W,8277
YAL036C,8277
YGL134W,8277
YCR108C,8277
YKL065W-A,8277
YOR219C,8277
YDR366C,8277
YKL097W-A,8277
YLR061W,8277
YLR406C-A,8277
YML079W,8277
YAL008W,8277
YMR171C,8277
YLR180W,8277
YOR382W,8277
YER175C,8277
YLL066C,8277
YER156C,8277
YLR094C,8277
YLR239C,8277
YPR084W,8277
YPR203W,8277
YDL159W-B,8277
YDR540C,8277
YGR053C,8277
YPR159W,8277
YLR173W,8277
YPL273W,8277
YDL133W,8277
YKL037W,8277
YNL077W,8277
YIL071W,8277
YKL209C,8277
YGL125W,8277
YDR482C,8277
YKL010C,8277
YCR104W,8277
YNL215W,8277
YJR088C,8277
YOR350C,8277
YGL170C,8277
YGR150C,8277
YNL083W,8277
YDR428C,8277
YDL010W,8277
YER130C,8277
YDL203C,8277
YKR077W,8277
YNL152W,8277
YFR018C,8277
YNL086W,8277
YGR233C,8277
YNL183C,8277
YDL103C,8277
