Go Term,Name,2007 Genes,2022 Genes,KS Statistic,KS P-Value
GO:0000902,cell morphogenesis,259,45,0.038349999999999995,2.4925683519435715e-64
GO:0006887,exocytosis,45,55,0.022579999999999933,1.4102567755310959e-22
GO:0005085,guanyl-nucleotide exchange factor activity,38,59,0.10472000000000004,0.0
GO:0006364,rRNA processing,171,296,0.21600000000000003,0.0
GO:0008135,"translation factor activity, nucleic acid binding",45,57,0.09098999999999999,0.0
GO:0006281,DNA repair,185,314,0.03639999999999999,5.388978134696268e-58
GO:0006457,protein folding,83,123,0.029669999999999974,1.1318659090488346e-38
GO:0000910,cytokinesis,106,109,0.04314000000000001,2.6955073426471135e-81
GO:0006353,transcription termination,20,41,0.15608,0.0
GO:0008213,protein amino acid alkylation,22,60,0.28995000000000004,0.0
GO:0008033,tRNA processing,31,136,0.07854,1.0353228510279204e-268
GO:0007059,chromosome segregation,117,224,0.08798999999999996,0.0
