0,1,2,3,4,5,6
cytoskeleton organization,chromosome segregation,,,,,
rRNA processing,RNA modification,,,,,
mitotic cell cycle,protein phosphorylation,regulation of cell cycle,,,,
protein phosphorylation,regulation of cell cycle,,,,,
conjugation with cellular fusion,protein phosphorylation,,,,,
mitotic cell cycle,conjugation with cellular fusion,protein phosphorylation,regulation of cell cycle,,,
mRNA processing,RNA catabolic process,,,,,
RNA catabolic process,cellular respiration,,,,,
mitochondrion organization,cellular respiration,,,,,
rRNA processing,RNA catabolic process,,,,,
rRNA processing,mRNA processing,RNA catabolic process,,,,
tRNA processing,RNA modification,,,,,
ion transport,cellular ion homeostasis,,,,,
DNA-templated transcription initiation,transcription by RNA polymerase II,,,,,
DNA-templated transcription initiation,translational initiation,,,,,
DNA-templated transcription initiation,transcription by RNA polymerase II,translational initiation,,,,
mitotic cell cycle,DNA replication,regulation of cell cycle,,,,
RNA catabolic process,regulation of cell cycle,,,,,
mitotic cell cycle,DNA replication,,,,,
transcription by RNA polymerase II,RNA catabolic process,regulation of cell cycle,,,,
mitotic cell cycle,transcription by RNA polymerase II,,,,,
mitotic cell cycle,transcription by RNA polymerase II,regulation of cell cycle,,,,
DNA replication,RNA catabolic process,,,,,
mitotic cell cycle,RNA catabolic process,,,,,
mitotic cell cycle,DNA replication,transcription by RNA polymerase II,,,,
mitotic cell cycle,DNA replication,transcription by RNA polymerase II,regulation of cell cycle,,,
DNA replication,regulation of cell cycle,,,,,
transcription by RNA polymerase II,regulation of cell cycle,,,,,
DNA replication,transcription by RNA polymerase II,,,,,
mitotic cell cycle,RNA catabolic process,regulation of cell cycle,,,,
protein folding,cytoskeleton organization,,,,,
cytoskeleton organization,RNA modification,,,,,
protein folding,RNA modification,,,,,
DNA repair,cytoskeleton organization,,,,,
cellular ion homeostasis,cytoskeleton organization,,,,,
mitotic cell cycle,meiotic cell cycle,,,,,
conjugation with cellular fusion,meiotic cell cycle,,,,,
mitotic cell cycle,conjugation with cellular fusion,meiotic cell cycle,,,,
mitotic cell cycle,protein dephosphorylation,regulation of cell cycle,,,,
protein dephosphorylation,regulation of cell cycle,,,,,
mitotic cell cycle,cytoskeleton organization,chromosome segregation,regulation of cell cycle,,,
mitotic cell cycle,cytoskeleton organization,chromosome segregation,proteolysis involved in protein catabolic process,regulation of cell cycle,,
cytoskeleton organization,proteolysis involved in protein catabolic process,,,,,
mitotic cell cycle,DNA replication,proteolysis involved in protein catabolic process,,,,
mitotic cell cycle,cytoskeleton organization,regulation of cell cycle,,,,
DNA replication,chromosome segregation,,,,,
mitotic cell cycle,cytoskeleton organization,chromosome segregation,proteolysis involved in protein catabolic process,,,
mitotic cell cycle,DNA replication,cytoskeleton organization,chromosome segregation,regulation of cell cycle,,
mitotic cell cycle,chromosome segregation,proteolysis involved in protein catabolic process,regulation of cell cycle,,,
mitotic cell cycle,DNA replication,chromosome segregation,regulation of cell cycle,,,
mitotic cell cycle,DNA replication,chromosome segregation,,,,
cytoskeleton organization,regulation of cell cycle,,,,,
DNA replication,chromosome segregation,regulation of cell cycle,,,,
DNA replication,proteolysis involved in protein catabolic process,,,,,
chromosome segregation,proteolysis involved in protein catabolic process,,,,,
mitotic cell cycle,cytoskeleton organization,proteolysis involved in protein catabolic process,regulation of cell cycle,,,
mitotic cell cycle,DNA replication,cytoskeleton organization,regulation of cell cycle,,,
mitotic cell cycle,DNA replication,cytoskeleton organization,,,,
conjugation with cellular fusion,pseudohyphal growth,regulation of cell cycle,,,,
mitotic cell cycle,conjugation with cellular fusion,invasive growth in response to glucose limitation,pseudohyphal growth,regulation of cell cycle,,
conjugation with cellular fusion,invasive growth in response to glucose limitation,,,,,
mitotic cell cycle,conjugation with cellular fusion,pseudohyphal growth,,,,
conjugation with cellular fusion,invasive growth in response to glucose limitation,pseudohyphal growth,,,,
mitotic cell cycle,pseudohyphal growth,,,,,
pseudohyphal growth,regulation of cell cycle,,,,,
mitotic cell cycle,pseudohyphal growth,regulation of cell cycle,,,,
mitotic cell cycle,conjugation with cellular fusion,invasive growth in response to glucose limitation,pseudohyphal growth,,,
mitotic cell cycle,RNA modification,,,,,
RNA modification,proteolysis involved in protein catabolic process,,,,,
mitotic cell cycle,chromosome segregation,RNA modification,,,,
RNA modification,regulation of cell cycle,,,,,
mitotic cell cycle,cytoskeleton organization,chromosome segregation,RNA modification,,,
DNA replication,DNA recombination,protein phosphorylation,meiotic cell cycle,,,
DNA repair,protein phosphorylation,regulation of cell cycle,,,,
DNA repair,DNA recombination,,,,,
mitotic cell cycle,DNA repair,DNA recombination,,,,
DNA recombination,meiotic cell cycle,,,,,
DNA repair,DNA recombination,meiotic cell cycle,,,,
DNA repair,meiotic cell cycle,,,,,
DNA replication,DNA recombination,,,,,
mitotic cell cycle,DNA replication,protein phosphorylation,meiotic cell cycle,regulation of cell cycle,,
DNA replication,meiotic cell cycle,,,,,
DNA replication,DNA repair,DNA recombination,,,,
mitotic cell cycle,DNA repair,,,,,
protein phosphorylation,meiotic cell cycle,,,,,
DNA repair,DNA recombination,protein phosphorylation,meiotic cell cycle,regulation of cell cycle,,
DNA repair,DNA recombination,regulation of cell cycle,,,,
protein phosphorylation,meiotic cell cycle,regulation of cell cycle,,,,
DNA replication,DNA repair,,,,,
DNA replication,protein phosphorylation,,,,,
DNA repair,protein phosphorylation,,,,,
mitotic cell cycle,protein phosphorylation,meiotic cell cycle,regulation of cell cycle,,,
mitotic cell cycle,meiotic cell cycle,regulation of cell cycle,,,,
mitotic cell cycle,DNA replication,DNA repair,regulation of cell cycle,,,
mitotic cell cycle,DNA replication,DNA recombination,,,,
DNA replication,DNA recombination,meiotic cell cycle,,,,
mitotic cell cycle,DNA replication,DNA recombination,meiotic cell cycle,,,
DNA recombination,meiotic cell cycle,regulation of cell cycle,,,,
DNA replication,DNA repair,DNA recombination,meiotic cell cycle,,,
mitotic cell cycle,DNA replication,DNA repair,,,,
DNA replication,DNA repair,regulation of cell cycle,,,,
mitotic cell cycle,DNA replication,DNA repair,meiotic cell cycle,regulation of cell cycle,,
mitotic cell cycle,DNA replication,DNA repair,DNA recombination,,,
DNA replication,DNA repair,meiotic cell cycle,,,,
mitotic cell cycle,DNA replication,DNA repair,DNA recombination,meiotic cell cycle,,
mitotic cell cycle,DNA repair,DNA recombination,regulation of cell cycle,,,
DNA repair,regulation of cell cycle,,,,,
DNA repair,DNA recombination,meiotic cell cycle,regulation of cell cycle,,,
mitotic cell cycle,DNA replication,DNA repair,DNA recombination,protein phosphorylation,regulation of cell cycle,
DNA replication,DNA repair,DNA recombination,protein phosphorylation,regulation of cell cycle,,
mitotic cell cycle,DNA repair,meiotic cell cycle,,,,
mitotic cell cycle,DNA recombination,regulation of cell cycle,,,,
mitotic cell cycle,DNA recombination,meiotic cell cycle,regulation of cell cycle,,,
DNA replication,DNA repair,protein phosphorylation,regulation of cell cycle,,,
mitotic cell cycle,DNA repair,protein phosphorylation,meiotic cell cycle,,,
DNA replication,protein phosphorylation,regulation of cell cycle,,,,
DNA repair,protein phosphorylation,meiotic cell cycle,,,,
RNA catabolic process,translational initiation,,,,,
translational initiation,regulation of cell cycle,,,,,
conjugation with cellular fusion,transcription by RNA polymerase II,RNA catabolic process,regulation of cell cycle,,,
conjugation with cellular fusion,transcription by RNA polymerase II,,,,,
conjugation with cellular fusion,RNA catabolic process,,,,,
conjugation with cellular fusion,RNA catabolic process,regulation of cell cycle,,,,
conjugation with cellular fusion,transcription by RNA polymerase II,RNA catabolic process,,,,
response to osmotic stress,regulation of cell cycle,,,,,
conjugation with cellular fusion,pseudohyphal growth,,,,,
RNA catabolic process,pseudohyphal growth,,,,,
transcription by RNA polymerase II,pseudohyphal growth,regulation of cell cycle,,,,
conjugation with cellular fusion,transcription by RNA polymerase II,pseudohyphal growth,,,,
mRNA processing,RNA splicing,RNA modification,,,,
mitotic cell cycle,mRNA processing,,,,,
mitotic cell cycle,mRNA processing,RNA splicing,,,,
mitotic cell cycle,mRNA processing,RNA splicing,RNA modification,,,
RNA splicing,RNA modification,,,,,
mitotic cell cycle,exocytosis,cytoskeleton organization,,,,
mitotic cell cycle,conjugation with cellular fusion,cytoskeleton organization,pseudohyphal growth,,,
exocytosis,cytoskeleton organization,pseudohyphal growth,,,,
exocytosis,cytoskeleton organization,,,,,
conjugation with cellular fusion,invasive growth in response to glucose limitation,cytoskeleton organization,pseudohyphal growth,,,
conjugation with cellular fusion,invasive growth in response to glucose limitation,exocytosis,pseudohyphal growth,,,
mitotic cell cycle,conjugation with cellular fusion,cytoskeleton organization,,,,
mitotic cell cycle,exocytosis,,,,,
cytoskeleton organization,pseudohyphal growth,,,,,
mitotic cell cycle,cytoskeleton organization,pseudohyphal growth,regulation of cell cycle,,,
conjugation with cellular fusion,cytoskeleton organization,,,,,
mitotic cell cycle,cytoskeleton organization,pseudohyphal growth,,,,
conjugation with cellular fusion,exocytosis,,,,,
exocytosis,regulation of cell cycle,,,,,
DNA replication,chromatin organization,,,,,
chromosome segregation,meiotic cell cycle,,,,,
DNA replication,protein phosphorylation,chromosome segregation,meiotic cell cycle,,,
DNA recombination,chromosome segregation,meiotic cell cycle,,,,
protein phosphorylation,chromosome segregation,,,,,
DNA recombination,protein phosphorylation,meiotic cell cycle,,,,
DNA replication,chromosome segregation,meiotic cell cycle,,,,
DNA recombination,chromosome segregation,,,,,
DNA replication,DNA recombination,chromosome segregation,,,,
DNA replication,DNA recombination,chromosome segregation,meiotic cell cycle,,,
DNA replication,DNA recombination,protein phosphorylation,,,,
protein phosphorylation,chromosome segregation,meiotic cell cycle,,,,
DNA replication,protein phosphorylation,meiotic cell cycle,,,,
DNA recombination,transposition,,,,,
transcription by RNA polymerase I,response to osmotic stress,,,,,
transcription by RNA polymerase III,response to osmotic stress,,,,,
rRNA processing,ribosomal small subunit biogenesis,,,,,
rRNA processing,mRNA processing,RNA splicing,ribosomal small subunit biogenesis,,,
lipid metabolic process,mitochondrion organization,,,,,
lipid metabolic process,cellular respiration,,,,,
lipid metabolic process,mitochondrion organization,cellular respiration,,,,
lipid metabolic process,meiotic cell cycle,,,,,
protein dephosphorylation,meiotic cell cycle,,,,,
DNA repair,DNA-templated transcription initiation,transcription by RNA polymerase II,,,,
DNA repair,transcription by RNA polymerase II,,,,,
DNA repair,DNA-templated transcription initiation,,,,,
DNA-templated transcription initiation,transcription by RNA polymerase III,,,,,
DNA recombination,cellular ion homeostasis,,,,,
DNA repair,DNA recombination,transcription by RNA polymerase II,mRNA processing,,,
DNA recombination,transcription by RNA polymerase II,,,,,
DNA repair,transcription by RNA polymerase II,mRNA processing,,,,
DNA recombination,mRNA processing,,,,,
DNA repair,mRNA processing,,,,,
transcription by RNA polymerase II,mRNA processing,,,,,
DNA repair,DNA recombination,transcription by RNA polymerase II,,,,
mitotic cell cycle,DNA recombination,transcription by RNA polymerase II,,,,
mitotic cell cycle,DNA recombination,,,,,
mitotic cell cycle,DNA repair,transcription by RNA polymerase II,,,,
mitotic cell cycle,transcription by RNA polymerase II,mRNA processing,,,,
conjugation with cellular fusion,cellular ion homeostasis,,,,,
cellular ion homeostasis,RNA modification,,,,,
conjugation with cellular fusion,RNA modification,,,,,
DNA repair,proteolysis involved in protein catabolic process,,,,,
protein folding,proteolysis involved in protein catabolic process,,,,,
cellular respiration,meiotic cell cycle,,,,,
meiotic cell cycle,proteolysis involved in protein catabolic process,,,,,
mitotic cell cycle,chromosome segregation,proteolysis involved in protein catabolic process,,,,
mitotic cell cycle,cytoskeleton organization,proteolysis involved in protein catabolic process,,,,
conjugation with cellular fusion,protein dephosphorylation,,,,,
DNA repair,mitochondrion organization,,,,,
DNA repair,chromatin organization,,,,,
DNA recombination,chromatin organization,,,,,
chromatin organization,meiotic cell cycle,,,,,
DNA recombination,chromatin organization,meiotic cell cycle,,,,
DNA repair,DNA recombination,chromatin organization,,,,
DNA repair,DNA recombination,chromatin organization,meiotic cell cycle,,,
DNA repair,chromatin organization,meiotic cell cycle,,,,
transcription by RNA polymerase II,lipid metabolic process,,,,,
DNA repair,chromatin organization,RNA modification,,,,
DNA repair,RNA modification,,,,,
chromatin organization,RNA modification,,,,,
transcription by RNA polymerase I,mRNA processing,,,,,
transcription by RNA polymerase I,mRNA processing,RNA splicing,,,,
DNA replication,DNA recombination,chromatin organization,,,,
chromatin organization,transcription by RNA polymerase II,,,,,
DNA repair,chromatin organization,transcription by RNA polymerase II,,,,
invasive growth in response to glucose limitation,response to osmotic stress,,,,,
transcription by RNA polymerase II,response to osmotic stress,response to oxidative stress,response to heat,,,
transcription by RNA polymerase II,response to heat,,,,,
response to osmotic stress,response to heat,,,,,
transcription by RNA polymerase II,response to osmotic stress,response to oxidative stress,,,,
transcription by RNA polymerase II,response to oxidative stress,response to heat,,,,
transcription by RNA polymerase II,response to oxidative stress,,,,,
response to osmotic stress,response to oxidative stress,response to heat,,,,
chromatin organization,protein folding,,,,,
lipid metabolic process,endocytosis,,,,,
exocytosis,meiotic cell cycle,,,,,
transcription by RNA polymerase II,protein folding,,,,,
protein folding,meiotic cell cycle,,,,,
conjugation with cellular fusion,ion transport,,,,,
rRNA processing,ribosomal large subunit biogenesis,,,,,
protein phosphorylation,chromosome segregation,regulation of cell cycle,,,,
mitotic cell cycle,chromosome segregation,meiotic cell cycle,,,,
protein phosphorylation,cytoskeleton organization,,,,,
mitotic cell cycle,chromosome segregation,meiotic cell cycle,regulation of cell cycle,,,
mitotic cell cycle,DNA replication,chromosome segregation,meiotic cell cycle,,,
chromosome segregation,meiotic cell cycle,regulation of cell cycle,,,,
mitotic cell cycle,DNA replication,chromosome segregation,meiotic cell cycle,regulation of cell cycle,,
mitotic cell cycle,cytoskeleton organization,chromosome segregation,meiotic cell cycle,,,
cytoskeleton organization,meiotic cell cycle,,,,,
mitotic cell cycle,cytoskeleton organization,meiotic cell cycle,,,,
mitotic cell cycle,protein phosphorylation,cytoskeleton organization,chromosome segregation,regulation of cell cycle,,
mitotic cell cycle,DNA replication,protein phosphorylation,regulation of cell cycle,,,
mitotic cell cycle,protein phosphorylation,chromosome segregation,meiotic cell cycle,,,
mitotic cell cycle,DNA replication,protein phosphorylation,cytoskeleton organization,meiotic cell cycle,regulation of cell cycle,
response to osmotic stress,cytoskeleton organization,,,,,
ion transport,amino acid transport,,,,,
transcription by RNA polymerase I,RNA modification,,,,,
transcription by RNA polymerase I,transcription by RNA polymerase III,RNA modification,,,,
DNA replication,RNA modification,,,,,
DNA replication,rRNA processing,,,,,
DNA recombination,RNA modification,,,,,
ion transport,endocytosis,,,,,
ion transport,mitochondrion organization,,,,,
mRNA processing,protein phosphorylation,,,,,
conjugation with cellular fusion,chromosome segregation,,,,,
mitotic cell cycle,conjugation with cellular fusion,chromosome segregation,,,,
ribosomal subunit export from nucleus,RNA modification,,,,,
lipid metabolic process,response to osmotic stress,,,,,
mitochondrial translation,cellular respiration,,,,,
tRNA aminoacylation for protein translation,mitochondrial translation,cellular respiration,,,,
invasive growth in response to glucose limitation,protein phosphorylation,,,,,
conjugation with cellular fusion,invasive growth in response to glucose limitation,protein phosphorylation,,,,
transcription by RNA polymerase II,chromosome segregation,,,,,
mitotic cell cycle,transcription by RNA polymerase II,chromosome segregation,,,,
mitotic cell cycle,transcription by RNA polymerase II,chromosome segregation,response to heat,regulation of cell cycle,,
mitotic cell cycle,transcription by RNA polymerase II,chromosome segregation,regulation of cell cycle,,,
invasive growth in response to glucose limitation,proteolysis involved in protein catabolic process,,,,,
invasive growth in response to glucose limitation,response to oxidative stress,proteolysis involved in protein catabolic process,,,,
response to oxidative stress,proteolysis involved in protein catabolic process,,,,,
mitochondrion organization,cytoskeleton organization,,,,,
cytoskeleton organization,vacuole organization,,,,,
mitochondrion organization,cytoskeleton organization,vacuole organization,,,,
mitotic cell cycle,mitochondrion organization,cytoskeleton organization,vacuole organization,,,
cytoskeleton organization,peroxisome organization,,,,,
mitotic cell cycle,vacuole organization,,,,,
lipid metabolic process,cellular ion homeostasis,,,,,
cellular ion homeostasis,mitochondrion organization,,,,,
mRNA processing,RNA splicing,proteolysis involved in protein catabolic process,,,,
mRNA processing,proteolysis involved in protein catabolic process,,,,,
mitotic cell cycle,exocytosis,endocytosis,response to osmotic stress,cytoskeleton organization,,
endocytosis,response to osmotic stress,cytoskeleton organization,,,,
endocytosis,cytoskeleton organization,,,,,
mitotic cell cycle,response to osmotic stress,,,,,
exocytosis,endocytosis,,,,,
mitotic cell cycle,endocytosis,response to osmotic stress,,,,
mitotic cell cycle,endocytosis,response to osmotic stress,cytoskeleton organization,,,
mitotic cell cycle,response to osmotic stress,cytoskeleton organization,,,,
mitotic cell cycle,endocytosis,cytoskeleton organization,,,,
endocytosis,response to osmotic stress,,,,,
mitotic cell cycle,exocytosis,endocytosis,cytoskeleton organization,,,
lipid metabolic process,RNA modification,,,,,
transcription by RNA polymerase I,cellular ion homeostasis,,,,,
cellular ion homeostasis,cellular respiration,,,,,
DNA-templated transcription termination,transcription by RNA polymerase II,,,,,
endocytosis,response to heat,,,,,
endocytosis,response to osmotic stress,cytoskeleton organization,response to heat,,,
cytoskeleton organization,response to heat,,,,,
protein phosphorylation,response to osmotic stress,response to oxidative stress,,,,
protein phosphorylation,response to osmotic stress,,,,,
tRNA processing,RNA splicing,,,,,
mitotic cell cycle,DNA repair,chromosome segregation,,,,
DNA repair,chromosome segregation,,,,,
DNA replication,mitochondrion organization,,,,,
protein phosphorylation,pseudohyphal growth,,,,,
invasive growth in response to glucose limitation,protein phosphorylation,pseudohyphal growth,,,,
transcription by RNA polymerase II,protein phosphorylation,,,,,
transcription by RNA polymerase II,peroxisome organization,,,,,
transcription by RNA polymerase II,proteolysis involved in protein catabolic process,,,,,
mitotic cell cycle,rRNA processing,,,,,
mitotic cell cycle,rRNA processing,ribosomal small subunit biogenesis,,,,
mitotic cell cycle,rRNA processing,regulation of cell cycle,,,,
protein phosphorylation,ribosomal small subunit biogenesis,,,,,
ribosomal subunit export from nucleus,rRNA processing,ribosomal large subunit biogenesis,,,,
ribosomal subunit export from nucleus,rRNA processing,,,,,
ribosomal subunit export from nucleus,ribosomal large subunit biogenesis,,,,,
translational initiation,cellular respiration,,,,,
RNA catabolic process,RNA modification,,,,,
rRNA processing,tRNA processing,,,,,
chromatin organization,rRNA processing,,,,,
transcription by RNA polymerase II,transcription by RNA polymerase III,,,,,
transcription by RNA polymerase I,transcription by RNA polymerase II,transcription by RNA polymerase III,,,,
transcription by RNA polymerase I,transcription by RNA polymerase II,,,,,
DNA repair,RNA catabolic process,,,,,
mitochondrion organization,proteolysis involved in protein catabolic process,,,,,
DNA repair,meiotic cell cycle,regulation of cell cycle,,,,
DNA repair,DNA recombination,protein phosphorylation,regulation of cell cycle,,,
DNA recombination,regulation of cell cycle,,,,,
transcription by RNA polymerase II,RNA modification,,,,,
mRNA processing,meiotic cell cycle,,,,,
protein folding,mitochondrion organization,,,,,
mitotic cell cycle,transcription by RNA polymerase I,,,,,
mitotic cell cycle,chromatin organization,,,,,
mitotic cell cycle,chromatin organization,transcription by RNA polymerase II,,,,
lipid metabolic process,carbohydrate transport,,,,,
endocytosis,vacuole organization,,,,,
endocytosis,cytoskeleton organization,vacuole organization,,,,
chromatin organization,transposition,,,,,
DNA repair,transposition,,,,,
DNA repair,chromatin organization,transposition,,,,
transcription by RNA polymerase II,cytoskeleton organization,,,,,
protein phosphorylation,cellular ion homeostasis,,,,,
transcription by RNA polymerase II,cellular respiration,,,,,
lipid metabolic process,lipid transport,,,,,
lipid metabolic process,lipid transport,exocytosis,endocytosis,,,
lipid transport,endocytosis,,,,,
lipid metabolic process,exocytosis,,,,,
protein dephosphorylation,chromosome segregation,,,,,
protein dephosphorylation,chromosome segregation,meiotic cell cycle,,,,
mitotic cell cycle,transposition,,,,,
transposition,proteolysis involved in protein catabolic process,,,,,
mitotic cell cycle,transposition,regulation of cell cycle,,,,
chromatin organization,chromosome segregation,,,,,
chromatin organization,transcription by RNA polymerase II,chromosome segregation,,,,
transcription by RNA polymerase II,transposition,,,,,
DNA replication,DNA repair,transposition,,,,
chromatin organization,rRNA processing,transcription by RNA polymerase II,,,,
rRNA processing,transcription by RNA polymerase II,,,,,
DNA repair,rRNA processing,,,,,
mitotic cell cycle,endocytosis,,,,,
conjugation with cellular fusion,invasive growth in response to glucose limitation,transcription by RNA polymerase II,,,,
mitotic cell cycle,cellular ion homeostasis,,,,,
mitotic cell cycle,protein phosphorylation,cellular ion homeostasis,,,,
DNA repair,DNA recombination,chromosome segregation,,,,
mitotic cell cycle,DNA repair,DNA recombination,chromosome segregation,,,
mitotic cell cycle,DNA recombination,chromosome segregation,,,,
transcription by RNA polymerase II,protein phosphorylation,response to osmotic stress,,,,
chromatin organization,chromosome segregation,meiotic cell cycle,,,,
conjugation with cellular fusion,chromosome segregation,meiotic cell cycle,,,,
DNA repair,mRNA processing,proteolysis involved in protein catabolic process,,,,
RNA catabolic process,chromosome segregation,,,,,
mitotic cell cycle,RNA catabolic process,chromosome segregation,,,,
lipid metabolic process,proteolysis involved in protein catabolic process,,,,,
protein phosphorylation,response to osmotic stress,cytoskeleton organization,,,,
protein phosphorylation,transposition,,,,,
cytoskeleton organization,transposition,,,,,
protein phosphorylation,response to osmotic stress,cytoskeleton organization,transposition,,,
protein phosphorylation,response to osmotic stress,transposition,,,,
DNA-templated transcription termination,transcription by RNA polymerase II,mRNA processing,,,,
conjugation with cellular fusion,cytoskeleton organization,pseudohyphal growth,,,,
ion transport,RNA modification,,,,,
transcription by RNA polymerase II,lipid transport,,,,,
mitotic cell cycle,chromatin organization,chromosome segregation,,,,
DNA repair,chromatin organization,chromosome segregation,,,,
mitotic cell cycle,DNA repair,chromatin organization,,,,
mitotic cell cycle,DNA repair,chromatin organization,chromosome segregation,,,
mitotic cell cycle,protein phosphorylation,meiotic cell cycle,,,,
vacuole organization,meiotic cell cycle,,,,,
mitotic cell cycle,chromosome segregation,meiotic cell cycle,proteolysis involved in protein catabolic process,regulation of cell cycle,,
chromatin organization,proteolysis involved in protein catabolic process,,,,,
transcription by RNA polymerase I,tRNA processing,RNA modification,,,,
chromatin organization,DNA-templated transcription initiation,transcription by RNA polymerase II,,,,
DNA-templated transcription initiation,transcription by RNA polymerase II,protein phosphorylation,,,,
chromatin organization,DNA-templated transcription initiation,,,,,
chromatin organization,protein phosphorylation,,,,,
DNA replication,protein folding,,,,,
response to oxidative stress,mitochondrion organization,,,,,
response to osmotic stress,response to oxidative stress,mitochondrion organization,,,,
mitochondrion organization,RNA modification,,,,,
RNA catabolic process,cellular ion homeostasis,,,,,
DNA replication,DNA repair,chromosome segregation,regulation of cell cycle,,,
DNA replication,DNA repair,chromosome segregation,,,,
mitotic cell cycle,DNA replication,DNA repair,chromosome segregation,regulation of cell cycle,,
mitotic cell cycle,DNA replication,DNA repair,chromosome segregation,,,
mitotic cell cycle,DNA repair,regulation of cell cycle,,,,
rRNA processing,proteolysis involved in protein catabolic process,,,,,
mitotic cell cycle,DNA replication,DNA recombination,chromosome segregation,,,
DNA recombination,chromatin organization,transcription by RNA polymerase II,,,,
mitotic cell cycle,DNA replication,chromatin organization,transcription by RNA polymerase II,,,
DNA replication,chromatin organization,transcription by RNA polymerase II,,,,
mitotic cell cycle,DNA replication,DNA recombination,chromatin organization,chromosome segregation,,
mitotic cell cycle,DNA replication,chromatin organization,chromosome segregation,,,
mitotic cell cycle,chromatin organization,transcription by RNA polymerase II,chromosome segregation,,,
mitotic cell cycle,DNA replication,chromatin organization,,,,
DNA recombination,transcription by RNA polymerase II,chromosome segregation,,,,
mitotic cell cycle,DNA replication,chromatin organization,transcription by RNA polymerase II,chromosome segregation,,
DNA replication,DNA recombination,chromatin organization,meiotic cell cycle,,,
mitotic cell cycle,DNA replication,DNA recombination,chromosome segregation,meiotic cell cycle,,
mitotic cell cycle,DNA recombination,chromosome segregation,meiotic cell cycle,,,
mitotic cell cycle,DNA replication,meiotic cell cycle,,,,
transcription by RNA polymerase I,regulation of cell cycle,,,,,
mitotic cell cycle,protein dephosphorylation,cytoskeleton organization,chromosome segregation,regulation of cell cycle,,
mitotic cell cycle,protein dephosphorylation,chromosome segregation,regulation of cell cycle,,,
protein dephosphorylation,cytoskeleton organization,,,,,
protein phosphorylation,RNA modification,,,,,
exocytosis,mitochondrion organization,cytoskeleton organization,vacuole organization,,,
exocytosis,vacuole organization,,,,,
exocytosis,pseudohyphal growth,,,,,
DNA repair,transcription by RNA polymerase I,,,,,
chromatin organization,transcription by RNA polymerase I,transcription by RNA polymerase II,,,,
DNA repair,transcription by RNA polymerase II,transposition,,,,
chromatin organization,transcription by RNA polymerase II,transposition,,,,
DNA repair,DNA recombination,transposition,,,,
DNA recombination,transcription by RNA polymerase II,transposition,,,,
DNA repair,chromatin organization,transcription by RNA polymerase II,transposition,,,
DNA repair,DNA recombination,transcription by RNA polymerase II,transposition,,,
transcription by RNA polymerase I,transposition,,,,,
DNA repair,transcription by RNA polymerase I,transcription by RNA polymerase II,,,,
endocytosis,proteolysis involved in protein catabolic process,,,,,
mitotic cell cycle,DNA repair,response to osmotic stress,,,,
ribosomal large subunit biogenesis,ribosomal small subunit biogenesis,,,,,
rRNA processing,ribosomal large subunit biogenesis,ribosomal small subunit biogenesis,,,,
rRNA processing,RNA catabolic process,tRNA processing,,,,
RNA modification,ribosomal large subunit biogenesis,,,,,
DNA repair,chromatin organization,transcription by RNA polymerase II,chromosome segregation,,,
DNA repair,transcription by RNA polymerase II,chromosome segregation,,,,
chromatin organization,transcription by RNA polymerase II,regulation of cell cycle,,,,
mitotic cell cycle,chromatin organization,transcription by RNA polymerase II,regulation of cell cycle,,,
