Term,Name,2007 Genes,KS Statistic,KS P-Value,BM Statistic,BM P-Value,Energy Distance
GO:0006364,rRNA processing,171,0.7077,0.0,-182.95973266181474,0.0,0.9208771755665942
GO:0006366,transcription from RNA polymerase II promoter,333,0.1503,6.694562542292794e-99,-23.988357471411057,2.2242005434433206e-125,0.1226231289529232
GO:0006383,transcription from RNA polymerase III promoter,39,0.3192,1e-323,-52.431142964188986,0.0,0.3389689197740352
GO:0006397,mRNA processing,149,0.2561,1.887059441114432e-288,-42.24278163234569,0.0,0.20799676854071522
GO:0006401,RNA catabolic process,69,0.2662,6.660908712163e-312,-39.938055431062935,0.0,0.24782730493718066
GO:0006413,translational initiation,41,0.4286,0.0,-57.72346341654075,0.0,0.49050096629875606
GO:0006414,translational elongation,20,0.4578,0.0,-69.89367278327481,0.0,0.539596831742724
GO:0006418,tRNA aminoacylation for protein translation,31,0.327,1e-323,-23.63042192953568,3.70739793213562e-121,0.40214881573381095
GO:0006457,protein folding,83,0.1163,2.6885650160450494e-59,-15.027497710110314,9.539820676032254e-51,0.11908859336784448
GO:0006468,protein amino acid phosphorylation,96,0.1499,2.244743032268575e-98,-22.4238395052446,5.291552495584802e-110,0.11465111263990672
GO:0006470,protein amino acid dephosphorylation,28,0.1585,5.502127070572168e-110,-18.811517133621994,3.0157795408958633e-78,0.11673529018940476
GO:0006486,protein amino acid glycosylation,73,0.371,0.0,-63.93015445555358,0.0,0.3293745511147663
GO:0006497,protein amino acid lipidation,46,0.2302,1.2427565019089056e-232,-36.10023185263,1.77435828755366e-276,0.19200907445831022
GO:0006605,protein targeting,244,0.1166,1.332635813917487e-59,-13.865679655976443,1.6570910014489113e-43,0.09645607460448846
GO:0006629,lipid metabolic process,233,0.0875,1.0220399750147786e-33,-12.067905516175646,2.0392424016908448e-33,0.06503085000236383
GO:0006766,vitamin metabolic process,87,0.105,2.15823657145067e-48,-11.207620535825777,4.6020112268070974e-29,0.08312855611670499
GO:0006811,ion transport,108,0.1098,6.906057371123849e-53,-16.257845218879062,4.713085969438841e-59,0.091049256176047
GO:0006865,amino acid transport,37,0.1143,2.762696854909604e-57,-13.597687712483806,6.375641312580204e-42,0.08415194778323018
GO:0006869,lipid transport,34,0.0556,7.398958640312977e-14,-3.0838683590215177,0.0020461027677535558,0.03582499789995319
GO:0006873,cell ion homeostasis,110,0.0954,5.212008389040835e-40,-14.37909255670609,1.198976990479145e-46,0.07529767092815859
GO:0006887,exocytosis,45,0.1958,5.3795683126459745e-168,-31.416544702023987,1.7818398793333598e-211,0.1604906493546605
GO:0006897,endocytosis,84,0.1924,3.437795331154224e-162,-32.40681159537941,1.4335018424860094e-224,0.17200765247222655
GO:0006970,response to osmotic stress,73,0.1238,3.727549637687282e-67,-17.903060537242418,4.036446169619852e-71,0.0999777300712658
GO:0006979,response to oxidative stress,67,0.1852,3.0643912448425967e-150,-19.667630763552598,3.6363008137996606e-85,0.17973448052612884
GO:0006997,nuclear organization and biogenesis,56,0.2845,1e-323,-48.757563333100734,0.0,0.23860817463641645
GO:0007005,mitochondrion organization and biogenesis,106,0.139,1.3271351087047874e-84,-21.000981182985967,7.135130410857013e-97,0.11042891607761446
GO:0007010,cytoskeleton organization and biogenesis,227,0.123,2.7117120645399526e-66,-18.620163947371214,9.915904018946942e-77,0.09610626526769386
GO:0007031,peroxisome organization and biogenesis,40,0.3138,1e-323,-48.82947294827684,0.0,0.24449120818472936
GO:0007033,vacuole organization and biogenesis,69,0.0861,1.1683879259267872e-32,-15.33507348803374,8.920659932310008e-53,0.08529516286998451
GO:0007059,chromosome segregation,117,0.2295,3.290410761099884e-231,-35.469150551968895,8.607768547602175e-267,0.17797266576121784
GO:0007114,cell budding,82,0.1525,8.135020942100927e-102,-24.352544494819025,4.322422640473016e-129,0.12458010506055267
GO:0007124,pseudohyphal growth,65,0.0778,9.741259618098452e-27,-9.001930056392322,2.4134876201862836e-19,0.05014755370963933
GO:0008033,tRNA processing,31,0.2694,1.5648e-319,-40.26125076770707,0.0,0.2209120943884719
GO:0008135,"translation factor activity, nucleic acid binding",45,0.4563,0.0,-73.02795360959072,0.0,0.5325791066771843
GO:0008213,protein amino acid alkylation,22,0.3733,0.0,-62.67354842798353,0.0,0.3061023205387651
GO:0008380,RNA splicing,121,0.2354,2.419612206160241e-243,-38.40973119985614,0.0,0.19117937264649765
GO:0008643,carbohydrate transport,33,0.1657,3.2606981162594595e-120,-19.392989898982243,5.545475643216813e-83,0.1307082159572245
GO:0009408,response to heat,22,0.3385,0.0,-52.06984279911091,0.0,0.27314520885656307
GO:0009451,RNA modification,65,0.506,0.0,-101.60254100282823,0.0,0.591874536484991
GO:0010324,membrane invagination,84,0.1988,3.322914207481931e-173,-33.90319831742726,5.109209963903905e-245,0.1782369241477642
GO:0015931,"nucleobase, nucleoside, nucleotide and nucleic acid transport",87,0.2487,7.185589435963876e-272,-40.03458819092495,0.0,0.2065953837517677
GO:0016050,vesicle organization and biogenesis,15,0.2237,1.361488523527875e-219,-28.533782000490913,1.457519847622915e-175,0.14879077472093166
GO:0016197,endosome transport,46,0.3955,0.0,-70.90410464848142,0.0,0.338052404900861
GO:0016570,histone modification,88,0.2431,1.1665383456911082e-259,-37.23306325762531,2.4529685444900527e-293,0.18839924443719466
GO:0018193,peptidyl-amino acid modification,27,0.4184,0.0,-67.82557897719252,0.0,0.3677201601988225
GO:0032196,transposition,109,0.4575,0.0,23.169683159959334,3.5605190973015655e-116,0.27565647843594154
GO:0032200,telomere organization and biogenesis,274,0.0401,2.0701792317571565e-07,-5.479802077050653,4.3094454766502515e-08,0.030541266069931426
GO:0032787,monocarboxylic acid metabolic process,124,0.0866,4.916503952152176e-33,-10.355862601448093,4.576386003006659e-25,0.082087332932253
GO:0042221,response to chemical stimulus,371,0.0294,0.00035221594346540835,-2.457749844305182,0.013989474195284577,0.016339562361170894
GO:0042255,ribosome assembly,62,0.7155,0.0,-155.9675852569968,0.0,0.8766271696580368
GO:0042273,ribosomal large subunit biogenesis and assembly,64,0.7877,0.0,-221.3911888486785,0.0,1.0216257352172626
GO:0042274,ribosomal small subunit biogenesis and assembly,22,0.7012,0.0,-150.21865819115635,0.0,0.8205611444512875
GO:0042594,response to starvation,19,0.1844,6.0999293970514945e-149,-21.93952396378455,2.5039546426953433e-105,0.17846474428364856
GO:0043543,protein amino acid acylation,62,0.1657,3.2606981162594595e-120,-23.118399620458575,1.0236571446098896e-116,0.12298786272449473
GO:0045333,cellular respiration,80,0.3503,0.0,-64.99436401820984,0.0,0.37111118156342243
GO:0048193,Golgi vesicle transport,161,0.2627,1.1435151398500023e-303,-43.265946228651515,0.0,0.21308147078671533
GO:0048284,organelle fusion,22,0.1711,3.460469734760692e-128,-24.3667911000996,3.550441800013454e-129,0.12843386100480186
GO:0048308,organelle inheritance,41,0.1894,3.734381985672426e-157,-30.41577392132253,1.1592987263282557e-198,0.15507523657825922
GO:0051049,regulation of transport,10,0.2405,4.3408749284923355e-254,-27.89886984881727,1.0013662395173861e-167,0.14873283822104164
GO:0051052,regulation of DNA metabolic process,31,0.1337,2.746948863717431e-78,-21.275489101178792,2.4170304965936265e-99,0.11730009508729701
GO:0051321,meiotic cell cycle,144,0.1343,5.448978977413178e-79,-17.424118207636972,1.7508140327230247e-67,0.09328280795852233
GO:0051603,proteolysis involved in cellular protein catabolic process,148,0.2937,1e-323,-54.20643301444928,0.0,0.2857813511233122
GO:0051726,regulation of cell cycle,165,0.1299,6.521254559632353e-74,-19.33211043118264,1.675376899594151e-82,0.1009150861458403
