Term,Name,2007 Genes,2022 Genes,KS Stat 2007,KS P-value 2007,BM Stat 2007,BM P-value 2007,Energy Distance 2007,KS Stat 2022,KS P-value 2022,BM Stat 2022,BM P-value 2022,Energy Distance 2022
GO:0006897,endocytosis,84,140,0.20316999999999996,0.0,-151.02605748928224,0.0,0.17937597083648196,0.21931,0.0,-164.98385524938328,0.0,0.18602667568267356
GO:0006970,response to osmotic stress,73,69,0.12571,0.0,-82.55885678057965,0.0,0.09985194849451948,0.14571,0.0,-81.30116304447475,0.0,0.10010099221534582
GO:0006979,response to oxidative stress,67,130,0.14465000000000006,0.0,-68.8326157375744,0.0,0.14296517040251427,0.10033999999999998,0.0,-54.866282045540935,0.0,0.08851182417212752
GO:0006997,nuclear organization and biogenesis,56,105,0.30356,0.0,-243.81003765568522,0.0,0.2659075733789422,0.21825999999999995,0.0,-146.67429967695026,0.0,0.16679819770422566
GO:0007005,mitochondrion organization and biogenesis,106,292,0.10958000000000001,0.0,-75.67194621348602,0.0,0.08865238152447108,0.13888499999999998,0.0,-113.40828404327029,0.0,0.12798154539252454
GO:0007010,cytoskeleton organization and biogenesis,227,282,0.13842,0.0,-97.49339909530273,0.0,0.11022478426086013,0.1513,0.0,-110.37961695232669,0.0,0.12169817996926754
GO:0007031,peroxisome organization and biogenesis,40,53,0.349835,0.0,-240.22485464794127,0.0,0.26608010983089325,0.27600499999999994,0.0,-205.45920806351822,0.0,0.2301598733654221
GO:0007033,vacuole organization and biogenesis,69,115,0.09106999999999998,0.0,-59.325376964770655,0.0,0.073966274075245,0.149215,0.0,-102.81340692228075,0.0,0.1192936549044851
GO:0007059,chromosome segregation,117,224,0.241885,0.0,-166.69963442304748,0.0,0.1827141760639424,0.202,0.0,-150.72017997670366,0.0,0.1598242647699419
GO:0007114,cell budding,82,61,0.17165000000000002,0.0,-124.10638848304724,0.0,0.1387543362814276,0.19910000000000003,0.0,-130.10005807102738,0.0,0.13731650753864538
GO:0007124,pseudohyphal growth,65,77,0.08040499999999995,0.0,-42.82175434619266,0.0,0.051485675775383585,0.11103000000000002,0.0,-68.79831107003119,0.0,0.07891546572544224
GO:0008033,tRNA processing,31,136,0.20765000000000006,0.0,-142.80216442191656,0.0,0.18471060018481336,0.27457,0.0,-233.24933087370272,0.0,0.27851834872966114
GO:0008135,"translation factor activity, nucleic acid binding",45,57,0.440385,0.0,-301.17457234538745,0.0,0.5214164695881955,0.378065,0.0,-228.82557028466027,0.0,0.44603410123805765
GO:0008213,protein amino acid alkylation,22,60,0.38813,0.0,-290.46689096757274,0.0,0.3104044522838361,0.172335,0.0,-129.50022347825006,0.0,0.14088308500435032
GO:0008380,RNA splicing,121,146,0.246285,0.0,-177.72488720561455,0.0,0.19595899546722015,0.24278499999999997,0.0,-170.99724055311685,0.0,0.18517766614106176
GO:0008643,carbohydrate transport,33,48,0.18121500000000001,0.0,-92.45570624268898,0.0,0.12808484529050265,0.18978499999999998,0.0,-104.23197719103612,0.0,0.11621184861297665
GO:0009408,response to heat,22,59,0.32719,0.0,-232.45111634657326,0.0,0.26261093231929405,0.16064999999999996,0.0,-93.29633219240004,0.0,0.14055929503375036
GO:0009451,RNA modification,65,116,0.51386,0.0,-457.3322838249098,0.0,0.6018609175738523,0.321685,0.0,-263.0616313181298,0.0,0.3453844245961569
GO:0015931,"nucleobase, nucleoside, nucleotide and nucleic acid transport",87,185,0.24579,0.0,-183.3987415500779,0.0,0.21013706955582026,0.15884500000000001,0.0,-86.40342100129124,0.0,0.13340404403737202
GO:0016050,vesicle organization and biogenesis,15,101,0.21196999999999994,0.0,-122.86478423842088,0.0,0.1416542058827051,0.215715,0.0,-150.8203537289666,0.0,0.16549923057384844
GO:0016197,endosome transport,46,114,0.408535,0.0,-323.9561928693737,0.0,0.34017020369494655,0.25847,0.0,-186.00158167280117,0.0,0.21925635404395227
GO:0016570,histone modification,88,139,0.25006000000000006,0.0,-168.31911044977562,0.0,0.1889707909286661,0.21960500000000005,0.0,-147.09308482411288,0.0,0.16090838744176675
GO:0018193,peptidyl-amino acid modification,27,229,0.423595,0.0,-299.6098593715442,0.0,0.37982001914913804,0.12496500000000005,0.0,-83.44011515929118,0.0,0.09320239484534516
GO:0032196,transposition,109,120,0.40957999999999994,0.0,68.85664343216355,0.0,0.25485886867714813,0.359225,0.0,46.32585761479449,0.0,0.22858762735366484
GO:0032200,telomere organization and biogenesis,274,137,0.03931000000000001,1.0539888381012595e-134,-21.180712130707708,1.6320078776075327e-99,0.025849811623794322,0.19810499999999998,0.0,-141.28437968255506,0.0,0.15124512064359744
GO:0032787,monocarboxylic acid metabolic process,124,168,0.07058000000000009,0.0,-26.588644394986904,1.2686567274739482e-155,0.0665157184150404,0.06219000000000008,0.0,-26.18630238518822,5.148523756658621e-151,0.059909069439670254
GO:0042221,response to chemical stimulus,371,525,0.017739999999999978,9.096768728258574e-28,-1.0019685155166578,0.31635940600300233,0.014125117764353701,0.06979499999999994,0.0,-43.97550360189958,0.0,0.05133649679395198
GO:0042255,ribosome assembly,62,80,0.71899,0.0,-639.540781477454,0.0,0.8814784974216484,0.6684,0.0,-601.9121333501008,0.0,0.8239324059509309
GO:0042273,ribosomal large subunit biogenesis and assembly,64,129,0.79137,0.0,-903.6404172643826,0.0,1.0357859524445419,0.7563300000000001,0.0,-962.8701753888744,0.0,0.9556343369525383
GO:0042274,ribosomal small subunit biogenesis and assembly,22,145,0.714555,0.0,-642.6084552069507,0.0,0.8322678038691598,0.67362,0.0,-687.8497387324908,0.0,0.8326017340610137
GO:0042594,response to starvation,19,90,0.16124,0.0,-98.37077926474183,0.0,0.14994509328589628,0.125515,0.0,-76.50089838164511,0.0,0.09569366993864446
GO:0043543,protein amino acid acylation,62,86,0.14966500000000005,0.0,-86.40049809190553,0.0,0.10163349213897882,0.210495,0.0,-137.78508144489913,0.0,0.15236611465927452
GO:0045333,cellular respiration,80,107,0.35376,0.0,-281.5130045654385,0.0,0.3549697682664346,0.268965,0.0,-199.96095364956014,0.0,0.28851068463876656
GO:0048193,Golgi vesicle transport,161,210,0.26280999999999993,0.0,-192.6183284147393,0.0,0.21080958644020947,0.25461,0.0,-183.2581716624579,0.0,0.1996374626429025
GO:0048284,organelle fusion,22,113,0.17337999999999998,0.0,-107.43799714706392,0.0,0.12270212062033915,0.16075499999999998,0.0,-106.51488094573857,0.0,0.11763236863615929
GO:0048308,organelle inheritance,41,57,0.19351000000000002,0.0,-135.31184326277113,0.0,0.15560301853278966,0.20118000000000003,0.0,-121.83621000052923,0.0,0.1484448552830335
GO:0051049,regulation of transport,10,102,0.43515500000000007,0.0,-223.1002919363473,0.0,0.25925373145309544,0.19626,0.0,-126.07505285762244,0.0,0.14146212209925443
GO:0051052,regulation of DNA metabolic process,31,126,0.16463,0.0,-128.7912932111003,0.0,0.15146564527685544,0.1925,0.0,-141.22330866679118,0.0,0.15364083311786586
GO:0051321,meiotic cell cycle,144,330,0.12854,0.0,-62.01469247656623,0.0,0.08353371791352568,0.11862500000000004,0.0,-74.2927987135583,0.0,0.08598273139761661
GO:0051603,proteolysis involved in cellular protein catabolic process,148,270,0.314915,0.0,-270.61006506967175,0.0,0.30329045145351724,0.23364999999999997,0.0,-180.19132800414064,0.0,0.20328982425646788
GO:0051726,regulation of cell cycle,165,298,0.15637,0.0,-102.4683233037942,0.0,0.11830303854788442,0.17113999999999996,0.0,-115.81784382133613,0.0,0.12754538578699356
