Gene,Original Label,Modern Label,Mito Localized,Confidence,Background Confidence,AG Rank,CellCompOutput Rank,ST Rank,SPELL Rank,MEFIT Rank,bioPIXIE Rank
YIL157C,1,1,1,7.112030754546206,6.64905450974363,34,254,5775,79.0,169,149
YKL150W,-1,-1,1,7.110120063770317,6.326243615392214,35,112,5627,344.0,398,379
YGL059W,-1,1,1,7.0945700321368825,6.068163489129244,36,1253,4669,3599.0,675,497
YNL185C,-1,-1,1,7.094546784183935,6.963445735627883,37,530,5332,167.0,37,74
YGR084C,-1,-1,1,7.086568179244766,6.542322074164092,38,691,4401,98.0,78,103
YDR041W,-1,-1,1,7.0756880437542575,6.523632299996647,39,105,5791,190.0,212,260
YCR003W,-1,-1,1,7.066119849324941,6.84301061916975,40,110,4831,119.0,81,88
YJR077C,-1,-1,1,7.051848637129733,7.701220067750332,41,371,239,807.0,598,425
YHR008C,0,-1,1,7.048731900260834,6.494913545645452,42,217,714,2851.0,1031,507
YJL161W,0,0,1,7.045948553941921,6.612576186058194,43,24,4499,3369.0,1923,1087
YIL022W,1,1,1,7.042814599539706,6.7547142529228905,44,900,4880,193.0,278,222
YKR085C,-1,-1,1,7.032701673621903,6.523488547246257,45,421,18,60.0,65,266
YDR529C,1,1,1,7.0229966783238025,6.789410525917374,46,326,4427,1729.0,1267,936
YNL070W,1,1,1,7.010100209070537,6.811866671016399,47,481,718,739.0,215,168
YPL078C,-1,-1,1,6.9956850491598,7.204945109383548,48,329,4559,89.0,258,461
YGR231C,1,1,1,6.99214077995209,6.644836688760198,49,278,5278,17.0,13,42
YLL006W,1,1,1,6.9903964882125385,6.54981149531127,50,1557,2587,2212.0,150,19
YKL192C,-1,-1,1,6.981615333500023,6.796501108748137,51,485,255,528.0,223,108
YMR267W,-1,-1,1,6.975166806917706,6.578730316087745,52,385,4609,14.0,35,92
YLR142W,0,0,1,6.965299206579517,6.961122236575386,53,1332,585,4480.0,3160,1736
YNL122C,0,-1,1,6.95300689928546,6.2813119164034665,54,617,4456,82.0,131,100
YIL125W,-1,-1,1,6.945683941869679,7.064938392439311,55,409,231,981.0,958,564
YML009C,-1,-1,1,6.943474308459344,6.977324960164449,56,204,4841,287.0,138,104
YKL029C,0,0,1,6.9432424144473615,6.641421584909538,57,4635,90,4853.0,344,236
YGR243W,0,-1,1,6.93687496927684,7.117311180504976,58,33,4626,3343.0,371,109
YBR268W,-1,-1,1,6.925583830850568,6.861532880895694,59,755,4729,464.0,162,140
YBR037C,-1,1,1,6.921253686893486,6.942019537599634,60,257,5288,95.0,197,227
YKL138C,-1,-1,1,6.909708947478654,6.23651763398011,61,388,6036,61.0,70,124
YNR001C,-1,-1,1,6.884374467198722,6.396284589494513,62,156,4752,986.0,198,170
YGL187C,-1,-1,1,6.861514930953524,6.459722167629413,63,435,2538,450.0,758,1051
YKL016C,-1,-1,1,6.853707657602733,6.986823056483468,64,305,4866,178.0,351,501
YLR295C,-1,1,1,6.850982780941946,5.965468961906487,65,363,4892,240.0,442,1120
YKR016W,0,1,1,6.8483011065842865,6.689868291886559,66,12,5496,40.0,90,90
YMR307W,0,-1,1,6.848094035408454,7.2670684374976195,67,3398,1414,4963.0,2889,1452
YCR046C,-1,-1,1,6.84789282761648,6.728140755118047,68,972,4688,106.0,14,39
YGR174C,1,1,1,6.846855310622804,6.150756332111051,69,463,4931,207.0,450,622
YNL328C,1,1,1,6.83395102780736,6.666708542617254,70,2715,4854,3872.0,2033,872
YBL090W,-1,-1,1,6.8265835924776725,6.733707018089258,71,135,5820,150.0,39,75
YPR155C,-1,-1,1,6.823597628199412,6.632639636989569,72,159,6097,202.0,280,215
YPL118W,-1,-1,1,6.822387488302357,5.737408027778732,73,182,5944,1.0,31,137
YIL136W,0,0,1,6.821259881743413,6.301562020575615,74,247,4659,3129.0,1779,1495
YDR115W,-1,-1,1,6.78803512864484,6.824418659973678,75,196,5475,187.0,211,280
YNL252C,-1,-1,1,6.787958601991574,6.756661308046721,76,116,5801,51.0,124,134
YGR076C,-1,-1,1,6.783605719754796,6.547707895129083,77,190,4600,242.0,136,107
YBL064C,-1,-1,1,6.781474310480906,5.579725853107457,78,1354,99,2846.0,2155,1670
YDR175C,-1,-1,1,6.78008619182838,6.428018351693421,79,298,4797,57.0,130,126
YBR122C,-1,-1,1,6.774614582518618,6.00801271267964,80,233,5062,44.0,135,138
YKL120W,-1,-1,1,6.772439322785703,6.813964352746006,81,3153,240,3824.0,1802,759
YOR004W,-1,-1,1,6.769116368479358,6.248091287007153,82,5535,454,5145.0,2124,920
YGR220C,-1,-1,1,6.748681714434824,6.120561157952686,83,881,5666,39.0,9,59
YNL081C,-1,-1,1,6.745559521064073,6.084366830773341,84,249,4398,23.0,83,117
YNL177C,-1,-1,1,6.733830924519521,6.2408546094441615,85,158,4474,78.0,119,120
YMR286W,-1,-1,1,6.732781378095021,6.307587058500156,86,959,4716,1030.0,133,79
YLR312W-A,-1,-1,1,6.732000630772756,6.253696943847201,87,220,5111,2376.0,231,89
YDR204W,0,0,1,6.729830008780885,6.62591655793585,88,346,311,878.0,1392,820
YMR072W,1,1,1,6.7295820141980744,6.4272206143007935,89,638,66,601.0,275,163
YAL044C,0,0,1,6.716956401299574,7.135863422511472,90,2193,3174,3210.0,2154,1468
YBR230C,0,1,1,6.716577257938727,5.764490749875834,91,913,5195,1951.0,1280,937
YKL003C,-1,-1,1,6.702894554880565,6.64610215595629,92,283,5744,176.0,67,218
YOL071W,-1,1,1,6.70026882108814,6.025369327985614,93,115,4696,206.0,311,320
YHR024C,1,1,1,6.692139949627265,6.086812066459369,94,651,5407,113.0,180,159
YKL195W,1,1,1,6.687011731598905,6.56035106187973,95,495,4791,84.0,23,86
YDR296W,1,1,1,6.684027647543812,5.822999229630663,96,350,382,85.0,172,204
YJR101W,-1,-1,1,6.682121301839452,6.184999819870381,97,471,5072,69.0,71,132
YKR066C,-1,-1,1,6.675256174481557,5.917331574137314,98,890,702,2359.0,2170,1070
YDR079W,1,1,1,6.6734921004243954,6.59675933042198,99,537,4310,660.0,484,807
YML120C,-1,-1,1,6.671413281720556,7.046602880258828,100,289,5757,503.0,816,575
YIL070C,-1,-1,1,6.668282534547909,6.737508422897746,101,364,4930,656.0,213,357
YKL167C,0,-1,1,6.66268008197853,6.165313453148765,102,152,5688,52.0,184,129
YDL027C,0,0,1,6.662020737539509,6.010677472107152,103,29,4525,1110.0,555,292
YJR121W,-1,-1,1,6.6411398656354,6.653836156017768,104,293,4623,279.0,499,439
YBR238C,-1,-1,1,6.635705948054434,6.232868239591413,105,5518,3226,5147.0,3006,3023
YKR006C,-1,-1,1,6.632985484814215,6.480997262872795,106,327,4883,18.0,30,98
YFL016C,1,1,1,6.626957664232769,5.763399767623741,107,886,97,1730.0,532,288
YIL077C,0,0,1,6.624495460601624,6.1540122662329875,108,587,403,1767.0,1301,617
YMR024W,-1,-1,1,6.619260262586399,5.932730594182485,109,470,5114,3.0,7,110
YNL005C,-1,1,1,6.618400183980336,6.502012408913944,110,317,5574,36.0,77,118
YMR089C,1,0,1,6.610150538518758,6.361716680827468,111,383,4419,13.0,49,64
YMR302C,1,1,1,6.608820241368459,5.733641127614451,112,687,21,140.0,142,77
YGL219C,1,1,1,6.603941193597759,6.542348952745063,113,582,26,304.0,279,175
YNL052W,-1,-1,1,6.602863885685355,7.087670879586796,114,584,1435,432.0,858,951
YKL170W,-1,-1,1,6.601144228866715,5.904442591998667,115,796,5772,12.0,38,116
YOR228C,0,1,1,6.582145783001791,5.836593409757313,116,756,4545,1537.0,1162,547
YBR039W,-1,-1,1,6.579604170279588,6.97642487638868,117,418,4720,259.0,355,407
YDR178W,-1,-1,1,6.576723301482057,5.742402265778968,118,442,91,1092.0,873,633
YGR046W,1,-1,1,6.576316340954719,5.8311500702366805,119,700,5100,2268.0,949,460
YHR038W,0,-1,1,6.575886832025949,6.131832003102011,120,3,5159,204.0,176,196
YGR112W,1,1,1,6.564828049636887,5.892421046626374,121,514,305,315.0,494,511
YMR225C,-1,-1,1,6.557688146294234,6.298446591127271,122,447,4601,205.0,179,177
YJR113C,-1,-1,1,6.541344621224318,6.021304619355216,123,323,5345,288.0,175,114
YOR150W,-1,-1,1,6.53588727705493,6.220087556514417,124,172,4326,6.0,85,142
YGR165W,-1,-1,1,6.527242343582793,6.1247720496786915,125,320,5469,34.0,40,94
YJL131C,0,-1,1,6.508778209457854,6.804315027434145,126,18,5601,350.0,314,191
YJL102W,-1,1,1,6.506733580263789,5.9978194786878225,127,348,235,335.0,545,495
YOR374W,0,0,1,6.500765543497965,6.193136077557801,128,197,170,1648.0,1521,751
YPL059W,-1,-1,1,6.49877586693107,6.072769445704664,129,1431,4341,91.0,253,480
YMR188C,-1,-1,1,6.494462965491289,6.196684377529207,130,368,6002,185.0,127,112
YIL113W,-1,-1,-1,6.4913891489634254,6.425765931411414,131,221,2602,4489.0,1391,585
YHL004W,-1,-1,1,6.482742483744365,6.021656241310285,132,312,5499,73.0,34,69
YDR462W,-1,-1,1,6.479407065642808,6.104778874529932,133,827,5281,157.0,86,95
YNL055C,1,1,1,6.476284623146057,6.006192485176992,134,903,61,2582.0,1804,833
YPL135W,-1,-1,1,6.475360374250812,5.86230067063301,135,976,509,2260.0,519,145
YDR298C,-1,-1,1,6.4672163417953215,6.698154533740876,136,437,6011,154.0,535,1036
YLR203C,-1,1,1,6.463039072687755,5.885720932524344,137,256,5419,32.0,177,287
YJR051W,0,-1,1,6.448106261784445,6.316916466927138,138,1398,640,159.0,824,1124
YJR080C,0,1,1,6.44597848161252,6.442124984124739,139,9,5066,4.0,43,84
YBR179C,1,1,1,6.439075107346038,6.384229206853603,140,916,28,1801.0,50,15
YOR271C,-1,-1,1,6.435391944325612,6.092946309210779,141,4466,5619,3444.0,747,265
YDR493W,0,1,1,6.420796221601749,6.498196774987762,142,5,4578,343.0,256,274
YLR370C,1,-1,1,6.417252470633227,5.804786835670743,143,198,56,195.0,55,16
YOL023W,-1,-1,1,6.411957534487376,5.8004978004867,144,502,4978,291.0,61,203
YPR020W,-1,1,1,6.3979499418578465,5.948916445346443,145,773,5561,278.0,433,994
YNL169C,-1,1,1,6.394741895669949,5.804755067403363,146,2314,1945,422.0,923,974
YER141W,0,0,1,6.392509322680399,5.848179803810974,147,186,104,381.0,361,239
YDL174C,-1,0,1,6.384736664994748,6.757679942015268,148,847,323,710.0,673,496
YNL284C,-1,-1,1,6.382984338406318,5.471593299266332,149,538,6061,8.0,11,58
YHL021C,0,1,1,6.380507282868117,5.4475347637562495,150,512,5736,3418.0,788,309
YML110C,-1,-1,1,6.378323448632291,5.891589848535069,151,2265,1097,93.0,592,868
YDR219C,1,1,1,6.374767610412872,5.501307104440961,152,501,57,1775.0,644,302
YMR256C,-1,-1,1,6.372713059008478,6.13455227594978,153,419,2490,2187.0,1003,935
YBR104W,0,-1,1,6.368917978095437,5.731891291026786,154,1424,4342,4798.0,796,522
YMR157C,0,0,1,6.364836211689932,6.5306318929310185,155,10,5303,2.0,24,105
YOR130C,0,-1,1,6.3597596312711335,6.059763097501529,156,1870,5683,1923.0,897,667
YOR136W,-1,-1,1,6.35446128873768,6.126562137422212,157,604,133,696.0,364,141
YIL094C,0,0,1,6.351971316480351,6.277308051238561,158,3809,214,2866.0,1294,583
YHR051W,-1,-1,1,6.34851393014371,5.7671586786727955,159,561,313,273.0,627,1111
YGR062C,1,1,1,6.3480178581740345,5.987934419299228,160,351,5037,871.0,214,214
YLR069C,-1,-1,1,6.34650446483475,6.06696230544934,161,813,5799,53.0,22,102
YHR059W,0,-1,1,6.34247318356337,6.141995091783483,162,683,5250,276.0,80,85
YMR083W,0,0,1,6.337225584926718,6.259989163055281,163,2281,1804,1519.0,461,386
YOR142W,-1,-1,1,6.334430436888141,5.798880284921837,164,1118,4803,248.0,370,257
YBR262C,0,1,1,6.324009702591125,6.443148423418392,165,13,5065,239.0,307,614
YGR033C,1,1,1,6.3184444019180575,6.092539097198693,166,1512,5806,1401.0,1701,1151
YHR083W,1,1,1,6.31556593158288,5.644470959136417,167,927,2127,801.0,312,160
YCR071C,-1,-1,1,6.311385731497211,6.110715708994025,168,288,5310,342.0,252,249
YHR011W,-1,-1,1,6.310747243687063,6.334112958277917,169,1136,4286,533.0,306,414
YJL054W,1,1,1,6.30969712976924,5.956170852750065,170,1004,31,233.0,46,26
YDR511W,0,1,1,6.309689026392863,5.509084744683952,171,304,115,452.0,434,708
YGR255C,0,0,1,6.305129589434869,6.160484836513771,172,2352,691,456.0,973,626
YKR036C,1,1,1,6.293987667489195,5.595890241180115,173,2450,3644,3517.0,617,458
YPR125W,1,1,1,6.288952357040908,5.850067566841603,174,2796,45,583.0,93,50
YNL306W,-1,-1,1,6.284972587031518,5.838118865593161,175,1074,5237,48.0,134,139
YIL087C,0,0,1,6.283253489140266,5.891858202202628,176,396,5481,1944.0,1431,679
YDL045W-A,-1,-1,1,6.273765071423468,5.814361931655876,177,173,4481,4101.0,506,182
YMR189W,0,0,1,6.26785848811715,6.728310202878926,178,2748,3484,3217.0,2892,1572
YBL045C,-1,1,1,6.266748429772383,5.959783945681698,179,444,199,286.0,504,424
YPL215W,1,1,1,6.2662484760056,5.6235469666685995,180,277,5050,65.0,168,220
YJR016C,0,0,1,6.25952768968251,6.132577177764137,181,1029,507,4756.0,2036,740
YLR067C,-1,1,1,6.257102497323545,6.282338964514903,182,3200,5495,2726.0,912,562
YPR047W,-1,-1,1,6.2563119569938355,6.101049334437807,183,201,4885,197.0,165,169
YER178W,0,-1,1,6.248887405424061,5.941663932109603,184,3234,364,1199.0,1289,711
YER086W,0,0,1,6.245623666369271,6.384869105441721,185,2954,2156,4289.0,971,330
YLR395C,-1,-1,1,6.24010688816002,6.374048167802224,186,400,2253,738.0,573,995
YNR022C,-1,-1,1,6.238247254651464,5.793745464542944,187,515,5747,104.0,164,226
YBR251W,-1,-1,1,6.232386871012385,5.702362282330155,188,457,5991,63.0,76,154
YOL027C,1,1,1,6.228802423991129,5.865094954964166,189,722,2121,426.0,640,466
YLR201C,-1,0,1,6.227293614855784,6.347714080768295,190,767,226,138.0,459,518
YDR322W,-1,1,1,6.218887182052978,5.951670107796755,191,550,5652,37.0,75,125
YNR017W,1,1,1,6.21111101875762,6.059058659671155,192,746,5667,359.0,47,9
YDR375C,1,1,1,6.210690785310939,5.7944095795628145,193,216,4844,149.0,25,87
YFR049W,0,-1,1,6.210041113956246,5.463104160850652,194,1890,5658,362.0,666,731
YPR024W,1,1,1,6.205370204177445,5.522562623413744,195,629,32,163.0,57,31
YIL062C,1,1,1,6.204080633060661,5.32358930819725,196,576,60,598.0,51,10
YPL097W,-1,-1,1,6.197359444138533,5.548064793778514,197,784,5873,120.0,123,122
YDL202W,-1,-1,1,6.1925121281675235,6.203587819509338,198,268,5339,22.0,122,231
YGR101W,1,1,1,6.190247218765898,6.185549552661845,199,417,49,215.0,224,157
YML129C,-1,1,1,6.1871816790746355,5.5283267251113495,200,660,4568,306.0,220,221
YKR065C,1,1,1,6.183586586021377,5.830059581634626,201,645,6023,66.0,88,96
YPR006C,-1,-1,1,6.173643334896979,6.702548252764617,202,1901,2188,2993.0,867,403
YLL041C,-1,-1,1,6.152082629546434,5.744346556805182,203,1662,124,932.0,766,590
YGL129C,-1,-1,1,6.148335581054229,6.064557323115084,204,205,4649,77.0,82,99
YOR330C,1,1,1,6.1480732642248,5.761552741068999,205,1604,726,1458.0,1058,485
YNL137C,-1,-1,1,6.147862134579413,5.871112726600538,206,231,4502,7.0,17,111
YPR011C,0,-1,1,6.147758486742031,5.875298281864653,207,489,106,127.0,354,451
YKR042W,1,1,1,6.144701586512035,5.620643916906305,208,2357,50,4076.0,113,267
YPR140W,1,1,1,6.129520077191428,5.524704115057168,209,1718,1587,97.0,358,343
YLR163C,1,1,1,6.126007335628578,5.632893423529355,210,592,5230,30.0,277,395
YFL018C,0,0,1,6.1208675093279625,6.140257977485837,211,800,300,330.0,417,229
YKL194C,-1,-1,1,6.117431218038776,5.449598483357175,212,739,4380,35.0,128,225
YHR106W,-1,-1,1,6.115832801350577,5.9659654731954745,213,1826,879,2132.0,886,354
YPR004C,-1,-1,1,6.0965955664297775,5.534080340154187,214,1966,5210,121.0,402,453
YDR377W,-1,-1,1,6.094483417665174,5.938574383643944,215,1370,5132,613.0,581,1037
YDR148C,-1,-1,1,6.091211828642977,5.835662035174087,216,636,4908,166.0,367,261
YDR347W,-1,-1,1,6.08470003048103,6.3869160669626295,217,492,5255,101.0,170,135
YJL104W,1,1,1,6.084342686715955,5.734934702495832,218,467,6013,369.0,205,238
YAL010C,1,1,1,6.0803787544102015,6.084690350872536,219,2236,5038,3963.0,151,35
YKL134C,1,1,1,6.053643337266888,5.475316617994797,220,1573,6055,1989.0,738,318
YML078W,-1,-1,1,6.044890162473667,6.01282474575416,221,1007,314,257.0,263,300
YGL226W,0,-1,1,6.039264080767146,6.147969911585282,222,788,6005,308.0,295,413
YMR241W,1,1,1,6.0372063806670875,6.303912851095222,223,3004,1237,2472.0,726,394
YNL003C,-1,-1,1,6.036061363305874,5.601567422493464,224,2469,663,408.0,698,482
YOR266W,1,1,1,6.035423984784566,5.855948112737684,225,1622,9,165.0,1,192
YGL143C,0,-1,1,6.032384853876994,5.4618847416240754,226,41,5733,258.0,158,121
YML025C,-1,-1,1,6.031579915634886,6.402801675782726,227,392,4385,489.0,350,415
YML030W,0,1,1,6.030750640138181,5.865436622563685,228,380,4787,58.0,262,527
YAL008W,0,1,1,6.030243337511303,5.720862863791529,229,1980,5427,1294.0,908,879
YML091C,1,1,1,6.028076444200413,5.652028257469276,230,475,232,1301.0,679,399
YPR191W,-1,-1,1,6.027857540610308,5.945683134475425,231,560,94,373.0,1016,1024
YHR198C,0,0,1,6.01931409136264,5.313793959259885,232,88,5204,90.0,227,207
YBR026C,-1,-1,1,6.018900811315296,5.645441854616925,233,1125,80,894.0,1032,663
YKL013C,1,-1,-1,6.015168531212264,5.260613814736289,234,503,160,780.0,54,11
YLR121C,0,0,-1,6.008347192924179,6.186763060181046,235,3686,2856,4283.0,1302,770
YLR239C,-1,0,1,6.003820085239981,5.651763898691189,236,661,4702,27.0,74,194
YBL099W,-1,-1,1,5.987187769598589,5.798518184972101,237,1270,5026,661.0,552,367
YPR061C,0,0,1,5.985657669826896,5.110303231620903,238,2140,4832,2887.0,770,401
YGR215W,-1,-1,1,5.979856037094208,5.783061389555029,239,603,5347,109.0,209,276
YIR021W,-1,1,1,5.964934407593962,6.164371829929001,240,1152,269,132.0,181,178
YLR072W,0,-1,1,5.9623451868217145,5.925044244122807,241,854,4438,1291.0,834,421
YCR083W,-1,-1,1,5.959573467334587,5.494708812646596,242,1942,3105,1867.0,1233,732
YGR207C,0,0,1,5.95911015079407,5.567614400570109,243,2509,5047,230.0,394,675
YHR001W-A,-1,-1,1,5.954416165808718,6.2743555032129175,244,602,847,2385.0,993,952
YNL310C,1,1,1,5.949697849279391,5.483202835955883,245,2248,74,786.0,496,360
YDR116C,-1,-1,1,5.949677150406523,5.595463930196365,246,614,4320,5.0,33,106
YPR098C,0,0,1,5.947567928337051,5.413525267472382,247,852,4722,1363.0,860,581
YOR147W,1,1,1,5.94375190906182,5.732084614338411,248,1415,11,1130.0,96,40
YEL024W,-1,-1,1,5.934782520739618,5.483327879154542,249,682,906,704.0,731,476
YOL033W,-1,-1,1,5.930161269125111,5.1943560669825635,250,794,4967,81.0,110,243
YGR031W,0,-1,1,5.926700257969473,5.9011072449617705,251,491,5408,1551.0,1899,1046
YBL022C,-1,1,1,5.91235742169226,6.088050491514759,252,741,5104,216.0,182,289
YER182W,0,0,1,5.898903619029564,5.313407292098112,253,83,5756,298.0,349,639
YAL039C,0,0,1,5.894651607125105,5.872956751415773,254,729,5365,1041.0,489,435
YDL066W,-1,-1,1,5.893408508357887,5.825674375882083,255,1217,2650,755.0,1154,685
YMR166C,-1,-1,1,5.880989824940345,5.562885728420392,256,1151,384,787.0,365,164
YHR117W,0,1,1,5.8784081971573965,5.559963379727453,257,2551,4311,125.0,410,455
YDL067C,-1,-1,1,5.876691565542164,6.077356002868984,258,775,499,860.0,1006,997
YGL080W,0,-1,1,5.8763170527840805,5.765697075424036,259,81,5947,1465.0,593,351
YER170W,0,0,1,5.86519553347262,5.8627648020814185,260,556,374,496.0,393,454
YDL104C,0,-1,1,5.8530847319585835,5.600794974241443,261,1969,5164,1018.0,554,296
YLR439W,-1,-1,1,5.851081892401873,5.871410513959028,262,609,5753,111.0,120,150
YNR045W,0,-1,1,5.837538873364112,5.187956441404232,263,416,4661,297.0,437,464
YLR168C,0,1,1,5.837240590306813,6.312982969014278,264,27,5428,238.0,292,553
YOR354C,-1,-1,1,5.836246357706493,6.070396144369545,265,1286,93,56.0,29,193
YGR049W,0,1,1,5.828631112675467,6.166981876472617,266,2479,3731,4361.0,700,543
YOR221C,-1,-1,1,5.824434505251354,5.879187815146234,267,2022,1560,1017.0,794,402
YOR236W,0,0,1,5.823179037271145,5.45655691349869,268,2977,3050,2578.0,919,582
YDR234W,0,0,1,5.816243499338984,6.280905289438477,269,4164,3573,4365.0,2312,939
YDL107W,1,1,1,5.811080394390815,5.80365146509032,270,855,5216,1675.0,429,463
YBL015W,0,-1,1,5.805133860982107,6.076238350997805,271,34,331,2591.0,1343,600
YNL213C,1,1,1,5.802380518998929,5.375902634616757,272,939,63,366.0,308,450
YJR111C,0,0,1,5.79296235481422,5.98970631479799,273,219,4268,4184.0,3075,1498
YNL037C,-1,-1,1,5.781201611022036,6.100230898140415,274,356,359,224.0,270,123
YLR204W,-1,-1,1,5.776061140848491,5.635630953026098,275,754,5429,80.0,178,205
YLR289W,0,0,1,5.769524455784324,5.768513617572502,276,678,4825,880.0,547,348
YIL111W,-1,-1,1,5.765578705393627,5.8911005674103745,277,681,2333,3531.0,1115,473
YOR065W,-1,-1,1,5.7632244250731555,5.940325449251198,278,411,157,392.0,553,446
YNL073W,-1,-1,1,5.753230335469732,5.631344012976811,279,542,5473,41.0,129,219
YPL271W,-1,-1,1,5.7528446391671,5.203525221689835,280,971,5547,1421.0,446,380
YGL057C,0,0,1,5.744636522795626,5.300843712730422,281,69,6004,251.0,717,1123
YDR268W,-1,-1,1,5.741937720133159,5.782305722896623,282,494,1045,134.0,299,358
YPR067W,-1,0,1,5.7401873851250755,4.845137085435153,283,872,6088,103.0,257,508
YOL096C,0,0,1,5.733475121195444,5.017262579388833,284,535,395,152.0,389,818
YOR226C,-1,-1,1,5.730502136453183,5.967179320306377,285,2799,3881,4222.0,2890,1348
YEL052W,-1,-1,1,5.727960506599106,5.359395304783737,286,995,4839,114.0,282,180
YHR037W,0,0,1,5.725036887351624,4.897534719114054,287,1350,802,462.0,639,467
YJL112W,1,1,1,5.705461295065052,5.524087398944929,288,807,55,116.0,48,27
YOL009C,1,1,1,5.70528957256657,5.192888778685913,289,1128,70,536.0,94,49
YLR382C,-1,-1,1,5.703520803394431,5.6627923194220156,290,552,1021,50.0,137,167
YER154W,1,1,1,5.700540850976271,5.920880304261126,291,1549,1539,747.0,375,165
YPR134W,-1,-1,1,5.696709420152766,5.7768588082143255,292,655,1125,511.0,541,456
YGR183C,-1,1,1,5.696708568198952,5.476054001401846,293,960,1043,1266.0,390,369
YBR234C,1,-1,-1,5.696555121216232,5.252129194823075,294,2690,270,706.0,103,25
YOR201C,-1,-1,1,5.6937411595247465,5.676458336227207,295,2001,5077,194.0,413,384
YNR018W,-1,1,1,5.68931619635599,5.607877661501586,296,2869,5446,493.0,451,326
YMR293C,-1,-1,1,5.681864765589823,5.875937176768056,297,673,5178,579.0,491,494
YER069W,0,0,1,5.680169845412592,5.9961244247915895,298,4394,2318,4129.0,1855,1496
YHL032C,0,-1,1,5.679330010613995,5.833376178815905,299,1367,1239,1887.0,957,470
YOR022C,-1,-1,1,5.667036347760412,5.04171344802741,300,2534,4706,2843.0,2350,1181
YDR197W,0,-1,1,5.662128928178799,5.840610904369145,301,697,982,722.0,347,462
YCL064C,0,0,1,5.654272517758216,6.159547300183181,302,1047,3714,1704.0,882,404
YPL072W,-1,-1,1,5.643918001009319,5.599362934437538,303,1560,4577,650.0,341,452
YOL042W,-1,-1,1,5.6413152053684525,5.740012704030419,304,3838,5376,956.0,596,350
YKL208W,-1,-1,1,5.635994387244036,5.276213615807938,305,1845,5700,1138.0,597,361
YHR067W,-1,-1,1,5.62931909960901,5.880760765724149,306,1361,1619,3242.0,1512,900
YPL013C,-1,-1,1,5.619771187890789,5.5200158473756655,307,686,5839,823.0,294,269
YGR102C,0,-1,1,5.607499036246431,5.753208303550108,308,404,5515,2936.0,2160,1155
