Go Term,Name,2007 Genes,2022 Genes,KS Statistic,KS P-Value
GO:0006470,protein amino acid dephosphorylation,28,55,0.1003,3.461453188065403e-44
GO:0042274,ribosomal small subunit biogenesis and assembly,22,145,0.0605,2.488002758187673e-16
GO:0006364,rRNA processing,171,296,0.2101,1.4744404529778268e-193
GO:0043543,protein amino acid acylation,62,86,0.0441,7.120497652070533e-09
GO:0006281,DNA repair,185,314,0.0434,1.314232840988917e-08
GO:0007059,chromosome segregation,117,224,0.091,1.945844861422502e-36
GO:0006997,nuclear organization and biogenesis,56,105,0.1592,5.841221613639029e-111
GO:0004518,nuclease activity,140,151,0.0184,0.06771054835137846
GO:0006897,endocytosis,84,140,0.0343,1.5518585074250996e-05
GO:0000747,conjugation with cellular fusion,114,125,0.0521,3.2192033198497964e-12
GO:0006869,lipid transport,34,78,0.0344,1.4487913385734907e-05
GO:0009408,response to heat,22,59,0.2278,8.996567080487032e-228
GO:0001403,invasive growth (sensu Saccharomyces),43,55,0.0804,1.5798806018606984e-28
GO:0005085,guanyl-nucleotide exchange factor activity,38,59,0.1015,3.048126373568297e-45
GO:0006325,establishment and/or maintenance of chromatin architecture,245,305,0.0359,5.045176932817923e-06
GO:0042221,response to chemical stimulus,371,525,0.0311,0.00012589922674927242
GO:0007005,mitochondrion organization and biogenesis,106,292,0.0494,4.999158196749784e-11
GO:0007010,cytoskeleton organization and biogenesis,227,282,0.0342,1.6619250923895013e-05
GO:0006418,tRNA aminoacylation for protein translation,31,37,0.0336,2.4965560810514017e-05
GO:0009451,RNA modification,65,116,0.2427,8.47200023423672e-259
GO:0006865,amino acid transport,37,58,0.0415,6.6011427584807e-08
GO:0007033,vacuole organization and biogenesis,69,115,0.052,3.5727044438965934e-12
GO:0016197,endosome transport,46,114,0.1969,6.763016196876621e-170
GO:0006260,DNA replication,112,158,0.1174,2.0324173441500688e-60
GO:0006352,transcription initiation,56,87,0.1012,5.610789321962591e-45
GO:0006413,translational initiation,41,64,0.1993,4.419820942408936e-174
GO:0018193,peptidyl-amino acid modification,27,229,0.3826,0.0
GO:0051052,regulation of DNA metabolic process,31,126,0.0871,2.058438780430485e-33
GO:0000902,cell morphogenesis,259,45,0.0379,1.1523872600898962e-06
GO:0032196,transposition,109,120,0.0607,1.9518840091914736e-16
GO:0006873,cell ion homeostasis,110,167,0.0549,1.6048076573025997e-13
GO:0007114,cell budding,82,61,0.0714,1.3903711746802184e-22
GO:0003700,transcription factor activity,60,181,0.0582,3.826963745673442e-15
GO:0015931,"nucleobase, nucleoside, nucleotide and nucleic acid transport",87,185,0.1506,2.695912812066216e-99
GO:0016050,vesicle organization and biogenesis,15,101,0.0517,4.877761971262034e-12
GO:0006468,protein amino acid phosphorylation,96,218,0.1022,7.288682240008833e-46
GO:0000278,mitotic cell cycle,248,386,0.0384,7.867612217074528e-07
GO:0006979,response to oxidative stress,67,130,0.0892,5.029742288342833e-35
