Gene,Original Label,Modern Label,Mito Localized,Confidence,Background Confidence,AG bioProcOnly Rank,AG AllTerm Rank,AG Local,AG bioPIXIE,ST Rank,SPELL Rank,MEFIT Rank,bioPIXIE Rank,,
YBR269C,0,1,1,6.708287759,6.102399868,81,15,19,96,5467,627,1149,855,,
YNR022C,-1,-1,1,3.514027012,2.074245608,1849,515,187,97,5747,104,164,226,,
YJL131C,0,-1,1,4.360460901,3.568662432,1105,18,126,98,5601,350,314,191,,
YPR098C,0,0,1,2.937578322,0.784586871,2418,852,247,99,4722,1363,860,581,,
YBL064C,-1,-1,1,6.376384696,6.365316641,116,1354,78,100,99,2846,2155,1670,,
YKL192C,-1,-1,1,4.801559513,4.004478954,708,485,51,101,255,528,223,108,,
YPR047W,-1,-1,1,4.602556689,3.718731839,849,201,183,102,4885,197,165,169,,
YML078W,-1,-1,1,3.338502229,1.953671301,2023,1007,221,103,314,257,263,300,,
YKL170W,-1,-1,1,6.185965022,6.082376496,151,796,115,104,5772,12,38,116,,
YKR049C,0,0,1,2.861777973,0.815507189,2514,882,323,105,4796,2429,1553,1199,,
YLR163C,1,1,1,3.707047344,2.048327628,1695,592,210,106,5230,30,277,395,,
YNL052W,-1,-1,1,4.2433815,3.992936962,1198,584,114,107,1435,432,858,951,,
YGR255C,0,0,1,1.844748162,0.52949806,4088,2352,172,108,691,456,973,626,,
YOR150W,-1,-1,1,4.370245677,3.182634633,1086,172,124,109,4326,6,85,142,,
YJR080C,0,1,1,4.428435974,3.751064689,1035,9,139,110,5066,4,43,84,,
YEL024W,-1,-1,1,3.238181158,1.66800871,2119,682,249,111,906,704,731,476,,
YOL033W,-1,-1,1,3.062018433,1.592991222,2279,794,250,112,4967,81,110,243,,
YIL157C,1,1,1,5.807793253,4.475257479,236,254,34,113,5775,79,169,149,,
YGR112W,1,1,1,6.141644874,5.822520383,155,514,121,114,305,315,494,511,,
YOL023W,-1,-1,1,6.091687328,6.176066605,165,502,144,115,4978,291,61,203,,
YIR021W,-1,1,1,3.099173679,2.471143488,2244,1152,240,116,269,132,181,178,,
YHR051W,-1,-1,1,3.862605583,2.053925275,1561,561,159,117,313,273,627,1111,,
YKR016W,0,1,1,4.514838111,3.441856633,936,12,66,118,5496,40,90,90,,
YKL003C,-1,-1,1,4.371741406,3.49280033,1080,283,92,119,5744,176,67,218,,
YGL059W,-1,1,1,7.050263674,6.333407599,54,1253,36,120,4669,3599,675,497,,
YIL125W,-1,-1,1,3.824211319,3.369715783,1594,409,55,121,231,981,958,564,,
YBR230C,0,1,1,6.637204173,6.292455213,91,913,91,122,5195,1951,1280,937,,
YOR004W,-1,-1,1,3.187271173,1.095803694,2182,5535,82,123,454,5145,2124,920,,
YBR039W,-1,-1,1,4.068138669,3.642235834,1376,418,117,124,4720,259,355,407,,
YBR026C,-1,-1,1,3.032349441,0.75280776,2303,1125,233,125,80,894,1032,663,,
YLR201C,-1,0,1,3.480030718,2.316983215,1877,767,190,126,226,138,459,518,,
YGR220C,-1,-1,1,5.93749607,6.036323349,197,881,83,127,5666,39,9,59,,
YLR142W,0,0,1,3.127545389,2.704907234,2221,1332,53,128,585,4480,3160,1736,,
YDR298C,-1,-1,1,4.272650162,3.721489358,1176,437,136,129,6011,154,535,1036,,
YKL120W,-1,-1,1,3.435574631,2.731019702,1922,3153,81,130,240,3824,1802,759,,
YDR116C,-1,-1,1,3.380688506,2.425186954,1975,614,246,131,4320,5,33,106,,
YMR256C,-1,-1,1,3.216386477,1.921964115,2145,419,153,132,2490,2187,1003,935,,
YER154W,1,1,1,2.996821579,2.596824383,2349,1549,291,133,1539,747,375,165,,
YML091C,1,1,1,3.227124912,2.009467458,2132,475,230,134,232,1301,679,399,,
YFL016C,1,1,1,6.931509958,5.976728265,61,886,107,135,97,1730,532,288,,
YNL328C,1,1,1,4.32618651,3.439075927,1135,2715,70,136,4854,3872,2033,872,,
YKR036C,1,1,1,3.179489644,1.483035277,2188,2450,173,137,3644,3517,617,458,,
YBR262C,0,1,1,4.164286328,3.740764671,1276,13,165,138,5065,239,307,614,,
YHR059W,0,-1,1,5.876086885,5.906530875,210,683,162,139,5250,276,80,85,,
YMR286W,-1,-1,1,6.207153259,6.246943294,148,959,86,140,4716,1030,133,79,,
YFL018C,0,0,1,2.873572707,2.271983596,2495,800,211,141,300,330,417,229,,
YPR100W,-1,1,1,5.660693822,4.34719443,279,144,21,142,5425,83,171,146,,
YPL097W,-1,-1,1,6.032786256,6.100241761,180,784,197,143,5873,120,123,122,,
YIL034C,-1,-1,-1,3.318997843,1.227409211,2042,1099,413,144,4359,971,104,32,,
YPR020W,-1,1,1,5.643165358,5.611716107,288,773,145,145,5561,278,433,994,,
YDR041W,-1,-1,1,5.246232211,3.711245591,444,105,39,146,5791,190,212,260,,
YOR142W,-1,-1,1,5.284833338,5.521145397,430,1118,164,147,4803,248,370,257,,
YGL143C,0,-1,1,3.576668239,2.175267097,1785,41,226,148,5733,258,158,121,,
YGR183C,-1,1,1,3.008330817,1.358251361,2331,960,293,149,1043,1266,390,369,,
YIL077C,0,0,1,3.618515639,2.397613674,1746,587,108,150,403,1767,1301,617,,
YJL104W,1,1,1,2.803472199,1.320402967,2594,467,218,151,6013,369,205,238,,
YDR148C,-1,-1,1,2.517740741,1.127992331,3040,636,216,152,4908,166,367,261,,
YLR370C,1,-1,1,4.696445848,3.535947287,771,198,143,153,56,195,55,16,,
YER086W,0,0,1,2.941706398,2.236461521,2413,2954,185,154,2156,4289,971,330,,
YKR042W,1,1,1,4.559995373,3.145158693,891,2357,208,155,50,4076,113,267,,
YPL059W,-1,-1,1,5.783243778,5.615450696,242,1431,129,156,4341,91,253,480,,
YNL169C,-1,1,1,5.377126315,5.127883753,385,2314,146,157,1945,422,923,974,,
YOR176W,0,0,1,2.601725557,1.055011045,2905,1526,312,158,3008,842,686,417,,
YJL096W,-1,-1,1,5.954210152,4.6886366,192,175,31,159,5235,28,32,115,,
YNL055C,1,1,1,6.824275275,7.305701872,73,903,134,160,61,2582,1804,833,,
YNL306W,-1,-1,1,6.054592837,6.038071256,174,1074,175,161,5237,48,134,139,,
YPL271W,-1,-1,1,3.152318488,1.378082589,2206,971,280,162,5547,1421,446,380,,
YKL150W,-1,-1,1,5.349968046,3.571218323,400,112,35,163,5627,344,398,379,,
YDL066W,-1,-1,1,2.068994966,1.66799261,3709,1217,255,164,2650,755,1154,685,,
YJL198W,-1,-1,-1,4.851078338,2.759111844,671,5273,386,165,426,4419,5523,4962,,
YJL054W,1,1,1,3.841953637,2.638264191,1575,1004,170,166,31,233,46,26,,
YEL052W,-1,-1,1,2.837079902,1.333273739,2554,995,286,167,4839,114,282,180,,
YGL226W,0,-1,1,3.593700629,3.10702279,1773,788,222,168,6005,308,295,413,,
YAL010C,1,1,1,2.95787189,1.96915769,2394,2236,219,169,5038,3963,151,35,,
YBL099W,-1,-1,1,5.66698644,6.499495653,275,1270,237,170,5026,661,552,367,,
YIL111W,-1,-1,1,1.964209262,0.83249956,3918,681,277,171,2333,3531,1115,473,,
YPL183W-A,-1,-1,1,4.417664044,3.155119915,1039,500,329,172,4443,5537,458,181,,
YGR215W,-1,-1,1,3.278913084,2.093072472,2080,603,239,173,5347,109,209,276,,
YMR083W,0,0,1,6.531540147,6.450696765,99,2281,163,174,1804,1519,461,386,,
YLR168C,0,1,1,3.449432106,2.891429764,1904,27,264,175,5428,238,292,553,,
YNL070W,1,1,1,5.7637161,4.552461078,245,481,47,176,718,739,215,168,,
YKR066C,-1,-1,1,5.874074077,5.761891667,211,890,98,177,702,2359,2170,1070,,
YPR067W,-1,0,1,2.684260579,0.639829899,2775,872,283,178,6088,103,257,508,,
YDL202W,-1,-1,1,3.939284823,2.871153265,1495,268,198,179,5339,22,122,231,,
YKR006C,-1,-1,1,5.418802603,4.191124462,361,327,106,180,4883,18,30,98,,
YDR462W,-1,-1,1,5.561773411,5.805707069,311,827,133,181,5281,157,86,95,,
YML110C,-1,-1,1,5.61308307,6.20413844,294,2265,151,182,1097,93,592,868,,
YLR239C,-1,0,1,2.736258593,1.265467147,2706,661,236,183,4702,27,74,194,,
YPL013C,-1,-1,1,3.045282902,1.975568617,2289,686,307,184,5839,823,294,269,,
YGL080W,0,-1,1,2.955029633,1.905257008,2401,81,259,185,5947,1465,593,351,,
YNL213C,1,1,1,2.885595738,1.425747737,2484,939,272,186,63,366,308,450,,
YLR069C,-1,-1,1,5.839330465,6.507874243,222,813,161,187,5799,53,22,102,,
YDR377W,-1,-1,1,5.504572772,5.755680712,322,1370,215,188,5132,613,581,1037,,
YKL007W,-1,-1,-1,3.552215058,1.976495703,1809,646,321,189,165,439,52,30,,
YFR049W,0,-1,1,5.961320382,5.537843325,191,1890,194,190,5658,362,666,731,,
YBR238C,-1,-1,1,3.752163299,2.643320499,1651,5518,105,191,3226,5147,3006,3023,,
YGR033C,1,1,1,3.616533221,2.827552169,1751,1512,166,192,5806,1401,1701,1151,,
YBR221C,0,0,1,2.073975649,1.469990905,3701,1617,313,193,1261,164,284,442,,
YDR347W,-1,-1,1,4.077007529,3.544021355,1361,492,217,194,5255,101,170,135,,
YOR271C,-1,-1,1,2.957688292,1.353850722,2395,4466,141,195,5619,3444,747,265,,
YPR004C,-1,-1,1,5.589117611,5.483440127,303,1966,214,196,5210,121,402,453,,
YKL194C,-1,-1,1,5.322070492,5.200092738,412,739,212,197,4380,35,128,225,,
YAL008W,0,1,1,5.762507654,5.878597334,247,1980,229,198,5427,1294,908,879,,
YIR003W,0,-1,-1,2.640600167,1.319803236,2843,374,433,199,5180,566,192,68,,
YOR266W,1,1,1,5.441707229,5.600407347,353,1622,225,200,9,165,1,192,,
YOR330C,1,1,1,3.661438167,2.378305308,1717,1604,205,201,726,1458,1058,485,,
YMR241W,1,1,1,3.446361838,2.368362597,1908,3004,223,202,1237,2472,726,394,,
YPR006C,-1,-1,1,3.120677124,3.365687334,2230,1901,202,203,2188,2993,867,403,,
YDR322C-A,-1,1,1,3.437113967,3.04359861,1920,1418,339,204,5485,5501,1090,534,,
YLR204W,-1,-1,1,3.376417126,2.432301052,1982,754,275,205,5429,80,178,205,,
YDR115W,-1,-1,1,5.153950303,4.473442596,498,196,75,206,5475,187,211,280,,
YOL009C,1,1,1,2.684998636,1.069146027,2771,1128,289,207,70,536,94,49,,
YNR001C,-1,-1,1,5.718085392,4.178174541,262,156,62,208,4752,986,198,170,,
YGR076C,-1,-1,1,4.880478854,3.743870068,653,190,77,209,4600,242,136,107,,
YMR089C,1,0,1,4.920705312,4.037632636,625,383,111,210,4419,13,49,64,,
YOR228C,0,1,1,5.757523623,5.561392921,250,756,116,211,4545,1537,1162,547,,
YDL174C,-1,0,1,2.799900541,2.569137063,2597,847,148,212,323,710,673,496,,
YOR130C,0,-1,1,5.738102477,5.473188317,257,1870,156,213,5683,1923,897,667,,
YIL094C,0,0,1,3.300405669,2.367634401,2063,3809,158,214,214,2866,1294,583,,
YLR203C,-1,1,1,5.11258993,3.64068117,518,256,137,215,5419,32,177,287,,
YAL044C,0,0,1,2.521191566,2.303194958,3036,2193,90,216,3174,3210,2154,1468,,
YMR060C,1,1,1,2.241028707,1.177004301,3465,716,400,217,17,361,87,71,,
YHR199C,0,0,1,1.69008418,0.533969039,4271,123,389,218,4444,1161,1121,1038,,
YLR059C,1,1,1,4.071218762,3.286859038,1371,1644,491,219,6034,1269,100,36,,
YIL114C,-1,-1,1,5.224136201,5.248561935,459,2552,378,220,5355,3358,744,297,,
YNL066W,1,1,-1,5.407682027,2.689641916,370,3941,335,221,23,3818,4212,1857,,
YDL120W,-1,-1,1,2.513501877,1.730237771,3045,1484,355,222,1240,200,357,382,,
YDR316W,0,0,1,3.405092158,2.805155001,1951,879,328,223,5827,130,69,195,,
YBL022C,-1,1,1,3.852655025,3.183840315,1567,741,252,224,5104,216,182,289,,
YLR289W,0,0,1,2.559442117,2.076235015,2964,678,276,225,4825,880,547,348,,
YGR031W,0,-1,1,2.178857367,2.160541702,3556,491,251,226,5408,1551,1899,1046,,
YPR125W,1,1,1,5.739201514,5.869690718,255,2796,174,227,45,583,93,50,,
YER178W,0,-1,1,5.448533263,5.647520463,349,3234,184,228,364,1199,1289,711,,
YER141W,0,0,1,5.495952099,3.524355239,324,186,147,229,104,381,361,239,,
YER073W,0,0,1,1.807787404,1.671085404,4130,3817,354,230,3283,4946,1166,686,,
YHR198C,0,0,1,5.196203595,5.270469701,471,88,232,231,5204,90,227,207,,
YMR003W,0,0,1,2.768344114,2.233655925,2648,238,429,232,5479,825,139,63,,
YIL136W,0,0,1,4.644288775,3.137633295,815,247,74,233,4659,3129,1779,1495,,
YIL113W,-1,-1,-1,4.509800549,3.596357572,943,221,131,234,2602,4489,1391,585,,
YMR145C,-1,0,1,2.025623697,1.631860062,3786,1933,341,235,1839,1095,1184,898,,
YHR117W,0,1,1,5.289610124,4.626983676,429,2551,257,236,4311,125,410,455,,
YGR165W,-1,-1,1,4.506681597,3.13627214,947,320,125,237,5469,34,40,94,,
YDR129C,-1,-1,-1,2.885796679,2.402671778,2483,933,455,238,5612,1652,102,8,,
YNL177C,-1,-1,1,5.127614606,3.820520049,513,158,85,239,4474,78,119,120,,
YPR024W,1,1,1,4.629766402,3.393613597,828,629,195,240,32,163,57,31,,
YPL040C,-1,-1,1,2.302054068,1.540546,3367,677,345,241,206,181,296,431,,
YMR282C,-1,-1,1,2.58368183,1.386685505,2932,1000,320,242,5812,435,163,197,,
YNL137C,-1,-1,1,5.065882259,4.004003354,542,231,206,243,4502,7,17,111,,
YLL041C,-1,-1,1,5.086749691,5.700941315,529,1662,203,244,124,932,766,590,,
YNL310C,1,1,1,5.030369451,4.64864677,557,2248,245,245,74,786,496,360,,
YKL208W,-1,-1,1,1.940315437,1.131691827,3952,1845,305,246,5700,1138,597,361,,
YCR079W,1,1,1,2.160428957,0.976777781,3580,2148,362,247,2182,1524,1063,486,,
YPL135W,-1,-1,1,5.824338864,5.198630678,228,976,135,248,509,2260,519,145,,
YJR111C,0,0,1,5.16702795,4.724300975,488,219,273,249,4268,4184,3075,1498,,
YMR293C,-1,-1,1,3.808252596,3.35461363,1606,673,297,250,5178,579,491,494,,
YPR149W,0,-1,1,3.236550843,0.74283995,2121,260,399,251,622,3053,4664,4808,,
YKL134C,1,1,1,5.44562429,4.606229614,351,1573,220,252,6055,1989,738,318,,
YMR166C,-1,-1,1,4.945788164,5.468372032,614,1151,256,253,384,787,365,164,,
YHR083W,1,1,1,4.267269878,3.049181708,1179,927,167,254,2127,801,312,160,,
YOL071W,-1,1,1,5.213417568,3.12140993,464,115,93,255,4696,206,311,320,,
YER017C,1,1,1,4.633606404,4.977389714,824,1924,331,256,4684,323,99,48,,
YDR197W,0,-1,1,2.473183025,2.091810813,3110,697,301,257,982,722,347,462,,
YGR080W,-1,-1,-1,3.572985885,2.04681806,1787,758,513,258,5769,1435,149,43,,
YOR374W,0,0,1,4.215088072,3.219233609,1231,197,128,259,170,1648,1521,751,,
YNR040W,-1,1,1,2.391457884,1.736342214,3230,1571,397,260,4917,441,217,153,,
YNR017W,1,1,1,4.62213937,3.60680216,834,746,192,261,5667,359,47,9,,
YPL252C,-1,0,1,2.051191981,1.404764722,3742,2995,416,262,1667,752,509,253,,
YML129C,-1,1,1,5.824951863,5.691621618,227,660,200,263,4568,306,220,221,,
YNR018W,-1,1,1,5.333327283,5.189267522,407,2869,296,264,5446,493,451,326,,
YDR375C,1,1,1,5.299227036,3.875848735,423,216,193,265,4844,149,25,87,,
YER048W-A,0,0,1,3.066121437,2.606398519,2276,1492,454,266,77,5562,727,313,,
YDL045W-A,-1,-1,1,4.72830404,3.407623469,753,173,177,267,4481,4101,506,182,,
YKL167C,0,-1,1,5.012117906,3.249855668,573,152,102,268,5688,52,184,129,,
YCR071C,-1,-1,1,4.995421087,3.591311009,581,288,168,269,5310,342,252,249,,
YPR061C,0,0,1,5.086604087,4.477975654,530,2140,238,270,4832,2887,770,401,,
YKR052C,-1,-1,1,2.048587188,0.677571147,3746,1104,435,271,4293,2788,2014,1626,,
YGL129C,-1,-1,1,4.577375479,3.558386245,879,205,204,272,4649,77,82,99,,
YHR067W,-1,-1,1,2.971000587,2.392952619,2372,1361,306,273,1619,3242,1512,900,,
YBR227C,0,1,1,5.582905824,4.972398683,304,2751,316,274,5337,412,559,355,,
YDR194C,-1,-1,1,3.529392029,3.062703134,1833,1393,326,275,4995,145,3,93,,
YJR101W,-1,-1,1,5.471475529,3.985859901,340,471,97,276,5072,69,71,132,,
YCR083W,-1,-1,1,4.992499408,4.931206469,585,1942,242,277,3105,1867,1233,732,,
YPL004C,-1,-1,1,4.360024744,3.056345388,1106,218,403,278,5656,1159,2105,1965,,
YLR067C,-1,1,1,4.406063695,4.076179458,1045,3200,182,279,5495,2726,912,562,,
YML030W,0,1,1,4.596093224,3.301415731,857,380,228,280,4787,58,262,527,,
YML025C,-1,-1,1,3.521981306,3.482655571,1837,392,227,281,4385,489,350,415,,
YDR234W,0,0,1,3.605765724,2.782999408,1760,4164,269,282,3573,4365,2312,939,,
YPL222W,0,0,1,1.727100509,1.077352926,4220,237,363,283,4514,2689,1348,917,,
YGR101W,1,1,1,4.44787314,3.676464782,1015,417,199,284,49,215,224,157,,
YCR028C-A,1,1,1,5.992249841,5.827987726,187,3709,334,285,3,5546,512,171,,
YPL270W,-1,-1,1,1.707356692,0.520201531,4250,1764,444,286,662,186,472,375,,
YPR140W,1,1,1,5.812709483,5.886053436,234,1718,209,287,1587,97,358,343,,
YDR079W,1,1,1,4.798644102,3.783330311,711,537,99,288,4310,660,484,807,,
YNL003C,-1,-1,1,4.651604458,4.210481939,810,2469,224,289,663,408,698,482,,
YGL156W,0,0,-1,3.905755828,3.043274356,1526,1394,597,290,3011,4474,5107,3839,,
YOR201C,-1,-1,1,4.807698953,4.891316466,704,2001,295,291,5077,194,413,384,,
YGL255W,-1,-1,-1,3.774798745,3.105728321,1637,4692,438,292,3839,5102,5560,4514,,
YBL080C,-1,-1,1,1.744986487,0.958292575,4202,1182,364,293,5,2922,444,406,,
YLR121C,0,0,-1,3.074597198,2.675117952,2270,3686,235,294,2856,4283,1302,770,,
YBL095W,0,0,1,2.343933483,1.810326348,3316,176,319,295,4798,1940,1884,1539,,
YBR234C,1,-1,-1,6.354708036,6.234299029,120,2690,294,296,270,706,103,25,,
YHR106W,-1,-1,1,2.788853541,2.134134753,2619,1826,213,297,879,2132,886,354,,
YFR044C,0,0,1,1.749885697,0.986480303,4196,2129,462,298,1953,1668,1021,563,,
YPL168W,0,0,1,1.775882629,0.602152001,4167,2164,374,299,4376,1715,783,363,,
YDR492W,-1,-1,-1,3.61398468,3.181948114,1753,5089,449,300,646,5287,1676,1252,,
YHR162W,0,-1,1,1.9862292,1.527153084,3855,403,414,301,4699,3716,2442,1472,,
YOR354C,-1,-1,1,3.712274292,3.3059511,1689,1286,265,302,93,56,29,193,,
YNL239W,0,-1,1,2.183948739,1.192353815,3550,1539,479,303,319,737,1052,642,,
YMR056C,-1,-1,1,1.305062072,0.944264179,4718,2544,408,304,5609,1381,979,471,,
