GO Term,Name,Test AUC,Train AUC,Test Average Precision,Train Average Precision,SG AUC,SG Avg Prec,Annos2007,Annos2022,FracAnnos,Overfitting,KS Statistic,
GO:0006383,transcription from RNA polymerase III promoter,0.737450814,0.802006435,0.194101932,0.214969955,0.78635765,0.024568168,39,46,0.847826087,0.064555621,0.30689,
GO:0051321,meiotic cell cycle,0.731263498,0.799006795,0.193435254,0.221840679,0.745092542,0.091796405,144,330,0.436363636,0.067743297,0.125305,
GO:0008643,carbohydrate transport,0.72975771,0.838470271,0.205931228,0.242100456,0.848867694,0.028171024,33,48,0.6875,0.108712561,0.16021,
GO:0006401,RNA catabolic process,0.727933916,0.788551818,0.182368716,0.215040626,0.752285763,0.04019592,69,166,0.415662651,0.060617902,0.261845,
GO:0010324,membrane invagination,0.727049305,0.819990454,0.18610121,0.227777597,0.761858987,0.054581461,84,1,84,0.092941149,0.1784,
GO:0006766,vitamin metabolic process,0.72640325,0.793470772,0.184161189,0.214161541,0.787102192,0.052928592,87,62,1.403225806,0.067067522,0.08916,
GO:0006897,endocytosis,0.725703607,0.822362932,0.183287261,0.229677923,0.762535803,0.054095918,84,140,0.6,0.096659325,0.181565,
GO:0006865,amino acid transport,0.718760244,0.760807207,0.18568582,0.196909856,0.842106045,0.029890546,37,58,0.637931034,0.042046963,0.11015,
GO:0015931,"nucleobase, nucleoside, nucleotide and nucleic acid transport",0.715520042,0.792205659,0.17912294,0.214873665,0.736689744,0.051089306,87,185,0.47027027,0.076685617,0.232425,
GO:0000278,mitotic cell cycle,0.715433886,0.794275136,0.173874456,0.209353818,0.731432343,0.137390876,248,386,0.642487047,0.07884125,0.17048,
GO:0006887,exocytosis,0.708389951,0.780334446,0.17034658,0.203689615,0.685080411,0.021909914,45,55,0.818181818,0.071944495,0.18466,
GO:0007033,vacuole organization and biogenesis,0.707598026,0.766764268,0.17681467,0.19921064,0.705531607,0.041831915,69,115,0.6,0.059166242,0.076365,
GO:0009408,response to heat,0.70687333,0.819602606,0.179866801,0.222354876,0.848955082,0.018254957,22,59,0.372881356,0.112729276,0.33197,
GO:0007114,cell budding,0.703528732,0.804224023,0.165760456,0.212999411,0.73311406,0.04484668,82,61,1.344262295,0.100695291,0.14863,
GO:0006629,lipid metabolic process,0.690882387,0.795404683,0.168069703,0.212203382,0.737175445,0.133320641,233,349,0.667621777,0.104522296,0.072575,
GO:0006970,response to osmotic stress,0.690191237,0.752225024,0.160320462,0.188363677,0.727701632,0.039379959,73,69,1.057971014,0.062033787,0.119545,
GO:0006310,DNA recombination,0.687619621,0.771435727,0.161757776,0.201250489,0.695662801,0.055093383,109,254,0.429133858,0.083816106,0.12635,
GO:0048284,organelle fusion,0.686530358,0.732428448,0.171593183,0.174164944,0.850640433,0.017325502,22,113,0.194690265,0.04589809,0.164035,
GO:0007010,cytoskeleton organization and biogenesis,0.683864318,0.775678955,0.151428132,0.194127824,0.710315823,0.111303906,227,282,0.804964539,0.091814637,0.11724,
GO:0008033,tRNA processing,0.682530701,0.755854026,0.174467494,0.201584575,0.61737736,0.013305121,31,136,0.227941176,0.073323325,0.24868,
GO:0048308,organelle inheritance,0.680612788,0.793103222,0.169413221,0.20948559,0.751220852,0.025380477,41,57,0.719298246,0.112490434,0.18855,
GO:0006457,protein folding,0.680195501,0.739099796,0.166856312,0.194915808,0.730353438,0.057463387,83,123,0.674796748,0.058904295,0.101885,
GO:0051726,regulation of cell cycle,0.674875473,0.763676614,0.150839618,0.194403167,0.710770434,0.081815733,165,298,0.553691275,0.088801141,0.1281,
GO:0006366,transcription from RNA polymerase II promoter,0.674189751,0.771586273,0.153839387,0.197993113,0.680958355,0.157438192,333,553,0.602169982,0.097396522,0.146485,
GO:0005085,guanyl-nucleotide exchange factor activity,0.674169498,0.753812794,0.157903773,0.184375816,0.761430492,0.024753793,38,59,0.644067797,0.079643296,0.178525,
GO:0006470,protein amino acid dephosphorylation,0.673834281,0.660591069,0.159938691,0.159853308,0.65307804,0.013600757,28,55,0.509090909,-0.013243212,0.150745,
GO:0051052,regulation of DNA metabolic process,0.673304252,0.747474801,0.167262986,0.195943478,0.58824676,0.014303804,31,126,0.246031746,0.074170549,0.126365,
GO:0006605,protein targeting,0.662832773,0.769038455,0.146866668,0.198257807,0.674426275,0.109247745,244,255,0.956862745,0.106205682,0.103465,
GO:0000910,cytokinesis,0.659076399,0.762102568,0.143963944,0.191298172,0.689674203,0.047527538,106,109,0.972477064,0.103026169,0.10848,
GO:0006497,protein amino acid lipidation,0.658163992,0.792419557,0.16087488,0.210449163,0.793911133,0.035229046,46,49,0.93877551,0.134255565,0.22212,
GO:0006468,protein amino acid phosphorylation,0.657020479,0.744054886,0.140502621,0.178923653,0.698540351,0.046944633,96,218,0.440366972,0.087034407,0.145225,
GO:0006353,transcription termination,0.655959594,0.736610813,0.148583963,0.171443513,0.88032134,0.016174991,20,41,0.487804878,0.080651219,0.24473,
GO:0042221,response to chemical stimulus,0.655255182,0.745801909,0.146486338,0.186805052,0.661924577,0.171872066,371,525,0.706666667,0.090546727,0.024645,
GO:0006873,cell ion homeostasis,0.64832948,0.729757205,0.141969677,0.174395179,0.690939053,0.054326419,110,167,0.658682635,0.081427725,0.08676,
GO:0007005,mitochondrion organization and biogenesis,0.641767562,0.727033272,0.155950457,0.18810455,0.671156068,0.054702187,106,292,0.363013699,0.08526571,0.12307,
GO:0051049,regulation of transport,0.63636364,0.727865395,0.165464459,0.179086578,0.982257622,0.015780031,10,102,0.098039216,0.091501755,0.237245,
GO:0000747,conjugation with cellular fusion,0.622204193,0.757343113,0.139043307,0.194374496,0.68706303,0.06596146,114,125,0.912,0.13513892,0.08976,
GO:0043543,protein amino acid acylation,0.613425439,0.715688389,0.127086062,0.166547929,0.645777038,0.027522606,62,86,0.720930233,0.10226295,0.148255,
GO:0032200,telomere organization and biogenesis,0.606923886,0.703770887,0.136456503,0.17456027,0.607502351,0.116029894,274,137,2,0.096847001,0.032415,
GO:0001403,invasive growth (sensu Saccharomyces),0.602601316,0.724680995,0.133593348,0.173054431,0.694365846,0.022569357,43,55,0.781818182,0.122079679,0.138645,1
GO:0000902,cell morphogenesis,0.594267977,0.717708023,0.124238491,0.172163467,0.62276794,0.107653068,259,45,5.755555556,0.123440046,0.062915,
GO:0006869,lipid transport,0.575180267,0.691865173,0.126777069,0.160005414,0.677132979,0.016816801,34,78,0.435897436,0.116684906,0.047065,
GO:0007124,pseudohyphal growth,0.541683548,0.715884835,0.109128887,0.167605437,0.609773308,0.025272257,65,77,0.844155844,0.174201287,0.0599,1
